FUNCTION PROFILE: 18-Sep-2017 19:16:52.987 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       79        4274   Base.ctor
       78           0   Object.ctor
       56         839   Q1Way.Enq
       50        1168   Context.RunningContextTraced
       49         581   Thread.RunningThread
       41         588   Q1Way.Deq
       41         487   ObjectPool.DeqBlock
       41           0   Pooled.ctor
       36         497   Pooled.operator delete
       36         450   ObjectPool.EnqBlock
       33          36   C++.delete
       31         411   Context.RunningContext
       26         333   Context.SetContextMsg
       26         331   Q1Way.Exq
       23         375   MsgPort.Port
       23         288   ProtocolSM.Port
       22           1   SysIpL2Addr.ctor(copy)
       22           0   SysIpL3Addr.ctor(copy)
       20         334   TlvMessage.FencePtr
       19         249   SysIpL2Addr.dtor
       19         247   SysIpL3Addr.dtor
       18         199   Thread.Pause
       17         227   TlvMessage.FirstParm
       17         221   TlvMessage.FindParm
       17         219   Q1Way.Purge
       16         224   Message.RxSbAddr
       16         208   TlvMessage.FindType
       16         186   TlvMessage.NextParm
       15         232   SbIpBuffer.operator new
       14        1287   SysIpL3Addr.operator=(copy)
       14         288   SysHeap.Alloc
       14         182   Memory.Alloc
       14         158   IpBuffer.BuffSize
       14         156   Q1Way.Init
       14           0   SysIpL2Addr.ctor
       14           0   SysIpL3Addr.ctor
       13         870   Message.ClearContext
       13         190   SysIpL2Addr.operator=(copy)
       13         171   SbIpBuffer.PayloadSize
       13         144   Message.Exqueue
       12         601   Memory.Copy
       12         172   Context.SetState
       12         154   Event.dtor
       12         124   ServiceSM.ExqEvent
       11         224   Thread.ExitBlockingOperation
       11         201   InvokerPool.FindWork
       11         174   Thread.Unlock
       11         141   Thread.RtcPercentUsed
       11         122   Event.operator new
       11         109   ServiceSM.EnqEvent
       11          13   Event.ctor
       10     9596279   SysMutex.Release
       10         183   Thread.LogContextSwitch
       10         138   InvokerThread.ClearContext
       10         121   Thread.EnterBlockingOperation
       10         119   TlvMessage.CheckFence
        9         174   Message.RxFactory
        9         160   Memory.Free
        9         132   Context.Exqueue
        9         125   IpBuffer.dtor
        8         128   Message.dtor
        8         125   SysHeap.Free
        8         121   Message.TxSbAddr
        8         119   PotsCallPsm.Cast
        8         111   SbIpBuffer.operator delete
        8         107   Message.Enqueue
        8         107   MsgBuffer.dtor
        8         104   SbIpBuffer.dtor
        8          92   TlvMessage.dtor
        7         776   SysSocket.TracePeer
        7         502   SysSocket.SetBlocking
        7         120   Message.operator new
        7         102   MsgHeader.ctor
        7          89   TlvMessage.AddParm
        7          85   PotsMessage.dtor
        7          83   IpBuffer.AddBytes
        7          80   TlvMessage.AddType
        7          76   BcEvent.dtor
        7          75   Factory.RecordMsg
        7          16   IpBuffer.ctor
        7          16   IpBuffer.ctor(copy)
        7           3   SbIpBuffer.ctor
        7           0   BcEvent.ctor
        7           0   MsgBuffer.ctor
        7           0   MsgBuffer.ctor(copy)
        7           0   SbIpBuffer.ctor(copy)
        6         534   Context.CaptureTask
        6         111   Thread.ResumeLocked
        6         109   Context.ProcessMsg
        6          95   Q2Way.Exq
        6          88   ProtocolSM.PeerFactory
        6          79   InvokerThread.BlockingAllowed
        6          79   PotsBcSsm.SetNextSap
        6          76   ServiceSM.SetNextSap
        6          76   Thread.PauseOver
        6          40   InvokerPool.ScheduledOut
        5         146   MsgFactory.CaptureMsg
        5         131   SysThread.Interrupt
        5         118   SysSocket.Empty
        5          90   SbExtInputHandler.AllocBuff
        5          89   Context.ProcessWork
        5          87   Message.SetPsm
        5          85   InvokerThread.SetContext
        5          84   PotsCallPsm.SendSignal
        5          83   InvokerPool.Dequeued
        5          73   Context.TraceMsg
        5          72   Pots_NU_Message.dtor
        5          70   Thread.Interrupt
        5          69   IoThread.ConditionalPause
        5          67   Message.Handled
        5          65   InvokerPool.Enqueued
        5          65   MsgFactory.ReceiveMsg
        5          62   MsgPort.Find
        5          60   InvokerPool.KickThread
        5          58   Context.EnqMsg
        5          57   Q2Way.Enq
        5          55   Context.Enqueue
        5          21   UdpIoThread.Enter
        4          97   SysMutex.Acquire
        4          90   IoThread.InvokeHandler
        4          79   InvokerPool.ReceiveMsg
        4          78   SbTracer.MsgStatus
        4          75   IpPort.BytesRcvd
        4          73   Thread.InitialMsecs
        4          72   InvokerThread.ScheduledIn
        4          70   NwTracer.BuffStatus
        4          67   InvokerPool.TraceRxNet
        4          57   BcReleaseEvent.dtor
        4          57   BcSsm.SetNextState
        4          57   Context.dtor
        4          48   Context.operator new
        4          47   MsgContext.dtor
        4          46   IpPort.RecvsInSequence
        4          44   ServiceSM.SetNextState
        4          43   ProtocolSM.SetState
        4          41   Q1Way.Henq
        4          22   Initiator.InvokeHandler
        4          18   PotsProfile.FindFeature
        4           4   Context.ctor
        4           0   BcReleaseEvent.ctor
        4           0   Message.ctor(i/c)
        4           0   PotsMessage.ctor(i/c)
        4           0   ThreadAdmin.WarpFactor
        4           0   TlvMessage.ctor(i/c)
        3         122   Message.SetSender
        3         113   Message.SetReceiver
        3          62   Message.SetProtocol
        3          61   ProtocolSM.GetProtocol
        3          60   SbInputHandler.ReceiveBuff
        3          59   InvokerPool.ReceiveBuff
        3          56   PotsCircuit.ReceiveMsg
        3          54   ProtocolSM.EnqOgMsg
        3          51   MsgContext.ProcessIcMsg
        3          51   PsmContext.FindPort
        3          50   ObjectPool.BidToObj
        3          50   PotsShelfFactory.ProcessIcMsg
        3          49   SsmContext.ProcessIcMsg
        3          48   MsgPort.ReceiveMsg
        3          46   Circuit.MakeConn
        3          46   SysUdpSocket.SendBuff
        3          45   ProtocolLayer.SendToUpper
        3          44   Message.Send
        3          43   SysUdpSocket.SendTo
        3          42   MsgPort.SendMsg
        3          42   ProtocolLayer.SendToLower
        3          41   IpBuffer.Send
        3          41   PotsCallPsm.Route
        3          41   PsmContext.EndOfTransaction
        3          40   MsgPort.Route
        3          39   IpBuffer.OutgoingBytes
        3          39   TlvMessage.Send
        3          38   ProxyBcSsm.EndOfTransaction
        3          38   ProxyBcSsm.FirstProxy
        3          38   ServiceSM.EndOfTransaction
        3          38   SsmContext.EndOfTransaction
        3          36   Factory.IncrContexts
        3          35   MsgContext.EndOfTransaction
        3          34   AnalyzeMsgEvent.dtor
        3          33   SsmContext.IsIdle
        3          32   MsgPort.WrapMsg
        3          32   ProtocolLayer.EnsureLower
        3          29   PotsBcSsm.SetNextSnp
        3          27   ServiceSM.SetNextSnp
        3          15   PotsProfile.HasFeature
        3          10   Message.ctor(o/g)
        3           2   Pots_NU_Message.ctor(o/g)
        3           1   TlvMessage.ctor(o/g)
        3           0   MsgContext.ctor
        3           0   PotsMessage.ctor(o/g)
        2         236   ProtocolSM.UnwrapMsg
        2          42   PotsCircuit.SetState
        2          42   ServiceSM.ProcessEvent
        2          39   PotsCallHandler.ReceiveBuff
        2          37   PotsCallFactory.AllocIcMsg
        2          37   PotsCallPsm.SendCause
        2          35   ProtocolLayer.dtor
        2          34   GlobalAddress.dtor
        2          34   PotsShelfFactory.AllocIcMsg
        2          31   PotsCallPsm.ReportDigits
        2          30   Pots_UN_Message.dtor
        2          28   BcSsm.CalcPort
        2          28   SsmContext.SetRoot
        2          27   PotsCallPsm.ProcessIcMsg
        2          26   IpPort.BytesSent
        2          26   PotsCallPsm.ProcessOgMsg
        2          26   ProtocolSM.HenqReceivedMsg
        2          25   MediaPsm.ReceiveMsg
        2          25   MediaPsm.SetOgPort
        2          25   ProtocolSM.ReceiveMsg
        2          24   MediaPsm.PrepareOgMsgq
        2          24   MediaPsm.SetOgTone
        2          24   ProtocolLayer.RootSsm
        2          24   ProtocolSM.StartTimer
        2          24   SsmFactory.ReceiveMsg
        2          24   Timer.operator new
        2          23   MediaPsm.EndOfTransaction
        2          23   PotsBcSsm.StartTimer
        2          23   PotsMessage.AddHeader
        2          23   ProtocolSM.AddressesUnknown
        2          23   PsmFactory.ReceiveMsg
        2          23   SbAnalyzeMessage.ProcessEvent
        2          23   TimerRegistry.CalcQId
        2          23   ToneRegistry.ToneToPort
        2          22   MediaPsm.UpdateOgMedia
        2          22   Message.Capture
        2          22   Pots_NU_Message.AddScan
        2          22   ProtocolSM.EndOfTransaction
        2          21   Message.Henqueue
        2          21   Message.SetSignal
        2          21   PotsCallPsm.EnsureMediaMsg
        2          21   ProtocolSM.FindTimer
        2          21   ProxyBcSsm.CalcPort
        2          20   MediaPsm.UpdateIcMedia
        2          20   PotsBcSsm.TimerPsm
        2          19   Thread.MsecsSinceStart
        2          18   Q2Way.Henq
        2          10   ServiceSM.ProcessInitqSap
        2           8   AnalyzeSapEvent.dtor
        2           8   Event.BuildSap
        2           4   Timer.ctor
        2           0   AnalyzeMsgEvent.ctor
        2           0   AnalyzeSapEvent.ctor
        2           0   Pots_NU_Message.ctor(i/c)
        2           0   Pots_UN_Message.ctor(i/c)
        1          43   PotsStatistics.IncrCause
        1          40   MsgPort.ctor(i/c)
        1          29   BcSsm.RaiseApplyTreatment
        1          29   RouteResult.ctor
        1          28   PotsBcCiCollectionTimeout.ProcessEvent
        1          27   PotsBcReleaseCall.ProcessEvent
        1          25   PsmContext.HenqPsm
        1          21   MsgPort.dtor
        1          21   PotsBcCiAnalyzeLocalMessage.ProcessEvent
        1          21   PotsBcExApplyTreatment.ProcessEvent
        1          21   ProtocolSM.dtor
        1          21   Timer.dtor
        1          20   ServiceSM.dtor
        1          19   MediaSsm.PsmDeleted
        1          19   PotsBcSsm.ClearCall
        1          19   PotsProfile.ClearObjAddr(addr)
        1          19   PotsTreatmentRegistry.CauseToTreatmentQ
        1          19   ProxyBcSsm.PsmDeleted
        1          19   RootServiceSM.dtor
        1          19   ServiceSM.PsmDeleted
        1          18   BcLocalReleaseEvent.dtor
        1          18   BcSsm.PsmDeleted
        1          18   BcSsm.RaiseCollectionTimeout
        1          18   MsgPort.AdjacentDeleted
        1          18   PotsBcLocalRelease.ProcessEvent
        1          18   PotsBcSsm.PsmDeleted
        1          18   PotsShelfHandler.ReceiveBuff
        1          18   PotsTreatmentQueue.FirstTreatment
        1          18   ProtocolSM.SendFinal
        1          17   BcSsm.ClearCall
        1          17   BcSsm.RaiseLocalRelease
        1          17   BcSsm.RaiseReleaseCall
        1          17   PotsBcSsm.ClearTimer
        1          17   PotsBcSsm.dtor
        1          17   PotsMessage.AddCause
        1          17   PotsToneTreatment.ApplyTreatment
        1          17   ProtocolSM.Destroy
        1          16   BcApplyTreatmentEvent.dtor
        1          16   BcReleaseCallEvent.dtor
        1          16   MediaSsm.dtor
        1          15   BcCollectionTimeoutEvent.dtor
        1          15   MediaPsm.dtor
        1          15   PotsCallPsm.dtor
        1          15   PotsProfile.ClearObjAddr(psm)
        1          15   ProtocolLayer.AdjacentDeleted
        1          15   PsmContext.ExqPort
        1          15   PsmContext.ExqPsm
        1          15   Timer.Deregister
        1          14   BcSsm.dtor
        1          14   PotsProfile.SetState
        1          14   ProxyBcSsm.dtor
        1          14   PsmContext.dtor
        1          14   Timer.Exqueue
        1          13   SsmContext.dtor
        1          10   BcSsm.RaiseAuthorizeOrigination
        1          10   BcSsm.SetModel
        1          10   PotsBcAoAuthorizeOrigination.ProcessEvent
        1           9   MediaPsm.IcPortUpdated
        1           9   MsgPort.AllocUpper
        1           9   PotsCallFactory.AllocIcPsm
        1           9   ProtocolSM.Initialize
        1           8   ProtocolSM.operator new
        1           8   SsmFactory.AllocContext
        1           7   Context.ContextRoot
        1           7   DigitString.ctor
        1           7   MediaPsm.MakeEdge
        1           7   MsgPort.Initialize
        1           7   PayloadInvokerPool.RejectIngressWork
        1           7   PotsBcNuOriginate.ProcessEvent
        1           7   PotsCallFactory.AllocRoot
        1           7   PotsStatistics.Incr
        1           7   ProtocolSM.UppermostPsm
        1           7   ServiceSM.operator new
        1           7   SsmContext.AllocRoot
        1           6   AnalysisResult.ctor
        1           6   BcSsm.RaiseCollectInformation
        1           6   Event.SetOwner
        1           6   MsgPort.UppermostPsm
        1           6   PotsBcCiCollectInformation.ProcessEvent
        1           6   PotsBcNuAnalyzeLocalMessage.ProcessEvent
        1           6   PotsBcSsm.SetProfile
        1           6   ProxyBcSsm.SetUPsm
        1           5   BcSsm.SetUPsm
        1           5   Message.SetRxAddr
        1           5   MsgPort.UpdatePeer
        1           5   PotsCallFactory.PortAllocated
        1           5   PotsProfile.SetObjAddr
        1           5   PotsSusInitiator.ProcessEvent
        1           4   BcAuthorizeOriginationEvent.dtor
        1           4   BcCollectInformationEvent.dtor
        1           4   DigitString.Size
        1           4   ObjectPool.ObjBid
        1           4   PotsBocInitiator.ProcessEvent
        1           4   PotsHtlInitiator.ProcessEvent
        1           4   PotsWmlInitiator.ProcessEvent
        1           4   PsmContext.EnqPort
        1           3   BcOriginateEvent.dtor
        1           3   ServiceSM.ctor
        1           1   BcSsm.ctor
        1           1   PotsBcSsm.ctor
        1           1   ProtocolSM.ctor(subseq)
        1           1   RootServiceSM.ctor
        1           0   BcApplyTreatmentEvent.ctor
        1           0   BcAuthorizeOriginationEvent.ctor
        1           0   BcCollectInformationEvent.ctor
        1           0   BcCollectionTimeoutEvent.ctor
        1           0   BcLocalReleaseEvent.ctor
        1           0   BcOriginateEvent.ctor
        1           0   BcReleaseCallEvent.ctor
        1           0   GlobalAddress.ctor(L3addr, locaddr)
        1           0   MediaSsm.ctor
        1           0   ProtocolLayer.ctor(subseq)
        1           0   ProxyBcSsm.ctor

Total functions: 357
