FUNCTION PROFILE: 18-Sep-2017 19:22:10.634 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      174        5172   Base.ctor
      173          28   Object.ctor
      139        1142   Q1Way.Enq
      127        1546   Context.RunningContextTraced
      106         689   Thread.RunningThread
       88         786   Q1Way.Deq
       88         601   ObjectPool.DeqBlock
       88           0   Pooled.ctor
       86         706   Pooled.operator delete
       86         587   ObjectPool.EnqBlock
       83          73   C++.delete
       81         633   Context.RunningContext
       75         572   Q1Way.Exq
       70         480   Context.SetContextMsg
       62         438   ProtocolSM.Port
       58         459   MsgPort.Port
       58         440   SysIpL2Addr.dtor
       58           0   SysIpL2Addr.ctor(copy)
       56         427   SysIpL3Addr.dtor
       53         492   TlvMessage.FencePtr
       53           0   SysIpL3Addr.ctor(copy)
       48         457   Thread.Pause
       42         319   SysIpL3Addr.operator=(copy)
       42         297   SysIpL2Addr.operator=(copy)
       41         310   Message.RxSbAddr
       40        1960   Message.ClearContext
       39         265   Message.Exqueue
       39         265   Q1Way.Purge
       39         237   Q1Way.Init
       34         240   Context.SetState
       31         332   SysHeap.Alloc
       31         275   TlvMessage.FirstParm
       31         255   TlvMessage.FindParm
       30         243   Event.dtor
       30         218   Memory.Alloc
       30         207   ServiceSM.ExqEvent
       30         203   IpBuffer.BuffSize
       29         262   Event.operator new
       29         233   SbIpBuffer.operator new
       28         258   InvokerPool.FindWork
       28         220   TlvMessage.CheckFence
       28         218   SbIpBuffer.PayloadSize
       28         190   ServiceSM.EnqEvent
       28          20   Event.ctor
       26           0   SysIpL2Addr.ctor
       26           0   SysIpL3Addr.ctor
       25         206   TlvMessage.FindType
       24     1995418   Thread.Unlock
       24         303   Thread.ExitBlockingOperation
       23         288   Memory.Copy
       23         201   Message.TxSbAddr
       23         169   Message.Enqueue
       22         727   SysMutex.Release
       22         222   Thread.LogContextSwitch
       22         191   TlvMessage.NextParm
       22         161   Thread.EnterBlockingOperation
       21         140   Factory.RecordMsg
       21         133   Thread.RtcPercentUsed
       20         207   IpBuffer.dtor
       20         193   Message.RxFactory
       20         185   Message.Handled
       20         183   Message.dtor
       20         156   Message.SetPsm
       20         153   ProtocolSM.SetState
       20         150   SbIpBuffer.dtor
       20         148   Context.Exqueue
       19         174   SysHeap.Free
       19         164   SbIpBuffer.operator delete
       19         160   Memory.Free
       19         157   InvokerThread.ClearContext
       19         152   MsgBuffer.dtor
       19         147   ProtocolSM.EndOfTransaction
       18         206   TlvMessage.AddParm
       18         148   TlvMessage.AddType
       18         144   IpBuffer.AddBytes
       17         110   TlvMessage.dtor
       16         132   ProtocolLayer.RootSsm
       16         105   Q2Way.Exq
       16           0   MsgBuffer.ctor(copy)
       15         118   Message.operator new
       15         116   MediaPsm.PrepareOgMsgq
       15         110   MediaPsm.EndOfTransaction
       15         102   MsgHeader.ctor
       15          75   SbIpBuffer.ctor
       15          38   IpBuffer.ctor(copy)
       15           0   SbIpBuffer.ctor(copy)
       14         644   Context.CaptureTask
       14         542   SysSocket.SetBlocking
       14         153   Thread.ResumeLocked
       14         114   InvokerPool.Dequeued
       14          98   GlobalAddress.dtor
       14          86   Q1Way.Henq
       13         211   SysThread.Interrupt
       13         130   InvokerPool.ReceiveMsg
       13         123   Context.ProcessMsg
       13         122   InvokerThread.BlockingAllowed
       13         120   Thread.Interrupt
       13         115   InvokerPool.KickThread
       13         110   Context.Enqueue
       13         110   Q2Way.Enq
       13         109   Context.ProcessWork
       13         103   MsgFactory.ReceiveMsg
       13          98   InvokerThread.SetContext
       13          96   Context.TraceMsg
       13          92   InvokerPool.Enqueued
       13          90   Context.EnqMsg
       13          90   ServiceSM.SetNextState
       13          86   Thread.PauseOver
       13          45   InvokerPool.ScheduledOut
       13          26   IpBuffer.ctor
       13           0   MsgBuffer.ctor
       12         106   BcEvent.dtor
       12          79   PotsMessage.dtor
       12          17   BcEvent.ctor
       11         247   Message.SetReceiver
       11         186   ServiceSM.ProcessEvent
       11         112   PsmContext.EndOfTransaction
       11         106   SbAnalyzeMessage.ProcessEvent
       11         104   SsmContext.EndOfTransaction
       11          87   MsgContext.EndOfTransaction
       11          85   ServiceSM.SetNextSnp
       11          84   PotsBcSsm.SetNextSnp
       11          72   AnalyzeMsgEvent.dtor
       11           8   AnalyzeMsgEvent.ctor
       10         254   Message.SetSender
       10         212   SsmContext.ProcessIcMsg
       10         102   Message.Send
       10          98   MsgPort.SendMsg
       10          92   ProtocolLayer.SendToLower
       10          87   ProtocolSM.AddressesUnknown
       10          80   MsgPort.Find
       10          77   TlvMessage.Send
       10          75   ProtocolSM.EnqOgMsg
       10          70   MsgPort.Route
       10          66   ProtocolLayer.EnsureLower
       10          65   ProtocolSM.PeerFactory
       10          58   MsgPort.WrapMsg
        9         400   SysSocket.TracePeer
        9         113   MediaInfo.ctor
        9          88   ProtocolLayer.SendToUpper
        9          85   ProtocolSM.HenqReceivedMsg
        9          82   ProtocolSM.ReceiveMsg
        9          76   MediaPsm.SetOgPort
        9          75   MediaPsm.UpdateOgMedia
        9          74   ObjectPool.BidToObj
        9          74   PsmContext.FindPort
        9          71   BcSsm.SetNextState
        9          71   MsgPort.ReceiveMsg
        9          69   InvokerThread.ScheduledIn
        9          68   Message.Henqueue
        9          67   ProtocolSM.UnwrapMsg
        9          67   ServiceSM.EndOfTransaction
        9          67   SsmContext.IsIdle
        8         135   MsgFactory.CaptureMsg
        8         122   SysSocket.Empty
        8         102   SbTracer.MsgStatus
        8          81   SbInputHandler.ReceiveBuff
        8          80   InvokerPool.ReceiveBuff
        8          72   ServiceSM.SetNextSap
        8          69   Pots_NU_Message.dtor
        8          67   InvokerPool.TraceRxNet
        8          67   NwTracer.BuffStatus
        8          64   PotsBcSsm.SetNextSap
        8          59   IoThread.ConditionalPause
        8          59   ProtocolLayer.dtor
        8          58   Debug.SwFlagOn
        8          57   Message.Capture
        8          51   IpPort.RecvsInSequence
        8          32   UdpIoThread.Enter
        8           0   Message.ctor(i/c)
        8           0   PotsMessage.ctor(i/c)
        8           0   ThreadAdmin.WarpFactor
        8           0   TlvMessage.ctor(i/c)
        7          78   MediaPsm.ReceiveMsg
        7          61   ProtocolSM.GetProtocol
        7          59   Message.SetProtocol
        7          59   Message.SetSignal
        7          57   SsmFactory.ReceiveMsg
        7          54   MediaPsm.UpdateIcMedia
        7          53   PotsCallPsm.Cast
        7          53   PsmFactory.ReceiveMsg
        7          51   Context.dtor
        7          40   MsgContext.dtor
        7          23   Message.ctor(o/g)
        7           2   TlvMessage.ctor(o/g)
        6          55   BcSsm.CalcPort
        6          53   IoThread.InvokeHandler
        6          52   IpPortRegistry.CanBypassStack
        6          52   SbExtInputHandler.AllocBuff
        6          51   PotsCallPsm.SendSignal
        6          51   ProxyBcSsm.CalcPort
        6          50   Circuit.MakeConn
        6          39   Context.operator new
        6          39   Thread.InitialMsecs
        6          33   Factory.IncrContexts
        6           8   Context.ctor
        6           2   GlobalAddress.ctor(L3addr, locaddr)
        6           0   MsgContext.ctor
        5          60   BcPsm.ProcessOgMsg
        5          55   MediaPsm.IcPortUpdated
        5          52   PotsCallPsm.ProcessOgMsg
        5          52   TestSsm.CalcPort
        5          47   PotsShelfHandler.ReceiveBuff
        5          47   SysUdpSocket.SendBuff
        5          46   PotsCircuit.ReceiveMsg
        5          46   PotsMessage.AddHeader
        5          45   MsgContext.ProcessIcMsg
        5          45   PotsShelfFactory.ProcessIcMsg
        5          44   BcPsm.ProcessIcMsg
        5          44   MediaSsm.NotifyListeners
        5          44   PotsCallPsm.EnsureMediaMsg
        5          44   SysMutex.Acquire
        5          43   MediaPsm.GetMediaSsm
        5          42   IpBuffer.Send
        5          42   MediaPsm.SetOgTone
        5          42   SysUdpSocket.SendTo
        5          41   PotsShelfFactory.AllocIcMsg
        5          40   IpBuffer.OutgoingBytes
        5          39   ToneRegistry.ToneToPort
