FUNCTION PROFILE: 18-Sep-2017 19:29:07.721 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      189        7447   Base.ctor
      189           0   Object.ctor
      170        1741   Q1Way.Enq
      147        2071   Context.RunningContextTraced
      117        1175   Pooled.operator delete
      116        1005   ObjectPool.EnqBlock
      113         939   Thread.RunningThread
      111         115   C++.delete
      103         764   Q1Way.Purge
       99         926   Q1Way.Exq
       97        1045   Q1Way.Deq
       95         851   ObjectPool.DeqBlock
       94         922   Context.RunningContext
       94           0   Pooled.ctor
       87         912   MsgPort.Port
       87         739   ProtocolSM.Port
       83         631   Context.SetContextMsg
       72         940   TlvMessage.FencePtr
       70         720   SysIpL3Addr.dtor
       70         667   SysIpL2Addr.dtor
       54           0   SysIpL2Addr.ctor(copy)
       53           0   SysIpL3Addr.ctor(copy)
       52         507   Message.RxSbAddr
       50         406   Message.Exqueue
       49         437   SysIpL3Addr.operator=(copy)
       49         430   SysIpL2Addr.operator=(copy)
       46        2878   Message.ClearContext
       43         396   Context.SetState
       41         603   SysHeap.Alloc
       41         414   TlvMessage.FindParm
       41         408   Memory.Alloc
       41         392   TlvMessage.FirstParm
       41         329   IpBuffer.BuffSize
       40         346   TlvMessage.NextParm
       40           0   SysIpL2Addr.ctor
       40           0   SysIpL3Addr.ctor
       39         421   SbIpBuffer.operator new
       39         260   Thread.Pause
       37         381   SbIpBuffer.PayloadSize
       36         368   TlvMessage.CheckFence
       33         288   TlvMessage.FindType
       30         535   Memory.Copy
       30         337   InvokerPool.FindWork
       29         359   InvokerThread.ClearContext
       29         282   Message.TxSbAddr
       29         253   Context.Exqueue
       28         254   ServiceSM.ExqEvent
       27         285   Event.operator new
       27         270   Event.dtor
       27         248   ServiceSM.EnqEvent
       27         229   Factory.RecordMsg
       27         225   Message.Enqueue
       27          28   Event.ctor
       26         232   Thread.RtcPercentUsed
       25         267   IpBuffer.AddBytes
       25         239   Message.SetPsm
       24         266   SbIpBuffer.operator delete
       24         258   MsgBuffer.dtor
       24         256   Memory.Free
       24         250   Message.RxFactory
       24         245   SysHeap.Free
       23         279   TlvMessage.AddParm
       23         275   Message.dtor
       23         256   IpBuffer.dtor
       23         255   TlvMessage.AddType
       23         240   Message.Handled
       23         221   SbIpBuffer.dtor
       23         210   ProtocolSM.SetState
       23         201   TlvMessage.dtor
       22         220   ProtocolSM.EndOfTransaction
       22         218   MediaPsm.PrepareOgMsgq
       22         213   MediaPsm.EndOfTransaction
       22         203   ProtocolLayer.dtor
       22         196   GlobalAddress.dtor
       21    30841753   SysMutex.Release
       21         758   Thread.ExitBlockingOperation
       21         222   Thread.LogContextSwitch
       21         202   PotsCallPsm.Cast
       21         162   Thread.Unlock
       20         208   Message.operator new
       20         196   MsgHeader.ctor
       20          58   IpBuffer.ctor(copy)
       20          35   IpBuffer.ctor
       20          11   SbIpBuffer.ctor
       20           0   MsgBuffer.ctor
       20           0   MsgBuffer.ctor(copy)
       20           0   SbIpBuffer.ctor(copy)
