SCHEDULER REPORT: 19-Sep-2017 12:22:45.291 on Reigi
for interval beginning at 12:20:08.208
------------------------------------------------------------------------
      THREADS      |    SINCE START OF CURRENT 15-MIN INTERVAL    | LAST
                   |            rtc  max   max     max  total     |5 SEC
id    name host f b| ex yields  t/o msgs stack   usecs  msecs %cpu| %cpu
------------------------------------------------------------------------
      idle                                              97684 62.2  96.0
 1    root 4f08 w S   0   3026    0    0   300  255048    630  0.4   0.4
 2    init 1a14 s S   0   3027    0    0  1352  647674   1070  0.7   0.4
 3    file 0ad0 B     0   2434    0   57   392     163  13107  8.3   0.4
 4    cout 1c78 B     0   1958    0   50   432     152  12875  8.2   2.3
 5     cin 5708 B C   0      4    0    0   236      59      0  0.0   0.0
 6  objaud 22ac A S   0    667    0    0   760    5477    326  0.2   0.4
 7   stats 0b78 B S   0     32    0    0   316     244      1  0.0   0.0
 8     log 33d0 B S   0     34    0    3   364   25603     30  0.0   0.0
 9     cli 4e14 O     1    960    7    0  4676   77167   2111  1.3   0.0
10 invoker 5398 P S   0      1    0    0   240     210      0  0.0   0.0
11   timer 0efc P S   0     90    0    0   252     204      4  0.0   0.0
12   tcpio 51fc P N   0      1    0    0   308    1060      1  0.0   0.0
13   udpio 5954 P N   0      1    0    0   280     447      0  0.0   0.0
14   udpio 5bc8 P N   0      1    0    0   280     319      0  0.0   0.0
15   recov 023c P S   1      5  600    0  3080 10+ sec  29242 18.6   0.0
------------------------------------------------------------------------

Context switches: 1852
Timestamp  Id  Host              Ticks In            Ticks Out      uSecs
22:10.992   3  0ad0-         615562434679         615562441171       2564  
22:10.993   4  1c78-         615562435136         615562437595^       971  
22:10.993   9  4e14          615562435224         615562435725^       197  
22:10.993   9  4e14          615562435833         615562436046^        84  
22:10.993   9  4e14          615562436126         615562436965^       331  
22:10.993   9  4e14          615562437019         615562437232^        84  
22:10.993   9  4e14          615562437286         615562438458^       463  
22:10.994   4  1c78          615562438556         615562438660^        41  
22:10.994   4  1c78-         615562438768         615562439889^       442  
22:10.994   9  4e14          615562438789         615562439188^       157  
22:10.994   9  4e14          615562439257         615562439697^       173  
22:10.994   9  4e14          615562439743         615562439942^        78  
22:10.995   4  1c78          615562440065         615562440114^        19  
22:10.995   4  1c78-         615562440241         615562446853^      2612  
22:10.995   9  4e14          615562440265         615562440401^        53  
22:10.995   3  0ad0          615562441231         615562441279^        18  
22:10.995   3  0ad0-         615562441327         615562447913^      2601  
22:10.997   4  1c78          615562446920         615562446980^        23  
22:10.997   4  1c78-         615562447025         615562454948^      3130  
22:10.998   3  0ad0          615562448006         615562448120^        45  
22:10.998   3  0ad0-         615562448202         615562458971^      4254  
22:11.000   4  1c78          615562455009         615562455057^        18  
22:11.000   4  1c78-         615562455103         615562463141^      3175  
22:11.002   3  0ad0          615562459108         615562459219^        43  
22:11.002   3  0ad0-         615562459286         615562466297^      2769  
22:11.004   4  1c78          615562463235         615562463283^        18  
22:11.004   4  1c78-         615562463365         615562465082^       678  
22:11.004   4  1c78          615562465138         615562465181^        16  
22:11.004   4  1c78-         615562465225         615562467965^      1082  
22:11.005   3  0ad0          615562466358         615562466409^        20  
22:11.005   3  0ad0-         615562466457         615562471783^      2104  
22:11.006   4  1c78          615562468021         615562468065^        17  
22:11.006   4  1c78-         615562468111         615562470820^      1070  
22:11.007   4  1c78          615562470894         615562470946^        20  
22:11.007   4  1c78-         615562471004         615562479552^      3376  
22:11.007   3  0ad0          615562471847         615562471957^        43  
22:11.007   3  0ad0-         615562472007         615562477793^      2285  
22:11.009   3  0ad0          615562477857         615562477914^        22  
22:11.010   3  0ad0-         615562477962         615562482973^      1979  
22:11.010   4  1c78          615562479609         615562479662^        20  
22:11.010   4  1c78-         615562479711         615562481605^       748  
22:11.011   4  1c78          615562481661         615562481706^        17  
22:11.011   4  1c78-         615562481751         615562488853^      2805  
22:11.012   3  0ad0          615562483035         615562483088^        20  
22:11.012   3  0ad0-         615562483136         615562487801^      1842  
22:11.013   3  0ad0          615562487903         615562487997^        37  
22:11.013   3  0ad0-         615562488044         615562493571^      2183  
22:11.014   4  1c78          615562488910         615562488959^        19  
22:11.014   4  1c78-         615562489005         615562491381^       938  
22:11.015   4  1c78          615562491437         615562491480^        16  
22:11.015   4  1c78-         615562491524         615562492704^       466  
22:11.015   4  1c78          615562492796         615562492848^        20  
22:11.015   4  1c78-         615562492897         615562495710^      1111  
22:11.016   3  0ad0          615562493631         615562493725^        37  
22:11.016   3  0ad0-         615562493775         615562498974^      2053  
22:11.017   4  1c78          615562495768         615562495814^        18  
22:11.017   4  1c78-         615562495860         615562497889^       801  
22:11.017   4  1c78          615562497946         615562497991^        17  
22:11.017   4  1c78-         615562498036         615562499052^       401  
22:11.018   3  0ad0          615562499043         615562499084^        16  
22:11.018   4  1c78          615562499124         615562499173         19  
22:11.018   3  0ad0-         615562499149         615562504356^      2057  
22:11.018   4  1c78-         615562499256         615562500822^       618  
22:11.019   4  1c78          615562500878         615562500928^        19  
22:11.019   4  1c78-         615562500977         615562501742^       302  
22:11.019   4  1c78          615562501819         615562501864^        17  
22:11.019   4  1c78-         615562501911         615562503377^       579  
22:11.020   4  1c78          615562503432         615562503476^        17  
22:11.020   4  1c78-         615562503527         615562504661^       448  
22:11.020   3  0ad0          615562504416         615562504465^        19  
22:11.020   3  0ad0-         615562504508         615562513521^      3560  
22:11.020   4  1c78          615562504730         615562504774^        17  
22:11.020   4  1c78-         615562504820         615562506093^       502  
22:11.021   4  1c78          615562506147         615562506190^        16  
22:11.021   4  1c78-         615562506235         615562510436^      1659  
22:11.022   4  1c78          615562510493         615562510538^        17  
22:11.022   4  1c78-         615562510584         615562512597^       795  
22:11.023   4  1c78          615562512655         615562512702^        18  
22:11.023   4  1c78-         615562512747         615562517876^      2026  
22:11.024   3  0ad0          615562513604         615562513654^        19  
22:11.024   3  0ad0-         615562513704         615562519817^      2415  
22:11.025   4  1c78          615562517937         615562517987^        19  
22:11.025   4  1c78-         615562518033         615562519864^       723  
22:11.026   3  0ad0          615562519836         615562519874^        15  
22:11.026   3  0ad0-         615562519886         615562527354       2950  
22:11.026   4  1c78          615562519912         615562519965^        20  
22:11.026   4  1c78-         615562520012         615562521412^       553  
22:11.027   4  1c78          615562521468         615562521489^         8  
22:11.029   3  0ad0          615562527455         615562527513         22  
22:11.029   3  0ad0-         615562527561         615562533836       2479  
22:11.032   3  0ad0          615562533963         615562534069         41  
22:11.032   3  0ad0-         615562534134         615562539580       2151  
22:11.034   3  0ad0          615562539669         615562539770         39  
22:11.034   3  0ad0-         615562539841         615562545949       2413  
22:11.036   3  0ad0          615562546077         615562546144         26  
22:11.036   3  0ad0-         615562546217         615562552097       2322  
22:11.039   3  0ad0          615562552223         615562552290         26  
22:11.039   3  0ad0-         615562552361         615562559704       2900  
22:11.039   2  1a14-         615562553712         615562553821^        43  
22:11.039   1  4f08-         615562553783         615562553918^        53  
22:11.042   3  0ad0          615562559799         615562559872         28  
22:11.042   3  0ad0-         615562559943         615562566100       2432  
22:11.044   3  0ad0          615562566227         615562566295         26  
22:11.044   3  0ad0-         615562566366         615562572690       2498  
22:11.047   3  0ad0          615562572781         615562572848         26  
22:11.047   3  0ad0-         615562572921         615562575257        922  
22:11.048   3  0ad0          615562575351         615562575422         28  
22:11.048   3  0ad0-         615562575494         615562577727        882  
22:11.049   3  0ad0          615562577819         615562577887         26  
22:11.049   3  0ad0-         615562578016         615562580027        794  
22:11.050   3  0ad0          615562580158         615562580228         27  
22:11.050   3  0ad0-         615562580296         615562582310        795  
22:11.051   3  0ad0          615562582443         615562582548         41  
22:11.051   3  0ad0-         615562582618         615562585576       1168  
22:11.052   3  0ad0          615562585681         615562585762         32  
22:11.052   3  0ad0-         615562585838         615562588805       1172  
22:11.053   3  0ad0          615562588995         615562589067         28  
22:11.053   3  0ad0-         615562589133         615562591951       1113  
22:11.055   3  0ad0          615562592046         615562592129         32  
22:11.055   3  0ad0-         615562592198         615562594891       1063  
22:11.056   3  0ad0          615562594951         615562595000         19  
22:11.056   3  0ad0-         615562595047         615562597778       1078  
22:11.057   3  0ad0          615562597840         615562597895         21  
22:11.057   3  0ad0-         615562597982         615562600524       1004  
22:11.058   3  0ad0          615562600588         615562600641         20  
22:11.058   3  0ad0-         615562600689         615562603625       1159  
22:11.059   3  0ad0          615562603690         615562603747         22  
22:11.059   3  0ad0-         615562603835         615562606328        984  
22:11.060   3  0ad0          615562606388         615562606436         18  
22:11.060   3  0ad0-         615562606483         615562608707        878  
22:11.061   3  0ad0          615562608767         615562608814         18  
22:11.061   3  0ad0-         615562608895         615562611325        960  
22:11.062   3  0ad0          615562611504         615562611537         13  
22:11.071   2  1a14-         615562633045         615562633204         62  
22:11.071   1  4f08-         615562633148         615562633226^        30  
22:11.102   2  1a14-         615562712224         615562712365         55  
22:11.102   1  4f08-         615562712477         615562712601         48  
22:11.133   2  1a14-         615562791445         615562791715        106  
22:11.133   1  4f08-         615562791739         615562791983         96  
22:11.165   2  1a14-         615562870821         615562871151        130  
22:11.165   1  4f08-         615562871325         615562871752        168  
22:11.196   2  1a14-         615562949903         615562950321        165  
22:11.196   1  4f08-         615562950204         615562950493^       114  
22:11.227   2  1a14-         615563028704         615563029196        194  
22:11.227   1  4f08-         615563029144         615563029505^       142  
22:11.258   2  1a14-         615563107951         615563108388        172  
22:11.259   1  4f08-         615563108338         615563108698^       142  
22:11.290   2  1a14-         615563187100         615563187807        279  
22:11.290   1  4f08-         615563187571         615563187856^       112  
22:11.321   2  1a14-         615563266116         615563266594        188  
22:11.321   1  4f08-         615563266616         615563266935        126  
22:11.336   6  22ac          615563305317         615563305543         89  
22:11.337  11  0efc          615563305699         615563305739         15  
22:11.337   6  22ac          615563305899         615563306719        323  
22:11.337   6  22ac          615563306814         615563307900        429  
22:11.337   6  22ac          615563307976         615563309294        520  
22:11.338   6  22ac          615563309371         615563313331       1564  
22:11.340   6  22ac          615563313420         615563315379        773  
22:11.340   6  22ac          615563315468         615563321178       2255  
22:11.343   6  22ac          615563321268         615563329412       3217  
22:11.346   6  22ac          615563329499         615563330134        250  
22:11.346   6  22ac          615563330213         615563330440         89  
22:11.346   6  22ac          615563330516         615563334721       1661  
22:11.348   6  22ac          615563334805         615563334939         52  
22:11.348   6  22ac          615563335014         615563335307        115  
22:11.348   6  22ac          615563335381         615563335421         15  
22:11.348   6  22ac          615563335495         615563335528         13  
22:11.348   6  22ac          615563335602         615563335640         15  
22:11.348   6  22ac          615563335713         615563335785         28  
22:11.348   6  22ac          615563335859         615563335892         13  
22:11.348   6  22ac          615563335966         615563335998         12  
22:11.349   6  22ac          615563336072         615563337181        438  
22:11.349   6  22ac          615563337263         615563337512         98  
22:11.349   6  22ac          615563337586         615563337620         13  
22:11.349   6  22ac          615563337693         615563337726         13  
22:11.349   6  22ac          615563337800         615563337833         13  
22:11.349   6  22ac          615563337906         615563337994         34  
22:11.349   6  22ac          615563338069         615563338336        105  
22:11.349   6  22ac          615563338412         615563338789        148  
22:11.350   6  22ac          615563338865         615563339279        163  
22:11.350   6  22ac          615563339355         615563340212        338  
22:11.350   6  22ac          615563340288         615563340671        151  
22:11.350   6  22ac          615563340747         615563341974        484  
22:11.351   6  22ac          615563342051         615563343333        506  
22:11.351   6  22ac          615563343415         615563343654         94  
22:11.352   6  22ac          615563343730         615563343835         41  
22:11.352   6  22ac          615563343911         615563344707        314  
22:11.352   6  22ac          615563344746         615563344823         30  
22:11.352   2  1a14-         615563344799         615563344943^        56  
22:11.352   6  22ac          615563344887         615563344897^         3  
22:11.352   1  4f08-         615563345015         615563345195         71  
22:11.383   2  1a14-         615563424238         615563424413         69  
22:11.383   1  4f08-         615563424491         615563424671         71  
22:11.414   2  1a14-         615563503072         615563503495        167  
22:11.415   1  4f08-         615563503300         615563503725^       167  
22:11.446   2  1a14-         615563581901         615563582119         86  
22:11.446   1  4f08-         615563582037         615563582161^        48  
22:11.477   2  1a14-         615563661221         615563661342         47  
22:11.477   1  4f08-         615563661300         615563661404^        41  
22:11.508   2  1a14-         615563740451         615563740579         50  
22:11.508   1  4f08-         615563740604         615563740742         54  
22:11.539   2  1a14-         615563819428         615563819556         50  
22:11.540   1  4f08-         615563819602         615563819770         66  
22:11.571   2  1a14-         615563898861         615563898981         47  
