FUNCTION PROFILE: 19-Sep-2017 12:21:55.659 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       22         518   SysHeap.Free
       22         333   Memory.Free
       16         221   Thread.RunningThread
       11          15   C++.delete
       10         134   Object.operator delete
        8         517   Registry.Erase
        7     2994587   SysMutex.Release
        7         126   Statistic.dtor
        7         101   StatisticsRegistry.UnbindStat
        7          99   SysMutex.Acquire
        6          62   Thread.Pause
        4         696   Base.ctor
        4          57   Counter.dtor
        4           0   Object.ctor
        3       11636   SysThreadStack.Display
        3          60   RecoveryTestThread.Enter
        3          49   Thread.ResumeLocked
        3          44   Q1Way.Enq
        3          41   MutexGuard.ctor
        3          39   HighWatermark.dtor
        3          35   MutexGuard.dtor
        2         619   Log.Create
        2          98   Thread.LogContextSwitch
        2          68   FunctionGuard.ctor
        2          66   FunctionGuard.dtor
        2          66   Thread.ExitBlockingOperation
        2          53   SysThread.Interrupt
        2          44   LogThread.Spool
        2          39   Thread.Interrupt
        2          37   Log.Spool
        2          36   MsgBuffer.operator new
        2          36   Q1Way.Deq
        2          34   ObjectPool.DeqBlock
        2          33   Q1Way.Count
        2          32   LeakyBucketCounter.dtor
        2          32   Thread.ExitSwLog
        2          32   Thread.InitialMsecs
        2          31   Thread.EnqMsg
        2          29   Thread.EnterBlockingOperation
        2          26   Thread.Unlock
        2          20   Orphans.ExitNow
        2           0   MsgBuffer.ctor
        2           0   Pooled.ctor
        2           0   StreamRequest.ctor
        2           0   SysTime.ctor(now)
        2           0   ThreadAdmin.WarpFactor
        1        1174   ThreadStats.dtor
        1         105   Debug.SwErr(int)
        1          57   Singletons.UnbindInstance
        1          37   Singleton.Destroy
        1          34   Thread.TrapHandler
        1          22   SysThread.DeleteSentry
        1          21   SignalException.dtor
        1          20   SysThread.Start
        1          18   Pooled.operator delete
        1          17   Debug.GenerateSwLog
        1          17   Q1Way.Init
        1          17   SysThread.Delete
        1          17   SysThread.dtor
        1          17   Thread.ReleaseResources
        1          17   Thread.dtor
        1          16   Exception.ctor
        1          16   Thread.EnterSwLog
        1          16   Thread.MakePreemptable
        1          16   Thread.MakeUnpreemptable
        1          16   ThreadPriv.dtor
        1          15   ObjectPool.EnqBlock
        1          15   Orphans.Register
        1          15   RecoveryTestThread.dtor
        1          15   Thread.ExtendTime
        1          14   Accumulator.dtor
        1          14   ThreadRegistry.UnbindThread
        1           7   Thread.RegisterForSignals
        1           5   Thread.Start
        1           4   Thread.EnterThread
        1           3   SignalException.ctor
        1           0   Exception.dtor

Total functions: 77
