SCHEDULER REPORT: 19-Sep-2017 12:20:29.939 on Reigi
for interval beginning at 12:20:08.208
------------------------------------------------------------------------
      THREADS      |    SINCE START OF CURRENT 15-MIN INTERVAL    | LAST
                   |            rtc  max   max     max  total     |5 SEC
id    name host f b| ex yields  t/o msgs stack   usecs  msecs %cpu| %cpu
------------------------------------------------------------------------
      idle                                              19281 88.7  85.0
 1    root 4f08 w S   0    633    0    0   300  255048    363  1.7   0.4
 2    init 1a14 s S   0    634    0    0  1352  647674    737  3.4   0.4
 3    file 0ad0 B     0    490    0   57   392     163    389  1.8   3.9
 4    cout 1c78 B     0    417    0   50   340     152    428  2.0   4.0
 5     cin 5708 B C   0      3    0    0   212      59      0  0.0   0.0
 6  objaud 22ac A S   0    149    0    0   760    5477     85  0.4   0.5
 7   stats 0b78 B S   0      4    0    0   316     244      0  0.0   0.0
 8     log 33d0 B S   0      5    0    1   364     156      0  0.0   0.0
 9     cli 4e14 O     0    199    1    0  1344   51381    352  1.6   4.1
10 invoker 5398 P S   0      1    0    0   240     210      0  0.0   0.0
11   timer 0efc P S   0     21    0    0   252     204      2  0.0   0.0
12   tcpio 51fc P N   0      1    0    0   308    1060      1  0.0   0.0
13   udpio 5954 P N   0      1    0    0   280     447      0  0.0   0.0
14   udpio 5bc8 P N   0      1    0    0   280     319      0  0.0   0.0
15   recov 2470 P S   3     15    0    0  4188   46861     92  0.4   1.7
------------------------------------------------------------------------

Context switches: 374
Timestamp  Id  Host              Ticks In            Ticks Out      uSecs
20:26.928   3  0ad0-         615299020722         615299023526       1107  
20:26.928   9  4e14          615299020915         615299021236^       126  
20:26.928   9  4e14          615299021326         615299021503^        69  
20:26.928   9  4e14          615299021563         615299022378^       321  
20:26.928   9  4e14          615299022413         615299022628^        84  
20:26.928   4  1c78          615299022664         615299022745^        32  
20:26.928   9  4e14          615299022818         615299023945^       445  
20:26.928   4  1c78-         615299022827         615299023706^       347  
20:26.929   3  0ad0          615299023978         615299024008         11  
20:26.929   4  1c78          615299024048         615299024098         19  
20:26.929   3  0ad0-         615299024060         615299030918^      2709  
20:26.929   9  4e14          615299024145         615299024641^       195  
20:26.929   4  1c78-         615299024153         615299025518^       539  
20:26.929   9  4e14          615299024719         615299025057^       133  
20:26.929   9  4e14          615299025122         615299025511^       153  
20:26.929  15  2470          615299025541         615299036822^      4456  
20:26.934   4  1c78          615299037049         615299037103         21  
20:26.934   4  1c78-         615299037199         615299042173       1965  
20:26.934   3  0ad0          615299037299         615299037387^        34  
20:26.934   9  4e14          615299037432         615299037814^       150  
20:26.934   3  0ad0-         615299037451         615299040553^      1225  
20:26.934  15  2470          615299037947         615299039501^       613  
20:26.935   9  4e14          615299039557         615299039632^        29  
20:26.935   8  33d0          615299039672         615299039934^       103  
20:26.935  15  2470          615299040051         615299040252^        79  
20:26.935  15  2470          615299040394         615299040421^        10  
20:26.935   3  0ad0          615299040611         615299040659^        18  
20:26.935   3  0ad0-         615299040720         615299043955^      1278  
20:26.936   4  1c78          615299042230         615299042275^        17  
20:26.936   4  1c78-         615299042321         615299047865^      2190  
20:26.937   3  0ad0          615299044056         615299044130^        29  
20:26.937   3  0ad0-         615299044223         615299047045^      1114  
20:26.938   3  0ad0          615299047117         615299047178^        24  
20:26.938   3  0ad0-         615299047234         615299049827^      1024  
20:26.938   4  1c78          615299047978         615299048050^        28  
20:26.938   4  1c78-         615299048119         615299053897^      2282  
20:26.939   3  0ad0          615299049911         615299049985^        29  
20:26.939   3  0ad0-         615299050057         615299055851^      2288  
20:26.941   4  1c78          615299053985         615299054052^        26  
20:26.941   4  1c78-         615299054123         615299059615^      2169  
20:26.941   3  0ad0          615299055941         615299056032^        35  
20:26.942   3  0ad0-         615299056113         615299062332^      2456  
20:26.943   4  1c78          615299059703         615299059773^        27  
20:26.943   4  1c78-         615299059842         615299062863^      1193  
20:26.944   3  0ad0          615299062421         615299062496^        29  
20:26.944   3  0ad0-         615299062567         615299068320^      2272  
20:26.944   4  1c78          615299062951         615299063019^        26  
20:26.944   4  1c78-         615299063085         615299065553^       975  
20:26.945   4  1c78          615299065640         615299065710^        27  
20:26.945   4  1c78-         615299065782         615299075478^      3830  
20:26.946   3  0ad0          615299068524         615299068635^        43  
20:26.947   3  0ad0-         615299068714         615299074644^      2342  
20:26.949   3  0ad0          615299074712         615299074769^        22  
20:26.949   3  0ad0-         615299074815         615299080682^      2317  
20:26.949   4  1c78          615299075580         615299075635^        21  
20:26.949   4  1c78-         615299075692         615299078181^       983  
20:26.950   4  1c78          615299078266         615299078329^        24  
20:26.950   4  1c78-         615299078489         615299081487^      1184  
20:26.951   3  0ad0          615299080748         615299080822^        29  
20:26.951   3  0ad0-         615299080880         615299086535^      2234  
20:26.952   4  1c78          615299081572         615299081626^        21  
20:26.952   4  1c78-         615299081676         615299083855^       860  
20:26.953   4  1c78          615299083966         615299084059^        36  
20:26.953   4  1c78-         615299084177         615299086644^       974  
20:26.954   3  0ad0          615299086586         615299086618^        12  
20:26.954   3  0ad0-         615299086673         615299092258       2206  
20:26.954   4  1c78          615299086676         615299086750^        29  
20:26.954   4  1c78-         615299086837         615299089276^       963  
20:26.955   4  1c78          615299089337         615299089386^        19  
20:26.955   4  1c78-         615299089431         615299091590^       852  
20:26.956   4  1c78          615299091724         615299091780^        22  
20:26.956   4  1c78-         615299091832         615299093078^       492  
20:26.956   3  0ad0          615299092317         615299092366^        19  
20:26.956   3  0ad0-         615299092413         615299098324^      2335  
20:26.956   4  1c78          615299093180         615299093241^        24  
20:26.956   4  1c78-         615299093343         615299098670^      2104  
20:26.958   3  0ad0          615299098389         615299098450^        24  
20:26.958   3  0ad0-         615299098497         615299104712^      2455  
20:26.958   4  1c78          615299098729         615299098773^        17  
20:26.958   4  1c78-         615299098819         615299099373^       218  
20:26.959   4  1c78          615299099430         615299099525^        37  
20:26.959   4  1c78-         615299099587         615299105612^      2380  
20:26.961   3  0ad0          615299104787         615299104856^        27  
20:26.961   3  0ad0-         615299104906         615299109944^      1990  
20:26.961   4  1c78          615299105670         615299105717^        18  
20:26.961   4  1c78-         615299105762         615299106925^       459  
20:26.962   4  1c78          615299107023         615299107094^        28  
20:26.962   4  1c78-         615299107174         615299108815^       648  
20:26.962   4  1c78          615299108870         615299108913^        16  
20:26.962   4  1c78-         615299108965         615299110854^       746  
20:26.963   3  0ad0          615299110019         615299110082^        24  
20:26.963   3  0ad0-         615299110146         615299112407^       893  
20:26.963   4  1c78          615299110933         615299110988^        21  
20:26.963   4  1c78-         615299111069         615299113275^       871  
20:26.964   3  0ad0          615299112484         615299112600^        45  
