FUNCTION PROFILE: 19-Sep-2017 12:21:29.767 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      190     5319000   RecoveryTestThread.LoopForever
       17          62   Thread.RunningThread
       13          89   Thread.Pause
       10        2229   SysMutex.Release
       10          87   SysMutex.Acquire
        5          27   Thread.Unlock
        5          26   Thread.ResumeLocked
        4          95   Thread.LogContextSwitch
        4          76   Thread.ExitBlockingOperation
        4          22   Thread.EnterBlockingOperation
        4          20   Thread.InitialMsecs
        4           0   ThreadAdmin.WarpFactor
        2         119   RecoveryTestThread.Enter
        2          32   SysThread.Start
        2          16   MutexGuard.ctor
        2          14   Thread.Start
        2          13   Orphans.ExitNow
        2          11   MutexGuard.dtor
        2          10   Thread.SetSignal
        2           6   Debug.SwFlagOn
        1        2325   SysThreadStack.Display
        1         189   Log.Create
        1          28   LeakyBucketCounter.HasReachedLimit
        1          26   SysThread.Interrupt
        1          18   Base.ctor
        1          15   FunctionGuard.dtor
        1          14   Thread.RegisterForSignals
        1          12   FunctionGuard.ctor
        1           8   Thread.EnterThread
        1           6   LogThread.Spool
        1           6   Thread.TrapHandler
        1           5   Exception.dtor
        1           5   ObjectPool.DeqBlock
        1           5   Q1Way.Count
        1           5   Thread.EnqMsg
        1           5   Thread.ExitSwLog
        1           5   Thread.Interrupt
        1           5   Thread.MakePreemptable
        1           4   Exception.ctor
        1           4   Log.Spool
        1           4   MsgBuffer.operator new
        1           4   Q1Way.Deq
        1           4   RecoveryTestThread.Recover
        1           4   SignalException.dtor
        1           4   Thread.ExtendTime
        1           4   Thread.MakeUnpreemptable
        1           3   Q1Way.Enq
        1           0   MsgBuffer.ctor
        1           0   Object.ctor
        1           0   Pooled.ctor
        1           0   SignalException.ctor
        1           0   StreamRequest.ctor

Total functions: 52
