START OF TRACE: 19-Sep-2017 12:21:29.767 on Reigi

mm:ss.ttt  Thr  Event  TotalTime   NetTime  Function
---------  ---  -----  ---------   -------  --------
21:30.802   15                 9         9    SysMutex.Acquire
21:30.802   15                48         8    Orphans.ExitNow
21:30.802   15                17        10    : MutexGuard.ctor
21:30.802   15                 7         7    :   SysMutex.Acquire
21:30.802   15                16         7    : MutexGuard.dtor
21:30.802   15                 9         9    :   SysMutex.Release
21:30.802   15                 7         7    : Thread.InitialMsecs
21:30.802   15                 0         0    : ThreadAdmin.WarpFactor
21:30.802   15  +lock    5319158         8  Thread.EnterThread
21:30.802   15                 7         7    Thread.ResumeLocked
21:30.802   15                14        14    Thread.RegisterForSignals
21:30.802   15           5319129         7    Thread.Start
21:30.802   15                11        11    : SysThread.Start
21:30.802   15           5319111       111    : RecoveryTestThread.Enter
21:30.802   15             43412     43412    :   RecoveryTestThread.LoopForever
21:30.846   15             29493     29493    :   RecoveryTestThread.LoopForever
21:30.875   15             32683     32683    :   RecoveryTestThread.LoopForever
21:30.908   15             34304     34304    :   RecoveryTestThread.LoopForever
21:30.942   15             30268     30268    :   RecoveryTestThread.LoopForever
21:30.972   15             32055     32055    :   RecoveryTestThread.LoopForever
21:31.004   15             27772     27772    :   RecoveryTestThread.LoopForever
21:31.032   15             26910     26910    :   RecoveryTestThread.LoopForever
21:31.059   15             27373     27373    :   RecoveryTestThread.LoopForever
21:31.087   15             26927     26927    :   RecoveryTestThread.LoopForever
21:31.113   15             26750     26750    :   RecoveryTestThread.LoopForever
21:31.140   15             29450     29450    :   RecoveryTestThread.LoopForever
21:31.170   15             29747     29747    :   RecoveryTestThread.LoopForever
21:31.199   15             27026     27026    :   RecoveryTestThread.LoopForever
21:31.226   15             27219     27219    :   RecoveryTestThread.LoopForever
21:31.254   15             26798     26798    :   RecoveryTestThread.LoopForever
21:31.280   15             26886     26886    :   RecoveryTestThread.LoopForever
21:31.307   15             26866     26866    :   RecoveryTestThread.LoopForever
21:31.334   15             27251     27251    :   RecoveryTestThread.LoopForever
21:31.361   15             31808     31808    :   RecoveryTestThread.LoopForever
21:31.393   15             28529     28529    :   RecoveryTestThread.LoopForever
21:31.422   15             27231     27231    :   RecoveryTestThread.LoopForever
21:31.449   15             26951     26951    :   RecoveryTestThread.LoopForever
21:31.476   15             27326     27326    :   RecoveryTestThread.LoopForever
21:31.503   15             30644     30644    :   RecoveryTestThread.LoopForever
