FUNCTION PROFILE: 19-Sep-2017 12:20:17.532 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       18         293   SysHeap.Free
       17         182   Memory.Free
       10         111   Object.operator delete
        9           7   C++.delete
        6         254   Registry.Erase
        6          87   Statistic.dtor
        5          55   StatisticsRegistry.UnbindStat
        4          41   Counter.dtor
        3          23   SysMutex.Release
        3          18   Thread.RunningThread
        2         254   Base.ctor
        2          20   HighWatermark.dtor
        2          18   LeakyBucketCounter.dtor
        2          10   SysMutex.Acquire
        2           8   Q1Way.Enq
        2           0   Object.ctor
        1         722   ThreadStats.dtor
        1         202   Log.Create
        1          26   RecoveryTestThread.Destroy
        1          19   FunctionGuard.ctor
        1          19   Singletons.UnbindInstance
        1          17   FunctionGuard.dtor
        1          16   SysThread.dtor
        1          15   Thread.LogContextSwitch
        1          14   Orphans.Register
        1          14   SysThread.Delete
        1          13   ThreadPriv.dtor
        1          12   Accumulator.dtor
        1          10   LogThread.Spool
        1          10   SysThread.Interrupt
        1           9   Pooled.operator delete
        1           9   Thread.RegisterForSignals
        1           8   Thread.Exit
        1           7   Log.Spool
        1           7   MsgBuffer.operator new
        1           7   ObjectPool.DeqBlock
        1           7   ObjectPool.EnqBlock
        1           7   Q1Way.Deq
        1           7   SysThread.Start
        1           6   MutexGuard.dtor
        1           6   Thread.EnqMsg
        1           6   Thread.EnterThread
        1           6   Thread.MakePreemptable
        1           6   Thread.MakeUnpreemptable
        1           6   Thread.Start
        1           5   Q1Way.Count
        1           5   RecoveryTestThread.Enter
        1           5   Singleton.Destroy
        1           5   Thread.InitialMsecs
        1           5   Thread.Interrupt
        1           5   Thread.LogSignal
        1           5   Thread.ResumeLocked
        1           5   Thread.SetSignal
        1           5   Thread.Unlock
        1           3   RecoveryTestThread.dtor
        1           3   Thread.dtor
        1           0   MsgBuffer.ctor
        1           0   Pooled.ctor
        1           0   StreamRequest.ctor
        1           0   SysTime.ctor(now)
        1           0   ThreadAdmin.WarpFactor

Total functions: 61
