FUNCTION PROFILE: 19-Sep-2017 12:20:30.017 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       18         127   Thread.RunningThread
       15          98   Thread.Pause
       11     2999318   SysMutex.Release
        8          99   SysMutex.Acquire
        5         163   Thread.LogContextSwitch
        5          60   Thread.Unlock
        5          50   Thread.ExitBlockingOperation
        5          17   Thread.ResumeLocked
        4          37   Thread.EnterBlockingOperation
        3        3969   RecoveryTestThread.Enter
        3          30   Thread.InitialMsecs
        3           0   ThreadAdmin.WarpFactor
        2         173   Base.ctor
        2          14   Thread.SetSignal
        2          13   Thread.ExitSwLog
        2          12   Debug.SwFlagOn
        2           0   Object.ctor
        1        3212   SysThreadStack.Display
        1         162   Log.Create
        1          25   MutexGuard.ctor
        1          17   LeakyBucketCounter.HasReachedLimit
        1          16   Thread.TrapHandler
        1          13   FunctionGuard.ctor
        1          11   FunctionGuard.dtor
        1          10   LogThread.Spool
        1          10   Thread.RegisterForSignals
        1           8   SysThread.Interrupt
        1           8   Thread.HandleSignal
        1           7   Exception.ctor
        1           7   Log.Spool
        1           7   MutexGuard.dtor
        1           7   Orphans.ExitNow
        1           7   Thread.EnqMsg
        1           7   Thread.ExtendTime
        1           6   Q1Way.Deq
        1           6   RecoveryTestThread.Recover
        1           6   Thread.SignalHandler
        1           5   MsgBuffer.operator new
        1           5   ObjectPool.DeqBlock
        1           5   Q1Way.Count
        1           5   Thread.Interrupt
        1           4   Q1Way.Enq
        1           4   Thread.MakeUnpreemptable
        1           0   MsgBuffer.ctor
        1           0   Pooled.ctor
        1           0   SignalException.ctor
        1           0   StreamRequest.ctor
        1           0   SysTime.ctor(now)

Total functions: 48
