FUNCTION PROFILE: 19-Sep-2017 12:20:36.225 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       19         104   Thread.RunningThread
       15         104   Thread.Pause
        9     3041630   SysMutex.Release
        6          42   SysMutex.Acquire
        5          89   Thread.LogContextSwitch
        5          55   Thread.ExitBlockingOperation
        5          50   Thread.Unlock
        4          24   Thread.EnterBlockingOperation
        4          10   Thread.ResumeLocked
        2        3555   RecoveryTestThread.Enter
        2         184   Base.ctor
        2          15   Thread.SetSignal
        2          11   Thread.ExitSwLog
        2           7   Debug.SwFlagOn
        2           0   Object.ctor
        2           0   ThreadAdmin.WarpFactor
        1        3327   SysThreadStack.Display
        1         167   Log.Create
        1          28   Thread.TrapHandler
        1          27   FunctionGuard.dtor
        1          25   FunctionGuard.ctor
        1          21   Exception.ctor
        1          18   LeakyBucketCounter.HasReachedLimit
        1          13   LogThread.Spool
        1          13   SysThread.Interrupt
        1          12   Exception.dtor
        1          11   SysThread.Start
        1          11   Thread.InitialMsecs
        1          11   Thread.RegisterForSignals
        1           9   MutexGuard.ctor
        1           8   Thread.EnqMsg
        1           8   Thread.MakeUnpreemptable
        1           7   ObjectPool.DeqBlock
        1           7   Orphans.ExitNow
        1           7   Q1Way.Count
        1           7   Q1Way.Deq
        1           7   Thread.HandleSignal
        1           7   Thread.Interrupt
        1           7   Thread.MakePreemptable
        1           7   Thread.SignalHandler
        1           6   Log.Spool
        1           6   MsgBuffer.operator new
        1           6   MutexGuard.dtor
        1           6   SignalException.dtor
        1           5   Q1Way.Enq
        1           5   Thread.Start
        1           4   RecoveryTestThread.Recover
        1           4   Thread.ExtendTime
        1           0   MsgBuffer.ctor
        1           0   Pooled.ctor
        1           0   SignalException.ctor
        1           0   StreamRequest.ctor
        1           0   SysTime.ctor(now)

Total functions: 53
