SCHEDULER REPORT: 19-Sep-2017 12:20:39.284 on Reigi
for interval beginning at 12:20:08.208
------------------------------------------------------------------------
      THREADS      |    SINCE START OF CURRENT 15-MIN INTERVAL    | LAST
                   |            rtc  max   max     max  total     |5 SEC
id    name host f b| ex yields  t/o msgs stack   usecs  msecs %cpu| %cpu
------------------------------------------------------------------------
      idle                                              27577 88.7  86.8
 1    root 4f08 w S   0    914    0    0   300  255048    424  1.4   0.9
 2    init 1a14 s S   0    915    0    0  1352  647674    802  2.6   0.9
 3    file 0ad0 B     0    828    0   57   392     163    675  2.2   3.5
 4    cout 1c78 B     0    686    0   50   340     152    780  2.5   5.1
 5     cin 5708 B C   0      3    0    0   212      59      0  0.0   0.0
 6  objaud 22ac A S   0    186    0    0   760    5477     97  0.3   0.2
 7   stats 0b78 B S   0      6    0    0   316     244      0  0.0   0.0
 8     log 33d0 B S   0      9    0    1   364     156      1  0.0   0.0
 9     cli 4e14 O     0    334    2    0  1344   53054    616  2.0   2.4
10 invoker 5398 P S   0      1    0    0   240     210      0  0.0   0.0
11   timer 0efc P S   0     30    0    0   252     204      2  0.0   0.0
12   tcpio 51fc P N   0      1    0    0   308    1060      1  0.0   0.0
13   udpio 5954 P N   0      1    0    0   280     447      0  0.0   0.0
14   udpio 5bc8 P N   0      1    0    0   280     319      0  0.0   0.0
15   recov 4a74 P S   6     29    0    0  4188   46861    103  0.3   0.1
------------------------------------------------------------------------

Context switches: 323
Timestamp  Id  Host              Ticks In            Ticks Out      uSecs
20:36.224   3  0ad0-         615322551824         615322554583       1089  
20:36.224   9  4e14          615322552218         615322552924^       278  
20:36.224   9  4e14          615322553022         615322553215^        76  
20:36.224   9  4e14          615322553263         615322553949^       271  
20:36.225   9  4e14          615322554145         615322554436^       114  
20:36.225   9  4e14          615322554470         615322555936^       579  
20:36.225   3  0ad0          615322556032         615322556202         67  
20:36.226   3  0ad0-         615322556414         615322559759       1321  
20:36.226   9  4e14          615322556418         615322557032^       242  
20:36.226   9  4e14          615322557091         615322557297^        81  
20:36.226   9  4e14          615322557366         615322557775^       161  
20:36.226  15  4a74          615322557810         615322566825^      3561  
20:36.230   9  4e14          615322567045         615322567391        136  
20:36.230   3  0ad0          615322567484         615322567580         37  
20:36.230   3  0ad0-         615322567734         615322569949        875  
20:36.230   4  1c78          615322567753         615322567799^        18  
20:36.230  15  4a74          615322567837         615322568999^       459  
20:36.230   4  1c78-         615322567873         615322571459^      1416  
20:36.231   9  4e14          615322569072         615322569149^        30  
20:36.231   8  33d0          615322569197         615322569468^       107  
20:36.231  15  4a74          615322569509         615322569695^        73  
20:36.231  15  4a74          615322569887         615322570020^        52  
20:36.231   3  0ad0          615322570107         615322570168^        24  
20:36.231   3  0ad0-         615322570236         615322572763^       998  
20:36.232   4  1c78          615322571544         615322571613^        27  
20:36.232   4  1c78-         615322571681         615322581230^      3772  
20:36.232   3  0ad0          615322572855         615322573021^        65  
20:36.232   3  0ad0-         615322573090         615322577144^      1601  
20:36.234   3  0ad0          615322577213         615322577327^        45  
20:36.234   3  0ad0-         615322577459         615322580182^      1075  
20:36.235   3  0ad0          615322580277         615322580348^        28  
20:36.235   3  0ad0-         615322580415         615322587012^      2606  
20:36.235   4  1c78          615322581313         615322581376^        24  
20:36.236   4  1c78-         615322581526         615322584467^      1161  
20:36.237   4  1c78          615322584528         615322584578^        19  
20:36.237   4  1c78-         615322584624         615322588045^      1351  
20:36.238   3  0ad0          615322587072         615322587126^        21  
20:36.238   3  0ad0-         615322587173         615322592638^      2159  
20:36.238   4  1c78          615322588104         615322588151^        18  
20:36.238   4  1c78-         615322588212         615322590462^       888  
20:36.239   4  1c78          615322590525         615322590578^        20  
20:36.239   4  1c78-         615322590642         615322599610^      3542  
20:36.240   3  0ad0          615322592814         615322592991^        69  
20:36.240   3  0ad0-         615322593072         615322599644^      2596  
20:36.240   2  1a14-         615322593558         615322593708^        59  
20:36.240   1  4f08-         615322593673         615322593808^        53  
20:36.243   4  1c78          615322599649         615322599680         12  
20:36.243   4  1c78-         615322599700         615322601976        899  
20:36.243   3  0ad0          615322599718         615322599775^        22  
20:36.243   3  0ad0-         615322599830         615322605488^      2235  
20:36.244   4  1c78          615322602075         615322602141^        26  
20:36.244   4  1c78-         615322602210         615322610879^      3424  
20:36.245   3  0ad0          615322605583         615322605660^        30  
20:36.245   3  0ad0-         615322605785         615322612417^      2620  
20:36.247   4  1c78          615322610968         615322611026^        22  
20:36.247   4  1c78-         615322611072         615322612739^       658  
20:36.248   3  0ad0          615322612498         615322612568^        27  
20:36.248   3  0ad0-         615322612633         615322618253^      2220  
20:36.248   4  1c78          615322612817         615322612876^        23  
20:36.248   4  1c78-         615322612946         615322614597^       652  
20:36.249   4  1c78          615322614699         615322614766^        26  
20:36.249   4  1c78-         615322614843         615322617193^       928  
20:36.250   4  1c78          615322617273         615322617340^        26  
20:36.250   4  1c78-         615322617411         615322619197^       705  
20:36.250   3  0ad0          615322618337         615322618413^        30  
20:36.250   3  0ad0-         615322618477         615322624368^      2327  
20:36.250   4  1c78          615322619391         615322619498^        42  
20:36.251   4  1c78-         615322619545         615322620576^       407  
20:36.251   4  1c78          615322620634         615322620691^        22  
20:36.251   4  1c78-         615322620749         615322623703^      1167  
20:36.252   4  1c78          615322623763         615322623822^        23  
20:36.252   4  1c78-         615322623881         615322624505^       246  
20:36.252   3  0ad0          615322624439         615322624468^        11  
20:36.253   3  0ad0-         615322624514         615322635267       4248  
20:36.253   4  1c78          615322624544         615322624570^        10  
20:36.253   4  1c78-         615322624616         615322627400^      1099  
20:36.254   4  1c78          615322627471         615322627522^        20  
20:36.254   4  1c78-         615322627568         615322629337^       698  
20:36.254   4  1c78          615322629395         615322629441^        18  
20:36.254   4  1c78-         615322629487         615322631780^       905  
20:36.255   4  1c78          615322631849         615322631905^        22  
20:36.255   4  1c78-         615322631952         615322639682^      3053  
20:36.257   3  0ad0          615322635331         615322635395^        25  
20:36.257   3  0ad0-         615322635444         615322641138^      2249  
20:36.259   4  1c78          615322639773         615322639844^        28  
20:36.259   4  1c78-         615322639919         615322641260^       529  
20:36.259   3  0ad0          615322641167         615322641212^        17  
20:36.259   3  0ad0-         615322641232         615322648091^      2709  
20:36.259   4  1c78          615322641288         615322641333^        17  
20:36.259   4  1c78-         615322641379         615322644525^      1242  
20:36.260   4  1c78          615322644589         615322644647^        22  
20:36.262   3  0ad0          615322648113         615322648147         13  
20:36.262   3  0ad0-         615322648166         615322650415        888  
20:36.262   4  1c78          615322648224         615322648289^        25  
20:36.262   4  1c78-         615322648398         615322649102^       278  
20:36.262   4  1c78          615322649175         615322649233^        22  
20:36.262   4  1c78-         615322649296         615322735889^     34209  
20:36.263   3  0ad0          615322650498         615322650564^        26  
20:36.263   3  0ad0-         615322650631         615322652670^       805  
20:36.264   3  0ad0          615322652740         615322652797^        22  
20:36.264   3  0ad0-         615322652852         615322654591^       687  
20:36.264   3  0ad0          615322654655         615322654712^        22  
20:36.264   3  0ad0-         615322654761         615322656468^       674  
20:36.265   3  0ad0          615322656530         615322656582^        20  
20:36.265   3  0ad0-         615322656629         615322659006^       939  
20:36.266   3  0ad0          615322659085         615322659150^        25  
20:36.266   3  0ad0-         615322659213         615322661175^       775  
20:36.267   3  0ad0          615322661269         615322661341^        28  
20:36.267   3  0ad0-         615322661409         615322663444^       803  
20:36.268   3  0ad0          615322663514         615322663598^        33  
20:36.268   3  0ad0-         615322663661         615322665949^       903  
20:36.269   3  0ad0          615322666041         615322666114^        28  
20:36.269   3  0ad0-         615322666162         615322668623^       972  
20:36.270   3  0ad0          615322668713         615322668789^        30  
20:36.270   3  0ad0-         615322668858         615322671340^       980  
20:36.271   3  0ad0          615322671426         615322671496^        27  
20:36.271   3  0ad0-         615322671562         615322674083^       995  
20:36.272   2  1a14-         615322672652         615322672769^        46  
20:36.272   1  4f08-         615322672735         615322672894^        62  
20:36.272   3  0ad0          615322674177         615322674256^        31  
20:36.272   3  0ad0-         615322674330         615322677622^      1300  
20:36.274   3  0ad0          615322677742         615322677814^        28  
20:36.274   3  0ad0-         615322677928         615322680212^       902  
20:36.275   3  0ad0          615322680295         615322680350^        21  
20:36.275   3  0ad0-         615322680397         615322682527^       841  
20:36.275   3  0ad0          615322682588         615322682642^        21  
20:36.276   3  0ad0-         615322682689         615322685209^       995  
20:36.277   3  0ad0          615322685272         615322685332^        23  
20:36.277   3  0ad0-         615322685379         615322693131^      3062  
20:36.280   3  0ad0          615322693193         615322693216^         9  
20:36.297   4  1c78          615322735950         615322735972          8  
20:36.303   2  1a14-         615322751951         615322752138         73  
20:36.303   1  4f08-         615322752048         615322752107^        23  
20:36.334  11  0efc          615322830963         615322831048         33  
20:36.334   2  1a14-         615322830983         615322831133^        59  
20:36.334   1  4f08-         615322831144         615322831280         53  
20:36.459   2  1a14-         615323148044         615323148384        134  
20:36.460   1  4f08-         615323148482         615323148892        161  
20:36.491   2  1a14-         615323227254         615323227857        238  
20:36.491   1  4f08-         615323227618         615323228041^       167  
20:36.522   2  1a14-         615323306070         615323306489        165  
20:36.522   1  4f08-         615323306515         615323306861        136  
20:36.553   2  1a14-         615323385082         615323385214         52  
20:36.553   1  4f08-         615323385281         615323385475         76  
20:36.584   2  1a14-         615323464513         615323464931        165  
20:36.585   1  4f08-         615323464842         615323465390^       216  
20:36.616   2  1a14-         615323543801         615323544167        144  
20:36.616   1  4f08-         615323544108         615323544548^       173  
20:36.647   2  1a14-         615323622629         615323622771         56  
20:36.647   1  4f08-         615323622820         615323622979         62  
20:36.678   2  1a14-         615323701828         615323702155        129  
20:36.678   1  4f08-         615323702315         615323702723        161  
20:36.709   2  1a14-         615323781032         615323781515        190  
20:36.710   1  4f08-         615323781460         615323781909^       177  
20:36.740   2  1a14-         615323859688         615323860062        147  
20:36.741   1  4f08-         615323860082         615323860492        161  
20:36.772   2  1a14-         615323938819         615323938984         65  
20:36.772   1  4f08-         615323939029         615323939193         64  
20:36.803   2  1a14-         615324018724         615324019144        165  
20:36.803   1  4f08-         615324019091         615324019259^        66  
20:36.835   2  1a14-         615324097813         615324098241        169  
20:36.835   1  4f08-         615324098224         615324098644^       165  
20:36.866   2  1a14-         615324176939         615324177355        164  
20:36.866   1  4f08-         615324177295         615324177495^        79  
20:36.897   2  1a14-         615324256020         615324256560        213  
20:36.897   1  4f08-         615324256494         615324256832^       133  
20:36.928   2  1a14-         615324335241         615324335735        195  
20:36.929   1  4f08-         615324335578         615324335998^       165  
20:36.960   2  1a14-         615324414345         615324414830        191  
20:36.960   1  4f08-         615324414730         615324414924^        76  
20:36.991   2  1a14-         615324493259         615324493582        127  
20:36.991   1  4f08-         615324493671         615324494081        161  
20:37.022   2  1a14-         615324572514         615324572872        141  
20:37.022   1  4f08-         615324573004         615324573438        171  
20:37.053   2  1a14-         615324651369         615324651948        228  
20:37.053   1  4f08-         615324651858         615324652117^       102  
20:37.085   2  1a14-         615324730936         615324731680        293  
20:37.085   1  4f08-         615324731231         615324731467^        93  
20:37.116   2  1a14-         615324809935         615324810500        223  
20:37.116   1  4f08-         615324810328         615324810686^       141  
20:37.147   2  1a14-         615324889013         615324889432        165  
20:37.147   1  4f08-         615324889575         615324890130        219  
20:37.178   2  1a14-         615324967849         615324968049         79  
20:37.178   1  4f08-         615324968041         615324968186^        57  
20:37.210   2  1a14-         615325046938         615325047152         84  
20:37.210   1  4f08-         615325047139         615325047285^        57  
20:37.241   2  1a14-         615325126167         615325126601        171  
20:37.241   1  4f08-         615325126580         615325127034^       179  
20:37.272   2  1a14-         615325205538         615325205863        128  
20:37.272   1  4f08-         615325206016         615325206426        161  
20:37.303   2  1a14-         615325284416         615325284662         97  
20:37.303   1  4f08-         615325284652         615325284948^       116  
20:37.334   2  1a14-         615325363134         615325363246         44  
20:37.334  11  0efc          615325363163         615325363191^        11  
20:37.334   1  4f08-         615325363230         615325363372^        56  
20:37.475   2  1a14-         615325719446         615325719676         90  
20:37.475   1  4f08-         615325719620         615325719804^        72  
20:37.507   2  1a14-         615325798666         615325798962        116  
20:37.507   1  4f08-         615325799013         615325799422        161  
20:37.538   2  1a14-         615325877711         615325878136        167  
20:37.538   1  4f08-         615325878158         615325878462        120  
20:37.569   2  1a14-         615325956860         615325957320        181  
20:37.569   1  4f08-         615325957232         615325957406^        68  
20:37.600   2  1a14-         615326035834         615326036211        148  
20:37.600   1  4f08-         615326036105         615326036626^       205  
20:37.632   2  1a14-         615326115198         615326115523        128  
20:37.632   1  4f08-         615326115680         615326116091        162  
20:37.663   2  1a14-         615326194462         615326194896        171  
20:37.663   1  4f08-         615326194813         615326195490^       267  
20:37.694   2  1a14-         615326273285         615326273613        129  
20:37.694   1  4f08-         615326273704         615326274117        163  
20:37.725   2  1a14-         615326352312         615326352778        184  
20:37.725   1  4f08-         615326352696         615326353004^       121  
20:37.757   2  1a14-         615326431457         615326431749        115  
20:37.757   1  4f08-         615326431852         615326432259        160  
20:37.788   2  1a14-         615326510334         615326510813        189  
20:37.788   1  4f08-         615326510790         615326511221^       170  
20:37.819   2  1a14-         615326590017         615326590226         82  
20:37.850   2  1a14-         615326669199         615326669505        120  
20:37.851   1  4f08-         615326669496         615326669575^        31  
20:37.882   2  1a14-         615326748212         615326748461         98  
20:37.882   1  4f08-         615326748411         615326748554^        56  
