FUNCTION PROFILE: 19-Sep-2017 12:21:39.232 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      493       35740   RecoveryTestThread.RecurseForever
       20         282   Thread.RunningThread
       15         115   Thread.Pause
       11         793   SysMutex.Release
        7          53   SysMutex.Acquire
        5         160   Thread.LogContextSwitch
        5          76   Thread.ExitBlockingOperation
        5          41   Thread.EnterBlockingOperation
        5          39   Thread.Unlock
        4          20   Thread.ResumeLocked
        3          59   RecoveryTestThread.Enter
        2         194   Base.ctor
        2          16   Thread.SetSignal
        2           9   Debug.SwFlagOn
        2           0   Object.ctor
        2           0   ThreadAdmin.WarpFactor
        1       10392   SysThreadStack.Display
        1         184   Log.Create
        1          85   Thread.ExtendTime
        1          84   Exception.ctor
        1          84   Thread.ExitSwLog
        1          57   SysThread.Start
        1          35   LeakyBucketCounter.HasReachedLimit
        1          22   FunctionGuard.dtor
        1          18   FunctionGuard.ctor
        1          12   SysThread.Interrupt
        1          10   LogThread.Spool
        1           9   Exception.dtor
        1           9   MutexGuard.ctor
        1           9   Thread.TrapHandler
        1           7   MsgBuffer.operator new
        1           7   Orphans.ExitNow
        1           7   Thread.InitialMsecs
        1           7   Thread.Interrupt
        1           7   Thread.MakePreemptable
        1           6   MutexGuard.dtor
        1           6   ObjectPool.DeqBlock
        1           6   Q1Way.Count
        1           6   Q1Way.Deq
        1           6   RecoveryTestThread.Recover
        1           6   Thread.EnqMsg
        1           6   Thread.MakeUnpreemptable
        1           5   Log.Spool
        1           5   Q1Way.Enq
        1           5   SignalException.dtor
        1           5   Thread.Start
        1           0   MsgBuffer.ctor
        1           0   Pooled.ctor
        1           0   SignalException.ctor
        1           0   StreamRequest.ctor
        1           0   SysTime.ctor(now)

Total functions: 51
