SCHEDULER REPORT: 19-Sep-2017 12:21:43.266 on Reigi
for interval beginning at 12:20:08.208
------------------------------------------------------------------------
      THREADS      |    SINCE START OF CURRENT 15-MIN INTERVAL    | LAST
                   |            rtc  max   max     max  total     |5 SEC
id    name host f b| ex yields  t/o msgs stack   usecs  msecs %cpu| %cpu
------------------------------------------------------------------------
      idle                                              62818 66.1  89.8
 1    root 4f08 w S   0   1380    0    0   300  255048    475  0.5   0.3
 2    init 1a14 s S   0   1381    0    0  1352  647674    861  0.9   0.3
 3    file 0ad0 B     0   1740    0   57   392     163  12358 13.0   3.1
 4    cout 1c78 B     0   1407    0   50   432     152  11643 12.2   3.1
 5     cin 5708 B C   0      3    0    0   212      59      0  0.0   0.0
 6  objaud 22ac A S   0    408    0    0   760    5477    200  0.2   0.4
 7   stats 0b78 B S   0     19    0    0   316     244      1  0.0   0.0
 8     log 33d0 B S   0     20    0    2   364     156      2  0.0   0.0
 9     cli 4e14 O     0    692    4    0  1344   62544   1340  1.4   3.0
10 invoker 5398 P S   0      1    0    0   240     210      0  0.0   0.0
11   timer 0efc P S   0     57    0    0   252     204      3  0.0   0.0
12   tcpio 51fc P N   0      1    0    0   308    1060      1  0.0   0.0
13   udpio 5954 P N   0      1    0    0   280     447      0  0.0   0.0
14   udpio 5bc8 P N   0      1    0    0   280     319      0  0.0   0.0
15   recov 00dc P S   2     10    7    0  5996 5318306   5356  5.6   0.0
------------------------------------------------------------------------

Context switches: 249
Timestamp  Id  Host              Ticks In            Ticks Out      uSecs
21:39.228   3  0ad0-         615482031493         615482037108       2218  
21:39.230   4  1c78-         615482036472         615482039454^      1178  
21:39.230   9  4e14          615482036873         615482037264^       154  
21:39.230   3  0ad0          615482037298         615482037349^        20  
21:39.230   3  0ad0-         615482037387         615482042860^      2162  
21:39.230   9  4e14          615482037389         615482037661^       107  
21:39.231   9  4e14          615482037731         615482038507^       306  
21:39.231   9  4e14          615482038564         615482038774^        82  
21:39.231   9  4e14          615482038829         615482040225^       551  
21:39.232   4  1c78          615482040271         615482040319^        18  
21:39.232   9  4e14          615482040356         615482040751^       156  
21:39.232   4  1c78-         615482040399         615482044283^      1534  
21:39.232   9  4e14          615482040805         615482041095^       114  
21:39.232   9  4e14          615482041142         615482041432^       114  
21:39.232   9  4e14          615482041480         615482041695^        84  
21:39.232   9  4e14          615482041745         615482042535^       312  
21:39.233   9  4e14          615482042610         615482042817^        81  
21:39.233   9  4e14          615482042872         615482043465^       234  
21:39.233   3  0ad0          615482043500         615482043547^        18  
21:39.233   9  4e14          615482043582         615482043951^       145  
21:39.233   3  0ad0-         615482043607         615482049016^      2136  
21:39.233   9  4e14          615482044027         615482044110^        32  
21:39.233   4  1c78          615482044360         615482044423^        24  
21:39.233   4  1c78-         615482044515         615482050070^      2194  
21:39.235   3  0ad0          615482049079         615482049136^        22  
21:39.235   3  0ad0-         615482049184         615482054125^      1952  
21:39.236   4  1c78          615482050154         615482050218^        25  
21:39.236   4  1c78-         615482050286         615482054400^      1625  
21:39.237   3  0ad0          615482054192         615482054237^        17  
21:39.237   3  0ad0-         615482054252         615482060023^      2279  
21:39.237   4  1c78          615482054474         615482054520^        18  
21:39.237   4  1c78-         615482054567         615482059859^      2090  
21:39.239   4  1c78          615482059951         615482059993^        16  
21:39.239   4  1c78-         615482060029         615482065241       2059  
21:39.239   3  0ad0          615482060094         615482060150^        22  
21:39.240   3  0ad0-         615482060205         615482067374^      2832  
21:39.242   4  1c78          615482065314         615482065373^        23  
21:39.242   4  1c78-         615482065432         615482072864^      2936  
21:39.242   3  0ad0          615482067456         615482067520^        25  
21:39.242   3  0ad0-         615482067584         615482073157^      2201  
21:39.245   4  1c78          615482072962         615482073041^        31  
21:39.245   4  1c78-         615482073131         615482075033^       751  
21:39.245   3  0ad0          615482073247         615482073323^        30  
21:39.245   3  0ad0-         615482073398         615482079189^      2287  
21:39.245   4  1c78          615482075128         615482075198^        27  
21:39.245   4  1c78-         615482075278         615482079123^      1519  
21:39.247   4  1c78          615482079152         615482079202^        19  
21:39.247   4  1c78-         615482079219         615482081172        771  
21:39.247   3  0ad0          615482079249         615482079318^        27  
21:39.247   3  0ad0-         615482079395         615482090483^      4380  
21:39.248   4  1c78          615482081227         615482081272^        17  
21:39.248   4  1c78-         615482081316         615482083061^       689  
21:39.249   4  1c78          615482083137         615482083192^        21  
21:39.249   4  1c78-         615482083239         615482085811^      1016  
21:39.250   4  1c78          615482085873         615482085933^        23  
21:39.250   4  1c78-         615482085979         615482087948^       777  
21:39.251   4  1c78          615482088021         615482088139^        46  
21:39.251   4  1c78-         615482088272         615482089704^       565  
21:39.251   4  1c78          615482089769         615482089816^        18  
21:39.251   4  1c78-         615482089863         615482096062^      2448  
21:39.252   3  0ad0          615482090568         615482090647^        31  
21:39.252   3  0ad0-         615482090721         615482097264^      2584  
21:39.252   2  1a14-         615482090817         615482090932^        45  
21:39.252   1  4f08-         615482090882         615482090984^        40  
21:39.254   4  1c78          615482096123         615482096210^        34  
21:39.254   4  1c78-         615482096255         615482096991^       290  
21:39.254   4  1c78          615482097065         615482097127^        24  
21:39.254   4  1c78-         615482097148         615482104795^      3021  
21:39.254   3  0ad0          615482097331         615482097385^        21  
21:39.254   3  0ad0-         615482097439         615482105199^      3065  
21:39.257   4  1c78          615482104891         615482104972^        32  
21:39.257   4  1c78-         615482105039         615482106150^       438  
21:39.257   3  0ad0          615482105260         615482105310^        19  
21:39.257   3  0ad0-         615482105358         615482111948^      2603  
21:39.258   4  1c78          615482106236         615482106339^        40  
21:39.258   4  1c78-         615482106445         615482108378^       763  
21:39.259   4  1c78          615482108436         615482108522^        33  
21:39.259   4  1c78-         615482108621         615482116931^      3282  
21:39.260   3  0ad0          615482112009         615482112060^        20  
21:39.260   3  0ad0-         615482112108         615482118675^      2594  
21:39.262   4  1c78          615482117023         615482117097^        29  
21:39.263   4  1c78          615482118701         615482118739         15  
21:39.263   3  0ad0          615482118770         615482118817         18  
21:39.263   4  1c78-         615482118798         615482120837^       805  
21:39.263   3  0ad0-         615482118881         615482125207^      2499  
21:39.263   4  1c78          615482120914         615482120974^        23  
21:39.264   4  1c78-         615482121037         615482123098^       814  
21:39.264   4  1c78          615482123303         615482123394^        35  
