SCHEDULER REPORT: 19-Sep-2017 12:20:23.702 on Reigi
for interval beginning at 12:20:08.208
------------------------------------------------------------------------
      THREADS      |    SINCE START OF CURRENT 15-MIN INTERVAL    | LAST
                   |            rtc  max   max     max  total     |5 SEC
id    name host f b| ex yields  t/o msgs stack   usecs  msecs %cpu| %cpu
------------------------------------------------------------------------
      idle                                              13754 88.8  93.3
 1    root 4f08 w S   0    445    0    0   300  255048    340  2.2   0.4
 2    init 1a14 s S   0    446    0    0  1352  647674    711  4.6   0.5
 3    file 0ad0 B     0    266    0   57   392     163    216  1.4   1.9
 4    cout 1c78 B     0    239    0   50   340     152    227  1.5   2.4
 5     cin 5708 B C   0      3    0    0   212      59      0  0.0   0.0
 6  objaud 22ac A S   0     75    0    0   760    5477     46  0.3   0.5
 7   stats 0b78 B S   0      3    0    0   316     244      0  0.0   0.0
 8     log 33d0 B S   0      3    0    1   364     156      0  0.0   0.0
 9     cli 4e14 O     0    109    0    0  1344   37766    157  1.0   0.9
10 invoker 5398 P S   0      1    0    0   240     210      0  0.0   0.0
11   timer 0efc P S   0     15    0    0   252     204      1  0.0   0.0
12   tcpio 51fc P N   0      1    0    0   308    1060      1  0.0   0.0
13   udpio 5954 P N   0      1    0    0   280     447      0  0.0   0.0
14   udpio 5bc8 P N   0      1    0    0   280     319      0  0.0   0.0
15   recov 2470 P S   1      5    0    0  3096   38125     39  0.2   0.0
------------------------------------------------------------------------

Context switches: 335
Timestamp  Id  Host              Ticks In            Ticks Out      uSecs
20:20.629   3  0ad0-         615283078174         615283079949        701  
20:20.629   9  4e14          615283078264         615283078766^       198  
20:20.629   4  1c78-         615283078289         615283081226^      1160  
20:20.630   9  4e14          615283078881         615283079077^        77  
20:20.630   9  4e14          615283079123         615283079881^       299  
20:20.630   9  4e14          615283079919         615283080122^        80  
20:20.630   3  0ad0          615283080155         615283080208^        20  
20:20.630   9  4e14          615283080238         615283081483^       491  
20:20.630   3  0ad0-         615283080284         615283082333^       809  
20:20.631   4  1c78          615283081526         615283081574^        18  
20:20.631   4  1c78-         615283081623         615283149874^     26963  
20:20.631   9  4e14          615283081629         615283082062^       171  
20:20.631   9  4e14          615283082133         615283082376^        96  
20:20.631   3  0ad0          615283082417         615283082470^        20  
20:20.631   9  4e14          615283082501         615283146604^     25324  
20:20.631   3  0ad0-         615283082525         615283146951^     25452  
20:20.656  15  2470          615283146660         615283243164^     38125  
20:20.690   2  1a14-         615283232389         615283232575^        73  
20:20.690   1  4f08-         615283232610         615283232716^        41  
20:20.694   9  4e14          615283243223         615283243501        109  
20:20.695   3  0ad0          615283243632         615283243684         20  
20:20.695   4  1c78          615283243786         615283243832         18  
20:20.695   3  0ad0-         615283243795         615283246259^       973  
20:20.695  15  2470          615283243861         615283244652^       312  
20:20.695   4  1c78-         615283243932         615283247498^      1408  
20:20.695   9  4e14          615283244848         615283244929^        32  
20:20.695   8  33d0          615283245018         615283245413^       156  
20:20.695  15  2470          615283245537         615283245722^        73  
20:20.695  15  2470          615283245829         615283245913^        33  
20:20.696   3  0ad0          615283246316         615283246363^        18  
20:20.696   3  0ad0-         615283246409         615283248392^       783  
20:20.696   4  1c78          615283247556         615283247602^        18  
20:20.696   4  1c78-         615283247647         615283249644^       788  
20:20.697   3  0ad0          615283248481         615283248554^        28  
20:20.697   3  0ad0-         615283248620         615283251471^      1126  
20:20.697   4  1c78          615283249742         615283249872^        51  
20:20.697   4  1c78-         615283249920         615283254739^      1903  
20:20.698   3  0ad0          615283251529         615283251578^        19  
20:20.698   3  0ad0-         615283251624         615283254615^      1181  
20:20.699   3  0ad0          615283254636         615283254676^        15  
20:20.699   3  0ad0-         615283254693         615283264079^      3708  
20:20.699   4  1c78          615283254832         615283254900^        26  
20:20.699   4  1c78-         615283254971         615283258149^      1255  
20:20.700   4  1c78          615283258325         615283258371^        18  
20:20.700   4  1c78-         615283258417         615283264712^      2486  
20:20.703   3  0ad0          615283264140         615283264195^        21  
20:20.703   3  0ad0-         615283264241         615283272752^      3362  
20:20.703   4  1c78          615283264791         615283264850^        23  
20:20.703   4  1c78-         615283264913         615283267715^      1106  
20:20.704   4  1c78          615283267774         615283267874^        39  
20:20.704   4  1c78-         615283267918         615283271108^      1260  
20:20.706   4  1c78          615283271200         615283271242^        16  
20:20.706   4  1c78-         615283271286         615283276829^      2189  
20:20.706   3  0ad0          615283272813         615283272866^        20  
20:20.706   3  0ad0-         615283272913         615283278654^      2268  
20:20.708   4  1c78          615283276889         615283277020^        51  
20:20.708   4  1c78-         615283277066         615283279381^       914  
20:20.708   3  0ad0          615283278721         615283278831^        43  
20:20.709   3  0ad0-         615283278951         615283284813^      2315  
20:20.709   4  1c78          615283279504         615283279613^        43  
20:20.709   4  1c78-         615283279683         615283283974^      1695  
20:20.711   4  1c78          615283284115         615283284163^        18  
20:20.711   4  1c78-         615283284219         615283290678^      2551  
20:20.711   3  0ad0          615283284891         615283284955^        25  
20:20.711   3  0ad0-         615283285016         615283290891^      2320  
20:20.713   4  1c78          615283290762         615283290804^        16  
20:20.713   4  1c78-         615283290818         615283291919^       434  
20:20.713   3  0ad0          615283290966         615283291016^        19  
20:20.713   3  0ad0-         615283291063         615283296491^      2144  
20:20.714   4  1c78          615283292003         615283292064^        24  
20:20.714   4  1c78-         615283292132         615283294135^       791  
20:20.715   4  1c78          615283294242         615283294341^        39  
20:20.715   4  1c78-         615283294420         615283295156^       290  
20:20.715   4  1c78          615283295213         615283295257^        17  
20:20.715   4  1c78-         615283295302         615283297458^       851  
20:20.716   3  0ad0          615283296577         615283296684^        42  
20:20.716   3  0ad0-         615283296730         615283302206^      2163  
20:20.716   4  1c78          615283297514         615283297560^        18  
20:20.716   4  1c78-         615283297627         615283299090^       577  
20:20.717   4  1c78          615283299164         615283299218^        21  
20:20.717   4  1c78-         615283299282         615283301563^       901  
20:20.718   4  1c78          615283301641         615283301706^        25  
20:20.718   4  1c78-         615283301773         615283303251^       583  
20:20.718   3  0ad0          615283302297         615283302371^        29  
20:20.718   3  0ad0-         615283302574         615283308821^      2467  
20:20.718   4  1c78          615283303351         615283303405^        21  
20:20.718   4  1c78-         615283303462         615283306607^      1242  
20:20.720   4  1c78          615283306666         615283306754^        34  
20:20.720   4  1c78-         615283306799         615283308872^       818  
20:20.720   4  1c78          615283308893         615283308941         18  
20:20.720   3  0ad0          615283308972         615283309006         13  
20:20.720   4  1c78-         615283309011         615283315220       2452  
20:20.720   3  0ad0-         615283309081         615283314782^      2252  
20:20.723   3  0ad0          615283314849         615283314909^        23  
20:20.723   3  0ad0-         615283314956         615283320774^      2298  
20:20.723   4  1c78          615283315283         615283315327^        17  
20:20.723   4  1c78-         615283315373         615283317032^       655  
20:20.724   4  1c78          615283317140         615283317213^        28  
20:20.724   4  1c78-         615283317294         615283385422^     26914  
20:20.725   3  0ad0          615283320877         615283320931^        21  
20:20.725   3  0ad0-         615283320977         615283323183^       871  
20:20.726   3  0ad0          615283323245         615283323298^        20  
20:20.726   3  0ad0-         615283323344         615283325470^       839  
20:20.727   3  0ad0          615283325561         615283325622^        24  
20:20.727   3  0ad0-         615283325669         615283328017^       927  
20:20.728   3  0ad0          615283328100         615283328171^        28  
20:20.728   3  0ad0-         615283328249         615283330900^      1047  
20:20.729   3  0ad0          615283331005         615283331076^        28  
20:20.729   3  0ad0-         615283331124         615283333502^       939  
20:20.730   3  0ad0          615283333562         615283333613^        20  
20:20.730   3  0ad0-         615283333660         615283335587^       761  
20:20.731   3  0ad0          615283335646         615283335694^        18  
20:20.731   3  0ad0-         615283335741         615283337963^       877  
20:20.732   3  0ad0          615283338054         615283338124^        27  
20:20.732   3  0ad0-         615283338198         615283340453^       890  
20:20.733   3  0ad0          615283340547         615283340667^        47  
20:20.733   3  0ad0-         615283340745         615283343403^      1050  
20:20.734   3  0ad0          615283343476         615283343528^        20  
20:20.734   3  0ad0-         615283343576         615283346062^       982  
20:20.735   3  0ad0          615283346152         615283346228^        30  
20:20.735   3  0ad0-         615283346277         615283349882^      1424  
20:20.737   3  0ad0          615283349944         615283350037^        36  
20:20.737   3  0ad0-         615283350167         615283352896^      1078  
20:20.738   3  0ad0          615283352961         615283353060^        39  
20:20.738   3  0ad0-         615283353106         615283356527^      1351  
20:20.739   3  0ad0          615283356596         615283356718^        48  
20:20.739   3  0ad0-         615283356823         615283359823^      1185  
20:20.741   3  0ad0          615283359882         615283359979^        38  
20:20.741   3  0ad0-         615283360028         615283363402^      1332  
20:20.742   3  0ad0          615283363546         615283363622^        30  
20:20.742   3  0ad0-         615283363693         615283370699^      2767  
20:20.745   3  0ad0          615283370768         615283370791^         9  
20:20.751   4  1c78          615283385480         615283385501          8  
20:20.815   2  1a14-         615283549503         615283549666         64  
20:20.816   1  4f08-         615283549621         615283549715^        37  
20:20.847   2  1a14-         615283628783         615283628953         67  
20:20.847   1  4f08-         615283629001         615283629147         57  
20:20.878   2  1a14-         615283708114         615283708693        228  
20:20.878   1  4f08-         615283708498         615283708951^       178  
20:20.909   2  1a14-         615283787179         615283787699        205  
20:20.910   1  4f08-         615283787663         615283788168^       199  
20:20.941   2  1a14-         615283866384         615283866743        141  
20:20.941   1  4f08-         615283866853         615283867274        166  
20:20.972   2  1a14-         615283945460         615283945793        131  
20:20.972   1  4f08-         615283945926         615283946419        194  
20:21.003   2  1a14-         615284024305         615284024874        224  
20:21.003   1  4f08-         615284024811         615284025232^       166  
20:21.034   2  1a14-         615284103604         615284104437        329  
20:21.035   1  4f08-         615284104127         615284104516^       153  
20:21.066   2  1a14-         615284183076         615284183525        177  
20:21.066   1  4f08-         615284183707         615284184257        217  
20:21.097   2  1a14-         615284261957         615284262351        155  
20:21.097   1  4f08-         615284262482         615284262951        185  
20:21.128   2  1a14-         615284340931         615284341317        152  
20:21.128   1  4f08-         615284341386         615284341823        172  
20:21.159   2  1a14-         615284419947         615284420085         54  
20:21.159   1  4f08-         615284420123         615284420402        110  
20:21.191   2  1a14-         615284499168         615284499665        196  
20:21.191   1  4f08-         615284499592         615284499903^       122  
20:21.222  11  0efc          615284577922         615284578062         55  
20:21.222   2  1a14-         615284577941         615284578389^       176  
20:21.237   2  1a14-         615284617401         615284617927        207  
20:21.268   2  1a14-         615284696192         615284696457        104  
20:21.269   1  4f08-         615284696331         615284696440^        43  
20:21.300   2  1a14-         615284775705         615284775843         54  
20:21.300   1  4f08-         615284775855         615284775913         22  
20:21.331   2  1a14-         615284855220         615284855485        104  
20:21.331   1  4f08-         615284855591         615284855978        152  
20:21.363   2  1a14-         615284934271         615284934726        179  
20:21.363   1  4f08-         615284934789         615284935383        234  
20:21.394   2  1a14-         615285012941         615285013234        115  
20:21.394   1  4f08-         615285013292         615285013620        129  
20:21.425   2  1a14-         615285092438         615285092932        195  
20:21.425   1  4f08-         615285092805         615285093522^       283  
20:21.456   2  1a14-         615285171097         615285171468        146  
20:21.456   1  4f08-         615285171443         615285171856^       163  
20:21.487   2  1a14-         615285250441         615285250592         59  
20:21.488   1  4f08-         615285250630         615285250843         84  
20:21.519   2  1a14-         615285329428         615285329636         82  
20:21.519   1  4f08-         615285329698         615285329908         82  
20:21.550   2  1a14-         615285408986         615285409309        127  
20:21.550   1  4f08-         615285409362         615285409812        177  
20:21.581   2  1a14-         615285487642         615285487809         65  
20:21.581   1  4f08-         615285487813         615285487968         61  
20:21.613   2  1a14-         615285567030         615285567418        153  
20:21.613   1  4f08-         615285567457         615285567693         93  
