FUNCTION PROFILE: 19-Sep-2017 12:22:03.818 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       17         314   Memory.Free
       15         306   SysHeap.Free
       10         119   Object.operator delete
        9           6   C++.delete
        6         376   Registry.Erase
        6          52   Thread.RunningThread
        5         136   Statistic.dtor
        5          87   StatisticsRegistry.UnbindStat
        4          98   Counter.dtor
        4          34   SysMutex.Acquire
        4          29   SysMutex.Release
        3         118   Base.ctor
        3           7   Q1Way.Enq
        3           0   Object.ctor
        2          56   FunctionGuard.dtor
        2          28   SysThread.Interrupt
        2          22   FunctionGuard.ctor
        2          18   LogThread.Spool
        2          17   SysThread.DeleteSentry
        2          16   Log.Spool
        2          15   LeakyBucketCounter.dtor
        2          14   MutexGuard.ctor
        2          14   SysThread.dtor
        2          13   MsgBuffer.operator new
        2          12   Orphans.ExitNow
        2          12   Q1Way.Deq
        2          11   ObjectPool.DeqBlock
        2          11   Thread.Interrupt
        2          10   Q1Way.Count
        2           9   MutexGuard.dtor
        2           9   Thread.EnqMsg
        2           0   MsgBuffer.ctor
        2           0   Pooled.ctor
        2           0   StreamRequest.ctor
        1        1162   Singletons.UnbindInstance
        1         987   ThreadStats.dtor
        1         411   SysThreadStack.Display
        1         130   SysThread.Start
        1          83   Log.Create
        1          40   Debug.SwErr(int)
        1          25   Thread.MakePreemptable
        1          21   Thread.Unlock
        1          19   Singleton.Destroy
        1          13   Accumulator.dtor
        1          12   HighWatermark.dtor
        1          10   Thread.ReleaseResources
        1           9   Orphans.Register
        1           9   Pooled.operator delete
        1           9   Thread.RegisterForSignals
        1           9   ThreadPriv.dtor
        1           7   ObjectPool.EnqBlock
        1           6   Debug.GenerateSwLog
        1           6   Thread.EnterThread
        1           6   Thread.InitialMsecs
        1           6   Thread.MakeUnpreemptable
        1           5   SysThread.Delete
        1           5   Thread.ExitSwLog
        1           4   RecoveryTestThread.Destroy
        1           4   Thread.EnterSwLog
        1           4   Thread.ResumeLocked
        1           4   Thread.Start
        1           0   SysTime.ctor(now)
        1           0   ThreadAdmin.WarpFactor

Total functions: 63
