SCHEDULER REPORT: 19-Sep-2017 12:21:47.470 on Reigi
for interval beginning at 12:20:08.208
------------------------------------------------------------------------
      THREADS      |    SINCE START OF CURRENT 15-MIN INTERVAL    | LAST
                   |            rtc  max   max     max  total     |5 SEC
id    name host f b| ex yields  t/o msgs stack   usecs  msecs %cpu| %cpu
------------------------------------------------------------------------
      idle                                              66324 66.8  82.6
 1    root 4f08 w S   0   1501    0    0   300  255048    489  0.5   0.1
 2    init 1a14 s S   0   1502    0    0  1352  647674    904  0.9   0.6
 3    file 0ad0 B     0   1876    0   57   392     163  12489 12.6   2.8
 4    cout 1c78 B     0   1515    0   50   432     152  11899 12.0   8.0
 5     cin 5708 B C   0      3    0    0   212      59      0  0.0   0.0
 6  objaud 22ac A S   0    445    0    0   760    5477    222  0.2   0.5
 7   stats 0b78 B S   0     20    0    0   316     244      1  0.0   0.0
 8     log 33d0 B S   0     23    0    2   364   25603     28  0.0   0.5
 9     cli 4e14 O     0    744    4    0  1344   62544   1522  1.5   3.6
10 invoker 5398 P S   0      1    0    0   240     210      0  0.0   0.0
11   timer 0efc P S   0     61    0    0   252     204      3  0.0   0.0
12   tcpio 51fc P N   0      1    0    0   308    1060      1  0.0   0.0
13   udpio 5954 P N   0      1    0    0   280     447      0  0.0   0.0
14   udpio 5bc8 P N   0      1    0    0   280     319      0  0.0   0.0
15   recov 2570 P     4     14    7    0  5996 5318306   5379  5.4   1.2
------------------------------------------------------------------------

Context switches: 458
Timestamp  Id  Host              Ticks In            Ticks Out      uSecs
21:43.432   3  0ad0-         615492671376         615492677512       2424  
21:43.433   4  1c78-         615492674858         615492675638^       308  
21:43.433   9  4e14          615492675286         615492675652^       144  
21:43.433   4  1c78          615492675727         615492675740^         5  
21:43.433   4  1c78-         615492675750         615492682815^      2791  
21:43.433   9  4e14          615492675765         615492676031^       105  
21:43.433   9  4e14          615492676076         615492677444^       540  
21:43.434   9  4e14          615492677497         615492677672^        69  
21:43.434   3  0ad0          615492677698         615492677740^        16  
21:43.434   3  0ad0-         615492677795         615492684200^      2530  
21:43.434   9  4e14          615492677941         615492680068^       840  
21:43.435   9  4e14          615492680191         615492680938^       295  
21:43.435   9  4e14          615492680994         615492681383^       153  
21:43.436   9  4e14          615492681471         615492682337^       342  
21:43.436   9  4e14          615492682386         615492682621^        92  
21:43.436   9  4e14          615492682743         615492682766^         9  
21:43.436   4  1c78          615492682905         615492682948^        16  
21:43.436   4  1c78-         615492682992         615492689111^      2417  
21:43.437   3  0ad0          615492684291         615492684394^        40  
21:43.437   3  0ad0-         615492684459         615492690522^      2395  
21:43.439   4  1c78          615492689204         615492689250^        18  
21:43.439   4  1c78-         615492689330         615492695125^      2289  
21:43.439   3  0ad0          615492690614         615492690732^        46  
21:43.439   3  0ad0-         615492690800         615492696069^      2081  
21:43.441   4  1c78          615492695198         615492695282^        33  
21:43.441   4  1c78-         615492695328         615492696891^       617  
21:43.441   3  0ad0          615492696128         615492696212^        33  
21:43.441   3  0ad0-         615492696261         615492701343^      2007  
21:43.442   4  1c78          615492696962         615492697006^        17  
21:43.442   4  1c78-         615492697052         615492699738^      1061  
21:43.443   4  1c78          615492699839         615492699889^        19  
21:43.443   4  1c78-         615492699934         615492706063^      2421  
21:43.443   3  0ad0          615492701434         615492701505^        28  
21:43.444   3  0ad0-         615492701569         615492710605^      3569  
21:43.445   4  1c78          615492706122         615492706170^        18  
21:43.445   4  1c78-         615492706215         615492709750^      1396  
21:43.447   4  1c78          615492709804         615492709846^        16  
21:43.447   4  1c78-         615492709891         615492711554^       656  
21:43.447   3  0ad0          615492710665         615492710751^        33  
21:43.447   3  0ad0-         615492710836         615492716277^      2149  
21:43.447   4  1c78          615492711622         615492711708^        33  
21:43.448   4  1c78-         615492711798         615492715355^      1405  
21:43.449   4  1c78          615492715412         615492715458^        18  
21:43.449   4  1c78-         615492715586         615492717681^       827  
21:43.449   3  0ad0          615492716336         615492716384^        18  
21:43.449   3  0ad0-         615492716432         615492722170^      2266  
21:43.450   4  1c78          615492717738         615492717783^        17  
21:43.450   4  1c78-         615492717829         615492719450^       640  
21:43.451   4  1c78          615492719506         615492719584^        30  
21:43.451   4  1c78-         615492719629         615492721470^       727  
21:43.451   4  1c78          615492721523         615492721564^        16  
21:43.451   4  1c78-         615492721656         615492723653^       788  
21:43.452   3  0ad0          615492722229         615492722313^        33  
21:43.452   3  0ad0-         615492722396         615492728701^      2490  
21:43.452   4  1c78          615492723710         615492723753^        16  
21:43.452   4  1c78-         615492723799         615492725497^       670  
21:43.453   4  1c78          615492725624         615492725704^        31  
21:43.453   4  1c78-         615492725750         615492727083^       526  
21:43.454   4  1c78          615492727136         615492727177^        16  
21:43.454   4  1c78-         615492727223         615492727798^       227  
21:43.454   4  1c78          615492727862         615492727902^        15  
