FUNCTION PROFILE: 18-Sep-2017 19:22:24.634 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      145          78   Object.ctor
      144        8239   Base.ctor
      100        1416   Q1Way.Enq
       94        2091   Context.RunningContextTraced
       72        1117   Q1Way.Deq
       72         945   ObjectPool.DeqBlock
       72           0   Pooled.ctor
       61         828   Pooled.operator delete
       61         723   ObjectPool.EnqBlock
       60          73   C++.delete
       59         580   Thread.RunningThread
       57         763   Context.RunningContext
       52         709   Q1Way.Exq
       49           0   SysIpL2Addr.ctor(copy)
       45           0   SysIpL3Addr.ctor(copy)
       42         661   TlvMessage.FencePtr
       42         494   ProtocolSM.Port
       41         550   Q1Way.Init
       40         527   SysIpL2Addr.dtor
       40         420   Context.SetContextMsg
       39         530   MsgPort.Port
       38         481   SysIpL3Addr.dtor
       36         437   Q1Way.Purge
       27         285   TlvMessage.FirstParm
       27         275   TlvMessage.FindParm
       26         218   TlvMessage.NextParm
       25         303   SysIpL3Addr.operator=(copy)
       25         302   Message.RxSbAddr
       25         281   SysIpL2Addr.operator=(copy)
       24         241   TlvMessage.FindType
       23         380   SbIpBuffer.operator new
       23         301   SbIpBuffer.PayloadSize
       23         262   Message.Exqueue
       22         324   Event.operator new
       22         309   Event.dtor
       22         290   ServiceSM.EnqEvent
       22         246   ServiceSM.ExqEvent
       22          23   Event.ctor
       21        1551   Message.ClearContext
       21         308   SysHeap.Alloc
       21         291   TlvMessage.CheckFence
       21         251   Context.SetState
       21         230   Memory.Alloc
       21         217   IpBuffer.BuffSize
       21         132   Thread.Pause
       20           0   SysIpL2Addr.ctor
       19           0   SysIpL3Addr.ctor
       15         322   Memory.Copy
       15         220   TlvMessage.AddParm
       15         206   InvokerPool.FindWork
       15         204   IpBuffer.AddBytes
       15         203   TlvMessage.AddType
       15         194   Thread.RtcPercentUsed
       14         182   Message.TxSbAddr
       14         170   Context.Exqueue
       14         166   Factory.RecordMsg
       14         160   Message.Enqueue
       13         416   Thread.ExitBlockingOperation
       13         173   Message.RxFactory
       13         166   InvokerThread.ClearContext
       13         138   BcEvent.dtor
       13         108   Thread.Unlock
       13           0   BcEvent.ctor
       12         620   SysSocket.SetBlocking
       12         270   SysMutex.Release
       12         176   Q2Way.Exq
       12         163   PotsCallPsm.Cast
       12         158   Message.dtor
       12         123   Thread.EnterBlockingOperation
       12         114   TlvMessage.dtor
       12           4   MsgBuffer.ctor
       11         179   PotsBcSsm.SetNextSap
       11         169   ServiceSM.SetNextSap
       11         164   ProtocolSM.SetState
       11         163   Thread.ResumeLocked
       11         157   Thread.LogContextSwitch
       11         150   IpBuffer.dtor
       11         141   SysHeap.Free
       11         136   MsgBuffer.dtor
       11         136   Q1Way.Henq
       11         135   SbIpBuffer.operator delete
       11         130   Memory.Free
       11         114   SbIpBuffer.dtor
       11          28   IpBuffer.ctor(copy)
       11           0   MsgBuffer.ctor(copy)
       11           0   SbIpBuffer.ctor(copy)
       10         152   Message.SetPsm
       10         150   Message.operator new
       10         148   GlobalAddress.dtor
       10         127   Message.Handled
       10          95   PotsMessage.dtor
        9         649   Context.CaptureTask
        9         597   SysSocket.TracePeer
