FUNCTION PROFILE: 18-Sep-2017 19:22:49.327 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       66        3020   Base.ctor
       66           0   Object.ctor
       50         816   Context.RunningContextTraced
       46         540   Q1Way.Enq
       35         418   Q1Way.Deq
       35         306   ObjectPool.DeqBlock
       35           0   Pooled.ctor
       27         332   Pooled.operator delete
       27         300   ObjectPool.EnqBlock
       27          24   C++.delete
       25         271   Context.RunningContext
       24         283   Q1Way.Exq
       24         224   Thread.RunningThread
       19         142   Q1Way.Init
       19           0   SysIpL2Addr.ctor(copy)
       19           0   SysIpL3Addr.ctor(copy)
       18         210   MsgPort.Port
       18         181   ProtocolSM.Port
       17         209   Context.SetContextMsg
       15         209   Q1Way.Purge
       14         197   SysIpL2Addr.dtor
       14         187   TlvMessage.FencePtr
       14         141   SysIpL3Addr.dtor
       12         177   SysIpL3Addr.operator=(copy)
       12         141   SysIpL2Addr.operator=(copy)
       12         122   Thread.Pause
       12         120   Event.dtor
       12         114   Event.operator new
       12          92   ServiceSM.EnqEvent
       12          88   ServiceSM.ExqEvent
       12          14   Event.ctor
       12           0   SysIpL2Addr.ctor
       12           0   SysIpL3Addr.ctor
       11         176   SysHeap.Alloc
       11         137   Memory.Alloc
       11          97   IpBuffer.BuffSize
       10         128   SbIpBuffer.operator new
       10         116   TlvMessage.FirstParm
       10         112   TlvMessage.FindParm
       10         110   Message.RxSbAddr
        9         667   Message.ClearContext
        9         162   TlvMessage.FindType
        9         142   Memory.Copy
        9          96   Context.SetState
        9          95   SbIpBuffer.PayloadSize
        9          89   TlvMessage.NextParm
        9          80   Message.Exqueue
        8         175   Thread.ExitBlockingOperation
        8         103   Thread.Unlock
        7         116   ServiceSM.ProcessEvent
        7          67   TlvMessage.CheckFence
        7           0   SysMutex.Release
        6         304   SysSocket.SetBlocking
        6         104   Thread.LogContextSwitch
        6         104   TlvMessage.dtor
        6         100   Message.TxSbAddr
        6          98   Thread.ResumeLocked
        6          87   PotsCallPsm.Cast
        6          79   InvokerPool.FindWork
        6          73   Thread.RtcPercentUsed
        6          72   Message.Enqueue
        6          72   Message.RxFactory
        6          71   Q2Way.Exq
        6          63   Thread.EnterBlockingOperation
        6          58   Factory.RecordMsg
        6          56   MsgHeader.ctor
        6          55   PotsMessage.dtor
        6          37   Q1Way.Henq
        6          12   IpBuffer.ctor
        6           4   SbIpBuffer.ctor
        6           0   MsgBuffer.ctor
        5          76   ServiceSM.DeleteIdleModifier
        5          75   Message.operator new
        5          70   Context.Exqueue
