FUNCTION PROFILE: 18-Sep-2017 19:17:29.447 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       84        3372   Base.ctor
       83           0   Object.ctor
       57         603   Q1Way.Enq
       50         870   Context.RunningContextTraced
       49         500   Thread.RunningThread
       44           1   Pooled.ctor
       43         416   Q1Way.Deq
       43         388   ObjectPool.DeqBlock
       34         364   Pooled.operator delete
       34         326   ObjectPool.EnqBlock
       33          27   C++.delete
       27         343   Context.RunningContext
       26         258   Q1Way.Exq
       26         205   Context.SetContextMsg
       23           0   SysIpL2Addr.ctor(copy)
       23           0   SysIpL3Addr.ctor(copy)
       22         263   MsgPort.Port
       21         174   ProtocolSM.Port
       20         160   TlvMessage.FencePtr
       18         188   SysIpL3Addr.dtor
       18         183   SysIpL2Addr.dtor
       18         170   Q1Way.Init
       18         139   Thread.Pause
       17         264   Q1Way.Purge
       17         195   TlvMessage.FirstParm
       17         159   TlvMessage.FindParm
       17          96   TlvMessage.NextParm
       16         149   SysIpL3Addr.operator=(copy)
       16         145   TlvMessage.FindType
       16         114   SysIpL2Addr.operator=(copy)
       16           0   SysIpL2Addr.ctor
       16           0   SysIpL3Addr.ctor
       14         260   SysHeap.Alloc
       14         152   SbIpBuffer.operator new
       14         144   Memory.Alloc
       14         122   IpBuffer.BuffSize
       13         109   Message.RxSbAddr
       13          87   SbIpBuffer.PayloadSize
       13          10   Event.ctor
       12         189   Memory.Copy
       12         179   Thread.ExitBlockingOperation
       12         118   Event.operator new
       12         106   ServiceSM.EnqEvent
       12         103   Message.Exqueue
       12          86   Thread.Unlock
       11         129   Thread.LogContextSwitch
       11         110   Thread.EnterBlockingOperation
       11         107   Thread.RtcPercentUsed
       11          87   Event.dtor
       11          60   ServiceSM.ExqEvent
       11           0   SysMutex.Release
       10         548   Message.ClearContext
       10         162   InvokerPool.FindWork
       10         127   Thread.ResumeLocked
       10          75   Context.SetState
       10          54   TlvMessage.CheckFence
        9         115   InvokerThread.ClearContext
        9         114   Context.Exqueue
        9          72   Message.Enqueue
        8         553   SysSocket.TracePeer
        8         371   SysSocket.SetBlocking
        8         107   Message.RxFactory
        8          96   PotsBcSsm.SetNextSap
        8          69   Message.operator new
        8          68   PotsCallPsm.Cast
        8          60   TlvMessage.AddParm
        8          16   BcEvent.ctor
        8          15   IpBuffer.ctor
        8           4   SbIpBuffer.ctor
        8           0   MsgBuffer.ctor
        7         116   Q2Way.Exq
        7          80   Factory.RecordMsg
        7          79   SysHeap.Free
        7          76   MsgHeader.ctor
        7          73   MsgBuffer.dtor
        7          73   SbIpBuffer.operator delete
        7          70   Memory.Free
        7          68   IpBuffer.dtor
        7          62   MsgPort.Find
        7          62   SbIpBuffer.dtor
        7          54   ServiceSM.SetNextSap
        7          34   BcEvent.dtor
        7          30   IpBuffer.AddBytes
        7          30   TlvMessage.AddType
        7           7   SbIpBuffer.ctor(copy)
        7           0   ThreadAdmin.WarpFactor
        6         158   MsgFactory.CaptureMsg
        6         148   BcSsm.SetNextState
        6         146   SysThread.Interrupt
        6         140   SysMutex.Acquire
        6         102   IoThread.InvokeHandler
        6          84   Message.TxSbAddr
        6          78   Message.dtor
        6          74   Thread.InitialMsecs
        6          72   TlvMessage.dtor
        6          70   InvokerPool.Enqueued
        6          68   Message.SetPsm
        6          68   Thread.Interrupt
        6          63   Context.Enqueue
        6          63   SbExtInputHandler.AllocBuff
        6          58   PotsMessage.dtor
        6          57   MsgFactory.ReceiveMsg
        6          56   Q2Way.Enq
        6          55   InvokerPool.KickThread
        6          52   IoThread.ConditionalPause
        6          52   Q1Way.Henq
        6          50   InvokerThread.BlockingAllowed
        6          47   InvokerPool.ScheduledOut
        6          46   Context.EnqMsg
        6          46   ProtocolSM.PeerFactory
        6          23   UdpIoThread.Enter
        6          15   IpBuffer.ctor(copy)
        6           0   MsgBuffer.ctor(copy)
        5         338   Context.CaptureTask
        5         124   SysSocket.Empty
        5          74   IpPort.BytesRcvd
        5          60   InvokerThread.ScheduledIn
        5          58   Context.ProcessMsg
        5          55   Thread.PauseOver
        5          54   ServiceSM.SetNextState
        5          50   SbTracer.MsgStatus
        5          49   ObjectPool.BidToObj
        5          49   PotsCallPsm.SendSignal
        5          48   InvokerPool.ReceiveBuff
        5          48   InvokerPool.ReceiveMsg
        5          47   Context.ProcessWork
        5          46   IpPort.RecvsInSequence
        5          45   SbInputHandler.ReceiveBuff
        5          41   PotsBcSsm.SetNextSnp
        5          39   NwTracer.BuffStatus
        5          39   ServiceSM.SetNextSnp
        5          37   InvokerPool.TraceRxNet
        5          35   ProtocolSM.SetState
        5          28   DigitString.AddDigit
        5           0   Message.ctor(i/c)
        5           0   PotsMessage.ctor(i/c)
        5           0   TlvMessage.ctor(i/c)
        4          69   Context.dtor
        4          59   InvokerThread.SetContext
        4          58   InvokerPool.Dequeued
        4          58   Pots_NU_Message.dtor
        4          55   Context.TraceMsg
        4          43   MsgContext.dtor
        4          39   ProtocolSM.FindTimer
        4          33   Initiator.InvokeHandler
        4          31   Context.operator new
        4          31   PotsBcSsm.TimerPsm
        4          25   Factory.IncrContexts
        4          17   PotsProfile.FindFeature
        4           4   Context.ctor
        4           0   MsgContext.ctor
        3         386   Pots_NU_Message.ctor(i/c)
        3          79   Message.SetSender
        3          73   Message.SetReceiver
        3          57   MediaInfo.ctor
        3          54   ServiceSM.ProcessEvent
        3          50   MsgPort.ReceiveMsg
        3          50   ProtocolSM.HenqReceivedMsg
        3          49   ProtocolLayer.RootSsm
        3          47   AnalyzeMsgEvent.dtor
        3          47   MediaPsm.UpdateIcMedia
        3          46   Circuit.MakeConn
        3          46   ProtocolSM.EnqOgMsg
        3          45   PsmContext.FindPort
        3          43   ProxyBcSsm.CalcPort
        3          43   SsmContext.ProcessIcMsg
        3          42   ProtocolSM.UnwrapMsg
        3          41   PotsCircuit.ReceiveMsg
        3          38   PotsShelfFactory.ProcessIcMsg
        3          35   PotsCallHandler.ReceiveBuff
        3          34   BcSsm.CalcPort
        3          34   PotsCallPsm.ProcessIcMsg
        3          33   MsgContext.ProcessIcMsg
        3          33   ProtocolLayer.SendToUpper
        3          33   SbAnalyzeMessage.ProcessEvent
        3          32   SysUdpSocket.SendBuff
        3          31   PotsCallFactory.AllocIcMsg
        3          31   ProtocolSM.GetProtocol
        3          30   Message.Handled
        3          30   MsgPort.SendMsg
        3          30   ProtocolLayer.SendToLower
        3          30   ProtocolSM.ReceiveMsg
        3          29   Message.SetProtocol
        3          28   IpBuffer.Send
        3          28   MediaPsm.ReceiveMsg
        3          28   Message.Send
        3          28   SsmFactory.ReceiveMsg
        3          28   SysUdpSocket.SendTo
        3          27   IpBuffer.OutgoingBytes
        3          27   TlvMessage.Send
        3          26   PsmFactory.ReceiveMsg
        3          25   Message.Henqueue
        3          25   MsgPort.Route
        3          25   PotsCallPsm.Route
        3          25   PotsProfile.HasFeature
        3          21   MediaPsm.SetOgTone
        3          20   ProtocolLayer.EnsureLower
        3          19   MsgPort.WrapMsg
        3          17   DigitString.Size
        3          10   Message.ctor(o/g)
        3           3   Pots_NU_Message.ctor(o/g)
        3           1   TlvMessage.ctor(o/g)
        3           0   AnalyzeMsgEvent.ctor
        3           0   BcReleaseEvent.ctor
        3           0   PotsMessage.ctor(o/g)
        3           0   Pots_UN_Message.ctor(i/c)
        2          45   SsmContext.SetRoot
        2          36   MediaPsm.PrepareOgMsgq
        2          36   PotsCircuit.SetState
        2          34   GlobalAddress.dtor
        2          34   ProtocolLayer.dtor
        2          34   Timer.dtor
        2          32   Pots_UN_Message.dtor
        2          27   IpPort.BytesSent
        2          27   PotsBcSsm.StartTimer
        2          25   PotsBcSsm.StopTimer
        2          25   PotsCallPsm.ReportDigits
        2          25   ProtocolSM.StopTimer
        2          24   Timer.operator new
        2          23   ServiceSM.ProcessInitqSap
        2          21   PotsCallPsm.SendCause
        2          21   ProxyBcSsm.EndOfTransaction
        2          21   ProxyBcSsm.FirstProxy
        2          21   Timer.Deregister
        2          21   Timer.Exqueue
        2          20   Thread.MsecsSinceStart
        2          19   ServiceSM.EndOfTransaction
        2          17   SsmContext.IsIdle
        2          13   MediaPsm.SetOgPort
        2          12   PotsCallPsm.ProcessOgMsg
        2          12   PsmContext.EndOfTransaction
        2          12   ToneRegistry.ToneToPort
        2          11   ProtocolSM.EndOfTransaction
        2          10   BcReleaseEvent.dtor
        2          10   PotsShelfHandler.ReceiveBuff
        2          10   ProtocolSM.AddressesUnknown
        2          10   ProtocolSM.StartTimer
        2          10   SsmContext.EndOfTransaction
        2          10   TimerRegistry.CalcQId
        2           9   MsgContext.EndOfTransaction
        2           9   PotsMessage.AddHeader
        2           9   PotsShelfFactory.AllocIcMsg
        2           8   MediaPsm.EndOfTransaction
        2           8   MediaPsm.UpdateOgMedia
        2           8   Message.SetSignal
        2           8   PotsCallPsm.EnsureMediaMsg
        2           8   Pots_NU_Message.AddScan
        2           6   Q2Way.Henq
        2           5   Timer.ctor
        2           4   AnalyzeSapEvent.ctor
        2           0   GlobalAddress.ctor(L3addr, locaddr)
        1          36   ProtocolSM.Initialize
        1          28   PotsFacilityInfo.ctor
        1          26   ServiceSM.dtor
        1          25   PotsBcNuAnalyzeLocalMessage.ProcessEvent
        1          25   RootServiceSM.dtor
        1          23   BcSsm.ClearCall
        1          23   MediaSsm.dtor
        1          22   ProtocolSM.dtor
        1          21   Context.ContextRoot
        1          20   BcSsm.SetModel
        1          20   Event.BuildSap
        1          20   MsgPort.dtor
        1          20   PotsBcSsm.ClearCall
        1          19   BcSsm.RaiseLocalRelease
        1          19   MediaSsm.PsmDeleted
        1          19   Message.GetSender
