FUNCTION PROFILE: May-25-2022 17:38:10.404 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      178         227   Q1Way.Enq
      163         299   Q1Way.Deq
      162         275   ObjectPool.DeqBlock
      162         251   Pooled.ctor
      141         216   Context.RunningContextTraced
      120         172   ObjectPool.EnqBlock
      120         170   Pooled.operator delete
       99          47   C++.delete
       89         117   Context.RunningContext
       73          76   Q1Way.Exq
       64          83   Context.SetContextMsg
       63         203   SysIpL2Addr.dtor
       63          99   SysIpL3Addr.dtor
       63          77   ProtocolSM.Port
       62         443   Gate.Notify
       62         234   Thread.Interrupt
       62         168   SysThread.Interrupt
       61     3303023   Gate.WaitFor
       61         159   SysThread.Suspend
       60          66   MsgPort.Port
       58          61   TlvMessage.FencePtr
       52          68   Q1Way.Init
       50          56   SbIpBuffer.PayloadSize
       49          52   Q1Way.Purge
       46         135   Thread.Pause
       46         119   SysIpL3Addr.ctor
       46          89   SysIpL2Addr.ctor
       46          81   IPv6Addr.ctor
       42          90   SmallBuffer.operator new
       42          84   SbIpBuffer.operator new
       42          72   Message.RxSbAddr
       42          68   IpBuffer.AllocBuff
       42          66   NetworkBase.AllocByteBuff
       38         706   Thread.LogContextSwitch
       38         192   Thread.ExitBlockingOperation
       38         187   SysMutex.Acquire
       38         187   Thread.Resume
       38         149   Thread.Ready
       38         144   Thread.InitialTime
       38         129   SysThread.Wait
       38         117   ThreadAdmin.WarpFactor
       38         114   SysMutex.Release
       38         106   Thread.Schedule
       38          96   Thread.Suspend
       38          95   MutexGuard.ctor
       38          92   Thread.EnterBlockingOperation
       38          89   MutexGuard.Release
       38          87   MutexGuard.dtor
       38          58   TlvMessage.FindParm
       38          51   TlvMessage.FirstParm
       37          40   TlvMessage.NextParm
       36         380   Message.ClearContext
       36          41   Message.Exqueue
       34          83   Memory.Copy
       34          44   TlvMessage.FindType
       33          57   Event.ctor
       33          47   Event.dtor
       33          40   Event.operator new
       33          35   ServiceSM.EnqEvent
       33          33   ServiceSM.ExqEvent
       30          30   Context.SetState
       29          29   TlvMessage.CheckFence
       26          41   Thread.RtcPercentUsed
       25          99   SysSocket.SetBlocking
       25          51   InvokerPool.FindWork
       23          71   SysThread.Delay
