FUNCTION PROFILE: Jun-13-2022 16:33:13.516 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      350        2012   Gate.Notify
      350        1004   Thread.Interrupt
      350         970   SysThread.Interrupt
      334    60008084   Gate.WaitFor
      334         860   SysThread.Suspend
      286         791   Thread.Pause
      206         360   Q1Way.Enq
      198         384   Q1Way.Deq
      197         407   ObjectPool.DeqBlock
      197         357   Pooled.ctor
      191        3510   Thread.LogContextSwitch
      191        1180   Thread.ExitBlockingOperation
      191         953   Mutex.Acquire
      191         924   Thread.Resume
      191         907   Thread.InitialTime
      191         579   Thread.Ready
      191         507   MutexGuard.ctor
      191         501   Mutex.Release
      191         487   Thread.Suspend
      191         480   SysThread.Wait
      191         460   ThreadAdmin.WarpFactor
      191         449   Thread.Schedule
      191         442   MutexGuard.Release
      191         433   Thread.EnterBlockingOperation
      191         390   MutexGuard.dtor
      156         370   Context.RunningContextTraced
      143         382   SysThread.Delay
      141         298   ObjectPool.EnqBlock
      141         282   Pooled.operator delete
      135         313   Thread.CurrTimeRunning
      118         213   Context.RunningContext
      115         425   SysIpL2Addr.dtor
      115         274   SysIpL3Addr.dtor
      113          67   C++.delete
       93         571   SysSocket.SetBlocking
       93         267   SysIpL2Addr.ctor
       93         262   SysIpL3Addr.ctor
       93         184   IPv6Addr.ctor
       83         138   Q1Way.Exq
       82         174   ProtocolSM.Port
       82         144   TlvMessage.FencePtr
       76         121   Context.SetContextMsg
       75         133   MsgPort.Port
       68         109   SbIpBuffer.PayloadSize
       65         151   TimerRegistry.ProcessWork
       65         136   DeferredRegistry.RaiseTimeouts
       56         118   SbIpBuffer.operator new
       56         118   SmallBuffer.operator new
       56         107   IpBuffer.AllocBuff
       56         106   NetworkBase.AllocByteBuff
       55         111   Message.RxSbAddr
       51          93   TlvMessage.FindParm
       51          80   TlvMessage.FirstParm
       50         827   Message.ClearContext
       50          94   Message.Exqueue
       48         100   IpPort.RecvsInSequence
       46          66   Q1Way.Init
       45          73   TlvMessage.FindType
       44          83   Q1Way.Purge
       43         122   Memory.Copy
       43          66   TlvMessage.NextParm
       41          76   TlvMessage.CheckFence
       39          99   IpPortRegistry.LocalAddr
       39          46   Context.SetState
       33     5283997   SysTcpSocket.Poll
       33         452   SysTcpSocket.Accept
       33         250   TcpIoThread.AcceptConn
       33         177   SysSocket.SetError(errval)
       33         153   TcpIoThread.PollSockets
       33         123   SysSocket.TraceEvent
       33          78   Event.ctor
       33          66   Event.operator new
       33          62   Event.dtor
       33          54   ServiceSM.EnqEvent
       33          51   ServiceSM.ExqEvent
       31          45   Thread.RtcPercentUsed
       29          56   Message.TxSbAddr
       29          55   InvokerPool.FindWork
       29          46   Factory.RecordMsg
       28         303   SbIpBuffer.ctor
       28         111   SbIpBuffer.ctor(copy)
       28         104   IpBuffer.ctor
       28          86   IpBuffer.dtor
       28          80   Message.dtor
       28          78   TlvMessage.AddParm
       28          73   IpBuffer.ctor(copy)
       28          65   SbIpBuffer.dtor
       28          65   SbIpBuffer.operator delete
       28          58   Message.Enqueue
       28          58   TlvMessage.AddType
       28          54   MsgBuffer.ctor
       28          54   TlvMessage.dtor
       28          50   IpBuffer.AddBytes
       28          48   Message.operator new
       28          47   MsgBuffer.dtor
       28          45   MsgBuffer.ctor(copy)
       28          45   MsgHeader.ctor
       27          81   SysSocket.TracePeer
       25          50   Context.Exqueue
       25          36   InvokerThread.ClearContext
       23          47   Message.RxFactory
       22          54   Message.Handled
       21          41   Message.SetPsm
       21          32   Q2Way.Exq
       20          46   BcEvent.ctor
       20          32   BcEvent.dtor
       19          35   GlobalAddress.dtor
       19          32   Context.TraceMsg
       19          31   PotsMessage.dtor
       19          26   ProtocolSM.SetState
       17          31   Alarm.Create
       16         169   Context.CaptureTask
       16          64   InvokerPool.ReceiveMsg
       16          52   MsgFactory.ReceiveMsg
       16          50   Context.ProcessMsg
       16          40   Context.ProcessWork
       16          35   ProtocolSM.EndOfTransaction
       16          33   PayloadInvokerPool.RecordDelay
       16          31   Context.EnqMsg
       16          31   InvokerThread.SetContext
       16          29   Context.Enqueue
       16          28   MediaPsm.EndOfTransaction
       16          28   ProtocolLayer.RootSsm
       16          27   InvokerPool.KickThread
       16          27   MsgPort.Find
       16          25   MediaPsm.PrepareOgMsgq
       16          24   InvokerPool.Dequeued
       16          24   PotsBcSsm.SetNextSnp
       16          24   ServiceSM.SetNextSnp
       16          23   Q1Way.Henq
       16          22   InvokerPool.Enqueued
       16          19   Thread.PauseOver
       15        1204   SysUdpSocket.RecvFrom
       15          58   SessionBase.CaptureMsg
       15          50   IoThread.InvokeHandler
       15          49   SbTracer.MsgStatus
       15          47   SysSocket.Empty
       15          34   InvokerPool.ReceiveBuff
       15          34   SysIpL3Addr.NetworkToHost(IPv6)
       15          31   IpPort.BytesRcvd
       15          28   PotsBcSsm.SetNextSap
       15          25   IoThread.ConditionalPause
       15          25   TlvMessage.ctor(i/c)
       15          24   SbInputHandler.ReceiveBuff
       15          23   ServiceSM.SetNextSap
       15          22   Q2Way.Enq
       15          21   SysIpL2Addr.NetworkToHost(IPv6)
       15          20   InputHandler.NetworkToHost
       15          20   SessionBase.TraceRxNet
       15          19   NwTracer.BuffStatus
       15          18   Message.ctor(i/c)
       14          31   ProtocolSM.PeerFactory
       14          28   Message.SetProtocol
       14          25   Pots_NU_Message.dtor
       14          22   BcSsm.SetNextState
       14          19   ServiceSM.SetNextState
       13          66   Message.Send
       13          54   Message.ctor(o/g)
       13          33   TlvMessage.Send
       13          29   Message.Capture
       13          28   PotsCallPsm.Cast
       13          27   InvokerThread.ScheduledIn
       13          24   Message.SetSender
       13          24   TlvMessage.ctor(o/g)
       13          21   Message.SetReceiver
       13          20   Message.SetSignal
       13          20   ObjectPool.BidToObj
       13          19   InvokerThread.BlockingAllowed
       13          17   InvokerPool.ScheduledOut
       12         353   SysIpL2Addr.HostToNetwork(IPv6)
       12          47   SysUdpSocket.SendBuff
