FUNCTION PROFILE: 20-Dec-2020 11:08:07.587 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      229        1489   Q1Way.Enq
      203        1735   Context.RunningContextTraced
      177        1343   Q1Way.Deq
      176        1175   ObjectPool.DeqBlock
      176        1125   Pooled.ctor
      147         942   Context.RunningContext
      142         778   ObjectPool.EnqBlock
      142         682   Pooled.operator delete
      142          80   C++.delete
      130         740   SysIpL2Addr.dtor
      118         610   SysIpL3Addr.dtor
      111         691   Q1Way.Exq
      102         585   Context.SetContextMsg
      100         571   TlvMessage.FencePtr
      100         558   ProtocolSM.Port
       93         572   MsgPort.Port
       80        1373   SysThread.Resume
       80         674   Thread.Interrupt
       80         618   SysThread.Interrupt
       78         752   SysIpL2Addr.ctor
       78         485   SysIpL3Addr.ctor
       73     6843187   SysThread.Suspend
       72         585   Message.RxSbAddr
       69         740   SysHeap.Alloc
       69         457   IpBuffer.BuffSize
       69         455   Memory.Alloc
       68         500   SbIpBuffer.operator new
       66         353   TlvMessage.FirstParm
       66         334   TlvMessage.FindParm
       63        2181   Message.ClearContext
       63         375   Message.Exqueue
       61         326   TlvMessage.NextParm
       60         307   TlvMessage.FindType
       57         363   Context.SetState
       56         331   SbIpBuffer.PayloadSize
       53         597   Memory.Copy
       52         412   Thread.Pause
       52         329   Q1Way.Init
       50         322   Q1Way.Purge
       50         277   TlvMessage.CheckFence
       47        3042   Thread.LogContextSwitch
       47        1477   SysMutex.Acquire
       47         703   Thread.Resume
       47         670   Thread.ExitBlockingOperation
       47         570   Thread.InitialTime
       47         521   ThreadAdmin.WarpFactor
       47         502   SysMutex.Release
       47         435   SysThread.Wait
       47         417   Thread.Schedule
       47         390   Thread.Ready
       47         296   Thread.EnterBlockingOperation
       47         274   Thread.Suspend
       47         273   MutexGuard.ctor
       47         224   MutexGuard.Release
       47         207   MutexGuard.dtor
       45         268   Event.operator new
       45         258   Event.ctor
       45         257   ServiceSM.EnqEvent
       45         223   ServiceSM.ExqEvent
       45         175   Event.dtor
       41        1203   SysSocket.SetBlocking
       41         304   Thread.RtcPercentUsed
       39         284   Factory.RecordMsg
       39         266   Message.TxSbAddr
       38         253   InvokerPool.FindWork
       38         209   Message.Enqueue
       35         251   SysHeap.BlockToSize
       35         226   Context.Exqueue
       35         202   InvokerThread.ClearContext
       35         184   SysHeap.Free
       35         169   Memory.Free
       34         834   SbIpBuffer.ctor
       34         481   SbIpBuffer.ctor(copy)
       34         282   IpBuffer.ctor(copy)
       34         245   MsgHeader.ctor
       34         233   MsgBuffer.ctor(copy)
       34         221   Message.operator new
       34         217   MsgBuffer.ctor
       34         208   IpBuffer.ctor
       34         186   TlvMessage.AddParm
       34         184   IpBuffer.AddBytes
       34         178   TlvMessage.AddType
       34         167   TlvMessage.dtor
       34         160   SbIpBuffer.dtor
       34         157   MsgBuffer.dtor
       34         154   Message.dtor
       34         153   SbIpBuffer.operator delete
       34         150   IpBuffer.dtor
       33         261   Message.RxFactory
       30         203   Q2Way.Exq
       29         401   SysSocket.TracePeer
       29         151   Message.Handled
       29         149   PotsMessage.dtor
       28         180   ProtocolSM.SetState
       28         175   Message.SetPsm
       26         222   BcEvent.ctor
       26         198   SysThread.Delay
       26         146   Context.TraceMsg
       26         113   BcEvent.dtor
       24         218   Alarm.Create
       24         156   MsgPort.Find
       23         907   Context.CaptureTask
       23         167   MsgFactory.ReceiveMsg
       23         167   InvokerPool.ReceiveMsg
       23         164   InvokerThread.SetContext
       23         161   Context.EnqMsg
       23         159   InvokerPool.KickThread
       23         158   InvokerPool.Dequeued
       23         153   Context.ProcessWork
       23         148   PayloadInvokerPool.RecordDelay
       23         141   Context.ProcessMsg
       23         139   InvokerPool.Enqueued
       23         136   Context.Enqueue
       23         113   Thread.PauseOver
