FUNCTION PROFILE: 2-Aug-2019 08:49:28.534 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      402          15   Object.ctor
      401       10390   Base.ctor
      336        3059   Alarm.Create
      333        1884   ObjectPool.UpdateAlarm
      270        1549   Thread.RunningThread
      249        1701   Q1Way.Enq
      223        2583   Context.RunningContextTraced
      180        1321   ObjectPool.DeqBlock
      179        1149   Q1Way.Deq
      179          12   Pooled.ctor
      155        1130   Pooled.operator delete
      155         965   ObjectPool.EnqBlock
      155         141   C++.delete
      152        1189   Context.RunningContext
      135        1049   Thread.Pause
      133           0   SysIpL2Addr.ctor(copy)
      132         812   SysIpL2Addr.dtor
      126         905   Q1Way.Exq
      118         772   Context.SetContextMsg
      115         794   SysIpL3Addr.dtor
      111           0   SysIpL3Addr.ctor(copy)
      104         579   ProtocolSM.Port
      100         876   TlvMessage.FencePtr
       98         683   MsgPort.Port
       87         575   SysIpL2Addr.operator=(copy)
       85           0   SysIpL2Addr.ctor
       84           0   SysIpL3Addr.ctor
       76         504   SysIpL3Addr.operator=(copy)
       74        1875   Thread.ExitBlockingOperation
       74         582   TlvMessage.FirstParm
       74         547   TlvMessage.FindParm
       74         511   Thread.Unlock
       72     7002596   SysMutex.Release
       72         547   Message.RxSbAddr
       71        3122   Message.ClearContext
       71         834   Thread.LogContextSwitch
       70         581   Thread.EnterBlockingOperation
       70         479   SbIpBuffer.operator new
       68         891   SysHeap.Alloc
       68         413   Memory.Alloc
       68         361   IpBuffer.BuffSize
       68         357   Message.Exqueue
       66         450   TlvMessage.FindType
       63         414   TlvMessage.NextParm
       63         393   Thread.ResumeLocked
       61         452   Context.SetState
       59         520   Thread.InitialMsecs
       59           0   ThreadAdmin.WarpFactor
       57         626   SysMutex.Acquire
       55         411   SbIpBuffer.PayloadSize
       54         371   Thread.RtcPercentUsed
       53         361   Q1Way.Init
       52        1429   SysSocket.SetBlocking
       52         445   Event.dtor
       52         340   ServiceSM.ExqEvent
       50         344   TlvMessage.CheckFence
       50         210   Q1Way.Purge
       49          46   Event.ctor
       48         578   Memory.Copy
       48         328   Event.operator new
       48         301   ServiceSM.EnqEvent
       42         843   InvokerPool.FindWork
       42         230   Message.Enqueue
       41         394   Factory.RecordMsg
       41         342   Message.TxSbAddr
       38         288   SysHeap.Free
       38         236   Memory.Free
       37         317   InvokerThread.ClearContext
       37         301   Message.dtor
       37         284   IpBuffer.dtor
       37         260   SbIpBuffer.operator delete
       37         259   MsgBuffer.dtor
       37         222   TlvMessage.dtor
       37         198   SbIpBuffer.dtor
       35         323   Message.RxFactory
       35           0   MsgBuffer.ctor
       34         314   Message.operator new
       34         275   Message.Handled
       34          76   IpBuffer.ctor(copy)
       34          67   IpBuffer.ctor
       34           0   MsgBuffer.ctor(copy)
       34           0   SbIpBuffer.ctor(copy)
       33         255   TlvMessage.AddParm
       33         217   IpBuffer.AddBytes
       33         203   Context.Exqueue
       33         198   TlvMessage.AddType
       32         330   MsgHeader.ctor
       32          11   SbIpBuffer.ctor
       31         232   Message.SetPsm
       30         187   Q2Way.Exq
       30         159   PotsMessage.dtor
       29         324   Thread.MsecsSinceStart
       29         224   MediaPsm.EndOfTransaction
       29         211   MediaPsm.PrepareOgMsgq
       29         209   ProtocolSM.EndOfTransaction
       29         206   BcEvent.dtor
       29         177   ProtocolSM.SetState
       29           0   BcEvent.ctor
       28         827   SysSocket.TracePeer
       28         200   IoThread.ConditionalPause
       26         252   MsgFactory.ReceiveMsg
       26         232   MsgPort.Find
       26         200   IpPort.RecvsInSequence
       26         171   Thread.PauseOver
       26         168   Context.TraceMsg
       25         435   SysThread.Interrupt
       25         225   Thread.Interrupt
       25         207   InvokerPool.KickThread
       25         201   Q2Way.Enq
       25         198   InvokerPool.Enqueued
       25         167   Context.EnqMsg
       25         161   Context.Enqueue
       24        1119   Context.CaptureTask
       24         323   Context.ProcessMsg
       23         234   TimerRegistry.ProcessWork
       23         225   Context.ProcessWork
       23         215   InvokerThread.SetContext
       23         178   InvokerPool.Dequeued
       22         207   InvokerPool.ReceiveMsg
       22         188   ObjectPool.BidToObj
       22         176   ProtocolLayer.RootSsm
       22         141   Q1Way.Henq
       21         160   InvokerThread.BlockingAllowed
       21         150   PotsBcSsm.SetNextSnp
       21         126   ServiceSM.SetNextSnp
       21         121   BcSsm.SetNextState
       21         116   ServiceSM.SetNextState
       21          59   InvokerPool.ScheduledOut
       20         110   PotsBcSsm.SetNextSap
       20         109   ServiceSM.SetNextSap
       19         311   SysSocket.Empty
       19         126   GlobalAddress.dtor
       19         123   Pots_NU_Message.dtor
       19         101   ProtocolSM.PeerFactory
       18         366   Message.SetReceiver
       18         350   MsgFactory.CaptureMsg
       18         166   IoThread.InvokeHandler
       18         145   IpPort.BytesRcvd
       18         129   SbExtInputHandler.AllocBuff
       18         113   Message.SetProtocol
       18          49   Message.ctor(o/g)
       18           9   TlvMessage.ctor(o/g)
       17         480   MsgPort.WrapMsg
       17         374   Message.SetSender
       17         344   PsmContext.FindPort
       17         198   SsmContext.ProcessIcMsg
       17         180   PsmContext.EndOfTransaction
       17         141   SsmContext.EndOfTransaction
       17         137   ServiceSM.EndOfTransaction
       17         130   ProxyBcSsm.EndOfTransaction
       17         126   AnalyzeMsgEvent.dtor
       17         124   MsgContext.EndOfTransaction
       17         118   ProxyBcSsm.FirstProxy
       17         116   SsmContext.IsIdle
       17         114   ProtocolSM.GetProtocol
       17         113   TlvMessage.Send
       17         106   Message.SetSignal
       17         105   ProtocolSM.EnqOgMsg
       17          77   UdpIoThread.Enter
       16         188   ProtocolLayer.SendToUpper
       16         158   MsgPort.SendMsg
       16         146   Message.Send
       16         132   MsgPort.ReceiveMsg
       16         124   ProtocolLayer.SendToLower
       16         117   MsgPort.Route
       16         101   NwTracer.BuffStatus
       16          92   ProtocolLayer.EnsureLower
       16          27   TlvMessage.ctor(i/c)
       16           0   PotsMessage.ctor(i/c)
       15         176   SsmFactory.ReceiveMsg
       15         156   BcSsm.CalcPort
       15         136   InvokerPool.ReceiveBuff
       15         135   PsmFactory.ReceiveMsg
       15         135   SbTracer.MsgStatus
       15         130   ProtocolSM.ReceiveMsg
       15         121   ProtocolSM.HenqReceivedMsg
       15         120   SbInputHandler.ReceiveBuff
       15         119   MediaPsm.ReceiveMsg
       15         119   SbAnalyzeMessage.ProcessEvent
       15         113   ProtocolSM.AddressesUnknown
       15         105   MediaPsm.SetOgPort
       15         103   IpPortRegistry.HostAddress
       15         103   Message.Henqueue
       15         102   ProxyBcSsm.CalcPort
       15          99   ProtocolSM.UnwrapMsg
       15          90   Message.Capture
       15          85   InvokerPool.TraceRxNet
