FUNCTION PROFILE: 30-Jan-2020 18:56:00.647 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      178         605   Q1Way.Enq
      156         750   Context.RunningContextTraced
      138         536   Q1Way.Deq
      137         490   ObjectPool.DeqBlock
      137         429   Pooled.ctor
      118         502   SysIpL2Addr.dtor
      113         513   Context.RunningContext
      113         393   ObjectPool.EnqBlock
      113         391   Pooled.operator delete
      113          91   C++.delete
      112         593   SysIpL2Addr.ctor(copy)
      103         386   SysIpL3Addr.dtor
       89         230   SysIpL3Addr.ctor(copy)
       83         298   Q1Way.Exq
       82         311   TlvMessage.FencePtr
       81        1538   SysThread.Resume
       81         747   Thread.Interrupt
       81         643   SysThread.Interrupt
       79         254   ProtocolSM.Port
       75         428   SysIpL2Addr.operator=(copy)
       72         220   MsgPort.Port
       68         263   SysIpL3Addr.operator=(copy)
       68         198   Context.SetContextMsg
       67    12351176   SysThread.Suspend
       63         396   SysIpL2Addr.ctor
       63         215   SysIpL3Addr.ctor
       58         235   Q1Way.Init
       55         165   Q1Way.Purge
       51         149   IpBuffer.BuffSize
       50         457   Thread.Pause
       50         293   SysHeap.Alloc
       50         205   SbIpBuffer.operator new
       50         200   Memory.Alloc
       48         266   Message.RxSbAddr
       46        1032   Message.ClearContext
       46         144   Message.Exqueue
       46         141   SbIpBuffer.PayloadSize
       45         182   TlvMessage.FindParm
       45         142   TlvMessage.FirstParm
       42         614   Thread.ExitBlockingOperation
       42         573   Thread.Resume
       42         497   Thread.Schedule
       42         489   ThreadAdmin.WarpFactor
       42         469   Thread.InitialMsecs
       42         421   SysThread.Wait
       42         363   Thread.Ready
       42         327   Thread.LogContextSwitch
       42         305   Thread.EnterBlockingOperation
       42         262   Thread.Suspend
       40         156   TlvMessage.FindType
       40         133   TlvMessage.CheckFence
       37         137   TlvMessage.NextParm
       36         220   Memory.Copy
       35         747   SysSocket.SetBlocking
       35         139   Context.SetState
       33         138   Event.ctor
       33         135   Event.dtor
       33         128   ServiceSM.EnqEvent
       33         108   Event.operator new
       33          91   ServiceSM.ExqEvent
       28         121   TlvMessage.AddParm
       28         106   IpBuffer.AddBytes
       28          94   TlvMessage.AddType
       27         162   Message.TxSbAddr
       27         127   Factory.RecordMsg
       27         102   Thread.RtcPercentUsed
       27          84   Message.Enqueue
       26         398   SbIpBuffer.ctor
       26         140   IpBuffer.ctor
       26         136   Message.dtor
       26         129   MsgHeader.ctor
