FUNCTION PROFILE: 13-Feb-2022 16:52:30.359 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      162         796   Q1Way.Enq
      146         826   Q1Way.Deq
      145         844   Pooled.ctor
      145         711   ObjectPool.DeqBlock
      128         926   Context.RunningContextTraced
      107         407   ObjectPool.EnqBlock
      107         374   Pooled.operator delete
       88         480   Context.RunningContext
       88          41   C++.delete
       75         863   SysThread.Resume
       75         555   Thread.Interrupt
       75         469   SysThread.Interrupt
       70         341   Q1Way.Exq
       68     6914382   SysThread.Suspend
       67         289   ProtocolSM.Port
       65         551   SysIpL2Addr.dtor
       65         257   SysIpL3Addr.dtor
       62         321   TlvMessage.FencePtr
       60         297   MsgPort.Port
       56         320   Thread.Pause
       56         255   Context.SetContextMsg
       47         339   SysIpL3Addr.ctor
       47         292   SysIpL2Addr.ctor
       47         240   IPv6Addr.ctor
       46         219   SbIpBuffer.PayloadSize
       44         227   Q1Way.Init
       42         169   TlvMessage.FirstParm
       42         145   TlvMessage.FindParm
       42         117   Q1Way.Purge
       41         234   Message.RxSbAddr
       40        1755   Thread.LogContextSwitch
       40         666   SysMutex.Acquire
       40         645   Thread.ExitBlockingOperation
       40         493   Thread.InitialTime
       40         364   Thread.Resume
       40         337   Thread.Ready
       40         312   SysMutex.Release
       40         311   ThreadAdmin.WarpFactor
       40         299   Thread.Schedule
       40         293   SysThread.Wait
       40         225   Thread.EnterBlockingOperation
       40         201   Thread.Suspend
       40         198   MutexGuard.ctor
       40         169   MutexGuard.dtor
       40         159   MutexGuard.Release
       38         204   SmallBuffer.operator new
       38         188   SbIpBuffer.operator new
       38         176   NetworkBase.AllocByteBuff
       38         171   IpBuffer.AllocBuff
       37         133   TlvMessage.FindType
       36         992   Message.ClearContext
       36         171   Message.Exqueue
       34         121   TlvMessage.NextParm
       31         158   TlvMessage.CheckFence
       31         128   Context.SetState
       28         265   Memory.Copy
       28         224   SysThread.Delay
       28         114   Event.operator new
       28         109   ServiceSM.ExqEvent
       28         108   ServiceSM.EnqEvent
       28         108   Event.ctor
       28          87   Event.dtor
       25         234   SysSocket.SetBlocking
       24         133   Thread.CurrTimeRunning
       23         134   Message.TxSbAddr
       23         131   Factory.RecordMsg
       23         105   Message.Enqueue
       22         126   Thread.RtcPercentUsed
       21         105   TlvMessage.AddParm
       21         100   TlvMessage.AddType
       21          98   IpBuffer.AddBytes
       21          90   InvokerPool.FindWork
       21          86   Context.Exqueue
       21          83   InvokerThread.ClearContext
       19         423   SbIpBuffer.ctor
       19         184   SbIpBuffer.ctor(copy)
       19         146   IpBuffer.ctor
       19         105   Message.RxFactory
       19         105   MsgBuffer.ctor
       19          99   MsgBuffer.ctor(copy)
       19          99   MsgHeader.ctor
       19          98   Message.operator new
       19          84   IpBuffer.ctor(copy)
       19          66   MsgBuffer.dtor
       19          64   TlvMessage.dtor
       19          64   SbIpBuffer.dtor
       19          64   IpBuffer.dtor
       19          63   Message.dtor
       19          60   SbIpBuffer.operator delete
       18         121   BcEvent.ctor
       18          61   BcEvent.dtor
       17          93   Message.Handled
       17          85   Q2Way.Exq
       17          76   Message.SetPsm
       16          77   GlobalAddress.dtor
       15         143   SysSocket.TracePeer
       15          74   ProtocolSM.SetState
       15          69   ServiceSM.SetNextSnp
       15          63   Context.TraceMsg
       15          61   ServiceSM.SetNextSap
       15          60   PotsBcSsm.SetNextSap
       15          59   PotsBcSsm.SetNextSnp
       15          52   PotsMessage.dtor
       14          78   Alarm.Create
       13         369   Context.CaptureTask
       13          95   InvokerPool.ReceiveMsg
       13          91   MsgPort.Find
       13          79   InvokerPool.KickThread
       13          75   InvokerPool.Enqueued
       13          72   Context.Enqueue
       13          71   Context.EnqMsg
       13          66   Q1Way.Henq
       13          66   Context.ProcessWork
       13          61   PayloadInvokerPool.RecordDelay
       13          60   InvokerThread.SetContext
       13          60   MsgFactory.ReceiveMsg
       13          56   InvokerPool.Dequeued
       13          55   Context.ProcessMsg
       13          48   Thread.PauseOver
       13          41   PotsCallPsm.Cast
       12         111   ServiceSM.SetNextState
