FUNCTION PROFILE: 3-Jun-2018 12:28:53.211 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      386           0   Base.ctor
      385           0   Object.ctor
      240           0   Q1Way.Enq
      208           0   Thread.RunningThread
      205           0   Context.RunningContextTraced
      184           0   Q1Way.Deq
      182           0   Pooled.ctor
      180           0   ObjectPool.DeqBlock
      146           0   ObjectPool.EnqBlock
      146           0   Pooled.operator delete
      143           0   Context.RunningContext
      131           0   SysIpL2Addr.ctor(copy)
      115           0   Q1Way.Exq
      112           0   SysIpL2Addr.dtor
      111           0   SysIpL3Addr.ctor(copy)
      110           0   TlvMessage.FencePtr
      107           0   ProtocolSM.Port
      102           0   SysIpL3Addr.dtor
      100           0   Context.SetContextMsg
      100           0   MsgPort.Port
       84           0   SysIpL2Addr.operator=(copy)
       84           0   SysIpL3Addr.operator=(copy)
       79           0   Q1Way.Init
       70           0   Q1Way.Purge
       70           0   SysIpL2Addr.ctor
       70           0   SysIpL3Addr.ctor
       68           0   TlvMessage.FindParm
       68           0   TlvMessage.FirstParm
       67           0   IpBuffer.BuffSize
       67           0   Message.RxSbAddr
       66           0   Memory.Alloc
       66           0   SysHeap.Alloc
       65           0   SbIpBuffer.PayloadSize
       63           0   Message.Exqueue
       62           0   SbIpBuffer.operator new
       61           0   TlvMessage.FindType
       59           0   TlvMessage.NextParm
       55           0   Message.ClearContext
       55           0   TlvMessage.CheckFence
       52           0   Context.SetState
       49           0   SysMutex.Release
       48           0   Memory.Copy
       48           0   Thread.LogContextSwitch
       47           0   Thread.EnterBlockingOperation
       46           0   Event.ctor
       46           0   Event.dtor
       46           0   ServiceSM.EnqEvent
       46           0   ServiceSM.ExqEvent
       45           0   Event.operator new
       43           0   Thread.ResumeLocked
       39           0   Message.Enqueue
       39           0   Thread.RtcPercentUsed
       38           0   MsgBuffer.ctor
       37           0   InvokerPool.FindWork
       37           0   MsgHeader.ctor
       37           0   SbIpBuffer.ctor
       37           0   Thread.InitialMsecs
       37           0   ThreadAdmin.WarpFactor
       36           0   IpBuffer.AddBytes
       36           0   Message.TxSbAddr
       36           0   TlvMessage.AddParm
       36           0   TlvMessage.AddType
       35           0   Context.Exqueue
       35           0   Factory.RecordMsg
       35           0   IpBuffer.ctor
       35           0   Message.RxFactory
       35           0   Message.operator new
       35           0   SysMutex.Acquire
       34           0   InvokerThread.ClearContext
       32           0   IpBuffer.dtor
       32           0   Memory.Free
       32           0   MsgBuffer.dtor
       32           0   SbIpBuffer.operator delete
       32           0   SysHeap.Free
       31           0   IpBuffer.ctor(copy)
       31           0   SbIpBuffer.dtor
       31           0   SysSocket.SetBlocking
       30           0   MsgBuffer.ctor(copy)
       30           0   SbIpBuffer.ctor(copy)
       29           0   Message.SetPsm
       29           0   Message.dtor
       29           0   TlvMessage.dtor
       27           0   GlobalAddress.dtor
       27           0   Q2Way.Exq
       27           0   SysSocket.TracePeer
       26           0   BcEvent.dtor
       25           0   BcEvent.ctor
       25           0   PotsMessage.dtor
       25           0   ProtocolSM.SetState
       25           0   SysThread.Interrupt
       25           0   Thread.Interrupt
       24           0   Message.Handled
       24           0   MsgPort.Find
       23           0   Context.CaptureTask
       23           0   Context.EnqMsg
       23           0   Context.Enqueue
       23           0   Context.ProcessMsg
       23           0   Context.TraceMsg
       23           0   MsgFactory.ReceiveMsg
       23           0   Q1Way.Henq
       23           0   Q2Way.Enq
       22           0   Context.ProcessWork
       22           0   InvokerPool.Dequeued
       22           0   InvokerPool.Enqueued
       22           0   InvokerPool.KickThread
       22           0   InvokerPool.ReceiveMsg
       22           0   InvokerThread.SetContext
       21           0   PotsBcSsm.SetNextSnp
       21           0   ProtocolSM.PeerFactory
       21           0   ServiceSM.SetNextSnp
       21           0   Thread.PauseOver
       20           0   Message.SetReceiver
       19           0   BcSsm.SetNextState
       19           0   MediaPsm.EndOfTransaction
       19           0   Message.Send
       19           0   Message.SetProtocol
       19           0   Message.SetSender
       19           0   PotsBcSsm.SetNextSap
       19           0   PotsCallPsm.Cast
       19           0   ProtocolSM.EndOfTransaction
       19           0   ServiceSM.SetNextSap
       19           0   ServiceSM.SetNextState
       19           0   TlvMessage.Send
       19           0   TlvMessage.ctor(o/g)
       18           0   InvokerPool.ReceiveBuff
       18           0   IoThread.ConditionalPause
       18           0   MediaInfo.ctor
       18           0   MediaPsm.PrepareOgMsgq
       18           0   Message.SetSignal
       18           0   MsgFactory.CaptureMsg
       18           0   NwTracer.BuffStatus
       18           0   ProtocolLayer.RootSsm
       18           0   SbInputHandler.ReceiveBuff
       18           0   SbTracer.MsgStatus
       18           0   SysSocket.Empty
       17           0   InvokerPool.ScheduledOut
       17           0   InvokerPool.TraceRxNet
       17           0   InvokerThread.BlockingAllowed
       17           0   IpPort.RecvsInSequence
       17           0   Message.ctor(i/c)
       17           0   Message.ctor(o/g)
       17           0   ObjectPool.BidToObj
       17           0   PotsMessage.ctor(i/c)
       17           0   TlvMessage.ctor(i/c)
       16           0   Initiator.InvokeHandler
       16           0   IoThread.InvokeHandler
       16           0   MsgPort.Route
       16           0   PotsProfile.FindFeature
       16           0   ProtocolSM.EnqOgMsg
       16           0   ProtocolSM.GetProtocol
       16           0   SbExtInputHandler.AllocBuff
       16           0   Thread.MsecsSinceStart
       15           0   Context.ctor
       15           0   Factory.IncrContexts
       15           0   InvokerThread.ScheduledIn
       15           0   IpPort.BytesRcvd
       15           0   MsgContext.ctor
       15           0   MsgPort.SendMsg
       15           0   MsgPort.WrapMsg
