FUNCTION PROFILE: Jun-13-2022 16:37:56.457 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      129         215   Q1Way.Enq
      118         225   Q1Way.Deq
      117         258   ObjectPool.DeqBlock
      117         209   Pooled.ctor
      104         259   Context.RunningContextTraced
       87         178   Pooled.operator delete
       87         175   ObjectPool.EnqBlock
       72          34   C++.delete
       65         118   Context.RunningContext
       54          93   Q1Way.Exq
       47         183   SysIpL2Addr.dtor
       47         108   SysIpL3Addr.dtor
       45         283   Gate.Notify
       45         172   Thread.Interrupt
       45         127   SysThread.Interrupt
       45          94   ProtocolSM.Port
       44          80   Context.SetContextMsg
       43     2269127   Gate.WaitFor
       43         132   SysThread.Suspend
       42         100   TlvMessage.FencePtr
       42          68   MsgPort.Port
       40          68   Q1Way.Init
       38          54   Q1Way.Purge
       36          60   SbIpBuffer.PayloadSize
       34         149   SysIpL2Addr.ctor
       34          87   SysIpL3Addr.ctor
       34          61   IPv6Addr.ctor
       32         113   Thread.Pause
       30          68   SbIpBuffer.operator new
       30          61   SmallBuffer.operator new
       30          57   Message.RxSbAddr
       30          53   NetworkBase.AllocByteBuff
       30          50   IpBuffer.AllocBuff
       27         552   Thread.LogContextSwitch
       27         154   Thread.ExitBlockingOperation
       27         151   Mutex.Acquire
       27         138   Thread.InitialTime
       27         132   Thread.Resume
       27          97   ThreadAdmin.WarpFactor
       27          86   SysThread.Wait
       27          85   MutexGuard.Release
       27          78   Thread.Suspend
       27          74   MutexGuard.dtor
       27          74   Thread.Ready
       27          72   MutexGuard.ctor
       27          70   Thread.Schedule
       27          66   Mutex.Release
       27          64   Thread.EnterBlockingOperation
       27          50   TlvMessage.FindParm
       27          41   TlvMessage.FirstParm
       26         386   Message.ClearContext
       26          47   Message.Exqueue
       26          45   TlvMessage.NextParm
       24          73   Event.ctor
       24          59   Event.dtor
       24          57   Memory.Copy
       24          51   ServiceSM.EnqEvent
       24          50   Event.operator new
       24          47   ServiceSM.ExqEvent
       24          41   TlvMessage.FindType
       21          49   Context.SetState
       21          44   TlvMessage.CheckFence
       19          71   SysSocket.SetBlocking
       18          27   Thread.RtcPercentUsed
       17          44   InvokerPool.FindWork
       16          39   SysThread.Delay
       15         215   SbIpBuffer.ctor
       15          63   IpBuffer.ctor
       15          50   BcEvent.ctor
       15          50   IpBuffer.ctor(copy)
       15          48   SbIpBuffer.ctor(copy)
       15          46   IpBuffer.dtor
       15          46   TlvMessage.AddParm
       15          45   Message.dtor
       15          42   Context.Exqueue
       15          41   SysSocket.TracePeer
       15          36   TlvMessage.AddType
       15          33   IpBuffer.AddBytes
       15          33   SbIpBuffer.dtor
       15          32   BcEvent.dtor
       15          31   SbIpBuffer.operator delete
       15          29   Message.operator new
       15          28   TlvMessage.dtor
       15          26   InvokerThread.ClearContext
       15          26   MsgBuffer.ctor
       15          25   Message.Enqueue
       15          24   Message.TxSbAddr
       15          24   MsgHeader.ctor
       15          22   MsgBuffer.dtor
       15          21   Factory.RecordMsg
       15          21   MsgBuffer.ctor(copy)
       13          31   PotsBcSsm.SetNextSap
       13          25   ServiceSM.SetNextSap
       13          22   Message.RxFactory
       12          33   Q2Way.Exq
       12          18   PotsCallPsm.Cast
       11          40   Thread.CurrTimeRunning
       11          28   ServiceSM.SetNextSnp
       11          26   Message.Handled
       11          25   PotsBcSsm.SetNextSnp
       11          23   PotsMessage.dtor
       11          20   Message.SetPsm
       11          18   Q1Way.Henq
       11          17   ProtocolSM.SetState
       11          13   IpPort.RecvsInSequence
       10          21   BcSsm.SetNextState
       10          20   ServiceSM.SetNextState
       10          19   Alarm.Create
       10          16   GlobalAddress.dtor
       10          14   Context.TraceMsg
        9         945   SysUdpSocket.RecvFrom
        9          96   Context.CaptureTask
        9          29   SessionBase.CaptureMsg
        9          28   Context.ProcessMsg
        9          28   InvokerPool.ReceiveMsg
        9          26   PayloadInvokerPool.RecordDelay
        9          25   MediaInfo.ctor
        9          25   SbTracer.MsgStatus
        9          23   Context.ProcessWork
        9          22   IoThread.InvokeHandler
        9          22   SysSocket.Empty
        9          21   InvokerThread.SetContext
        9          21   MsgFactory.ReceiveMsg
        9          21   SysIpL3Addr.NetworkToHost(IPv6)
        9          18   InvokerPool.ReceiveBuff
        9          18   SbInputHandler.ReceiveBuff
        9          17   SessionBase.TraceRxNet
        9          16   InvokerPool.Dequeued
