FUNCTION PROFILE: Jun-13-2022 16:37:52.279 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       53          57   Q1Way.Enq
       48          78   Q1Way.Deq
       48          70   ObjectPool.DeqBlock
       48          63   Pooled.ctor
       42          61   Context.RunningContextTraced
       36          49   ObjectPool.EnqBlock
       36          44   Pooled.operator delete
       30          12   C++.delete
       26          32   Context.RunningContext
       23         134   Gate.Notify
       23          57   SysThread.Interrupt
       23          54   Thread.Interrupt
       22          24   Q1Way.Exq
       21     1235314   Gate.WaitFor
       21          43   SysThread.Suspend
       20          28   Q1Way.Init
       20          24   Context.SetContextMsg
       19          19   Q1Way.Purge
       18          23   ProtocolSM.Port
       18          18   MsgPort.Port
       17          53   SysIpL2Addr.dtor
       17          28   SysIpL3Addr.dtor
       16          40   Thread.Pause
       14          14   TlvMessage.FencePtr
       13         253   Thread.LogContextSwitch
       13          87   Mutex.Acquire
       13          76   Thread.ExitBlockingOperation
       13          44   Thread.InitialTime
       13          44   Thread.Resume
       13          37   MutexGuard.dtor
       13          33   Thread.Ready
       13          31   MutexGuard.Release
       13          29   SysThread.Wait
       13          28   MutexGuard.ctor
       13          27   Mutex.Release
       13          27   Thread.Suspend
       13          27   ThreadAdmin.WarpFactor
       13          25   Thread.Schedule
       13          23   Thread.EnterBlockingOperation
       13          22   SysIpL3Addr.ctor
       13          20   SysIpL2Addr.ctor
       13          14   SbIpBuffer.PayloadSize
       13          12   IPv6Addr.ctor
       12          21   SbIpBuffer.operator new
       12          18   IpBuffer.AllocBuff
       12          18   SmallBuffer.operator new
       12          17   Message.RxSbAddr
       12          15   NetworkBase.AllocByteBuff
       11          13   TlvMessage.FindParm
       11          12   TlvMessage.FirstParm
       10         107   Message.ClearContext
       10          22   Memory.Copy
       10          18   Event.ctor
       10          14   Event.operator new
       10          13   TlvMessage.FindType
       10          12   Event.dtor
       10          11   Message.Exqueue
       10          11   ServiceSM.EnqEvent
       10          10   ServiceSM.ExqEvent
        9           9   Context.SetState
        9           9   TlvMessage.NextParm
        8          19   SysSocket.SetBlocking
        8          18   SysThread.Delay
        8          15   InvokerPool.FindWork
        8          10   Thread.RtcPercentUsed
        7          14   Context.Exqueue
        7           7   InvokerThread.ClearContext
        7           7   TlvMessage.CheckFence
        6          46   SbIpBuffer.ctor
        6          17   SbIpBuffer.ctor(copy)
        6          16   IpBuffer.ctor
        6          14   IpBuffer.ctor(copy)
        6          13   IpBuffer.dtor
        6          13   SysSocket.TracePeer
        6          12   Message.dtor
        6          12   SbIpBuffer.dtor
        6          10   MsgBuffer.ctor
        6          10   SbIpBuffer.operator delete
        6           9   Message.Enqueue
        6           9   TlvMessage.dtor
        6           8   BcEvent.ctor
        6           8   BcEvent.dtor
        6           8   PotsMessage.dtor
        6           7   Message.operator new
        6           7   MsgBuffer.ctor(copy)
        6           7   MsgHeader.ctor
        6           6   Factory.RecordMsg
        6           6   Message.RxFactory
        6           6   Message.TxSbAddr
        6           6   MsgBuffer.dtor
        6           6   PotsCallPsm.Cast
        5          12   Thread.CurrTimeRunning
        5          11   TlvMessage.AddParm
        5           9   MsgPort.Find
        5           7   Alarm.Create
        5           6   Q1Way.Henq
        5           5   IpBuffer.AddBytes
        5           5   IpPort.RecvsInSequence
        5           5   PotsBcSsm.SetNextSap
        5           5   Q2Way.Exq
        5           5   ServiceSM.SetNextSap
        5           5   TlvMessage.AddType
