FUNCTION PROFILE: 15-Oct-2019 09:00:14.421 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      865         233   Object.ctor
      864       23543   Base.ctor
      771        6986   Alarm.Create
      766        4464   ObjectPool.UpdateAlarm
      582        3940   Q1Way.Enq
      535        5928   Context.RunningContextTraced
      417        2811   Q1Way.Deq
      416           0   Pooled.ctor
      411        2870   ObjectPool.DeqBlock
      383        2328   Thread.RunningThread
      354        2818   Pooled.operator delete
      354        2383   ObjectPool.EnqBlock
      346         310   C++.delete
      327        2892   Context.RunningContext
      304        2188   Q1Way.Exq
      280          30   SysIpL2Addr.ctor(copy)
      279        1831   SysIpL2Addr.dtor
      271        2349   TlvMessage.FencePtr
      256        1772   SysIpL3Addr.dtor
      251        1577   ProtocolSM.Port
      243          31   SysIpL3Addr.ctor(copy)
      231        1854   MsgPort.Port
      210        1446   Context.SetContextMsg
      207     1029098   Thread.Pause
      196        1312   SysIpL2Addr.operator=(copy)
      188        1300   SysIpL3Addr.operator=(copy)
      163        1019   TlvMessage.NextParm
      163         982   Q1Way.Init
      160        1332   Message.RxSbAddr
      159           1   SysIpL2Addr.ctor
      159           0   SysIpL3Addr.ctor
      158        1072   TlvMessage.FindParm
      158         995   TlvMessage.FirstParm
      156         909   Message.Exqueue
      156         908   Q1Way.Purge
      148        1133   SbIpBuffer.PayloadSize
      146         827   IpBuffer.BuffSize
      142        6802   Message.ClearContext
      140        1237   SysHeap.Alloc
      139         886   Memory.Alloc
      136        1087   SbIpBuffer.operator new
      136        1010   TlvMessage.CheckFence
      135         871   TlvMessage.FindType
      127         935   Event.dtor
      127         752   ServiceSM.EnqEvent
      127         698   ServiceSM.ExqEvent
      126         122   Event.ctor
      124         914   Event.operator new
      113        2740   Thread.ExitBlockingOperation
      113         633   Thread.Unlock
      106         727   Context.SetState
      103        1349   Memory.Copy
      100         753   IpBuffer.AddBytes
      100         643   Thread.RtcPercentUsed
       96         803   Factory.RecordMsg
       92         798   TlvMessage.AddParm
       92         733   TlvMessage.AddType
       88         486   Message.Enqueue
       86     2019335   InitThread.Yielding
       86         648   InvokerThread.ClearContext
       83         753   Thread.LogContextSwitch
       81        2582   SysSocket.SetBlocking
       79         632   Message.TxSbAddr
       79         593   Message.SetPsm
       77         682   SysHeap.Free
       77         585   Memory.Free
       77         563   Thread.EnterBlockingOperation
       76          10   SbIpBuffer.ctor(copy)
       76           0   MsgBuffer.ctor(copy)
       75        5518   InvokerPool.FindWork
       75         564   ProtocolSM.SetState
       75         147   IpBuffer.ctor(copy)
       74         587   IpBuffer.dtor
       74         570   Message.operator new
       74         527   MsgBuffer.dtor
       74         507   SbIpBuffer.operator delete
       73         423   SbIpBuffer.dtor
       72           0   BcEvent.ctor
       71         530   Message.Handled
       71         497   GlobalAddress.dtor
       71         349   BcEvent.dtor
       70         461   Context.Exqueue
       69         462   Q1Way.Henq
       68         543   Message.dtor
       68         389   TlvMessage.dtor
       67         446   ProtocolLayer.RootSsm
       64         201   SbIpBuffer.ctor
       63        1036   MsgHeader.ctor
       63         567   ProtocolSM.EndOfTransaction
       63         520   MediaPsm.EndOfTransaction
       63         497   MediaPsm.PrepareOgMsgq
       61           0   MsgBuffer.ctor
       60         105   IpBuffer.ctor
       58         652   Message.RxFactory
       58         383   ServiceSM.SetNextSnp
       58         367   PotsBcSsm.SetNextSnp
       57         482   SysThread.Interrupt
       57         386   Thread.PauseOver
       56         998   SysThread.Resume
       56         558   Q2Way.Exq
       56         442   Thread.Interrupt
       56         394   Context.TraceMsg
       55        1165   Message.SetReceiver
       55         443   MsgFactory.ReceiveMsg
       55         397   InvokerPool.KickThread
       55         392   InvokerPool.Enqueued
       55         363   Context.EnqMsg
       55         339   Context.Enqueue
       54         558   InvokerPool.ReceiveMsg
       54         333   ServiceSM.SetNextState
       53         418   Q2Way.Enq
       52        1171   Message.SetSender
       52         907   MsgPort.Find
