FUNCTION PROFILE: Jun-13-2022 16:40:37.808 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      680        1671   Q1Way.Enq
      652        1941   Q1Way.Deq
      647        1904   ObjectPool.DeqBlock
      647        1854   Pooled.ctor
      527        1614   Context.RunningContextTraced
      463        1372   ObjectPool.EnqBlock
      463        1202   Pooled.operator delete
      389         984   Context.RunningContext
      372         230   C++.delete
      296        2648   Gate.Notify
      296        1253   Thread.Interrupt
      296        1147   SysThread.Interrupt
      294        1795   SysIpL2Addr.dtor
      294         855   SysIpL3Addr.dtor
      292         631   Q1Way.Exq
      272    27445481   Gate.WaitFor
      272        1020   SysThread.Suspend
      268         704   TlvMessage.FencePtr
      264         694   ProtocolSM.Port
      256         552   Context.SetContextMsg
      240         597   MsgPort.Port
      231         567   SbIpBuffer.PayloadSize
      214         819   SysIpL3Addr.ctor
      214         683   SysIpL2Addr.ctor
      214         508   IPv6Addr.ctor
      208         874   Thread.Pause
      191         626   Message.RxSbAddr
      183         601   SbIpBuffer.operator new
      183         545   SmallBuffer.operator new
      183         518   IpBuffer.AllocBuff
      183         516   NetworkBase.AllocByteBuff
      175         432   Message.Exqueue
      169        3785   Message.ClearContext
      168        4294   Thread.LogContextSwitch
      168        1335   Thread.ExitBlockingOperation
      168        1220   Mutex.Acquire
      168        1056   Thread.Resume
      168         859   Thread.InitialTime
      168         721   Thread.Ready
      168         647   SysThread.Wait
      168         627   Mutex.Release
      168         601   MutexGuard.ctor
      168         599   Thread.Schedule
      168         594   Thread.Suspend
      168         571   Thread.EnterBlockingOperation
      168         566   ThreadAdmin.WarpFactor
      168         521   MutexGuard.Release
      168         498   MutexGuard.dtor
      162         340   TlvMessage.FindParm
      162         306   TlvMessage.FirstParm
      159         291   TlvMessage.NextParm
      148         335   Q1Way.Init
      145         623   Memory.Copy
      142         266   Q1Way.Purge
      140         282   TlvMessage.FindType
      136         225   Context.SetState
      134         340   TlvMessage.CheckFence
      118         631   SysSocket.SetBlocking
      115         308   Event.ctor
      115         267   Event.operator new
      115         243   ServiceSM.EnqEvent
      115         242   Event.dtor
      115         242   ServiceSM.ExqEvent
      104         375   SysThread.Delay
      102         263   Thread.RtcPercentUsed
       98         254   Message.TxSbAddr
       98         236   Factory.RecordMsg
       97         596   SbIpBuffer.ctor(copy)
       97         374   IpBuffer.ctor(copy)
       97         257   MsgBuffer.ctor(copy)
       96         243   IpBuffer.AddBytes
