FUNCTION PROFILE: May-25-2022 17:46:16.740 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
     1024        1918   Q1Way.Enq
      941        2112   Q1Way.Deq
      935        2213   ObjectPool.DeqBlock
      935        1948   Pooled.ctor
      825        2018   Context.RunningContextTraced
      673        1507   ObjectPool.EnqBlock
      673        1410   Pooled.operator delete
      583        1198   Context.RunningContext
      550         312   C++.delete
      476         856   Q1Way.Exq
      421         872   ProtocolSM.Port
      418        2010   SysIpL2Addr.dtor
      418         957   SysIpL3Addr.dtor
      410         691   TlvMessage.FencePtr
      385         744   MsgPort.Port
      376         646   Context.SetContextMsg
      332         588   SbIpBuffer.PayloadSize
      299         936   SysIpL3Addr.ctor
      299         727   SysIpL2Addr.ctor
      299         529   IPv6Addr.ctor
      298        2077   Gate.Notify
      298         940   Thread.Interrupt
      298         842   SysThread.Interrupt
      280         623   Message.RxSbAddr
      273    15125431   Gate.WaitFor
      272         822   SysThread.Suspend
      266         486   TlvMessage.NextParm
      263         512   Message.Exqueue
      254         619   SbIpBuffer.operator new
      254         585   SmallBuffer.operator new
      254         573   Q1Way.Init
      254         560   NetworkBase.AllocByteBuff
      254         547   IpBuffer.AllocBuff
      253         522   TlvMessage.FindParm
      253         435   TlvMessage.FirstParm
      250        4071   Message.ClearContext
      244         406   Q1Way.Purge
      213         387   TlvMessage.FindType
      209         289   Context.SetState
      205         352   TlvMessage.CheckFence
      202         660   Thread.Pause
      197         653   Memory.Copy
      190         344   ServiceSM.EnqEvent
      190         327   ServiceSM.ExqEvent
      184         460   Event.ctor
      184         375   Event.operator new
      184         358   Event.dtor
      172        3747   Thread.LogContextSwitch
      172         949   SysMutex.Acquire
      172         931   Thread.Resume
      172         754   Thread.InitialTime
      172         557   MutexGuard.ctor
      172         552   ThreadAdmin.WarpFactor
      172         551   SysMutex.Release
      172         518   Thread.Schedule
      172         510   Thread.Suspend
      172         508   Thread.EnterBlockingOperation
      172         504   MutexGuard.Release
      172         456   MutexGuard.dtor
      170         929   Thread.ExitBlockingOperation
      170         550   Thread.Ready
      170         433   SysThread.Wait
      153         296   Message.TxSbAddr
      153         256   Factory.RecordMsg
      148         260   IpBuffer.AddBytes
      144         277   Thread.RtcPercentUsed
      138         268   Message.Enqueue
      136         604   SbIpBuffer.ctor(copy)
      136         421   IpBuffer.ctor(copy)
      136         246   MsgBuffer.ctor(copy)
      135         356   TlvMessage.AddParm
      135         251   TlvMessage.AddType
      133         598   SysSocket.SetBlocking
      130         268   InvokerPool.FindWork
      130         237   Message.SetPsm
      127         303   Message.Handled
      124         243   GlobalAddress.dtor
      123         420   IpBuffer.dtor
      123         379   Message.dtor
      123         325   SbIpBuffer.dtor
      123         283   SbIpBuffer.operator delete
      123         282   TlvMessage.dtor
      123         248   MsgBuffer.dtor
      123         245   Message.operator new
      120         232   ProtocolSM.SetState
      119         291   Context.Exqueue
      119         216   InvokerThread.ClearContext
      118        1299   SbIpBuffer.ctor
      118         499   IpBuffer.ctor
      118         258   ProtocolSM.EndOfTransaction
      118         249   MsgBuffer.ctor
      118         225   MediaPsm.PrepareOgMsgq
      118         212   MediaPsm.EndOfTransaction
      118         208   MsgHeader.ctor
      112         216   Q1Way.Henq
      110         223   Message.RxFactory
      109         441   SysSocket.TracePeer
      109         208   ProtocolLayer.RootSsm
      102         162   Q2Way.Exq
      101         319   SysThread.Delay
       95         158   Context.TraceMsg
       90         191   MsgPort.Find
       89         195   Alarm.Create
       87         451   ServiceSM.ProcessEvent
       83         975   Context.CaptureTask
       83         332   InvokerPool.ReceiveMsg
       83         276   Context.ProcessMsg
       83         247   MsgFactory.ReceiveMsg
       83         219   Context.Enqueue
       83         179   Context.EnqMsg
       83         178   InvokerThread.SetContext
       83         177   InvokerPool.KickThread
       83         157   Message.SetSender
       83         148   Message.SetReceiver
       82         227   Context.ProcessWork
       82         207   BcEvent.ctor
       82         179   PayloadInvokerPool.RecordDelay
       82         151   ObjectPool.BidToObj
       82         146   BcEvent.dtor
       82         141   InvokerPool.Enqueued
       82         129   Thread.PauseOver
       82         123   InvokerPool.Dequeued
       81         167   PotsMessage.dtor
       79         142   Q2Way.Enq
       75         177   Message.Henqueue
       75         111   ServiceSM.SetNextState
       71         129   IpPort.RecvsInSequence
       70         380   Message.Send
       70         156   TlvMessage.Send
       70         147   Message.Capture
       70         137   ProtocolSM.PeerFactory
       70         124   ProtocolSM.GetProtocol
       70         123   PotsBcSsm.SetNextSnp
       70         118   ServiceSM.EndOfTransaction
       70         114   ServiceSM.SetNextSnp
       69         185   MediaInfo.ctor
       68         222   Thread.CurrTimeRunning
       68         150   ProtocolSM.AddressesUnknown
       68         116   ProtocolLayer.EnsureLower
       66         233   MsgPort.SendMsg
       66         187   InvokerPool.ReceiveBuff
       66         185   TlvMessage.ctor(i/c)
       66         163   ProtocolLayer.SendToLower
       66         129   MediaPsm.SetOgPort
       66         129   MsgPort.Route
       66         114   Message.ctor(i/c)
       66         109   MsgPort.WrapMsg
       62         103   BcSsm.SetNextState
       61       10960   SysUdpSocket.RecvFrom
       61         292   SysSocket.Empty
       61         275   SessionBase.CaptureMsg
       61         224   SbTracer.MsgStatus
       61         210   IoThread.InvokeHandler
       61         152   IpPort.BytesRcvd
       61         145   SysIpL3Addr.NetworkToHost(IPv6)
       61         143   SbInputHandler.ReceiveBuff
       61         135   SessionBase.TraceRxNet
       61         124   IoThread.ConditionalPause
       61         122   Pots_NU_Message.dtor
       61         119   SysIpL2Addr.NetworkToHost(IPv6)
       61         112   InputHandler.NetworkToHost
       61         110   NwTracer.BuffStatus
       60         146   SbAnalyzeMessage.ProcessEvent
       59          97   Message.SetProtocol
       58         107   PotsCallPsm.Cast
       58         103   PotsBcSsm.SetNextSap
       58          88   ServiceSM.SetNextSap
       57         236   Message.ctor(o/g)
       57         131   ProtocolSM.HenqReceivedMsg
       57         111   TlvMessage.ctor(o/g)
       57          94   Message.SetSignal
       56         205   SsmContext.ProcessIcMsg
       56         161   PsmContext.EndOfTransaction
       56         158   ProtocolLayer.SendToUpper
       56         157   PsmFactory.ReceiveMsg
       56         150   ProtocolSM.ReceiveMsg
       56         125   MediaPsm.UpdateIcMedia
       56         123   AnalyzeMsgEvent.dtor
       56         116   MsgPort.ReceiveMsg
       56         115   SsmContext.EndOfTransaction
       56         113   AnalyzeMsgEvent.ctor
       56         106   MediaPsm.ReceiveMsg
       56         106   SsmFactory.ReceiveMsg
       56         104   PsmContext.FindPort
       56          96   MsgContext.EndOfTransaction
       56          86   ProtocolSM.UnwrapMsg
       56          77   SsmContext.IsIdle
       55         140   ProtocolSM.EnqOgMsg
       54          99   MediaPsm.UpdateOgMedia
       51         190   GlobalAddress.ctor
       49          79   ProxyBcSsm.FirstProxy
       48        1540   SysIpL2Addr.HostToNetwork(IPv6)
       48         199   SysUdpSocket.SendBuff
       48         174   IpBuffer.Send
       48         144   SysUdpSocket.SendTo
       48         142   IpPort.BytesSent
       48         122   SysIpL3Addr.HostToNetwork(IPv6)
       48         119   IpBuffer.OutgoingBytes
       48         109   InputHandler.HostToNetwork
       48         109   InvokerThread.ScheduledIn
       48          86   GlobalAddress.ctor(L3addr, locaddr)
       48          83   InvokerThread.BlockingAllowed
       48          71   InvokerPool.ScheduledOut
       47         104   ProxyBcSsm.CalcPort
       46          88   ProtocolLayer.dtor
       44          86   ProxyBcSsm.EndOfTransaction
       43         104   PotsCallPsm.SendSignal
       42         151   PotsMessage.ctor(i/c)
       42         114   SbExtInputHandler.AllocBuff
       42         100   BcSsm.CalcPort
       41          84   MediaSsm.NotifyListeners
       41          75   MediaPsm.GetMediaSsm
       40          91   CipMessage.dtor
       39         124   PotsMessage.ctor(o/g)
       39          80   PotsMessage.AddHeader
       38          88   ProtocolSM.FindTimer
       37          99   Context.dtor
       37          92   Context.ctor
       37          81   MediaPsm.SetOgTone
       37          74   Context.operator new
       37          74   MsgContext.ctor
       37          70   MsgContext.dtor
       37          61   Factory.IncrContexts
       36         115   PotsCallPsm.ProcessOgMsg
       36          76   PotsCallPsm.Route
       35          69   PotsProfile.FindFeature
       34        2565   Pots_NU_Message.ctor(o/g)
       34         101   Initiator.InvokeHandler
       34          97   IpPortRegistry.LocalAddr
       32          64   ToneRegistry.ToneToPort
       32          55   MediaPsm.CalcIcPort
       31          48   ServiceSM.DeleteIdleModifier
       30          77   MediaPsm.SetIcTone
       30          63   Message.ChangeDir
       30          60   TlvMessage.ChangeDir
       30          57   IpPortRegistry.CanBypassStack
       30          52   SysIpL3Addr.L2AddrMatches
       29          51   MediaPsm.SetOgPsm
       28          50   Circuit.MakeConn
       28          40   Message.SetPriority
       27         183   Pots_NU_Message.ctor(i/c)
       27          95   PotsCircuit.ReceiveMsg
       27          79   MsgContext.ProcessIcMsg
       27          70   PotsShelfFactory.AllocIcMsg
       27          66   PotsShelfFactory.ProcessIcMsg
       27          65   PotsShelfHandler.ReceiveBuff
       27          64   ServiceSM.PsmDeleted
       25          65   SysIpL3Addr.ctor(L2addr)
       25          46   ProtocolLayer.ctor(first)
       25           3   GlobalAddress.ctor(L2addr, port, factory)
       24          93   BcPsm.ProcessOgMsg
       24          93   CipMessage.ctor(i/c)
       24          93   TimerRegistry.ProcessWork
       24          92   BcPsm.ProcessIcMsg
       24          84   DeferredRegistry.RaiseTimeouts
       24          59   CipFactory.AllocIcMsg
       23         105   ProtocolSM.dtor
       23          96   MsgPort.dtor
       23          86   ProtocolSM.Initialize
       23          76   PotsCallPsm.ProcessIcMsg
       23          65   MsgPort.Initialize
       23          61   MsgPort.AdjacentDeleted
       23          59   Q1Way.Insert
       23          58   MediaSsm.PsmDeleted
