FUNCTION PROFILE: 2-Feb-2022 07:51:06.602 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      155         276   Q1Way.Enq
      125         261   Q1Way.Deq
      124         337   Context.RunningContextTraced
      124         269   Pooled.ctor
      124         211   ObjectPool.DeqBlock
      104         133   ObjectPool.EnqBlock
      104         121   Pooled.operator delete
       86         151   Context.RunningContext
       85          15   C++.delete
       72         114   Q1Way.Exq
       68         109   Context.SetContextMsg
       67         192   SysIpL2Addr.dtor
       67          95   SysIpL3Addr.dtor
       61         404   SysThread.Resume
       61         230   Thread.Interrupt
       61         211   SysThread.Interrupt
       59          85   ProtocolSM.Port
       54          85   MsgPort.Port
       52     8224108   SysThread.Suspend
       48          72   TlvMessage.FencePtr
       42          66   SbIpBuffer.PayloadSize
       40         108   Thread.Pause
       40          93   Message.RxSbAddr
       39         340   Message.ClearContext
       39         119   SysIpL2Addr.ctor
       39         107   SysIpL3Addr.ctor
       39          81   IPv6Addr.ctor
       39          58   Message.Exqueue
       38          42   Q1Way.Purge
       36          57   Q1Way.Init
       36          51   Context.SetState
       32         888   Thread.LogContextSwitch
       32         395   SysMutex.Acquire
       32         288   Thread.ExitBlockingOperation
       32         240   Thread.InitialTime
       32         216   Thread.Resume
       32         172   Thread.Ready
       32         145   ThreadAdmin.WarpFactor
       32         140   SysMutex.Release
       32         128   Thread.Schedule
       32         122   SysThread.Wait
       32          97   Thread.EnterBlockingOperation
       32          93   Thread.Suspend
       32          89   MutexGuard.ctor
       32          79   MutexGuard.dtor
       32          66   MutexGuard.Release
       32          58   NetworkBase.AllocByteBuff
       32          57   SbIpBuffer.operator new
       32          52   SmallBuffer.operator new
       32          50   IpBuffer.AllocBuff
       30          66   TlvMessage.FirstParm
       30          59   TlvMessage.FindParm
       27          40   Event.operator new
       27          40   Event.ctor
       27          39   ServiceSM.EnqEvent
       27          38   ServiceSM.ExqEvent
       27          29   Event.dtor
       26          68   TlvMessage.NextParm
       25          51   TlvMessage.FindType
       25          33   TlvMessage.CheckFence
       24          77   Memory.Copy
       24          46   Message.TxSbAddr
       24          40   InvokerPool.FindWork
       22         133   SysSocket.SetBlocking
       22          42   Factory.RecordMsg
       21          43   Thread.RtcPercentUsed
       21          28   Message.Enqueue
       20          84   SysThread.Delay
       20          33   InvokerThread.ClearContext
       20          31   Context.Exqueue
       20          28   Message.Handled
       19          31   Message.SetPsm
       19          29   ProtocolSM.SetState
       19          27   ProtocolSM.EndOfTransaction
       19          22   IpBuffer.dtor
       19          22   GlobalAddress.dtor
       19          22   SbIpBuffer.dtor
       19          22   Message.dtor
       19          22   MsgBuffer.dtor
       19          20   SbIpBuffer.operator delete
       18          45   Message.RxFactory
       18          29   Q2Way.Exq
       17          51   SbIpBuffer.ctor(copy)
       17          26   MsgBuffer.ctor(copy)
       17          24   IpBuffer.ctor(copy)
       17          22   TlvMessage.dtor
       16          28   Q1Way.Henq
       15         130   SbIpBuffer.ctor
       15          45   IpBuffer.ctor
       15          30   MsgBuffer.ctor
       15          30   MsgHeader.ctor
       15          30   Message.operator new
       15          21   TlvMessage.AddParm
       15          20   TlvMessage.AddType
       15          19   IpBuffer.AddBytes
       14         153   Context.CaptureTask
       14          39   Thread.CurrTimeRunning
       14          30   Alarm.Create
       14          25   Context.TraceMsg
       14          24   PayloadInvokerPool.RecordDelay
       14          24   InvokerThread.SetContext
       14          23   ProtocolLayer.RootSsm
       14          23   Context.ProcessWork
       14          22   MediaPsm.PrepareOgMsgq
       14          22   Context.ProcessMsg
       14          22   InvokerPool.Dequeued
       14          19   Thread.PauseOver
       14          19   MediaPsm.EndOfTransaction
       13          24   MsgPort.Find
       12          52   SysSocket.TracePeer
       12          36   IpPort.RecvsInSequence
       12          26   InvokerPool.ReceiveMsg
       12          24   ObjectPool.BidToObj
       12          21   InvokerPool.KickThread
       12          19   PotsMessage.dtor
       12          18   Q2Way.Enq
       12          17   Context.EnqMsg
       12          17   Context.Enqueue
       12          16   InvokerPool.Enqueued
       12          16   MsgFactory.ReceiveMsg
       11          41   IpPortRegistry.LocalAddr
       10          48   TimerRegistry.ProcessWork
       10          27   ServiceSM.ProcessEvent
       10          22   BcEvent.ctor
       10          20   ProtocolSM.HenqReceivedMsg
       10          19   PsmContext.FindPort
       10          18   Message.SetReceiver
       10          17   AnalyzeMsgEvent.ctor
       10          17   Message.Henqueue
       10          17   ProtocolSM.ReceiveMsg
       10          17   SbAnalyzeMessage.ProcessEvent
       10          16   ServiceSM.EndOfTransaction
       10          16   ProtocolLayer.SendToUpper
       10          16   InvokerThread.ScheduledIn
       10          16   Message.SetSender
       10          15   SsmContext.IsIdle
       10          15   SsmContext.ProcessIcMsg
       10          15   InvokerPool.ScheduledOut
       10          15   MsgPort.ReceiveMsg
       10          14   Message.Send
       10          14   AnalyzeMsgEvent.dtor
       10          14   SsmContext.EndOfTransaction
       10          13   ProtocolSM.UnwrapMsg
       10          13   PsmContext.EndOfTransaction
       10          13   ProtocolLayer.EnsureLower
       10          13   MsgContext.EndOfTransaction
       10          13   ServiceSM.SetNextState
       10          13   TlvMessage.Send
       10          13   InvokerThread.BlockingAllowed
       10          12   Message.Capture
       10          11   BcEvent.dtor
        9          17   MediaInfo.ctor
        9          13   MsgPort.Route
        9          12   ProtocolLayer.SendToLower
        9          12   ProtocolSM.EnqOgMsg
        9          12   Debug.SwFlagOn
        9          12   ProtocolSM.AddressesUnknown
        9          11   MsgPort.WrapMsg
        9          11   MsgPort.SendMsg
        8          17   ProtocolSM.FindTimer
        8          15   Pots_NU_Message.dtor
        8          14   MediaPsm.UpdateIcMedia
        8          13   Message.SetSignal
        8          13   PotsBcSsm.SetNextSnp
        8          13   MediaPsm.ReceiveMsg
        8          13   ServiceSM.SetNextSnp
        8          12   SsmFactory.ReceiveMsg
        8          12   Message.ctor(o/g)
        8          11   MediaPsm.UpdateOgMedia
        8          11   PsmFactory.ReceiveMsg
        8          11   PotsBcSsm.SetNextSap
        8          11   ServiceSM.SetNextSap
        8          11   Message.SetProtocol
        8          11   TlvMessage.ctor(o/g)
        8          10   ProtocolSM.PeerFactory
        8           8   ProtocolLayer.dtor
        7        5998   SysUdpSocket.RecvFrom
        7          33   PotsMessage.ctor(i/c)
        7          29   SessionBase.CaptureMsg
        7          28   IpPort.BytesRcvd
        7          26   SysIpL3Addr.NetworkToHost(IPv6)
        7          22   InvokerPool.ReceiveBuff
        7          22   SysSocket.Empty
        7          19   IoThread.InvokeHandler
        7          19   SbInputHandler.ReceiveBuff
        7          19   Message.ctor(i/c)
        7          17   SbTracer.MsgStatus
        7          17   TlvMessage.ctor(i/c)
        7          16   SysIpL2Addr.NetworkToHost(IPv6)
        7          16   SbExtInputHandler.AllocBuff
        7          16   SessionBase.TraceRxNet
        7          16   NwTracer.BuffStatus
        7          14   GlobalAddress.ctor(L3addr, locaddr)
        7          14   InputHandler.NetworkToHost
        7          13   IoThread.ConditionalPause
        7          10   ProtocolSM.GetProtocol
        7           9   PotsCallPsm.Cast
        7           9   BcSsm.SetNextState
        6          15   SysIpL3Addr.ctor(L2addr)
        6          12   SysIpL3Addr.L2AddrMatches
        6          10   MediaPsm.SetOgPort
        6           9   PotsBcSsm.TimerPsm
        6           8   IpPortRegistry.CanBypassStack
        6           7   MsgContext.dtor
        6           6   Context.dtor
        6           2   GlobalAddress.ctor(L2addr, port, factory)
        5     1501505   SysTcpSocket.Poll
        5         159   SysIpL2Addr.HostToNetwork(IPv6)
        5          90   SysTcpSocket.Accept
        5          71   SysSocket.SetError(errval)
        5          37   TcpIoThread.AcceptConn
        5          32   SysSocket.TraceEvent
        5          25   TcpIoThread.PollSockets
        5          14   PotsMessage.ctor(o/g)
        5          14   TestSsm.CalcPort
        5          14   TestEvent.ctor
        5          10   BcSsm.CalcPort
        5           9   ProxyBcSsm.CalcPort
        5           8   Factory.IncrContexts
        5           8   PotsCallPsm.SendSignal
        5           8   ProxyBcSsm.FirstProxy
        5           7   BcPsm.ProcessOgMsg
        5           7   MsgContext.ctor
        5           7   SysUdpSocket.SendTo
        5           7   Context.operator new
        5           7   IpPort.BytesSent
        5           7   BcPsm.ProcessIcMsg
        5           7   ProxyBcSsm.EndOfTransaction
        5           7   Context.ctor
        5           7   CipPsm.Route
        5           7   SysIpL3Addr.HostToNetwork(IPv6)
        5           7   InputHandler.HostToNetwork
        5           7   TlvMessage.ChangeDir
        5           6   Message.ChangeDir
        5           6   SysUdpSocket.SendBuff
        5           6   IpBuffer.OutgoingBytes
        5           6   IpBuffer.Send
        5           6   PotsMessage.AddHeader
        5           5   CipMessage.dtor
        5           5   TestEvent.dtor
        4         197   Pots_NU_Message.ctor(o/g)
        4          32   Pots_NU_Message.ctor(i/c)
        4          13   BcReleaseEvent.ctor
        4          12   PotsShelfHandler.ReceiveBuff
        4           9   GlobalAddress.ctor
