FUNCTION PROFILE: May-25-2022 18:19:04.004 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      348        2084   SysMutex.Acquire
      348        1679   MutexGuard.dtor
      348        1323   SysMutex.Release
      348         717   MutexGuard.ctor
      348         656   MutexGuard.Release
      264        1106   Gate.Notify
      264         628   Thread.Interrupt
      264         529   SysThread.Interrupt
      195        1077   Thread.Pause
      157         198   CliBuffer.CalcType
      151     3436773   Gate.WaitFor
      151         343   SysThread.Suspend
      135        1825   Thread.LogContextSwitch
      135         321   Thread.Suspend
      135         258   Thread.Schedule
      120       10952   Thread.ExitBlockingOperation
      119         247   Thread.EnterBlockingOperation
      118         394   Thread.Resume
      118         339   Thread.Ready
      118         286   SysThread.Wait
      116         242   Thread.InitialTime
      116         213   ThreadAdmin.WarpFactor
       82        1155   ThreadRegistry.GetState
       79          41   C++.delete
       77         125   Q1Way.Deq
       68         141   Heap.SetPermissions
       67         214   Memory.Free
       60          80   Q1Way.Enq
       51          90   FunctionGuard.Release
       50          72   FunctionGuard.dtor
       49         212   MainArgs.At
       49          65   FunctionGuard.ctor
       48     1007550   SysHeap.BlockToSize
       48         118   SysHeap.Free
       48         114   Permanent.operator delete
       47       14770   SysFile.CreateOstream
       39          64   ObjectPool.DeqBlock
       39          47   Pooled.ctor
       38         669   SysMemory.Protect
       38          73   Heap.SetAttrs
       37          67   MsgBuffer.ctor
       35          84   StreamRequest.ctor
       35          64   MsgBuffer.operator new
       35          60   Thread.EnqMsg
       35          45   Q1Way.Size
       33         120   Log.Find
       33         108   LogGroupRegistry.FindGroup
       33         108   SysThread.Delay
       33          80   LogGroup.FindLog
       32          78   Thread.MakeUnpreemptable
       32          53   LeakyBucketCounter.dtor
       31          63   MutexRegistry.Abandon
       31          53   Thread.DeqMsg
       30          64   Thread.MakePreemptable
       29          55   Pooled.operator delete
       29          50   ObjectPool.EnqBlock
       27          26   MsgBuffer.dtor
       26         102   SysIpL2Addr.dtor
       25          38   StreamRequest.dtor
       25          35   CliBuffer.FindNextNonBlank
       21         107   Q2Way.Enq
       21         105   FileThread.Spool(written)
       21          44   SysIpL3Addr.dtor
       20          58   FileThread.Spool(string)
       20          51   FileThread.Record
       19         469   Thread.MemUnprotect
       19         415   Thread.MemProtect
       19         141   NbHeap.Free
       19         108   NbHeap.BlockToSize
       19          82   CoutThread.Spool(stream)
       18          60   FileRequest.ctor
       18          55   CliBuffer.GetStr
       18          24   CliBuffer.GetNextInput
       17          66   Log.Find(log)
       16        6710   Exception.dtor
       16        1836   Thread.ExitSwLog
       16        1795   Thread.ExtendTime
       16        1403   NodeBase.GetLogType
       16        1185   Log.Format
       16          68   Thread.Exit
       16          59   Log.Submit
       16          54   Thread.Purge
       16          48   SysThread.Delete
       16          48   Thread.dtor
       16          47   ThreadPriv.dtor
       16          47   ThreadRegistry.Exiting
       16          41   Thread.ReleaseResources
       16          40   Log.Create
       16          38   SysThread.dtor
       16          38   ThreadRegistry.Destroying
       16          35   Exception.ctor
       16          33   SysThread.Start
       16          30   Thread.Start
       16          29   Thread.LogSignal
       16          10   SysIpL3Addr.L2AddrMatches
       15         494   Thread.LogTrap
       15         187   Thread.TrapHandler
       15          74   LogThread.Spool
       15          60   Thread.Start(initializing)
       15          40   Thread.SetSignal
       15          30   Debug.SwFlagOn
       15          29   NodeBase.EnterThread
       15          24   SignalException.dtor
       15          17   Thread.RegisterForSignals
       15           0   SignalException.ctor
       13          24   Q2Way.Deq
       13          16   FileRequest.dtor
       12          58   Daemon.Find
       12          37   SysSocket.SetBlocking
       12          23   Daemon.ThreadDeleted
       12          22   CliIncrement.FindCommand
       12          20   CliText.AccessParm
       11         148   Q2Way.Exq
       10          30   Singletons.UnbindInstance
       10          24   CliBuffer.GetLine
       10          21   CliStack.Top
       10          21   Singleton.Destroy
       10          18   IpPort.SetSocket
        9         446   Registry.Erase
        9          52   Dynamic.operator delete
        9          39   CoutThread.Spool(string)
        9          33   Thread.CurrTimeRunning
        9          13   Registry.Size
        8          55   Statistic.dtor
        8          53   StatisticsRegistry.UnbindStat
        8          29   CliThread.Flush
        8          18   CliBuffer.ScanLine
        8          13   CliStack.FindCommand(incr)
        8          13   CliThread.ParseCommand
        8          11   IpPort.RecvsInSequence
        8           8   CliStack.FindCommand
        7          42   SymbolRegistry.FindSymbol
        7          17   CliThread.InvokeCommand
        7          12   Memory.Alloc
        7          11   SymbolRegistry.EnsureSymbol
        7           9   IpPortRegistry.LocalAddr
        7           9   NbHeap.Alloc
        7           9   Symbol.SetValue
        7           8   CliCookie.Advance
        7           8   CliCookie.Initialize
        7           8   CliThread.EndOfInput
        6          18   CliThread.SetResult
        6          17   Thread.Destroy
        6          16   SysIpL2Addr.ctor
        6          11   Alarm.Create
        6          10   SysIpL3Addr.ctor
        6           8   IPv6Addr.ctor
        5         309   SysSocket.ctor
        5         223   SysUdpSocket.RecvFrom
        5         222   SysSocket.SetService
        5          32   Counter.dtor
        5          22   DeferredRegistry.RaiseTimeouts
        5          18   IoThread.dtor
        5          11   IpPort.SetThread
        5          10   CliTextParm.GetStringRc
        5           8   Dynamic.operator new
        5           7   IpPort.ClearAlarm
        5           7   SysSocket.Empty
        5           6   IoThread.ConditionalPause
        5           5   SysIpL3Addr.ctor(L2addr)
        5           5   Thread.RtcPercentUsed
        5           0   Dynamic.ctor
        4          61   SysUdpSocket.ctor
        4          28   UdpIoThread.Enter
        4          17   TimerRegistry.ProcessWork
        4          11   CliCommand.GetStringRc
        4          10   CliCommand.GetTextParmRc
        4          10   UdpIoThread.dtor
        4           8   CliTextParm.Descend
        4           8   Temporary.operator delete
        4           8   UdpIoThread.ReleaseResources
        4           7   CliParm.GetTextIndex
        4           7   CliTextParm.GetTextParmRc
        4           4   Registry.Empty
        3         269   SysTcpSocket.Poll
        3          31   CliThread.SetAppData
        3          21   HighWatermark.dtor
        3          20   CliThread.Report1
        3          17   LogBufferRegistry.Active
        3          10   CliThread.Report
        3          10   TcpIoThread.PollSockets
        3           6   CliParm.GetString
        3           5   NwTracer.PortStatus
        3           4   CliTextParm.AccessParm
        3           4   IpPortRegistry.TestAdvance
        3           2   NwTracer.FindPort
        2         402   SysFile.CreateIstream
        2          23   CliThread.ReadCommands
        2          23   NtTestData.ctor
        2          22   SysTcpSocket.Accept
        2          17   LogBuffer.First
        2          11   TcpIoThread.AcceptConn
        2          10   CliCookie.Descend(index)
        2          10   IpBuffer.dtor
        2          10   LogBuffer.SetNext
        2           9   CliThread.Enter
        2           9   NwTracer.FindPeer
        2           8   CliStack.SetRoot
        2           8   Memory.Copy
        2           8   Q1Way.Init
        2           8   ReadCommand.ProcessCommand
        2           7   SysSocket.TraceEvent
        2           6   NtTestData.dtor
        2           6   SysSocket.SetError(errval)
        2           6   TestsCommand.ProcessSubcommand
        2           5   CliBuffer.OpenInputFile
        2           5   IpBuffer.ctor
        2           5   SysSocket.TracePeer
        2           4   CinThread.GetLine
        2           4   CliAppData.dtor
        2           4   IpBuffer.operator new
        2           4   NtTestData.Access
        2           4   TestsCommand.ProcessCommand
        2           3   CliAppData.ctor
        2           3   CliThread.GetAppData
        2           3   IpBuffer.AllocBuff
        2           3   LogBuffer.GetLogs
        2           2   CliIncrement.Exit
        2           2   LogBuffer.FirstUnspooled
        2           2   NetworkBase.AllocByteBuff
        2           2   NwTracer.PeerStatus
        2           2   SmallBuffer.operator new
        2           2   Temporary.operator new
        2           1   CliIncrement.Enter
        2           1   Context.SetContextMsg
        2           0   Temporary.ctor
        1        1245   ThreadStats.dtor
        1         112   SysIpL2Addr.HostToNetwork(IPv6)
        1          48   CliThread.dtor
        1          46   CliCookie.dtor
        1          26   FileThread.Enter
        1          22   SysTcpSocket.Listen
        1          21   AlarmRegistry.Find
        1          20   CoutThread.Enter
        1          17   Array.dtor
        1          15   SysTcpSocket.ctor
        1           9   Accumulator.dtor
        1           9   InitThread.InitiateRestart
        1           9   IpPortRegistry.TestEnd
        1           9   LogBuffer.Push
        1           8   DeferredThread.Enter
        1           8   TimerThread.Enter
        1           7   SendLocalThread.Enter
        1           7   TcpIoThread.Enter
        1           6   LogBuffer.InsertionPoint
        1           6   ModuleRegistry.SetLevel
        1           5   SymbolsCommand.ProcessCommand
        1           4   CliStack.dtor
        1           4   DeferredThread.Destroy
        1           4   SendLocalThread.Destroy
        1           4   SysUdpSocket.SendBuff
        1           4   TcpIoThread.AllocateListener
        1           3   CliBuffer.dtor
        1           3   CliStack.Push
        1           3   CoutThread.Destroy
        1           3   DeferredThread.dtor
        1           3   InvokerThread.dtor
        1           3   LogsWritten.Callback
        1           3   ObjectPoolAudit.Destroy
        1           3   ObjectPoolAudit.dtor
        1           3   Restart.Initiate
        1           3   RestartCommand.ProcessCommand
        1           3   SendLocalThread.dtor
        1           3   StatisticsThread.Destroy
        1           3   StatisticsThread.dtor
        1           3   TcpIoThread.EnsureListener
        1           2   CliBuffer.PutLine
        1           2   CliCommand.GetIdentifierRc
        1           2   CliParm.GetIdentifier
        1           2   CliRegistry.FindIncrement
        1           2   CliTextParm.GetIdentifierRc
        1           2   CliThread.BoolPrompt
        1           2   CliThread.Destroy
        1           2   CliThread.Execute
        1           2   FileThread.Destroy
        1           2   FileThread.dtor
        1           2   InvokerPool.FindWork
        1           2   InvokerPool.ProcessWork
        1           2   InvokerPool.UnbindThread
        1           2   InvokerThread.BlockingAllowed
        1           2   InvokerThread.ScheduledIn
        1           2   InvokerThread.Shutdown
        1           2   IoThread.InvokeHandler
        1           2   IpBuffer.Send
        1           2   IpPortRegistry.TestBegin
        1           2   LogThread.Destroy
        1           2   LogThread.Enter
        1           2   LogThread.dtor
        1           2   NtTestData.Conclude
        1           2   PotsTrafficThread.Destroy
        1           2   StatisticsThread.CalcFirstDelay
        1           2   StatisticsThread.Enter
        1           2   SysIpL3Addr.HostToNetwork(IPv6)
        1           2   SysTcpSocket.SetClose
        1           2   TcpIoThread.ReleaseResources
        1           2   TrafficCall.ResetStateCounts
        1           1   CinThread.Enter
        1           1   CinThread.SetClient
        1           1   CliStack.FindIncrement
        1           1   CliThread.CharPrompt
        1           1   ElementException.dtor
        1           1   InputHandler.AllocBuff
        1           1   InputHandler.HostToNetwork
        1           1   InputHandler.NetworkToHost
        1           1   InvokerPool.ScheduledOut
        1           1   InvokerThread.Enter
        1           1   IpBuffer.OutgoingBytes
        1           1   IpBuffer.PayloadSize
        1           1   IpPort.BytesRcvd
        1           1   IpPort.BytesSent
        1           1   LocalAddrHandler.ReceiveBuff
        1           1   LogBuffer.FirstSpooled
        1           1   LogBuffer.Last
        1           1   LogBuffer.Pop
        1           1   LogBuffer.Purge
        1           1   LogsWritten.ctor
        1           1   NtTestData.Initiate
        1           1   NtTestData.Reset
        1           1   ObjectPoolAudit.Enter
        1           1   PotsTrafficThread.dtor
        1           1   StopCommand.ProcessCommand
        1           1   SysIpL2Addr.NetworkToHost(IPv6)
        1           1   SysIpL3Addr.NetworkToHost(IPv6)
        1           1   SysSocket.TracePort
        1           1   SysUdpSocket.SendTo
        1           1   TcpIoThread.dtor
        1           1   TimerThread.Destroy
        1           1   TimerThread.dtor
        1           1   TraceBuffer.StopTracing
        1           0   CoutThread.dtor
        1           0   ElementException.ctor
        1           0   LogBuffer.Advance
        1           0   NodeBase.CopyToConsole
        1           0   TraceBuffer.SetTool

Total functions: 334
