FUNCTION PROFILE: 30-Jan-2020 19:02:20.515 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      483        1920   Q1Way.Enq
      397        1703   Context.RunningContext
      383        2053   Context.RunningContextTraced
      352        1626   Q1Way.Deq
      350        1458   ObjectPool.DeqBlock
      350        1269   Pooled.ctor
      320        1062   TlvMessage.FencePtr
      302        1171   Pooled.operator delete
      302        1169   ObjectPool.EnqBlock
      302         229   C++.delete
      283         979   ProtocolSM.Port
      283         889   MsgPort.Port
      282        1226   SysIpL2Addr.dtor
      274         946   Context.SetContextMsg
      266         972   Q1Way.Exq
      261        1082   SysIpL3Addr.dtor
      260        1636   SysIpL2Addr.ctor(copy)
      245        1186   SysIpL2Addr.operator=(copy)
      237         478   SysIpL3Addr.ctor(copy)
      226         934   SysIpL3Addr.operator=(copy)
      224        4001   SysThread.Resume
      224        2080   Thread.Interrupt
      224        1826   SysThread.Interrupt
      206         967   Message.RxSbAddr
      197        1159   SysIpL2Addr.ctor
      197         711   SysIpL3Addr.ctor
      190         647   Message.Exqueue
      185         658   TlvMessage.NextParm
      184        3769   Message.ClearContext
      184         569   IpBuffer.BuffSize
      179         810   TlvMessage.FindParm
      179         728   TlvMessage.FirstParm
      176        1053   SysHeap.Alloc
      176         777   Memory.Alloc
      172         662   SbIpBuffer.operator new
      171         565   Context.SetState
      167    29963852   SysThread.Suspend
      160         556   TlvMessage.CheckFence
      157         524   SbIpBuffer.PayloadSize
      145         577   TlvMessage.FindType
      135         399   Q1Way.Purge
      127         782   Memory.Copy
      126        1087   Thread.Pause
      121         488   Factory.RecordMsg
      121         461   Message.TxSbAddr
      114         378   Message.Enqueue
      111         394   IpBuffer.AddBytes
      105         508   TlvMessage.AddParm
      105         387   TlvMessage.AddType
      104        1698   Thread.ExitBlockingOperation
      104        1479   Thread.Resume
      104        1324   Thread.Schedule
      104        1100   ThreadAdmin.WarpFactor
      104        1029   Thread.Ready
      104        1001   Thread.InitialMsecs
      104         963   SysThread.Wait
      104         792   Thread.LogContextSwitch
      104         756   Thread.Suspend
      104         663   Thread.EnterBlockingOperation
      100         357   Thread.RtcPercentUsed
       99         378   Message.Handled
       98         374   MediaPsm.PrepareOgMsgq
       98         358   ProtocolSM.EndOfTransaction
       98         320   MediaPsm.EndOfTransaction
       98         303   Message.SetPsm
       95        1576   SysSocket.SetBlocking
       93         468   Context.Exqueue
       93         431   InvokerPool.FindWork
       93         356   InvokerThread.ClearContext
       89        1335   SbIpBuffer.ctor(copy)
       89         447   IpBuffer.ctor(copy)
       89         378   Memory.Free
       89         348   SysHeap.Free
       89         283   MsgBuffer.ctor(copy)
       88         525   Message.RxFactory
       85         428   Message.dtor
       85         379   IpBuffer.dtor
       85         338   SbIpBuffer.operator delete
       85         308   SbIpBuffer.dtor
       85         307   TlvMessage.dtor
       85         290   MsgBuffer.dtor
       83        1329   SbIpBuffer.ctor
       83         400   IpBuffer.ctor
       83         350   MsgHeader.ctor
       83         324   Message.operator new
       83         257   MsgBuffer.ctor
       75         268   Context.TraceMsg
       74         280   Q2Way.Exq
       71         236   ProtocolSM.SetState
       67         342   Event.dtor
       67         315   Alarm.Create
       67         309   Event.operator new
       67         288   Event.ctor
       67         278   ServiceSM.EnqEvent
       67         275   ServiceSM.ExqEvent
       67         259   PotsMessage.dtor
       66        1683   Context.CaptureTask
       66         396   Context.ProcessMsg
       66         380   InvokerPool.ReceiveMsg
       66         328   Context.ProcessWork
       66         326   PayloadInvokerPool.RecordDelay
       66         321   MsgFactory.ReceiveMsg
       66         304   InvokerThread.SetContext
       66         276   Context.EnqMsg
       66         268   InvokerPool.KickThread
       66         266   InvokerPool.Dequeued
       66         261   Q2Way.Enq
       66         259   Context.Enqueue
       66         245   Thread.PauseOver
       66         238   InvokerPool.Enqueued
       66         220   ServiceSM.EndOfTransaction
       63         589   SysThread.Delay
       61         691   Message.SetSender
       61         662   Message.SetReceiver
       57         966   SysSocket.TracePeer
       56         279   ObjectPool.BidToObj
       56         257   MsgPort.Find
       56         224   Q1Way.Henq
       55         447   Message.Send
       55         357   ServiceSM.ProcessEvent
       55         237   TlvMessage.Send
       55         194   Message.Capture
       54         192   ProtocolSM.GetProtocol
       54         179   ProtocolLayer.RootSsm
       52         260   ProtocolLayer.SendToLower
       52         248   MsgPort.SendMsg
       52         188   MsgPort.Route
       52         158   ProtocolLayer.EnsureLower
       52         132   MsgPort.WrapMsg
       51         141   Message.SetProtocol
       50         244   Message.Henqueue
       49         296   Message.ctor(o/g)
       49         188   TlvMessage.ctor(o/g)
       49         157   Message.SetSignal
       48         214   ProtocolSM.AddressesUnknown
       48         200   ProtocolSM.EnqOgMsg
       48         182   ProtocolSM.PeerFactory
       47         173   MediaPsm.SetOgPort
       45         196   Pots_NU_Message.dtor
       44         244   SsmContext.ProcessIcMsg
       44         231   ProtocolLayer.SendToUpper
       44         230   Q1Way.Init
       44         218   PsmFactory.ReceiveMsg
       44         208   SsmContext.EndOfTransaction
       44         201   ProtocolSM.HenqReceivedMsg
       44         201   PsmContext.EndOfTransaction
       44         198   MediaPsm.ReceiveMsg
       44         197   ProtocolSM.ReceiveMsg
       44         196   ProtocolSM.UnwrapMsg
       44         190   MediaPsm.UpdateIcMedia
       44         189   MsgPort.ReceiveMsg
       44         186   PsmContext.FindPort
       44         175   SsmContext.IsIdle
       44         157   SsmFactory.ReceiveMsg
       44         151   MsgContext.EndOfTransaction
       43         187   MediaPsm.UpdateOgMedia
       42         175   Thread.MsecsSinceStart
       41         200   IpPort.RecvsInSequence
       39         233   SbTracer.MsgStatus
       39         172   NwTracer.BuffStatus
       38         143   TlvMessage.ChangeDir
       38         125   Message.ChangeDir
       37         160   GlobalAddress.dtor
       36         429   TimerRegistry.ProcessWork
       34       52017   SysUdpSocket.RecvFrom
       34         337   MsgFactory.CaptureMsg
       34         283   SysIpL2Addr.ctor(IPv4addr)
       34         271   PotsMessage.ctor(i/c)
       34         242   SysSocket.Empty
       34         225   InvokerPool.ReceiveBuff
       34         223   IoThread.InvokeHandler
       34         220   IpPort.BytesRcvd
       34         215   SbExtInputHandler.AllocBuff
       34         210   InvokerPool.TraceRxNet
       34         202   SbInputHandler.ReceiveBuff
       34         178   InputHandler.NetworkToHost
       34         168   Message.ctor(i/c)
       34         151   IoThread.ConditionalPause
       34         126   TlvMessage.ctor(i/c)
       34           0   SysIpL3Addr.ctor(IPv4addr)
       33         198   PotsMessage.ctor(o/g)
       33         139   SbAnalyzeMessage.ProcessEvent
       33         107   PotsMessage.AddHeader
       32         118   IpPortRegistry.CanBypassStack
       32          81   MediaPsm.CalcIcPort
       29         142   AnalyzeMsgEvent.ctor
       29         114   AnalyzeMsgEvent.dtor
       29         104   ProxyBcSsm.EndOfTransaction
       29          95   ProxyBcSsm.FirstProxy
       28         111   PotsCallPsm.SendSignal
       27         228   InvokerThread.ScheduledIn
       27         182   PotsCallPsm.ProcessIcMsg
       27         167   Context.dtor
       27         117   InvokerThread.BlockingAllowed
       27         116   InvokerPool.ScheduledOut
       27         105   MsgContext.dtor
       26         131   ServiceSM.DeleteIdleModifier
       25         158   PotsCallPsm.ProcessOgMsg
       25         100   PotsCallPsm.Route
       25          96   MediaSsm.NotifyListeners
       25          72   MediaPsm.GetMediaSsm
       24         100   Circuit.MakeConn
       23        2337   Pots_NU_Message.ctor(o/g)
       23         130   SysUdpSocket.SendBuff
       23          99   IpBuffer.Send
       23          86   IpPort.BytesSent
       23          75   IpBuffer.OutgoingBytes
       23          74   SysUdpSocket.SendTo
       23          70   PotsCallPsm.EnsureMediaMsg
       23          58   InputHandler.HostToNetwork
       22         338   Pots_NU_Message.ctor(i/c)
       22         155   PotsCircuit.ReceiveMsg
       22         133   PotsShelfFactory.ProcessIcMsg
       22         126   MsgContext.ProcessIcMsg
       22         104   PotsShelfFactory.AllocIcMsg
       22         104   ServiceSM.ProcessSsmqSap
       22          97   Context.ctor
       22          97   PotsShelfHandler.ReceiveBuff
       22          97   Pots_UN_Message.dtor
       22          95   MsgContext.ctor
       22          87   Factory.IncrContexts
       22          76   ProtocolLayer.dtor
       22          67   Context.operator new
       22          53   TlvMessage.DeleteParm
       21         196   IpPortRegistry.HostAddress
       21         163   SysIpL2Addr.IsValid
       21          82   MediaPsm.IcPortUpdated
       21          77   MediaPsm.SetOgTone
       19     5911374   SysTcpSocket.Poll
       19         779   SysTcpSocket.Accept
       19         220   SysSocket.SetError
       19         183   TcpIoThread.AcceptConn
       19         146   TcpIoThread.PollSockets
       19          57   PotsCallPsm.Cast
       18          73   AnalyzeMsgEvent.BuildSap
       18          67   ProxyBcSsm.CalcPort
       18          65   BcSsm.CalcPort
       18          59   Message.SetPriority
       18          50   Event.SetCurrSsm
       17          75   ServiceSM.SetNextState
       16          52   CipMessage.dtor
       16          45   Debug.SwFlagOn
       15          75   BcEvent.ctor
       15          70   BcEvent.dtor
       15          59   PotsMuxSsm.CalcPort
       14        1340   CipMessage.ctor(o/g)
       14          69   BcPsm.ProcessOgMsg
       14          62   BcPsm.ProcessIcMsg
       14          42   CipPsm.Route
       13          87   PotsMuxPsm.ProcessOgMsg
       13          72   BcSsm.SetNextState
       13          44   PotsCwmSsm.CalcPort
       13          36   PotsMuxPsm.Route
       12         173   Pots_UN_Message.ctor(i/c)
       12          83   PotsCallFactory.AllocIcMsg
       12          80   PotsCallHandler.ReceiveBuff
       12          80   PotsCwmEvent.dtor
       12          72   PotsCwmEvent.ctor
       12          70   ProtocolSM.FindTimer
       12          59   ToneRegistry.ToneToPort
       12          52   ServiceSM.PsmDeleted
       12          46   GlobalAddress.ctor
       12          38   Memory.Realloc
       11          92   ProtocolSM.dtor
       11          67   PotsCwmAcAnalyzeUserMessage.ProcessEvent
       11          64   MsgPort.dtor
       11          51   MediaPsm.dtor
       11          48   PsmContext.ExqPsm
       11          47   BcPsm.EnsureMediaMsg
       11          42   CipMessage.AddProgress
       11          42   ProtocolSM.SendFinal
       11          37   MediaSsm.PsmDeleted
       11          36   MsgPort.AdjacentDeleted
       11          36   ProtocolLayer.AdjacentDeleted
       11          36   ProtocolSM.Destroy
       11          36   PsmContext.ExqPort
       11          31   ProgressInfo.ctor
       11          28   SysIpL3Addr.ReleaseSocket
       10        1107   Pots_UN_Message.ctor(o/g)
       10          52   Timer.Exqueue
       10          48   MediaPsm.SetOgPsm
       10          29   PotsMuxPsm.EnsureMediaMsg
        9          44   PotsMuxPsm.SendSignal
        9          28   MediaPsm.SetIcTone
        8          48   PotsBcSsm.PsmDeleted
        8          47   ServiceSM.dtor
        8          47   Timer.Deregister
        8          39   Timer.dtor
        8          26   BcSsm.PsmDeleted
        8          26   ProxyBcSsm.PsmDeleted
        8          25   PotsBcSsm.SetNextSap
        8          21   ServiceSM.SetNextSap
        8          19   Message.NextMsg
        7          44   BcReleaseEvent.dtor
        7          41   BcReleaseEvent.ctor
        7          36   PotsBcSsm.TimerPsm
        7          21   PotsMessage.AddProgress
        6          44   Message.Relay
        6          31   ProtocolSM.StartTimer
        6          26   Timer.operator new
        6          25   TimerRegistry.CalcQId
        6          25   TlvMessage.AddFence
        6          24   Q2Way.Henq
        6          23   ProtocolSM.StopTimer
        6          22   ProtocolSM.HenqOgMsg
        6          20   PotsBcSsm.SetNextSnp
        6          18   Protocol.Understands
        6          17   ServiceSM.SetNextSnp
        6          12   Timer.ctor
        5          28   PotsMuxSsm.CountCalls
        5          23   PotsBcAcAnalyzeLocalMessage.ProcessEvent
        5          22   PotsCwmSsm.ConnectInactiveCall
        5          21   BcAcAnalyzeRemoteMessage.ProcessEvent
        5          20   PsmContext.dtor
        5          19   MediaSsm.dtor
        5          19   PotsCallPsm.dtor
        5          19   PotsProfile.ClearObjAddr(psm)
        5          19   SsmContext.dtor
        5          18   RootServiceSM.dtor
        5          18   SsmContext.SetRoot
        5          17   PotsProfile.ClearObjAddr(addr)
        5          17   PotsProfile.SetState
        5          16   PotsCwmSsm.SetSubstate
        5          16   PotsCwtAcAnalyzeUserMessage.ProcessEvent
        5          16   PotsMessage.AddCause
        5          15   PotsCallPsm.SendCause
        5          15   PotsCwtSsm.CalcPort
        4          63   PotsCwmFlipflopEvent.ctor
        4          63   PotsCwmRelayEvent.ctor
        4          26   AnalyzeSapEvent.ctor
        4          23   PotsBcSsm.ClearCall
        4          18   PotsBcSsm.StopTimer
        4          18   PotsCwmSsm.Flipflop
        4          18   ServiceSM.ProcessSsmqSnp
        4          17   AnalyzeSapEvent.dtor
        4          17   AnalyzeSnpEvent.dtor
        4          17   Event.BuildSnp
        4          17   PotsBcSsm.dtor
        4          16   PotsCwmSsm.RelayMsg
        4          16   PotsCwtSsm.ProcessSnp
        4          16   SbAnalyzeSnp.ProcessEvent
        4          15   AnalyzeMsgEvent.BuildSnp
        4          15   AnalyzeSnpEvent.ctor
        4          15   BcSsm.ClearCall
        4          15   PotsCwmFlipflopEvent.dtor
        4          15   ProxyBcSsm.dtor
        4          14   BcPsm.dtor
        4          14   BcSsm.dtor
        4          14   PotsCwmRelayEvent.dtor
        4          13   Message.Refresh
        4          13   PotsCwmAcFlipflop.ProcessEvent
        4          12   CipPsm.dtor
        4          12   Event.BuildSap
        4          12   PotsCwmAcRelay.ProcessEvent
        4          12   SbAnalyzeSap.ProcessEvent
        4          10   PotsCwtSsm.ProcessSap
        3          69   BcLocalReleaseEvent.ctor
        3          17   BcSsm.BuildCipCpg
        3          15   BcSsm.RaiseLocalRelease
        3          15   PotsBcSsm.StartTimer
        3          15   PotsCwmSsm.StartTimer
        3          14   PotsBcLocalRelease.ProcessEvent
        3          13   PotsCircuit.SetState
        3          12   BcLocalReleaseEvent.dtor
        3          11   PotsMuxPsm.ProcessIcMsg
        3          10   PotsMuxSsm.PsmDeleted
        3           9   PotsCallPsm.ApplyRinging
        3           9   Pots_NU_Message.AddRing
        2          49   BcLocalSuspendEvent.ctor
        2          48   BcRemoteSuspendEvent.ctor
        2          48   PotsMuxRelayEvent.ctor
        2          46   PotsBcAcRemoteSuspend.ProcessEvent
        2          36   BcRemoteReleaseEvent.ctor
        2          29   Timer.SendTimeout
        2          27   NwTracer.FindPort
        2          23   NwTracer.PortStatus
        2          19   TimerRegistry.SendTimeout
        2          17   PotsMuxEvent.ctor
        2          14   BcRemoteSuspendEvent.dtor
        2          13   Message.SendToSelf
        2          13   PotsMuxSsm.RelayMsg
        2          12   PotsBcAcLocalSuspend.ProcessEvent
        2          12   ProtocolLayer.EnsurePort
        2          11   BcSsm.BuildCipRel
        2          11   BcSsm.RaiseRemoteSuspend
        2          10   BcLocalSuspendEvent.dtor
        2          10   PotsMuxPaRelay.ProcessEvent
        2          10   PotsMuxRelayEvent.dtor
        2          10   TimeoutInfo.ctor
        2           9   BcSsm.RaiseLocalSuspend
        2           9   BcSsm.RaiseRemoteRelease
        2           9   PotsCwmSsm.ClearTimer
        2           9   PotsMuxEvent.dtor
        2           8   PotsCwmAcAnalyzeNetworkMessage.ProcessEvent
        2           7   MediaPsm.EnableMedia
        2           7   SysIpL3Addr.ctor(L2addr)
        2           6   BcRemoteReleaseEvent.dtor
        2           6   CipMessage.AddCause
        2           6   GlobalAddress.ctor(L2addr, port, factory)
        2           6   MediaPsm.DisableMedia
        2           6   PotsCwmSsm.CalcRole
        2           6   PotsCwmSsm.StopTimer
        2           6   PotsCwtSsm.dtor
        2           6   PotsMuxPsm.dtor
        2           6   PotsStatistics.Incr
        2           5   PotsMuxPsm.SendFacility
        2           4   CauseInfo.ctor
        1          37   PotsCwmRenotifyEvent.ctor
        1          20   Message.GetSender
        1          20   PotsCwmToneTimeoutEvent.ctor
        1          18   BcApplyTreatmentEvent.ctor
        1          18   BcReleaseCallEvent.ctor
        1          16   BcLocalResumeEvent.ctor
        1          16   BcRemoteResumeEvent.ctor
        1          15   BcLocalAnswerEvent.ctor
        1          15   BcRemoteAnswerEvent.ctor
        1          15   PotsCwmLocalReleaseEvent.ctor
        1          15   PotsCwmReanswerEvent.ctor
        1          15   PotsCwtReleaseEvent.ctor
        1           9   PotsCwmSsm.StartCwtTone
        1           8   BcLocalResumeEvent.dtor
        1           8   PotsCwmRenotifyEvent.dtor
        1           7   PotsCwmAcRenotify.ProcessEvent
        1           6   BcSsm.HandleLocalAnswer
        1           6   PotsBcExAnalyzeLocalMessage.ProcessEvent
        1           6   PotsHeaderInfo.ctor
        1           6   PotsMuxPaAnalyzeUserMessage.ProcessEvent
        1           6   PotsMuxSsm.NPsm
        1           5   BcSsm.RaiseApplyTreatment
        1           5   PotsBcExApplyTreatment.ProcessEvent
        1           5   PotsCircuit.CreateMsg
        1           5   PotsCwmSsm.StopCwtTone
        1           5   PotsCwtEvent.ctor
        1           4   BcOaAnalyzeRemoteMessage.ProcessEvent
        1           4   BcSsm.RaiseLocalAnswer
        1           4   BcSsm.RaiseLocalResume
        1           4   PotsBcLocalAnswer.ProcessEvent
        1           4   PotsBcLsLocalResume.ProcessEvent
        1           4   PotsBcLsRemoteRelease.ProcessEvent
        1           4   PotsBcRemoteAnswer.ProcessEvent
        1           4   PotsBcRsRemoteResume.ProcessEvent
        1           4   PotsBcScRemoteRelease.ProcessEvent
        1           4   PotsCircuit.SendMsg(signal)
        1           4   PotsCwaSsm.dtor
        1           4   PotsCwmAcToneTimeout.ProcessEvent
        1           4   PotsCwmSsm.Reanswer
        1           4   PotsCwmSsm.ReleaseCwt
        1           4   PotsCwmSsm.Rering
        1           4   PotsCwmToneTimeoutEvent.dtor
        1           4   PotsMuxPaAnalyzeNetworkMessage.ProcessEvent
        1           3   BcApplyTreatmentEvent.dtor
        1           3   BcLocalAnswerEvent.dtor
        1           3   BcReleaseCallEvent.dtor
        1           3   BcRemoteAnswerEvent.dtor
        1           3   BcRemoteResumeEvent.dtor
        1           3   BcSsm.HandleRemoteRelease
        1           3   BcSsm.RaiseReleaseCall
        1           3   BcSsm.RaiseRemoteAnswer
        1           3   BcSsm.RaiseRemoteResume
        1           3   GlobalAddress.ctor(L3addr, locaddr)
        1           3   ObjectPool.UpdateAlarm
        1           3   PotsBcReleaseCall.ProcessEvent
        1           3   PotsBcTaAnalyzeLocalMessage.ProcessEvent
        1           3   PotsCallPsm.ReportFlash
        1           3   PotsCircuit.SendMsg
        1           3   PotsCwbSsm.dtor
        1           3   PotsCwmAcLocalRelease.ProcessEvent
        1           3   PotsCwmAcReanswer.ProcessEvent
        1           3   PotsCwmLocalReleaseEvent.dtor
        1           3   PotsCwmReanswerEvent.dtor
        1           3   PotsCwmSsm.SetNextState
        1           3   PotsCwmSsm.dtor
        1           3   PotsCwtAcRelease.ProcessEvent
        1           3   PotsCwtEvent.dtor
        1           3   PotsCwtReleaseEvent.dtor
        1           3   PotsCwtSsm.Cancel
        1           3   PotsMuxSsm.dtor
        1           3   PotsStatistics.IncrCause
        1           3   PotsToneTreatment.ApplyTreatment
        1           3   PotsTreatmentQueue.FirstTreatment
        1           3   PotsTreatmentRegistry.CauseToTreatmentQ
        1           3   Pots_NU_Message.AddScan
        1           2   PotsMessage.AddFacility

Total functions: 483
