FUNCTION PROFILE: 14-Oct-2019 22:54:15.733 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      217        2648   Alarm.Create
      216        1569   ObjectPool.UpdateAlarm
      207        7312   Base.ctor
      207        1752   Thread.RunningThread
      206           0   Object.ctor
      180     2007771   Thread.Pause
      176        1463   Q1Way.Enq
      151        1902   Context.RunningContextTraced
      121        1177   Pooled.operator delete
      121         981   ObjectPool.EnqBlock
      118         140   C++.delete
      103        1013   Q1Way.Purge
       99        1011   SysIpL2Addr.dtor
       99         840   Q1Way.Exq
       96         978   Context.RunningContext
       96         829   Q1Way.Deq
       93         775   ObjectPool.DeqBlock
       92           0   Pooled.ctor
       91     2001627   Thread.Unlock
       91        2456   Thread.ExitBlockingOperation
       91         772   MsgPort.Port
       90         899   SysIpL3Addr.dtor
       90         637   ProtocolSM.Port
       83         811   TlvMessage.FencePtr
       74         548   Context.SetContextMsg
       64     4031122   InitThread.Yielding
       62         975   Thread.LogContextSwitch
       59           0   SysIpL2Addr.ctor(copy)
       58         515   SysIpL2Addr.operator=(copy)
       55         620   Thread.EnterBlockingOperation
       55          30   SysIpL3Addr.ctor
       54           0   SysIpL2Addr.ctor
       53          50   SysIpL3Addr.ctor(copy)
       52         410   Message.RxSbAddr
       50         451   SysIpL3Addr.operator=(copy)
       50         357   Message.Exqueue
       49        2648   Message.ClearContext
       44        1695   SysSocket.SetBlocking
       42         436   SysHeap.Alloc
       42         353   TlvMessage.CheckFence
       41         366   SbIpBuffer.PayloadSize
       41         344   TlvMessage.FindParm
       41         336   Memory.Alloc
       41         318   TlvMessage.FirstParm
       41         275   IpBuffer.BuffSize
       40         404   SbIpBuffer.operator new
       40         293   TlvMessage.NextParm
       39         382   Thread.RtcPercentUsed
       37         313   Context.SetState
       33         266   TlvMessage.FindType
       32         419   Thread.ResumeLocked
       30         472   Memory.Copy
       30         260   Factory.RecordMsg
       29         276   InvokerThread.ClearContext
       29         244   IpBuffer.AddBytes
       29         192   Message.Enqueue
       28         240   Event.dtor
       28         239   Message.TxSbAddr
       28         191   ServiceSM.ExqEvent
       27         249   TlvMessage.AddParm
       27         239   Event.operator new
       27         210   TlvMessage.AddType
       26         266   InvokerPool.FindWork
       26         249   GlobalAddress.dtor
       26         230   Context.Exqueue
       26         229   Message.Handled
       26         169   ServiceSM.EnqEvent
       26          27   Event.ctor
       25         243   SysHeap.Free
       25         201   Memory.Free
       24         475   Thread.MsecsSinceStart
       24         218   SbIpBuffer.operator delete
       24         166   Message.SetPsm
       23         225   Message.dtor
       23         211   MsgBuffer.dtor
       23         208   ProtocolSM.SetState
       23         202   MediaPsm.EndOfTransaction
       23         199   ProtocolSM.EndOfTransaction
       23         194   IpBuffer.dtor
       23         191   MediaPsm.PrepareOgMsgq
       23         160   SbIpBuffer.dtor
       23         153   TlvMessage.dtor
       23          31   TcpIoThread.Enter
       21         307   IoThread.ConditionalPause
       21         277   IpPort.RecvsInSequence
       21         203   Message.RxFactory
       21         193   ProtocolLayer.dtor
       21          50   IpBuffer.ctor(copy)
       21           0   MsgBuffer.ctor(copy)
       21           0   SbIpBuffer.ctor(copy)
       20         169   MsgHeader.ctor
       20          12   SbIpBuffer.ctor
       19         303   TimerRegistry.ProcessWork
       19         281   TcpIoThread.PollSockets
       19         172   PotsCallPsm.Cast
       19         162   Q2Way.Exq
       19         148   Message.operator new
