FUNCTION PROFILE: Jun-13-2022 16:46:41.953 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      212         483   Q1Way.Enq
      175         536   Context.RunningContextTraced
      161         505   Q1Way.Deq
      158         480   ObjectPool.DeqBlock
      158         467   Pooled.ctor
      149         383   ObjectPool.EnqBlock
      149         351   Pooled.operator delete
      125          79   C++.delete
      124        1125   Gate.Notify
      124         579   Thread.Interrupt
      124         494   SysThread.Interrupt
      113    16669090   Gate.WaitFor
      113         453   SysThread.Suspend
      107         240   Q1Way.Exq
      104         277   Context.RunningContext
      101         219   Q1Way.Purge
       92         437   Thread.Pause
       92         243   ProtocolSM.Port
       92         228   MsgPort.Port
       86         423   SysIpL2Addr.dtor
       86         225   SysIpL3Addr.dtor
       78         142   Context.SetContextMsg
       74         194   TlvMessage.FencePtr
       67        2063   Thread.LogContextSwitch
       67         724   Thread.ExitBlockingOperation
       67         520   Mutex.Acquire
       67         460   Thread.Resume
       67         443   Thread.InitialTime
       67         369   Mutex.Release
       67         344   Thread.Ready
       67         307   ThreadAdmin.WarpFactor
       67         297   MutexGuard.ctor
       67         273   SysThread.Wait
       67         267   Thread.Suspend
       67         248   MutexGuard.Release
       67         238   Thread.Schedule
       67         237   Thread.EnterBlockingOperation
       67         231   MutexGuard.dtor
       60         240   SysIpL3Addr.ctor
       60         233   SysIpL2Addr.ctor
       60         166   IPv6Addr.ctor
       59         143   SbIpBuffer.PayloadSize
       57         161   Message.RxSbAddr
       53         128   Message.Exqueue
       50         874   Message.ClearContext
       47         157   SbIpBuffer.operator new
       47         145   SmallBuffer.operator new
       47         132   NetworkBase.AllocByteBuff
       47         129   IpBuffer.AllocBuff
       46         170   SysThread.Delay
       41          52   Context.SetState
       39         236   SysSocket.SetBlocking
       38         145   Thread.CurrTimeRunning
       37          96   TlvMessage.CheckFence
       36         178   Memory.Copy
       36          95   TlvMessage.FindParm
       36          92   TlvMessage.FirstParm
       35         141   ServiceSM.ExqEvent
       35         104   Event.ctor
       35          93   ServiceSM.EnqEvent
       35          89   Event.dtor
       35          86   Event.operator new
       34          80   TlvMessage.NextParm
       31          81   Factory.RecordMsg
       31          64   Message.TxSbAddr
       28          80   Message.Enqueue
       28          70   TlvMessage.FindType
       28          66   GlobalAddress.dtor
       28          59   Thread.RtcPercentUsed
       27          70   Context.Exqueue
