FUNCTION PROFILE: 20-Dec-2020 11:22:35.264 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      223        1055   Q1Way.Enq
      197        1261   Context.RunningContextTraced
      146         541   ObjectPool.EnqBlock
      146         511   Pooled.operator delete
      146          58   C++.delete
      140         751   Q1Way.Deq
      138         697   Context.RunningContext
      137         657   ObjectPool.DeqBlock
      137         628   Pooled.ctor
      125         577   Q1Way.Exq
      117         507   MsgPort.Port
      117         459   ProtocolSM.Port
      111         454   SysIpL2Addr.dtor
      109         349   Q1Way.Purge
      108         457   SysIpL3Addr.dtor
      104         450   TlvMessage.FencePtr
       90         402   Context.SetContextMsg
       75         403   Message.RxSbAddr
       69         275   TlvMessage.NextParm
       67         484   SysIpL2Addr.ctor
       67         301   SysIpL3Addr.ctor
       67         290   Message.Exqueue
       65         449   SysHeap.Alloc
       65         279   Memory.Alloc
       65         272   IpBuffer.BuffSize
       63        1434   Message.ClearContext
       60         271   SbIpBuffer.operator new
       57         232   TlvMessage.FirstParm
       57         224   TlvMessage.FindParm
       55         267   Context.SetState
       55         231   SbIpBuffer.PayloadSize
       52         944   SysThread.Resume
       52         463   Thread.Interrupt
       52         387   SysThread.Interrupt
       52         203   TlvMessage.CheckFence
       50         408   Memory.Copy
       46         183   TlvMessage.FindType
       42         213   Factory.RecordMsg
       42         206   Message.TxSbAddr
       41     3633269   SysThread.Suspend
       39         180   Event.ctor
       39         178   Event.operator new
       39         167   ServiceSM.ExqEvent
       39         159   ServiceSM.EnqEvent
       39         124   Event.dtor
       38         157   Message.Enqueue
       37         196   Context.Exqueue
       37         173   InvokerThread.ClearContext
       37         163   IpBuffer.AddBytes
       36         203   Thread.RtcPercentUsed
       35         194   SysHeap.BlockToSize
       35         140   Memory.Free
       35         134   SysHeap.Free
       33         150   Message.Handled
       33         147   Message.SetPsm
       33         131   TlvMessage.AddParm
       33         126   TlvMessage.AddType
       32         279   SbIpBuffer.ctor(copy)
       32         234   Message.RxFactory
       32         160   IpBuffer.ctor(copy)
       32         151   MsgBuffer.ctor(copy)
       31         157   InvokerPool.FindWork
       31         107   GlobalAddress.dtor
       30         309   Thread.Pause
       30         125   MsgBuffer.dtor
       30         111   SbIpBuffer.operator delete
       30         100   SbIpBuffer.dtor
       30          99   TlvMessage.dtor
       30          92   IpBuffer.dtor
       30          92   Message.dtor
       29         154   ProtocolSM.SetState
       28         630   SysSocket.SetBlocking
       28         512   SbIpBuffer.ctor
       28         150   MsgHeader.ctor
       28         133   Message.operator new
       28         133   MediaPsm.EndOfTransaction
       28         129   MsgBuffer.ctor
       28         124   MediaPsm.PrepareOgMsgq
       28         118   Context.TraceMsg
       28         109   ProtocolSM.EndOfTransaction
       28         103   IpBuffer.ctor
       27         128   ServiceSM.ProcessEvent
       26        1986   Thread.LogContextSwitch
       26        1137   SysMutex.Acquire
       26         393   Thread.Resume
       26         367   Thread.InitialTime
       26         319   Thread.ExitBlockingOperation
       26         314   ThreadAdmin.WarpFactor
       26         260   SysMutex.Release
       26         237   Thread.Schedule
       26         222   SysThread.Wait
       26         209   Thread.EnterBlockingOperation
       26         176   Thread.Ready
       26         174   Thread.Suspend
       26         160   MutexGuard.ctor
       26         125   Q2Way.Exq
       26         117   MutexGuard.dtor
       26         109   MutexGuard.Release
       25         103   PotsMessage.dtor
       24         112   ProtocolLayer.RootSsm
       23         632   Context.CaptureTask
       23         168   Alarm.Create
       23         148   Context.EnqMsg
       23         147   PayloadInvokerPool.RecordDelay
       23         139   InvokerThread.SetContext
       23         123   Message.SetSender
       23         120   MsgFactory.ReceiveMsg
       23         118   Context.ProcessMsg
       23         116   Context.ProcessWork
       23         116   Message.SetReceiver
       23         115   InvokerPool.Dequeued
       23         111   Q2Way.Enq
       23         109   InvokerPool.ReceiveMsg
       23         103   InvokerPool.KickThread
       23          96   Thread.PauseOver
       23          95   ProtocolSM.PeerFactory
       23          94   InvokerPool.Enqueued
       23          92   Context.Enqueue
       22         197   SysSocket.TracePeer
       22          65   ProtocolLayer.dtor
       19         108   MsgPort.WrapMsg
       19          85   Q1Way.Henq
       19          83   Message.Send
       19          81   MsgPort.Route
       19          81   Message.Capture
       19          80   ProtocolSM.GetProtocol
       19          78   ProtocolLayer.EnsureLower
       19          77   MsgPort.SendMsg
       19          77   TlvMessage.Send
       19          76   Pots_NU_Message.dtor
       19          76   ProtocolLayer.SendToLower
       19          67   PotsCallPsm.Cast
       18         148   Q1Way.Init
       18          97   Message.Henqueue
       18          96   SbTracer.MsgStatus
       18          96   NwTracer.BuffStatus
       18          85   ServiceSM.EndOfTransaction
       18          84   ObjectPool.BidToObj
       18          83   MsgPort.Find
       18          68   ProtocolSM.AddressesUnknown
       18          67   MediaPsm.SetOgPort
       16          71   SbAnalyzeMessage.ProcessEvent
       15         127   SysThread.Delay
       15          64   ProtocolSM.EnqOgMsg
       15          63   Message.ctor(o/g)
       15          60   Message.SetSignal
       15          59   Message.SetProtocol
       15          57   TlvMessage.ctor(o/g)
       14          96   MediaPsm.ReceiveMsg
       14          90   Context.dtor
       14          87   MsgPort.ReceiveMsg
       14          82   AnalyzeMsgEvent.ctor
       14          80   ProtocolLayer.SendToUpper
       14          80   MediaPsm.UpdateIcMedia
       14          76   PsmContext.EndOfTransaction
       14          73   ProtocolSM.HenqReceivedMsg
       14          72   ProtocolSM.UnwrapMsg
       14          71   MsgContext.dtor
       14          68   PsmContext.FindPort
       14          67   TlvMessage.ChangeDir
       14          66   ServiceSM.PsmDeleted
       14          65   SsmContext.IsIdle
       14          65   Message.ChangeDir
       14          64   SsmFactory.ReceiveMsg
       14          63   PsmFactory.ReceiveMsg
       14          61   SsmContext.ProcessIcMsg
       14          60   ProtocolSM.ReceiveMsg
       14          59   MsgContext.EndOfTransaction
       14          57   PotsCallPsm.SendSignal
       14          57   SsmContext.EndOfTransaction
       14          53   AnalyzeMsgEvent.dtor
       13       25208   SysUdpSocket.RecvFrom
       13         141   MsgFactory.CaptureMsg
       13         136   SysIpL2Addr.ctor(IPv4addr)
       13         132   PotsMessage.ctor(i/c)
       13         121   SysSocket.Empty
       13         102   IpPort.BytesRcvd
       13          91   PotsCallPsm.ProcessOgMsg
       13          84   Message.ctor(i/c)
       13          64   InputHandler.NetworkToHost
       13          63   SbInputHandler.ReceiveBuff
       13          62   IoThread.InvokeHandler
       13          58   InvokerPool.ReceiveBuff
       13          57   ServiceSM.DeleteIdleModifier
       13          54   PotsCallPsm.Route
       13          54   SbExtInputHandler.AllocBuff
       13          53   TlvMessage.ctor(i/c)
       13          51   InvokerPool.TraceRxNet
       13          49   MediaPsm.UpdateOgMedia
       13          44   IoThread.ConditionalPause
       13           0   SysIpL3Addr.ctor(IPv4addr)
       12          96   PotsMessage.ctor(o/g)
       12          50   PotsMessage.AddHeader
       11          63   IpPort.RecvsInSequence
       11          56   MsgPort.AdjacentDeleted
       11          49   ProtocolSM.SendFinal
       11          48   BcEvent.ctor
       11          43   ServiceSM.SetNextState
       11          42   ProtocolLayer.AdjacentDeleted
       11          40   MediaSsm.PsmDeleted
       11          39   PsmContext.ExqPort
       11          39   SysIpL3Addr.ReleaseSocket
       11          39   PsmContext.ExqPsm
       11          38   ProtocolSM.Destroy
       11          36   BcEvent.dtor
       11          35   MediaPsm.dtor
       11          32   MsgPort.dtor
       11          32   ProtocolSM.dtor
       10        1245   Pots_NU_Message.ctor(o/g)
       10          60   IpPortRegistry.CanBypassStack
       10          57   MediaSsm.NotifyListeners
       10          50   ServiceSM.SetNextSap
       10          49   BcSsm.CalcPort
       10          43   ProxyBcSsm.CalcPort
       10          38   ServiceSM.ProcessSsmqSap
       10          36   PotsBcSsm.SetNextSap
       10          34   MediaPsm.GetMediaSsm
        9         129   Pots_NU_Message.ctor(i/c)
        9          64   BcReleaseEvent.ctor
        9          54   Circuit.MakeConn
        9          49   Context.ctor
        9          48   PotsCircuit.ReceiveMsg
        9          48   BcReleaseEvent.dtor
        9          45   IpPort.BytesSent
        9          44   PotsShelfHandler.ReceiveBuff
        9          41   PotsShelfFactory.AllocIcMsg
        9          39   Context.operator new
        9          37   MsgContext.ctor
        9          35   PotsCallPsm.EnsureMediaMsg
        9          34   Factory.IncrContexts
        9          33   PotsShelfFactory.ProcessIcMsg
        9          32   SysUdpSocket.SendTo
        9          32   SysUdpSocket.SendBuff
        9          32   InputHandler.HostToNetwork
        9          32   IpBuffer.Send
        9          32   IpBuffer.OutgoingBytes
        9          32   MsgContext.ProcessIcMsg
        8          72   InvokerThread.ScheduledIn
        8          53   Thread.CurrTimeRunning
        8          46   ProxyBcSsm.FirstProxy
        8          38   ProxyBcSsm.EndOfTransaction
        8          37   GlobalAddress.ctor
        8          31   BcSsm.SetNextState
        8          30   InvokerPool.ScheduledOut
        8          29   MediaPsm.CalcIcPort
        8          29   ProxyBcSsm.PsmDeleted
        8          29   BcSsm.PsmDeleted
        8          28   PotsBcSsm.PsmDeleted
        8          27   InvokerThread.BlockingAllowed
        8          26   ServiceSM.dtor
        7         123   TimerRegistry.ProcessWork
        7          48   PotsCallPsm.ProcessIcMsg
        7          36   Message.SetPriority
        7          30   ServiceSM.SetNextSnp
        7          28   PotsBcSsm.SetNextSnp
        7          27   MediaPsm.SetOgTone
        7          26   TlvMessage.DeleteParm
        7          23   MediaPsm.SetOgPsm
        6          31   PotsMuxSsm.CalcPort
        6          25   MediaPsm.IcPortUpdated
        6          24   Pots_UN_Message.dtor
        6          24   AnalyzeMsgEvent.BuildSap
        6          24   Event.SetCurrSsm
        6          23   PotsMessage.AddCause
        6          22   PotsCallPsm.SendCause
        6          22   ToneRegistry.ToneToPort
        5          24   Message.Refresh
        5          23   Memory.Realloc
        5          20   SsmContext.SetRoot
        5          20   PotsProfile.SetState
        5          19   PotsProfile.ClearObjAddr(addr)
        5          19   SsmContext.dtor
        5          18   PsmContext.dtor
        5          18   PotsCallPsm.dtor
        5          18   MediaSsm.dtor
        5          17   PotsProfile.ClearObjAddr(psm)
        5          17   MediaPsm.SetIcTone
        5          17   RootServiceSM.dtor
        5          14   CipMessage.dtor
        4          83   Pots_UN_Message.ctor(i/c)
        4          33   PotsCallFactory.AllocIcMsg
        4          29   PotsCallHandler.ReceiveBuff
        4          26   ProtocolSM.FindTimer
        4          19   Message.Relay
        4          19   TlvMessage.AddFence
        4          18   PotsMuxSsm.CountCalls
        4          18   Protocol.Understands
        4          17   BcSsm.ClearCall
        4          16   PotsBcSsm.ClearCall
        4          16   ProtocolSM.HenqOgMsg
        4          15   BcSsm.dtor
        4          15   ProxyBcSsm.dtor
        4          14   PotsBcSsm.dtor
        4          13   PotsMuxPsm.ProcessIcMsg
        4          13   Debug.SwFlagOn
        4          13   Event.BuildSap
        4          13   PotsCwtSsm.ProcessSap
        4          13   SbAnalyzeSap.ProcessEvent
        4          12   AnalyzeSapEvent.ctor
        4          11   AnalyzeSapEvent.dtor
        4          11   CipPsm.dtor
        4          11   BcPsm.dtor
        3     2549183   SysTcpSocket.Poll
        3         284   CipMessage.ctor(o/g)
        3         118   BcLocalReleaseEvent.ctor
        3         103   PotsMuxRelayEvent.ctor
        3          77   SysTcpSocket.Accept
        3          47   IpPortRegistry.HostAddress
        3          46   SysIpL2Addr.IsValid
        3          44   SysSocket.SetError
        3          39   TcpIoThread.AcceptConn
        3          28   PotsMuxEvent.ctor
        3          27   TcpIoThread.PollSockets
        3          20   PotsCwmEvent.ctor
        3          16   BcSsm.RaiseLocalRelease
        3          16   ProtocolSM.StopTimer
        3          16   Timer.Exqueue
        3          15   PotsMuxPsm.Route
        3          15   PotsMuxPsm.ProcessOgMsg
        3          15   PotsMuxSsm.RelayMsg
        3          14   PotsBcSsm.TimerPsm
        3          14   Timer.Deregister
        3          14   PotsMuxPaRelay.ProcessEvent
        3          14   PotsBcLocalRelease.ProcessEvent
        3          14   PotsCwtSsm.ProcessSnp
        3          13   Timer.dtor
        3          13   PotsMuxEvent.dtor
        3          12   BcLocalReleaseEvent.dtor
        3          12   PotsMuxRelayEvent.dtor
        3          12   PotsCwmSsm.CalcPort
        3          11   PotsCwtSsm.CalcPort
        3          11   BcPsm.EnsureMediaMsg
        3          11   BcPsm.ProcessOgMsg
        3          10   BcPsm.ProcessIcMsg
        3          10   PotsCwmEvent.dtor
        3          10   CipPsm.Route
        3          10   SbAnalyzeSnp.ProcessEvent
        3          10   Event.BuildSnp
        3          10   ServiceSM.ProcessSsmqSnp
        3          10   AnalyzeSnpEvent.ctor
        3           9   PotsCircuit.SetState
        3           9   PotsMuxSsm.PsmDeleted
        3           9   AnalyzeSnpEvent.dtor
        2         265   Pots_UN_Message.ctor(o/g)
        2          38   BcRemoteReleaseEvent.ctor
        2          38   BcApplyTreatmentEvent.ctor
        2          38   BcReleaseCallEvent.ctor
        2          21   PotsMuxPsm.EnsureMediaMsg
        2          12   PotsBcSsm.StopTimer
        2           9   AnalyzeMsgEvent.BuildSnp
        2           9   PotsCwtAcAnalyzeUserMessage.ProcessEvent
        2           8   PotsMuxPsm.SendSignal
        2           8   PotsBcAcAnalyzeLocalMessage.ProcessEvent
        2           8   PotsMuxPsm.SendFacility
        2           8   PotsCwmAcAnalyzeNetworkMessage.ProcessEvent
        2           7   PotsCwmSsm.CalcRole
        2           7   MediaPsm.DisableMedia
        2           6   BcAcAnalyzeRemoteMessage.ProcessEvent
        2           6   CipMessage.AddCause
        2           6   PotsMuxPaAnalyzeNetworkMessage.ProcessEvent
        2           6   PotsBcReleaseCall.ProcessEvent
        2           6   PotsCwtSsm.dtor
        2           6   CauseInfo.ctor
        2           6   PotsBcScRemoteRelease.ProcessEvent
        2           6   BcSsm.BuildCipRel
        2           6   BcSsm.RaiseReleaseCall
        2           6   BcSsm.RaiseRemoteRelease
        2           5   BcSsm.RaiseApplyTreatment
        2           5   PotsMuxPsm.dtor
        2           5   BcApplyTreatmentEvent.dtor
        2           5   BcReleaseCallEvent.dtor
        2           5   BcRemoteReleaseEvent.dtor
        1          22   PotsCwmFlipflopEvent.ctor
        1          22   BcRemoteAnswerEvent.ctor
        1          22   PotsCwtReleaseEvent.ctor
        1          22   BcLocalAnswerEvent.ctor
        1          22   PotsCwmRelayEvent.ctor
        1          19   PotsCwmActiveReleaseEvent.ctor
        1           9   NwTracer.FindPort
        1           8   PotsCwtEvent.ctor
        1           8   PotsBcExAnalyzeLocalMessage.ProcessEvent
        1           8   PotsCwmSsm.ReleaseCwt
        1           8   PotsMuxSsm.NPsm
        1           8   PotsMuxPaAnalyzeUserMessage.ProcessEvent
        1           7   GlobalAddress.ctor(L3addr, locaddr)
        1           6   Message.GetSender
