FUNCTION PROFILE: 2-Aug-2019 09:05:07.366 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      165        3350   Base.ctor
      165           0   Object.ctor
      159         931   Alarm.Create
      159         687   ObjectPool.UpdateAlarm
      129         636   Q1Way.Enq
      119         921   Context.RunningContextTraced
       86          89   C++.delete
       85         434   Pooled.operator delete
       85         422   ObjectPool.EnqBlock
       83         436   Thread.RunningThread
       78         291   Q1Way.Purge
       76         350   Q1Way.Deq
       76          18   Pooled.ctor
       75         355   ObjectPool.DeqBlock
       74         360   Q1Way.Exq
       72         392   Context.RunningContext
       66         324   SysIpL2Addr.dtor
       65         269   ProtocolSM.Port
       62         327   MsgPort.Port
       62         292   SysIpL3Addr.dtor
       51           0   SysIpL2Addr.ctor(copy)
       50         386   Context.SetContextMsg
       50         264   TlvMessage.FencePtr
       45           0   SysIpL3Addr.ctor(copy)
       44         236   SysIpL2Addr.operator=(copy)
       41         217   SysIpL3Addr.operator=(copy)
       37         188   Message.RxSbAddr
       37           0   SysIpL2Addr.ctor
       37           0   SysIpL3Addr.ctor
       34         139   Message.Exqueue
       32         812   Message.ClearContext
       30         127   Thread.Pause
       30         117   IpBuffer.BuffSize
       29         174   SysHeap.Alloc
       29         143   Memory.Alloc
       28         119   TlvMessage.FindParm
       28         118   TlvMessage.FirstParm
       28          94   Q1Way.Init
       28          94   TlvMessage.NextParm
       27         173   SbIpBuffer.operator new
       27         143   Context.SetState
       26         153   GlobalAddress.dtor
       26         144   SbIpBuffer.PayloadSize
       25         131   TlvMessage.CheckFence
       24         131   Event.dtor
       24         122   ServiceSM.EnqEvent
       24         105   ServiceSM.ExqEvent
       24          15   Event.ctor
       23         141   Event.operator new
       23         120   TlvMessage.FindType
       21         234   Memory.Copy
       21         109   Message.TxSbAddr
       21          95   Thread.RtcPercentUsed
       20         115   InvokerThread.ClearContext
       20         109   Factory.RecordMsg
       19          89   Context.Exqueue
       18         115   Message.Handled
       18          96   IpBuffer.AddBytes
       18          71   Message.Enqueue
       17         146   Thread.ExitBlockingOperation
       17         131   InvokerPool.FindWork
       17          96   Message.SetPsm
       17          93   SysHeap.Free
       17          78   Thread.Unlock
       17          68   Memory.Free
       16     2001858   SysMutex.Release
       16         137   Thread.LogContextSwitch
       16         127   ServiceSM.ProcessEvent
       16         116   Thread.EnterBlockingOperation
       16         113   Message.RxFactory
       16          84   ProtocolLayer.dtor
       15         409   SysSocket.SetBlocking
       15          98   TlvMessage.AddParm
       15          84   MediaPsm.EndOfTransaction
       15          82   ProtocolSM.EndOfTransaction
       15          75   ProtocolSM.SetState
       15          74   MediaPsm.PrepareOgMsgq
       15          59   TlvMessage.AddType
       15          34   IpBuffer.ctor(copy)
       15           0   MsgBuffer.ctor(copy)
       15           0   SbIpBuffer.ctor(copy)
       14          95   Message.dtor
       14          78   Context.TraceMsg
       14          73   SbIpBuffer.operator delete
       14          69   IpBuffer.dtor
       14          66   SbIpBuffer.dtor
       14          65   TlvMessage.dtor
       14          54   MsgBuffer.dtor
       13         216   Message.SetSender
       13         211   Message.SetReceiver
       13         128   SysMutex.Acquire
       13          83   Thread.InitialMsecs
       13          78   Thread.ResumeLocked
       13          76   Message.operator new
       13          61   Q2Way.Exq
       13          60   PotsCallPsm.Cast
       13          51   Q1Way.Henq
       13          28   IpBuffer.ctor
       13           9   MsgBuffer.ctor
       13           0   ThreadAdmin.WarpFactor
       12         341   Context.CaptureTask
       12         117   InvokerPool.ReceiveMsg
       12          89   Thread.PauseOver
       12          84   Context.ProcessMsg
       12          76   Context.ProcessWork
       12          72   InvokerThread.SetContext
       12          63   MsgHeader.ctor
       12          50   ProtocolSM.PeerFactory
       12          45   PotsMessage.dtor
       12          44   ProtocolLayer.RootSsm
       12           6   SbIpBuffer.ctor
       11         138   SysThread.Interrupt
       11          83   Thread.Interrupt
       11          68   InvokerPool.KickThread
       11          67   InvokerPool.Dequeued
       11          67   InvokerPool.Enqueued
       11          63   Context.Enqueue
       11          58   Context.EnqMsg
       11          58   MsgPort.Find
       11          56   ObjectPool.BidToObj
       11          53   Q2Way.Enq
       11          51   MsgFactory.ReceiveMsg
       10          79   Message.Send
       10          78   Message.Henqueue
       10          67   MsgPort.SendMsg
       10          62   ProtocolLayer.SendToLower
       10          54   MsgPort.Route
       10          52   ServiceSM.PsmDeleted
       10          51   ProtocolSM.GetProtocol
       10          51   TlvMessage.Send
       10          37   ProtocolLayer.EnsureLower
       10          34   MsgPort.WrapMsg
        9          96   SbTracer.MsgStatus
        9          61   TlvMessage.ChangeDir
        9          60   Message.ChangeDir
        9          54   SbAnalyzeMessage.ProcessEvent
        9          46   ProtocolSM.AddressesUnknown
        9          44   Message.Capture
        9          43   NwTracer.BuffStatus
        9          41   Pots_NU_Message.dtor
        9          41   ServiceSM.EndOfTransaction
        9          39   IoThread.ConditionalPause
        8         320   SysSocket.TracePeer
        8          83   Context.dtor
        8          69   SsmContext.ProcessIcMsg
