FUNCTION PROFILE: 13-Feb-2022 17:07:33.372 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      107         395   Q1Way.Enq
       97         661   Context.RunningContextTraced
       83         691   SysThread.Resume
       83         529   SysThread.Interrupt
       83         447   Thread.Interrupt
       74         214   ObjectPool.EnqBlock
       74         196   Pooled.operator delete
       73    12774379   SysThread.Suspend
       70         228   Q1Way.Deq
       68         211   Pooled.ctor
       68         195   ObjectPool.DeqBlock
       64         318   Thread.Pause
       64          23   C++.delete
       57         191   Q1Way.Purge
       56         202   Q1Way.Exq
       44         167   MsgPort.Port
       44         133   ProtocolSM.Port
       43         119   Context.RunningContext
       41        1593   Thread.LogContextSwitch
       41         661   SysMutex.Acquire
       41         413   Thread.ExitBlockingOperation
       41         355   Thread.InitialTime
       41         307   SysMutex.Release
       41         291   Thread.Resume
       41         259   Thread.Schedule
       41         249   SysThread.Wait
       41         239   ThreadAdmin.WarpFactor
       41         222   Thread.EnterBlockingOperation
       41         221   SysIpL2Addr.dtor
       41         213   Thread.Ready
       41         173   Thread.Suspend
       41         159   MutexGuard.ctor
       41         141   MutexGuard.dtor
       41         128   MutexGuard.Release
       41         115   SysIpL3Addr.dtor
       32         225   SysThread.Delay
       32          99   Context.SetContextMsg
       29         117   Thread.CurrTimeRunning
       29          91   TlvMessage.FencePtr
       27         105   SysIpL3Addr.ctor
       27         103   SysIpL2Addr.ctor
       27          81   IPv6Addr.ctor
       23          66   Message.RxSbAddr
       22          56   Message.Exqueue
       21         350   Message.ClearContext
       20          70   Event.operator new
       20          67   ServiceSM.EnqEvent
       20          66   Event.ctor
       20          65   ServiceSM.ExqEvent
       20          51   SbIpBuffer.PayloadSize
       20          50   Event.dtor
       19         172   SysSocket.SetBlocking
       18          42   NetworkBase.AllocByteBuff
       18          41   SbIpBuffer.operator new
       18          39   IpBuffer.AllocBuff
       18          38   SmallBuffer.operator new
       16          41   TlvMessage.FirstParm
       16          37   Context.SetState
       16          36   TlvMessage.FindParm
       15          62   ServiceSM.ProcessEvent
       14         101   TimerRegistry.ProcessWork
       14          81   DeferredRegistry.RaiseTimeouts
       14          48   GlobalAddress.dtor
       14          30   TlvMessage.CheckFence
       13          43   Message.TxSbAddr
       13          40   Factory.RecordMsg
       13          32   Message.Enqueue
       13          26   TlvMessage.FindType
       12          54   Memory.Copy
       12          41   InvokerThread.ClearContext
       12          39   ProtocolLayer.dtor
       12          37   Message.SetPsm
       12          35   Context.Exqueue
       11          30   Message.Handled
       11          27   InvokerPool.FindWork
       10          49   ServiceSM.DeleteIdleModifier
       10          34   Thread.RtcPercentUsed
       10          28   ProtocolSM.SetState
       10          28   MediaPsm.PrepareOgMsgq
       10          27   MediaPsm.EndOfTransaction
       10          26   ProtocolSM.EndOfTransaction
       10          20   MsgBuffer.dtor
       10          20   SbIpBuffer.dtor
       10          20   IpBuffer.dtor
       10          19   TlvMessage.dtor
       10          19   SbIpBuffer.operator delete
       10          17   Message.dtor
        9          92   SbIpBuffer.ctor
        9          38   SbIpBuffer.ctor(copy)
        9          35   IpPort.RecvsInSequence
        9          32   Message.RxFactory
        9          32   IpBuffer.ctor
        9          31   TlvMessage.NextParm
        9          27   Q2Way.Exq
        9          22   MsgHeader.ctor
        9          22   MsgBuffer.ctor
        9          21   IpBuffer.AddBytes
        9          20   Message.operator new
        9          20   MsgBuffer.ctor(copy)
        9          17   IpBuffer.ctor(copy)
        8          47   ServiceSM.PsmDeleted
        8          26   PotsCallPsm.Cast
        8          17   TlvMessage.AddParm
        8          17   TlvMessage.AddType
        7     1096877   SysTcpSocket.Poll
        7         127   SysTcpSocket.Accept
        7          81   Context.CaptureTask
        7          69   TcpIoThread.AcceptConn
        7          62   SysSocket.SetError(errval)
        7          56   IpPortRegistry.LocalAddr
        7          47   SysSocket.TraceEvent
        7          30   TcpIoThread.PollSockets
        7          28   ServiceSM.ProcessSsmqSap
        7          27   ServiceSM.EndOfTransaction
        7          25   Alarm.Create
        7          24   Message.SetReceiver
        7          24   Context.ProcessWork
        7          23   ProtocolLayer.RootSsm
        7          22   ProtocolSM.GetProtocol
        7          22   ServiceSM.SetNextState
        7          21   Message.SetSender
        7          21   Q1Way.Henq
        7          20   SbAnalyzeMessage.ProcessEvent
        7          20   InvokerThread.SetContext
        7          19   PayloadInvokerPool.RecordDelay
        7          18   InvokerPool.Dequeued
        7          18   Thread.PauseOver
        7          17   InvokerPool.ReceiveMsg
        7          17   Message.SetProtocol
        7          17   Context.TraceMsg
        7          16   Context.ProcessMsg
        7          15   InvokerPool.KickThread
        7          15   Context.Enqueue
        7          15   Context.EnqMsg
        7          14   InvokerPool.Enqueued
        7          13   Q2Way.Enq
        7          13   MsgFactory.ReceiveMsg
        6          48   ProtocolSM.EnqOgMsg
        6          27   ProtocolSM.SendFinal
        6          26   ProtocolLayer.AdjacentDeleted
        6          26   PsmContext.ExqPsm
        6          24   MediaSsm.PsmDeleted
        6          24   SysIpL3Addr.ReleaseSocket
        6          24   PsmContext.ExqPort
        6          23   MsgPort.AdjacentDeleted
        6          20   BcEvent.ctor
        6          20   BcSsm.CalcPort
        6          20   ProtocolSM.Destroy
        6          19   ProtocolSM.PeerFactory
        6          19   Message.Henqueue
        6          19   MsgPort.dtor
        6          18   MediaPsm.dtor
        6          18   TlvMessage.ctor(o/g)
        6          16   ProtocolSM.dtor
        6          16   ProxyBcSsm.CalcPort
        6          16   Message.Capture
        6          16   Message.ctor(o/g)
        6          16   Message.Send
        6          14   BcEvent.dtor
        6          14   TlvMessage.Send
        6          13   ObjectPool.BidToObj
        6          13   MsgPort.Find
        6          12   PotsMessage.dtor
        6          12   SbTracer.MsgStatus
        6          11   NwTracer.BuffStatus
        5          22   MediaPsm.SetOgPort
        5          19   SsmContext.IsIdle
        5          19   SysSocket.TracePeer
        5          17   ServiceSM.dtor
        5          17   PsmContext.FindPort
        5          16   MediaPsm.UpdateIcMedia
        5          16   PotsCallPsm.SendSignal
        5          15   ProtocolSM.HenqReceivedMsg
        5          15   ProtocolLayer.SendToUpper
        5          15   ProtocolSM.ReceiveMsg
        5          14   AnalyzeMsgEvent.ctor
        5          14   Message.ChangeDir
        5          14   MsgContext.dtor
        5          14   MsgPort.ReceiveMsg
        5          14   TlvMessage.ChangeDir
        5          14   MsgPort.Route
        5          14   SsmContext.ProcessIcMsg
        5          13   MediaPsm.ReceiveMsg
        5          13   MsgContext.EndOfTransaction
        5          13   ProtocolLayer.EnsureLower
        5          13   PsmContext.EndOfTransaction
        5          13   BcSsm.SetNextState
        5          13   Context.dtor
        5          13   ProtocolSM.UnwrapMsg
        5          12   SsmContext.EndOfTransaction
        5          12   ProtocolLayer.SendToLower
        5          12   ProtocolSM.AddressesUnknown
        5          12   PsmFactory.ReceiveMsg
        5          12   MsgPort.SendMsg
        5          12   MsgPort.WrapMsg
        5          12   SsmFactory.ReceiveMsg
        5          12   AnalyzeMsgEvent.dtor
        5          12   Pots_NU_Message.dtor
        5          10   Message.SetSignal
        4          29   BcReleaseEvent.ctor
        4          22   Event.BuildSap
        4          17   AnalyzeSapEvent.ctor
        4          16   PotsCwtSsm.ProcessSap
        4          15   ProxyBcSsm.PsmDeleted
        4          14   BcSsm.PsmDeleted
        4          14   PotsBcSsm.PsmDeleted
        4          14   SysIpL3Addr.L2AddrMatches
        4          14   PotsBcSsm.SetNextSap
        4          14   ServiceSM.SetNextSap
        4          14   SbAnalyzeSap.ProcessEvent
        4          13   ProxyBcSsm.FirstProxy
        4          12   BcReleaseEvent.dtor
        4          12   AnalyzeSapEvent.dtor
        4          12   ProxyBcSsm.EndOfTransaction
        4          10   IpPortRegistry.CanBypassStack
        4           9   InvokerPool.ScheduledOut
        4           8   InvokerThread.BlockingAllowed
        4           8   Q1Way.Init
        4           8   InvokerThread.ScheduledIn
        3         624   SysUdpSocket.RecvFrom
        3         406   Pots_NU_Message.ctor(o/g)
        3          19   PotsMessage.ctor(o/g)
        3          14   SsmContext.SetRoot
        3          12   SsmContext.dtor
        3          12   PotsProfile.ClearObjAddr(addr)
        3          11   SysSocket.Empty
        3          11   MediaSsm.dtor
        3          11   MediaPsm.SetOgPsm
        3          11   PsmContext.dtor
        3          10   PotsCwtSsm.ProcessSnp
        3          10   RootServiceSM.dtor
        3          10   PotsCallPsm.ProcessOgMsg
        3          10   PotsProfile.ClearObjAddr(psm)
        3          10   AnalyzeMsgEvent.BuildSap
        3          10   Event.BuildSnp
        3          10   Event.SetCurrSsm
        3          10   PotsProfile.SetState
        3          10   AnalyzeSnpEvent.ctor
        3          10   SbAnalyzeSnp.ProcessEvent
        3           9   PotsCallPsm.Route
        3           9   Timer.Exqueue
        3           9   ServiceSM.ProcessSsmqSnp
        3           9   SessionBase.CaptureMsg
        3           9   PotsCallPsm.dtor
        3           8   AnalyzeSnpEvent.dtor
        3           8   PotsMessage.ctor(i/c)
        3           7   SysIpL3Addr.NetworkToHost(IPv6)
        3           6   IpPort.BytesRcvd
        3           6   SysIpL2Addr.NetworkToHost(IPv6)
        3           6   CipMessage.dtor
        3           6   Circuit.MakeConn
        3           6   IoThread.InvokeHandler
        3           5   InvokerPool.ReceiveBuff
        3           5   SbInputHandler.ReceiveBuff
        3           5   IoThread.ConditionalPause
        3           4   SbExtInputHandler.AllocBuff
        3           4   TlvMessage.ctor(i/c)
        3           4   InputHandler.NetworkToHost
        3           4   SessionBase.TraceRxNet
        3           4   Message.ctor(i/c)
        2         114   SysIpL2Addr.HostToNetwork(IPv6)
        2          95   CipMessage.ctor(o/g)
        2          16   MediaSsm.NotifyListeners
        2          15   GlobalAddress.ctor
        2          10   AnalyzeMsgEvent.BuildSnp
        2           9   ProtocolSM.FindTimer
        2           9   IpBuffer.Send
        2           9   Pots_NU_Message.ctor(i/c)
        2           8   PotsMuxSsm.PsmDeleted
        2           8   BcSsm.dtor
        2           8   ProxyBcSsm.dtor
        2           7   IpPort.BytesSent
        2           7   BcAcAnalyzeRemoteMessage.ProcessEvent
        2           7   PotsBcSsm.dtor
        2           6   Message.SetPriority
        2           6   CipPsm.dtor
        2           6   BcPsm.ProcessIcMsg
        2           6   InputHandler.HostToNetwork
        2           6   PotsBcSsm.ClearCall
        2           6   Timer.dtor
        2           6   MediaPsm.GetMediaSsm
        2           6   PotsCallPsm.EnsureMediaMsg
        2           6   PotsCwtSsm.CalcPort
        2           6   SysUdpSocket.SendTo
        2           5   PotsCallPsm.SendCause
        2           5   SysIpL3Addr.HostToNetwork(IPv6)
        2           5   SysUdpSocket.SendBuff
        2           5   BcSsm.ClearCall
        2           5   PotsMessage.AddCause
        2           5   ServiceSM.SetNextSnp
        2           5   IpBuffer.OutgoingBytes
        2           5   PotsBcSsm.SetNextSnp
        2           5   PotsCallPsm.ProcessIcMsg
        2           5   PotsMessage.AddHeader
        2           5   BcPsm.dtor
        2           4   Timer.Deregister
        2           4   PotsBcAcAnalyzeLocalMessage.ProcessEvent
        2           3   PotsShelfHandler.ReceiveBuff
        2           3   ToneRegistry.ToneToPort
        2           3   BcPsm.ProcessOgMsg
        2           3   PotsShelfFactory.ProcessIcMsg
        2           3   Context.ctor
        2           3   Factory.IncrContexts
        2           3   MsgContext.ctor
        2           3   PotsCircuit.ReceiveMsg
        2           3   Context.operator new
        2           2   CipPsm.Route
        2           2   MediaPsm.UpdateOgMedia
        2           2   MsgContext.ProcessIcMsg
        2           2   PotsCircuit.SetState
        2           2   Debug.SwFlagOn
        2           2   PotsShelfFactory.AllocIcMsg
        1          30   BcRemoteReleaseEvent.ctor
        1          28   BcReleaseCallEvent.ctor
        1          28   PotsCwmActiveReleaseEvent.ctor
        1          28   BcApplyTreatmentEvent.ctor
        1          24   PotsMuxRelayEvent.ctor
        1          14   BcLocalReleaseEvent.ctor
        1           8   PotsMuxEvent.ctor
        1           8   PotsCwmRemoteReleaseEvent.ctor
        1           8   BcLocalSuspendEvent.ctor
        1           7   BcRemoteSuspendEvent.ctor
        1           5   PotsMuxSsm.CalcPort
        1           4   PotsBcReleaseCall.ProcessEvent
        1           4   PotsCwmAcAnalyzeNetworkMessage.ProcessEvent
        1           4   PotsCwmSsm.CalcRole
        1           4   PotsMuxSsm.RelayMsg
        1           4   PotsCwmAcActiveRelease.ProcessEvent
        1           4   BcSsm.RaiseApplyTreatment
        1           4   MediaPsm.IcPortUpdated
        1           4   PotsCwmSsm.CalcPort
        1           4   TlvMessage.DeleteParm
        1           4   BcSsm.RaiseRemoteRelease
        1           4   MediaPsm.CalcIcPort
        1           4   PotsBcScRemoteRelease.ProcessEvent
        1           4   PotsCwmSsm.StopTimer
        1           4   PotsMuxPaRelay.ProcessEvent
        1           4   Message.Relay
        1           4   PotsCwmSsm.ReleaseActive
        1           4   PotsCwmSsm.SetNextState
        1           4   PotsMuxPsm.ProcessIcMsg
        1           4   PotsMuxSsm.CountCalls
        1           4   ProtocolSM.HenqOgMsg
        1           4   TlvMessage.AddFence
        1           4   PotsCwmActiveReleaseEvent.dtor
        1           4   PotsCwmEvent.ctor
        1           4   Pots_UN_Message.ctor(i/c)
        1           4   Protocol.Understands
        1           4   BcRemoteReleaseEvent.dtor
        1           4   BcSsm.RaiseReleaseCall
        1           4   PotsCallPsm.ReportFlash
        1           4   ProtocolSM.StopTimer
        1           4   PotsCwaSsm.dtor
        1           4   PotsCwmRemoteReleaseEvent.dtor
        1           4   PotsCwtSsm.dtor
        1           3   BcApplyTreatmentEvent.dtor
        1           3   PotsMuxPsm.dtor
        1           3   PotsMuxRelayEvent.dtor
        1           3   BcReleaseCallEvent.dtor
        1           3   NwTracer.FindPort
        1           3   PotsCwmSsm.dtor
        1           3   PotsMuxEvent.dtor
        1           3   PotsMuxSsm.dtor
        1           3   Timer.SendTimeout
        1           3   PotsCwmEvent.dtor
        1           2   PotsCallHandler.ReceiveBuff
        1           2   TimerRegistry.SendTimeout
        1           2   TimeoutInfo.ctor
        1           2   MediaPsm.DisableMedia
        1           2   PotsBcSsm.TimerPsm
        1           1   Q2Way.Henq
        1           1   BcLocalSuspendEvent.dtor
        1           1   CipMessage.AddCause
        1           1   MediaPsm.SetOgTone
        1           1   Message.SendToSelf
        1           1   Pots_UN_Message.dtor
        1           1   BcPsm.EnsureMediaMsg
        1           1   CipMessage.AddProgress
        1           1   PotsBcAcLocalSuspend.ProcessEvent
        1           1   PotsBcSsm.ClearTimer
        1           1   ProtocolLayer.EnsurePort
        1           1   Timer.operator new
        1           1   BcSsm.RaiseLocalRelease
        1           1   MediaPsm.SetIcTone
        1           1   PotsBcSsm.StartTimer
        1           1   TimerRegistry.CalcQId
        1           1   BcSsm.BuildCipCpg
        1           1   CauseInfo.ctor
        1           1   NwTracer.PortStatus
        1           1   PotsBcAcRemoteSuspend.ProcessEvent
        1           1   PotsBcLocalRelease.ProcessEvent
        1           1   PotsCallFactory.AllocIcMsg
        1           1   ProtocolSM.StartTimer
        1           1   BcLocalReleaseEvent.dtor
        1           1   BcRemoteSuspendEvent.dtor
        1           1   BcSsm.BuildCipRel
        1           1   BcSsm.RaiseLocalSuspend
        1           1   BcSsm.RaiseRemoteSuspend
        1           1   ProgressInfo.ctor
        1           0   Timer.ctor

Total functions: 400
