FUNCTION PROFILE: May-25-2022 17:57:34.579 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      199         221   Q1Way.Enq
      177         210   Q1Way.Deq
      176         295   ObjectPool.DeqBlock
      176         229   Pooled.ctor
      144         237   Context.RunningContextTraced
      139         215   ObjectPool.EnqBlock
      139         208   Pooled.operator delete
      125         183   Context.RunningContext
      112          56   C++.delete
       97         107   Q1Way.Exq
       94         125   Context.SetContextMsg
       89         126   ProtocolSM.Port
       89          99   MsgPort.Port
       88         102   TlvMessage.FencePtr
       83         279   SysIpL2Addr.dtor
       83         124   SysIpL3Addr.dtor
       79         324   Gate.Notify
       79         149   SysThread.Interrupt
       79         148   Thread.Interrupt
       73          97   SbIpBuffer.PayloadSize
       67     5205173   Gate.WaitFor
       67         115   SysThread.Suspend
       67          67   Q1Way.Purge
       66          86   Message.RxSbAddr
       65         123   SysIpL3Addr.ctor
       65          90   SysIpL2Addr.ctor
       65          69   IPv6Addr.ctor
       63          81   Message.Exqueue
       58         626   Message.ClearContext
       57          91   IpBuffer.AllocBuff
       57          88   SmallBuffer.operator new
       57          83   SbIpBuffer.operator new
       57          71   NetworkBase.AllocByteBuff
       53          47   Context.SetState
       51          63   TlvMessage.NextParm
       50         116   Thread.Pause
       45          99   Memory.Copy
       44          49   TlvMessage.CheckFence
       43          72   TlvMessage.FindParm
       43          52   TlvMessage.FirstParm
       42         571   Thread.LogContextSwitch
       42         152   SysMutex.Acquire
       42         144   Thread.Resume
       42         141   Thread.ExitBlockingOperation
       42         113   Thread.InitialTime
       42         103   MutexGuard.ctor
       42          89   Thread.Suspend
       42          88   SysThread.Wait
       42          82   Thread.Ready
       42          79   Thread.Schedule
       42          75   ThreadAdmin.WarpFactor
       42          73   Thread.EnterBlockingOperation
       42          71   SysMutex.Release
       42          66   MutexGuard.Release
       42          63   MutexGuard.dtor
       38          44   Factory.RecordMsg
       38          44   Message.TxSbAddr
       35          42   Thread.RtcPercentUsed
       34          43   TlvMessage.FindType
       33          50   InvokerPool.FindWork
       32          54   IpBuffer.AddBytes
       32          42   Message.Enqueue
       31          83   SbIpBuffer.ctor(copy)
       31          68   IpBuffer.ctor(copy)
       31          53   Message.Handled
       31          40   InvokerThread.ClearContext
       31          39   Context.Exqueue
       31          31   MsgBuffer.ctor(copy)
       30         122   SysSocket.SetBlocking
       30          35   Message.SetPsm
       28          59   Event.ctor
       28          51   Event.dtor
       28          45   Event.operator new
       28          32   Message.RxFactory
       28          31   ServiceSM.EnqEvent
       28          30   ServiceSM.ExqEvent
       27          78   IpBuffer.dtor
       27          77   Message.dtor
       27          67   TlvMessage.AddParm
       27          65   ProtocolSM.EndOfTransaction
       27          45   TlvMessage.AddType
       27          43   SbIpBuffer.operator delete
       27          43   TlvMessage.dtor
       27          42   SbIpBuffer.dtor
       27          40   MediaPsm.EndOfTransaction
       27          37   MediaPsm.PrepareOgMsgq
       27          29   MsgBuffer.dtor
       26         182   SbIpBuffer.ctor
       26          71   IpBuffer.ctor
       26          35   Message.operator new
       26          29   MsgBuffer.ctor
       26          26   MsgHeader.ctor
       25          65   SysThread.Delay
       25          37   GlobalAddress.dtor
       25          26   ProtocolSM.SetState
       24          33   SysSocket.TracePeer
       24          24   Context.TraceMsg
       24          24   Q2Way.Exq
       22          36   PotsMessage.dtor
       22          33   Message.SetSender
       22          25   Message.SetReceiver
       21         131   Context.CaptureTask
       21          65   InvokerPool.ReceiveMsg
       21          46   Context.ProcessMsg
       21          46   MsgFactory.ReceiveMsg
       21          37   Alarm.Create
       21          35   Context.ProcessWork
       21          32   Context.EnqMsg
       21          31   Context.Enqueue
       21          30   InvokerPool.KickThread
       21          28   InvokerThread.SetContext
       21          27   PayloadInvokerPool.RecordDelay
       21          27   Thread.PauseOver
       21          21   InvokerPool.Enqueued
       21          21   Q2Way.Enq
       21          19   InvokerPool.Dequeued
       20          23   Q1Way.Henq
       20          20   ProtocolLayer.RootSsm
       19          38   Message.Henqueue
       19          27   MsgPort.Find
       19          22   ObjectPool.BidToObj
       17          77   Message.Send
       17          47   SbTracer.MsgStatus
       17          36   Message.Capture
       17          34   TlvMessage.Send
       17          25   ProtocolSM.PeerFactory
       17          19   IpPort.RecvsInSequence
       17          18   NwTracer.BuffStatus
       16          64   ServiceSM.ProcessEvent
       16          43   MsgPort.SendMsg
       16          29   ProtocolLayer.SendToLower
       16          22   ServiceSM.EndOfTransaction
       16          21   MsgPort.Route
       16          18   MsgPort.WrapMsg
       16          18   ProtocolLayer.EnsureLower
       16          17   ProtocolSM.GetProtocol
       14        1074   SysUdpSocket.RecvFrom
       14          39   ProtocolSM.ReceiveMsg
       14          36   SysSocket.Empty
       14          34   InvokerPool.ReceiveBuff
       14          34   SessionBase.CaptureMsg
       14          33   IoThread.InvokeHandler
       14          33   PsmContext.EndOfTransaction
       14          33   SsmContext.ProcessIcMsg
       14          31   ProtocolLayer.SendToUpper
       14          29   ProtocolSM.UnwrapMsg
       14          27   ProtocolSM.HenqReceivedMsg
       14          27   SsmContext.EndOfTransaction
       14          25   Pots_NU_Message.dtor
       14          24   PsmFactory.ReceiveMsg
       14          23   MediaPsm.UpdateIcMedia
       14          22   ProtocolSM.AddressesUnknown
       14          22   Q1Way.Init
       14          21   SsmFactory.ReceiveMsg
