FUNCTION PROFILE: Jun-13-2022 16:55:16.690 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      370         567   Q1Way.Enq
      319         615   Q1Way.Deq
      317         640   ObjectPool.DeqBlock
      317         580   Pooled.ctor
      302         642   Context.RunningContextTraced
      246         442   ObjectPool.EnqBlock
      246         428   Pooled.operator delete
      205         374   Context.RunningContext
      203         105   C++.delete
      178         252   Q1Way.Exq
      158         262   ProtocolSM.Port
      151        1194   Gate.Notify
      151         628   SysThread.Interrupt
      151         601   Thread.Interrupt
      151         222   MsgPort.Port
      148         228   TlvMessage.FencePtr
      143         561   SysIpL2Addr.dtor
      143         284   SysIpL3Addr.dtor
      136         199   Context.SetContextMsg
      132    15131721   Gate.WaitFor
      132         510   SysThread.Suspend
      113         170   SbIpBuffer.PayloadSize
      111         117   Q1Way.Purge
      105         302   SysIpL2Addr.ctor
      105         300   SysIpL3Addr.ctor
      105         194   IPv6Addr.ctor
      104         450   Thread.Pause
      101         185   Message.RxSbAddr
       94         158   Message.Exqueue
       90        1158   Message.ClearContext
       89         133   TlvMessage.NextParm
       88         177   SbIpBuffer.operator new
       88         175   SmallBuffer.operator new
       88         163   NetworkBase.AllocByteBuff
       88         151   IpBuffer.AllocBuff
       87         183   TlvMessage.FindParm
       87         141   TlvMessage.FirstParm
       80        2237   Thread.LogContextSwitch
       80         723   Thread.ExitBlockingOperation
       80         609   Mutex.Acquire
       80         475   Thread.InitialTime
       80         429   Thread.Resume
       80         379   Thread.Ready
       80         340   Mutex.Release
       80         325   MutexGuard.ctor
       80         308   ThreadAdmin.WarpFactor
       80         295   Thread.Suspend
       80         293   MutexGuard.Release
       80         275   Thread.EnterBlockingOperation
       80         274   Thread.Schedule
       80         270   SysThread.Wait
       80         240   MutexGuard.dtor
       75          75   Context.SetState
       74         115   TlvMessage.CheckFence
       71         124   TlvMessage.FindType
       68         107   Q1Way.Init
       66         181   Memory.Copy
       66         110   ServiceSM.EnqEvent
       66         101   ServiceSM.ExqEvent
       64         147   Event.ctor
       64         124   Event.dtor
       64         121   Event.operator new
       57         106   Message.TxSbAddr
       57          79   Factory.RecordMsg
       53         284   SysSocket.SetBlocking
       53          95   Message.Enqueue
       52         235   SysThread.Delay
       52          82   IpBuffer.AddBytes
       51          70   Thread.RtcPercentUsed
       48         123   TlvMessage.AddParm
       48          81   TlvMessage.AddType
       47          97   Message.Handled
       47          80   Message.SetPsm
       46         176   SbIpBuffer.ctor(copy)
       46         124   IpBuffer.ctor(copy)
       46         106   InvokerPool.FindWork
