FUNCTION PROFILE: 30-Jan-2020 19:16:28.892 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      313        1126   Q1Way.Enq
      292        1498   Context.RunningContextTraced
      201         897   Q1Way.Deq
      200         780   ObjectPool.EnqBlock
      200         740   Pooled.operator delete
      200         165   C++.delete
      197         817   ObjectPool.DeqBlock
      197         663   Pooled.ctor
      173         598   Q1Way.Exq
      169         704   Context.RunningContext
      161         603   SysIpL2Addr.dtor
      151         430   Q1Way.Purge
      150         606   SysIpL3Addr.dtor
      142         563   ProtocolSM.Port
      135         485   MsgPort.Port
      133         716   SysIpL2Addr.ctor(copy)
      123         499   TlvMessage.FencePtr
      116         282   SysIpL3Addr.ctor(copy)
      112         423   Context.SetContextMsg
      105         496   SysIpL2Addr.operator=(copy)
       99         465   SysIpL3Addr.operator=(copy)
       84         414   SysIpL2Addr.ctor
       84         340   Message.RxSbAddr
       84         291   SysIpL3Addr.ctor
       83        1105   SysThread.Resume
       83         611   Thread.Interrupt
       83         543   SysThread.Interrupt
       77         250   Message.Exqueue
       75        1895   Message.ClearContext
       74         220   TlvMessage.NextParm
       73         246   IpBuffer.BuffSize
       72         431   SysHeap.Alloc
       72         285   Memory.Alloc
       71         297   SbIpBuffer.operator new
       69         331   TlvMessage.FirstParm
       69         296   TlvMessage.FindParm
       64     5485237   SysThread.Suspend
       64         244   ServiceSM.EnqEvent
       64         227   ServiceSM.ExqEvent
       63         234   SbIpBuffer.PayloadSize
       62         256   Q1Way.Init
       62         224   Context.SetState
       61         204   TlvMessage.CheckFence
       60         307   Event.dtor
       60         257   Event.ctor
       60         209   Event.operator new
       57         242   TlvMessage.FindType
       53         284   Memory.Copy
       46         274   Thread.Pause
       46         188   Message.TxSbAddr
       46         161   GlobalAddress.dtor
       46         151   Factory.RecordMsg
       44         125   Message.Enqueue
       43         153   IpBuffer.AddBytes
       42         192   Context.Exqueue
       42         153   InvokerThread.ClearContext
       42         150   Thread.RtcPercentUsed
       41         476   Thread.ExitBlockingOperation
       41         472   Thread.Resume
       41         398   ThreadAdmin.WarpFactor
       41         374   Thread.Schedule
       41         292   SysThread.Wait
       41         284   Thread.InitialMsecs
