FUNCTION PROFILE: Sep-19-2022 14:53:08.577 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
     3598       17750   Mutex.Acquire
     3598       10908   Mutex.Release
     3598        5678   MutexGuard.ctor
     3598        5386   MutexGuard.dtor
     3598        5148   MutexGuard.Release
     3590       20146   Memory.Alloc
     3327        4718   BuddyHeap.Alloc
     1274        2760   Immutable.ctor
     1274        2673   Immutable.operator new
      837         736   CliParm.ctor
      724        1484   Registry.ctor
      724         948   Registry.Init
      717         979   Dynamic.operator new
      717         528   Dynamic.ctor
      633        1662   StatisticsRegistry.BindStat
      633         833   Statistic.ctor
      526         675   Restart.GetLevel
      505        6804   Counter.ctor
      454        2089   CliText.ctor
      399         724   Singleton.Instance
      399         481   Singletons.BindInstance
      383         412   CliText.BindParm
      290         730   CliTextParm.BindText
      275         724   Permanent.ctor
      264       58230   SysHeap.Alloc
      261         346   Permanent.operator new
      249         361   FunctionGuard.ctor
      248         379   FunctionGuard.Release
      248         296   FunctionGuard.dtor
      223         389   Service.BindHandler
      213         283   Thread.MemProtect
      213         265   Thread.MemUnprotect
      211         372   Service.BindEventName
      191         224   Q1Way.Insert
      168         910   CliIntParm.ctor
      164         472   CliCommand.ctor
      157         998   CliTextParm.ctor
      143         461   Protected.ctor
      143         208   Protected.operator new
      122         414   CliIncrement.BindCommand
      122         291   EventHandler.ctor
       94        1942   HighWatermark.ctor
       92          92   Q1Way.Size
       90         267   SymbolRegistry.FindSymbol
       90         258   SymbolRegistry.EnsureSymbol
       90         129   Symbol.SetValue
       90           0   Symbol.ctor
       85         144   SymbolRegistry.BindSymbol(int)
       81          88   Service.BindSystemHandler
       79         181   BuddyHeap.Free
       79         113   Memory.Free
       79          81   BuddyHeap.BlockToSize
       63          73   LogGroup.FindLog
       62        1029   AlarmRegistry.Find
       61         266   Log.ctor
       61          64   LogGroup.BindLog
       59         111   Registry.Extend
       57         159   Service.BindState
       57          88   State.ctor
       55         537   CfgParmRegistry.FindTuple
       50         268   Gate.Notify
       50         223   MainArgs.At
       50          88   Thread.Interrupt
       50          63   SysThread.Interrupt
       49       29382   FileSystem.CreateOstream
       44          99   CfgParm.SetCurr
       44          83   CfgParm.SetFromTuple
       44          67   CfgParm.GetInput
       43         318   CfgParmRegistry.BindTuple
       43         284   CfgParmRegistry.BindParm
       43         155   CliCharParm.ctor
       43          86   CfgParm.ctor
       43           0   CfgTuple.ctor
       42      257530   Gate.WaitFor
       42         137   CliCommandSet.BindCommand
       41          60   NodeBase.Suspend
       39          42   IPv6Addr.ctor
       37         103   Base.operator new
       36          60   LeakyBucketCounter.ctor
       36          37   Parameter.BindUsage
       36          36   LeakyBucketCounter.Initialize
       35          41   LibraryItem.ctor
       34         705   LowWatermark.ctor
       33          56   Thread.ImmProtect
       33          36   Thread.ImmUnprotect
       33          33   Factory.AddIncomingSignal
       32          96   Thread.Pause
       32          50   AlarmRegistry.BindAlarm
       32          36   BcState.ctor
       32          34   Module.Enable
       32          31   Alarm.ctor
       31          30   ThreadAdmin.WarpFactor
       30         149   CfgIntParm.ctor
       30         102   CfgIntParm.SetNext
       30          71   CfgIntParm.SetCurr
       30          69   SysIpL2Addr.ctor
       30          60   Thread.Resume
       30          52   CfgIntParm.SetNextValue
       30          50   Thread.Ready
       30          45   CfgIntParm.GetCurr
       30          39   Thread.InitialTime
       28         598   Accumulator.ctor
       28         254   Thread.LogContextSwitch
       28          79   CxxScoped.ctor
       28          46   Thread.Suspend
       28          41   Thread.Schedule
       28          37   Thread.EnterBlockingOperation
       28          32   PotsFeature.SetIncompatible
       28          30   CxxNamed.ctor
       28          28   CxxToken.ctor
       27          46   ThreadRegistry.GetState
       27          28   Factory.AddOutgoingSignal
       26          25   SysThread.Wait
       24        1773   LogThread.Spool
       24          98   Log.Submit
       24          36   Log.Find(log)
       22         105   Service.ctor
       22          27   SysIpL3Addr.ctor
       22          26   ServiceRegistry.BindService
       21          83   Terminal.ctor
       20         428   SysMemory.Protect
       20          40   BuddyHeap.SetPermissions
       20          34   Heap.SetAttrs
       19          39   SlabPriv.Alloc
       18        1527   SysThread.SetPriority
       18        1390   SysThread.Create
       18         372   ThreadRegistry.EraseThreadId
       18         159   ThreadStats.ctor
       18          65   Thread.ctor
       18          64   Memory.Alloc(nothrow)
       18          50   ThreadRegistry.Created
       18          48   NodeBase.EnterThread
       18          43   Thread.Start(initializing)
       18          42   ThreadRegistry.SetThreadId
       18          36   Thread.SetInitialized
       18          35   DaemonRegistry.FindDaemon
       18          35   SysThread.Start
       18          34   ThreadRegistry.Initialized
       18          33   Thread.RegisterForSignals
       18          29   ThreadPriv.ctor
       18          28   Thread.WaitUntilConstructed
       18          27   Thread.Start
       18          18   NodeBase.FactionToPriority
       18          13   SysThread.ctor
       17        1019   ObjectPoolSizeCfg.ctor
       17         108   ObjectPoolStats.ctor
       17          78   ObjectPool.ctor
       17          77   Protocol.BindParameter
