FUNCTION PROFILE: 2-Aug-2019 09:52:41.383 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      242        1305   Thread.RunningThread
      204        1392   CliBuffer.CalcType
       87        2163   Base.ctor
       68        1005   FunctionGuard.dtor
       68         313   Thread.MakePreemptable
       68           0   Object.ctor
       67         778   FunctionGuard.ctor
       67         366   Q1Way.Size
       67         338   Thread.EnqMsg
       67         232   Q1Way.Enq
       66         541   SysThread.Interrupt
       66         427   Thread.Interrupt
       66         348   Thread.MakeUnpreemptable
       66         290   ObjectPool.DeqBlock
       66         277   MsgBuffer.operator new
       66           1   Pooled.ctor
       66           1   StreamRequest.ctor
       66           0   MsgBuffer.ctor
       65         284   Q1Way.Deq
       64         361   Alarm.Create
       64         250   ObjectPool.UpdateAlarm
       48         395   FileThread.Spool(written)
       47           0   FileRequest.ctor
       42         529   FileThread.Spool(string)
       40         293   CliBuffer.FindNextNonBlank
       39        2252   SysMutex.Release
       36     1000805   Thread.Pause
       34        2028   LibrarySet.Release
       33         302   SysMutex.Acquire
       26         272   CliIncrement.FindCommand
       26         228   CliBuffer.GetStr
       22     1000528   Thread.Unlock
       22         145   CliStack.FindCommand
       22         143   Thread.ExitBlockingOperation
       21         191   MutexGuard.ctor
       21          80   FileThread.Record
       20         200   CoutThread.Spool(stream)
       19       56806   Q2Way.Enq
       19        1823   CliBuffer.GetLine
       19        1567   CodeSet.dtor
       19         162   LibraryItem.dtor
       19         142   Thread.LogContextSwitch
       19         133   LibrarySet.dtor
       19         128   Thread.EnterBlockingOperation
       19          91   MutexGuard.dtor
       19          79   Library.EraseVar
       19          71   Q2Way.Exq
       19          59   Library.AddVar
       19           9   LibrarySet.ctor
       19           0   CodeSet.ctor
       19           0   LibraryItem.ctor
       18         163   Thread.ResumeLocked
       17         497   CliThread.Flush
       17          58   CodeFileSet.dtor
       17           0   CodeFileSet.ctor
       16         137   LibrarySet.TemporaryName
       15           0   ThreadAdmin.WarpFactor
       14         119   CliCookie.Advance
       14          98   Registry.Size
       14          69   CliText.AccessParm
       13         102   Interpreter.SkipBlanks
       13         102   Thread.InitialMsecs
       12         279   SymbolRegistry.FindSymbol
       12          58   Interpreter.GetToken
       11         119   CoutThread.Spool(string)
       11          69   CliBuffer.Echo
       11          67   CliThread.ParseCommand
       11          59   CliBuffer.ScanLine
       11          49   Interpreter.HandleToken
       10         128   CliStack.Top
       10         116   CliThread.EndOfInput
       10          66   CliThread.InvokeCommand
       10          50   CliCookie.Initialize
        9         128   CliThread.SetResult
        9          40   SymbolRegistry.EnsureSymbol
        8         330   CliThread.Report1
        8         214   Symbol.SetValue
        8          38   CliThread.Report
        7          37   FileThread.Spool(stream)
        6          81   CliIntParm.GetIntParmRc
        6          54   CodeSet.Assign
        6          35   CliBuffer.GetInt
        6          35   CliCommand.GetIntParmRc
        6          34   CliParm.GetIntParm
        6          18   LibraryOpcode.CheckArgType
        5          22   LibraryOpcode.Execute
        5          22   LibraryOpcode.ctor
        5          17   LibraryOpcode.dtor
        4          49   CliTextParm.Descend
        4          39   CliBuffer.Read
        4          32   CliTextParm.GetStringRc
        4          31   Library.FindVar
        4          26   CodeFileSet.UsedBy
        4          24   Interpreter.ApplyOperator
        4          22   CliTextParm.GetTextParmRc
        4          21   CliCommand.GetTextParmRc
        4          21   CodeFileSet.Users
        4          21   Registry.Empty
        4          19   CliParm.GetTextIndex
        3          35   CliBuffer.GetSymbol
        3          22   Library.FindDir
        2        1432   SysFile.CreateIstream
        2          64   CliThread.OpenInputFile
        2          25   Interpreter.dtor
        2          18   CliCommand.GetIdentifierRc
        2          18   CliThread.ReadCommands
        2          17   Library.Evaluate
        2          17   SysHeap.Free
        2          16   CliParm.GetIdentifier
        2          15   ReadCommand.ProcessCommand
        2          14   CliTextParm.GetIdentifierRc
        2          11   CliCommand.GetStringRc
        2           9   CodeDirSet.Files
        2           8   CliParm.GetString
        2           8   Library.EnsureVar
        2           8   Memory.Free
        2           8   Object.operator delete
        2           8   SysHeap.Alloc
        2           7   Memory.Alloc
        2           7   Temporary.operator new
        2           6   CodeFileSet.Create
        2           5   CodeDirSet.dtor
        2           1   C++.delete
        2           0   CodeDirSet.ctor
        2           0   Temporary.ctor
        1        4518   CodeTools.GetFileName
        1        1653   CodeFileSet.Show
        1         551   CodeTools.SetIntersection(&)
        1          42   NtTestData.Conclude
        1          30   TraceBuffer.StopTracing
        1          24   TestcaseCommand.ProcessSubcommand
        1          23   CliThread.Execute
        1          17   Interpreter.Evaluate
        1          13   IfCommand.ProcessCommand
        1          12   PurgeCommand.ProcessCommand
        1          12   StopCommand.ProcessCommand
        1          11   CliBuffer.PutLine
        1          10   NtTestData.Access
        1           9   AssignCommand.ProcessCommand
        1           8   CodeSet.Intersection
        1           8   Interpreter.IsOperator
        1           8   Library.Purge
        1           7   Library.Assign
        1           6   CodeFileSet.AffectedBy
        1           6   Library.FindFile
        1           6   LibraryCommand.Evaluate
        1           6   LibrarySet.Shown
        1           5   CodeFileSet.Affecters
        1           5   DelayCommand.ProcessCommand
        1           5   TypeCommand.ProcessCommand
        1           4   TestcaseCommand.ProcessCommand
        1           3   Interpreter.CheckExpr
        1           0   Interpreter.ctor
        1           0   TraceBuffer.SetTool

Total functions: 154
