FUNCTION PROFILE: 2-Mar-2021 09:35:25.168 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
   760445           0   Lexer.Advance(incr)
   413333           0   CodeTools.FindSubstr
   331342           0   Lexer.FindIdentifier
   312380           0   Lexer.NextIdentifier
   222215           0   CodeFile.CalcLineType
   222215           0   CodeTools.CalcLineType
   222215           0   Lexer.GetCode
   222215           0   Lexer.GetIncludeFile
    31439           0   Lexer.SkipStrLiteral
    18709           0   Lexer.FindClosing
    14866           0   Base.operator new
    14038           0   CxxToken.ctor
     7744           0   CxxToken.dtor
     7744           0   Lexer.GetNum
     7744           0   Literal.ctor
     7088           0   CodeTools.GetFileName
     7088           0   Library.EnsureFile
     7088           0   Library.FindFile
     6484           0   Lexer.ThisCharIs
     6294           0   CodeFile.AddUser
     6294           0   CxxDirective.ctor
     6294           0   CxxNamed.SetLoc
     6294           0   CxxNamed.ctor
     6294           0   Include.ctor
     6294           0   SymbolDirective.ctor
     3764           0   Lexer.FindFirstOf
     3230           0   Lexer.SkipCharLiteral
     2835           0   Lexer.NextCharIs
     2289           0   Lexer.Advance
     1910           0   SysThread.Interrupt
     1910           0   SysThread.Resume
     1910           0   Thread.Interrupt
     1588           0   Lexer.Reposition
     1588           0   Lexer.ctor
     1127           0   Lexer.GetInt
     1085           0   MutexGuard.Release
     1085           0   MutexGuard.ctor
     1085           0   MutexGuard.dtor
     1085           0   SysMutex.Acquire
     1085           0   SysMutex.Release
      933           0   FileWalker.Advance
      877           0   SysThread.Suspend
      876           0   SysThread.Wait
      876           0   Thread.EnterBlockingOperation
      876           0   Thread.ExitBlockingOperation
      876           0   Thread.InitialTime
      876           0   Thread.LogContextSwitch
      876           0   Thread.Ready
      876           0   Thread.Resume
      876           0   Thread.Schedule
      876           0   Thread.Suspend
      876           0   ThreadAdmin.WarpFactor
      846           0   CodeTools.IsCodeFile
      811           0   LibraryItem.ctor
      794           0   CodeDir.IsSubsDir
      794           0   CodeFile.InputStream
      794           0   CodeFile.ReadCode
      794           0   CodeFile.Scan
      794           0   CodeFile.ctor
      794           0   Editor.ctor
      794           0   Lexer.CalcDepths
      794           0   Lexer.Initialize
      794           0   Library.AddFile
      794           0   SysFile.CreateIstream
      507           0   CliBuffer.CalcType
      452           0   CodeFile.LogCode
      452           0   CodeFile.LogLine
      375           0   Lexer.GetHex
      374           0   CodeFile.SetDir
      374           0   Lexer.GetHexNum
      345           0   CodeWarning.Insert
      345           0   CodeWarning.ctor
      162           0   MsgBuffer.ctor
      162           0   MsgBuffer.operator new
      162           0   ObjectPool.DeqBlock
      162           0   Pooled.ctor
