FUNCTION PROFILE: 20-Dec-2020 14:30:10.120 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
  2938574           0   Class.ClassDistance
  2938572           0   Class.DerivesFrom(class)
   144129           0   Lexer.FindClosing
   124846           0   TypeName.GetDirectClasses
    91275           0   Lexer.SkipStrLiteral
    88413           0   DataSpec.GetDirectClasses
    88413           0   QualName.GetDirectClasses
    83131           0   CxxNamed.GetDirectClasses
    64645           0   DataSpec.IsConst
    53987           0   Using.Referent
    51175           0   CodeTools.CompareScopes
    49291           0   Class.FindFuncByRole
    48825           0   Using.IsUsingFor
    45245           0   DataSpec.Ptrs
    44500           0   Function.FindRootFunc
    43856           0   DataSpec.Refs
    41106           0   DataSpec.DirectType
    36891           0   TypeTags.ArrayCount
    33666           0   Typedef.Referent
    33296           0   DataSpec.IsVolatile
    32525           0   Function.IsDeleted
    31273           0   Argument.Check
    30893           0   Function.HasInvokers
    28331           0   Class.MemberIsAccessibleTo
    27087           0   DataSpec.IsConstPtr
    24890           0   Class.FindFunc(scope)
    24890           0   CxxArea.FindFunc
    24890           0   CxxArea.FoundFunc
    24769           0   CodeTools.RemoveTags
    24769           0   DataSpec.Arrays
    24769           0   QualName.Referent
    24769           0   TypeTags.ctor(TypeSpec)
    24715           0   CxxArea.FindData
    23443           0   Function.IsUnused
    23436           0   Class.FindMember
    23436           0   CxxArea.FindItem
    23436           0   CxxOp.NameToOperator
    22364           0   Class.FindName
    21080           0   CodeFile.GetUsingFor
    21080           0   CodeTools.NameCouldReferTo
    20636           0   CodeFile.FindOrAddUsing
    20016           0   CxxArea.FindClass
    20015           0   CxxArea.FindType
    19996           0   CxxArea.FindEnum
    19996           0   CxxArea.FindEnumerator
    17243           0   Function.Check
    15957           0   Forward.Referent
    14955           0   Data.Check
    14770           0   Function.FindBaseFunc
    14477           0   Data.CheckConstness
    14477           0   Data.CheckUsage
    13885           0   Class.GetDirectClasses
    13078           0   CxxToken.Root
    11980           0   Lexer.SkipCharLiteral
    11739           0   CodeTools.SetDifference(-=)
    11607           0   Function.ArgCouldBeConst
    11111           0   CxxScoped.FindInheritedName
    10784           0   DataSpec.IsUsedInNameOnly
     9975           0   ClassInst.FindTemplateAnalog
     9953           0   Function.MinArgs
     9889           0   Function.CheckAccessControl
     9889           0   Function.CheckArgs
     9889           0   Function.CheckCtor
     9889           0   Function.CheckDtor
     9889           0   Function.CheckForVirtualDefault
     9889           0   Function.CheckIfDefined
     9889           0   Function.CheckIfHiding
     9889           0   Function.CheckIfOverridden
     9889           0   Function.CheckIfPublicVirtual
     9705           0   Function.ArgIsUnused
     9649           0   Function.FirstInstance
     9587           0   Function.IsUndefined
     9457           0   Function.FirstInstanceInClass
     9235           0   Function.CanBeNoexcept
     9235           0   Function.CheckIfUnused
     9235           0   Function.CheckMemberUsage
     9235           0   Function.CheckNoexcept
     8895           0   FuncData.Check
     8806           0   CxxScoped.CheckAccessControl
     8593           0   Lexer.Reposition
     8592           0   Class.GetFuncIndex
     8225           0   Lexer.FindFirstOf
     8120           0   Class.GetFuncDefinition
     7925           0   Forward.GetDirectClasses
     7671           0   CxxScoped.BroadestAccessUsed
     7557           0   CodeFile.LogCode
     7293           0   CodeFile.LogPos
     7257           0   Expression.Back
     7257           0   Operation.Back
     6727           0   CodeWarning.Insert
     6727           0   CodeWarning.ctor
     6205           0   CodeFile.CalcGroup(file)
     6205           0   CodeFile.CalcGroup(incl)
     6205           0   CodeTools.GetFileName
     6205           0   Include.FindFile
     6205           0   Library.FindFile
     5935           0   Class.DerivesFrom(name)
     5791           0   Thread.Interrupt
     5790           0   SysThread.Interrupt
     5790           0   SysThread.Resume
     5615           0   LibrarySet.Release
     5607           0   CodeFileSet.dtor
     5607           0   CodeSet.dtor
     5607           0   Library.EraseVar
     5607           0   LibraryItem.dtor
     5607           0   LibrarySet.dtor
     5607           0   Q2Way.Exq
     5528           0   Base.operator new
     4822           0   CodeFileSet.ctor
     4822           0   CodeSet.ctor
     4822           0   Library.AddVar
     4822           0   LibraryItem.ctor
     4822           0   LibrarySet.TemporaryName
     4822           0   LibrarySet.ctor
     4822           0   Q2Way.Enq
     4808           0   MutexGuard.Release
     4808           0   MutexGuard.ctor
     4808           0   MutexGuard.dtor
     4808           0   SysMutex.Acquire
     4808           0   SysMutex.Release
     4524           0   CxxNamed.Log
     4473           0   CodeCoverage.Insert
     4473           0   Function.CheckDebugName
     4473           0   Function.DebugName
     4330           0   Function.IsInvokedInBase
     4265           0   CxxScoped.CheckIfHiding
     4077           0   DataSpec.IsVolatilePtr
     4073           0   CodeFileSet.UsedBy
     3863           0   TypeName.GetDirectTemplateArgs
     3830           0   TypeTags.SetPointer
     3390           0   SpaceData.Check
     3197           0   SysThread.Suspend
     3067           0   Data.IsDefaultConstructible
     2912           0   SpaceData.CheckIfInitialized
     2912           0   SpaceData.CheckIfStatic
     2670           0   ClassData.Check
     2670           0   ClassData.CheckAccessControl
     2670           0   ClassData.CheckIfInitialized
     2670           0   ClassData.CheckIfMutated
     2540           0   DataSpec.GetDirectTemplateArgs
     2540           0   QualName.GetDirectTemplateArgs
     2517           0   Class.FindDtor
     2419           0   SysThread.Wait
     2419           0   Thread.EnterBlockingOperation
     2419           0   Thread.ExitBlockingOperation
     2419           0   Thread.InitialTime
     2419           0   Thread.LogContextSwitch
     2419           0   Thread.Ready
     2419           0   Thread.Resume
     2419           0   Thread.Schedule
     2419           0   Thread.Suspend
     2419           0   ThreadAdmin.WarpFactor
     2350           0   CxxScoped.IsSuperscopeOf
     2112           0   TypeName.ItemIsTemplateArg
     2109           0   Function.IsTrivial
     2011           0   DataSpec.GetNumeric
     1954           0   CxxToken.DirectClass
     1954           0   DataSpec.DirectClass
     1759           0   CxxToken.GetTemplateArgs
     1705           0   CxxArea.Check
     1704           0   Class.GetMemberInitAttrs
     1685           0   Class.CheckIfUnused
     1685           0   Class.GetUsageAttrs
     1675           0   Class.Check
     1675           0   Class.CheckOverrides
     1675           0   Class.CheckRuleOfThree
     1599           0   MsgBuffer.ctor
     1599           0   MsgBuffer.operator new
     1599           0   ObjectPool.DeqBlock
     1599           0   Pooled.ctor
     1599           0   Q1Way.Deq
     1599           0   Q1Way.Enq
     1599           0   Q1Way.Size
     1599           0   StreamRequest.ctor
     1599           0   Thread.EnqMsg
     1597           0   CxxScoped.FindNthItem
     1597           0   CxxScoped.LocateItem
     1503           0   Enum.FindEnumerator
     1494           0   CodeFile.EraseInternals
     1494           0   CodeTools.SetDifference(-)
     1276           0   DataSpec.ItemIsTemplateArg
     1250           0   QualName.ItemIsTemplateArg
     1176           0   ClassData.IsUnionMember
     1132           0   CodeTools.SetUnion(|=)
     1118           0   Using.Check
     1082           0   Enumerator.Check
     1082           0   Enumerator.CheckIfUnused
     1066           0   ClassInst.DerivesFrom
     1065           0   Lexer.SkipTemplateSpec
      990           0   DataSpec.IsIndirect
      954           0   Block.FindNthItem
      954           0   Block.LocateItem
      856           0   Class.FindCtor
      856           0   Class.IsDefaultConstructible
      846           0   CodeFile.FindData
      817           0   Function.LogToBoth
      809           0   FileRequest.ctor
      809           0   FileThread.Spool(written)
      808           0   Friend.Referent
      803           0   FileThread.Spool(string)
      795           0   CxxNamed.GetDirectTemplateArgs
      794           0   CodeFile.Check
      790           0   CoutThread.Spool(stream)
      790           0   FileThread.Record
      784           0   CoutThread.Spool(string)
      778           0   SysThread.Delay
      777           0   Debug.Progress
      748           0   CodeFileSet.Affecters
      748           0   CodeTools.SetUnion(|)
      747           0   CodeFile.AddDirectTypes
      747           0   CodeFile.AddIncludeIds
      747           0   CodeFile.AddIndirectExternalTypes
      747           0   CodeFile.CanBeTrimmed
      747           0   CodeFile.CheckDebugFt
      747           0   CodeFile.CheckFunctionOrder
      747           0   CodeFile.CheckIncludeGuard
      747           0   CodeFile.CheckIncludeOrder
      747           0   CodeFile.CheckIncludes
      747           0   CodeFile.CheckLineBreaks
      747           0   CodeFile.CheckProlog
      747           0   CodeFile.CheckSeparation
      747           0   CodeFile.CheckUsings
      747           0   CodeFile.FindDeclIds
      747           0   CodeFile.GetUsageInfo
      747           0   CodeFile.LogAddForwards
      747           0   CodeFile.LogAddIncludes
      747           0   CodeFile.LogAddUsings
      747           0   CodeFile.LogRemoveForwards
      747           0   CodeFile.LogRemoveIncludes
      747           0   CodeFile.LogRemoveUsings
      747           0   CodeFile.PruneForwardCandidates
      747           0   CodeFile.PruneLocalForwards
      747           0   CodeFile.RemoveHeaderIds
      747           0   CodeFile.RemoveInvalidIncludes
      747           0   CodeFile.SaveBaseIds
      747           0   CodeFile.Trim
      747           0   CodeTools.AddForwardDependencies
      747           0   CodeTools.FindForwardCandidates
      747           0   CodeTools.GetTransitiveBases
      747           0   CodeTools.RemoveAliasedClasses
      747           0   CodeTools.RemoveIncludedBaseItems
      747           0   CodeTools.RemoveIndirectBaseItems
      705           0   CxxNamed.ctor
      705           0   CxxToken.ctor
      642           0   Data.GetStrValue
      603           0   QualName.GetForward
      602           0   Friend.Check
      601           0   Lexer.NextIdentifier
      513           0   CxxScoped.CheckIfUnused
      507           0   Function.FindTemplateAnalog
      506           0   If.FindNthItem
      506           0   If.LocateItem
      472           0   CxxNamed.SetContext
      472           0   Lexer.NextStringIs
      444           0   Enumerator.GetScopedNames
      425           0   Function.FindNthItem
      425           0   Function.LocateItem
      388           0   Typedef.Check
      388           0   Typedef.CheckPointerType
      385           0   CodeFile.GetDeclaredBaseClasses
      362           0   CodeFile.MakeGuardName
      307           0   Argument.IsThisCandidate
      283           0   Forward.Check
      264           0   CodeFile.LogLine
      249           0   BaseDecl.Referent
      239           0   Lexer.Advance(incr)
      239           0   Lexer.GetName
      239           0   Lexer.NextCharIs
      239           0   Parser.GetTypeName
      239           0   TypeName.ctor
      234           0   QualName.SetReferent
      234           0   TypeName.SetReferent
      233           0   Context.PopParser
      233           0   Context.PushParser
      233           0   CxxArea.AddUsing
      233           0   CxxNamed.AtFileScope
      233           0   CxxNamed.SetLoc
      233           0   CxxScoped.ctor
      233           0   Lexer.Advance
      233           0   Lexer.Initialize
      233           0   Lexer.ctor
      233           0   ParseFrame.Clear
      233           0   ParseFrame.PushScope
      233           0   ParseFrame.ctor
      233           0   Parser.Enter
      233           0   Parser.GetQualName
      233           0   Parser.ParseQualName
      233           0   Parser.ctor(scope)
      233           0   Parser.dtor
      233           0   QualName.ctor(type)
      233           0   SysTime.ctor(now)
      233           0   Using.EnterScope
      233           0   Using.FindReferent
      233           0   Using.SetScope
      233           0   Using.ctor
      229           0   Enum.IsUnused
      183           0   Function.CheckStatic
      182           0   Function.CheckFree
      136           0   Function.FindArg
      129           0   TemplateParm.Check
      127           0   ClassInst.FindInstanceAnalog
      125           0   Enum.Check
      125           0   Enum.CheckAccessControl
      124           0   CliBuffer.CalcType
      119           0   For.FindNthItem
      119           0   For.LocateItem
      101           0   Argument.LogToFunc
       99           0   Function.CheckIfCouldBeConst
       65           0   TypeName.GetNames
       62           0   SysIpL2Addr.dtor
       62           0   SysSocket.SetBlocking
       41           0   Function.IsTemplateArg
       31           0   IpPort.RecvsInSequence
       31           0   IpPortRegistry.HostAddress
       31           0   SysIpL2Addr.IsValid
       31           0   SysIpL2Addr.ctor
       31           0   SysIpL3Addr.ctor
       31           0   SysIpL3Addr.dtor
       31           0   SysSocket.SetError
       31           0   SysTcpSocket.Accept
       31           0   SysTcpSocket.Poll
       31           0   TcpIoThread.AcceptConn
       31           0   TcpIoThread.PollSockets
       30           0   DataSpec.GetNames
       30           0   Namespace.Check
       30           0   QualName.GetNames
       24           0   CliBuffer.FindNextNonBlank
       24           0   CxxUsageSets.EraseTemplateArgs
       24           0   CxxUsageSets.Union
       18           0   CliIncrement.FindCommand
       16           0   DataSpec.MatchesExactly
       16           0   Function.ArgumentsMatch
       16           0   Function.SignatureMatches
       15           0   CliBuffer.GetStr
       14           0   CliBuffer.GetNextInput
       14           0   CliStack.FindCommand
       10           0   CxxUsageSets.EraseLocals
        9           0   Registry.Size
        8           0   CliCookie.Advance
        8           0   CliText.AccessParm
        8           0   CliThread.Flush
        8           0   SymbolRegistry.FindSymbol
        7           0   CliBuffer.GetInput
        7           0   CliBuffer.GetLine
        7           0   CliBuffer.ScanLine
        7           0   CliCookie.Initialize
        7           0   CliStack.Top
        7           0   CliThread.EndOfInput
        7           0   CliThread.InvokeCommand
        7           0   CliThread.ParseCommand
        7           0   CliThread.SetResult
        7           0   Symbol.SetValue
        7           0   SymbolRegistry.EnsureSymbol
        6           0   FileThread.Spool(stream)
        6           0   QualName.PushBack
        4           0   CliThread.Report
        4           0   CliThread.Report1
        4           0   CxxToken.ReferentDefn
        4           0   DataSpec.ResultType
        4           0   FunctionGuard.ctor
        4           0   StackArg.ctor(ptrs)
        4           0   Thread.MakePreemptable
        4           0   While.FindNthItem
        4           0   While.LocateItem
        3           0   CliBuffer.GetInt
        3           0   CliCommand.GetIntParmRc
        3           0   CliIntParm.GetIntParmRc
        3           0   CliParm.GetIntParm
        3           0   CliTextParm.GetStringRc
        3           0   Interpreter.SkipBlanks
        3           0   MacroName.Referent
        2           0   CliBuffer.OpenInputFile
        2           0   CliBuffer.Read
        2           0   CliCommand.GetStringRc
        2           0   CliCommand.GetTextParmRc
        2           0   CliParm.GetString
        2           0   CliParm.GetTextIndex
        2           0   CliTextParm.Descend
        2           0   CliTextParm.GetTextParmRc
        2           0   Interpreter.GetToken
        2           0   ReadCommand.ProcessCommand
        2           0   Registry.Empty
        2           0   StackArg.CalcMatchWith
        2           0   StackArg.MatchWith
        2           0   Switch.FindNthItem
        2           0   Switch.LocateItem
        1           0   CheckCommand.ProcessCommand
        1           0   CliAppData.EventOccurred
        1           0   CliBuffer.GetSymbol
        1           0   CliBuffer.PutLine
        1           0   CliCommand.GetFileNameRc
        1           0   CliParm.GetFileName
        1           0   CliTextParm.GetFileNameRc
        1           0   CliThread.Execute
        1           0   CliThread.FileStream
        1           0   CliThread.GetAppData
        1           0   CliThread.Notify
        1           0   CliThread.SendToFile
        1           0   CodeCoverage.ctor
        1           0   CodeFile.GenerateReport
        1           0   CodeFileSet.AffectedBy
        1           0   CodeFileSet.Check
        1           0   CodeFileSet.SortInBuildOrder
        1           0   CodeFileSet.Users
        1           0   CodeWarning.GenerateReport
        1           0   DelayCommand.ProcessCommand
        1           0   FileThread.CreateStream
        1           0   IfCommand.ProcessCommand
        1           0   Interpreter.ApplyOperator
        1           0   Interpreter.CheckExpr
        1           0   Interpreter.Evaluate
        1           0   Interpreter.HandleToken
        1           0   Interpreter.ctor
        1           0   Interpreter.dtor
        1           0   Library.EnsureVar
        1           0   Library.Evaluate
        1           0   Library.FindVar
        1           0   LibraryCommand.Evaluate
        1           0   Memory.Alloc
        1           0   NtTestData.Access
        1           0   NtTestData.Conclude
        1           0   Singleton.Instance
        1           0   Singletons.BindInstance
        1           0   StopCommand.ProcessCommand
        1           0   SysFile.CreateOstream
        1           0   SysHeap.Alloc
        1           0   Temporary.ctor
        1           0   Temporary.operator new
        1           0   TestDatabase.Commit
        1           0   TestDatabase.SetState
        1           0   TestsCommand.ProcessCommand
        1           0   TestsCommand.ProcessSubcommand
        1           0   TraceBuffer.SetTool
        1           0   TraceBuffer.StopTracing

Total functions: 434
