FUNCTION PROFILE: 2-Aug-2019 09:52:30.441 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      145        1211   Thread.RunningThread
      116        1052   CliBuffer.CalcType
       48        1786   Base.ctor
       42           0   Object.ctor
       40         464   SysThread.Interrupt
       40         275   Thread.Interrupt
       40         261   Q1Way.Size
       40         224   Q1Way.Enq
       39         852   FunctionGuard.dtor
       39         300   Thread.MakePreemptable
       39         280   MsgBuffer.operator new
       39         244   Thread.EnqMsg
       38          10   Pooled.ctor
       38           2   StreamRequest.ctor
       38           0   MsgBuffer.ctor
       37         801   FunctionGuard.ctor
       37         349   Alarm.Create
       37         271   ObjectPool.DeqBlock
       37         254   Thread.MakeUnpreemptable
       37         234   Q1Way.Deq
       37         207   ObjectPool.UpdateAlarm
       26         398   SysMutex.Release
       25         219   FileThread.Spool(written)
       25          22   FileRequest.ctor
       24         294   Thread.Pause
       23         377   FileThread.Spool(string)
       23         195   CliBuffer.FindNextNonBlank
       18         302   CliIncrement.FindCommand
       15         220   Thread.ExitBlockingOperation
       15         209   SysMutex.Acquire
       15         171   Thread.LogContextSwitch
       15          91   Thread.EnterBlockingOperation
       15          82   Thread.Unlock
       14         189   CliBuffer.GetStr
       14         106   CliStack.FindCommand
       13         586   CliBuffer.GetLine
       13         277   LibrarySet.Release
       12         243   CoutThread.Spool(stream)
       11         107   MutexGuard.ctor
       11          71   MutexGuard.dtor
       10          63   FileThread.Record
        9         101   CliThread.Flush
        8          64   Thread.ResumeLocked
        7          83   CliBuffer.Echo
        7          68   CliCookie.Initialize
        7          67   Registry.Size
        7          64   CliCookie.Advance
        7          62   CliThread.InvokeCommand
        7          62   CliThread.ParseCommand
        7          57   CliBuffer.ScanLine
        7          55   CliThread.EndOfInput
        7          48   CliText.AccessParm
        6        1465   Q2Way.Enq
        6         175   Interpreter.SkipBlanks
        6         165   SymbolRegistry.FindSymbol
        6          73   CodeSet.dtor
        6          32   LibraryItem.dtor
        6          25   Library.AddVar
        6          23   LibrarySet.dtor
        6          19   Q2Way.Exq
        6          18   Library.EraseVar
        6           3   LibrarySet.ctor
        6           0   CodeSet.ctor
        6           0   LibraryItem.ctor
        5          58   CoutThread.Spool(string)
        5          52   SymbolRegistry.EnsureSymbol
        5          39   Interpreter.GetToken
        5          37   Thread.InitialMsecs
        5          31   CliThread.SetResult
        5          22   Symbol.SetValue
        5          13   CodeFileSet.dtor
        5           0   CodeFileSet.ctor
        5           0   ThreadAdmin.WarpFactor
        4          51   Interpreter.HandleToken
        4          36   LibrarySet.TemporaryName
        4          25   CliStack.Top
        3         177   CliThread.Report1
        3          42   CliCommand.GetIntParmRc
        3          34   CliBuffer.GetInt
        3          33   CliIntParm.GetIntParmRc
        3          17   LibraryOpcode.CheckArgType
        3          16   FileThread.Spool(stream)
        3          15   CliThread.Report
        2        1702   SysFile.CreateIstream
        2          44   CliThread.OpenInputFile
        2          38   CliTextParm.GetTextParmRc
        2          34   Library.FindVar
        2          31   Library.FindDir
        2          31   SysSocket.SetBlocking
        2          27   LibraryOpcode.ctor
        2          21   CliTextParm.GetStringRc
        2          21   CodeSet.Assign
        2          21   Interpreter.ApplyOperator
        2          21   ReadCommand.ProcessCommand
        2          18   CliParm.GetTextIndex
        2          17   CliTextParm.Descend
        2          16   CliCommand.GetTextParmRc
        2          16   Library.EnsureVar
        2          15   CliParm.GetIntParm
        2          15   Registry.Empty
        2          14   CliBuffer.Read
        2          13   SysIpL2Addr.dtor
        2          12   CliCommand.GetStringRc
        2          12   CliParm.GetString
        2          10   LibraryOpcode.Execute
        2           7   LibraryOpcode.dtor
        1        5040   CodeTools.GetFileName
        1        1158   NtTestData.Conclude
        1         359   CodeFileSet.Show
        1          35   Library.Evaluate
        1          34   Interpreter.Evaluate
        1          25   SysHeap.Free
        1          24   SysTcpSocket.Accept
        1          17   Memory.Free
        1          14   CliBuffer.GetSymbol
        1          14   IfCommand.ProcessCommand
        1          12   NtTestData.Access
        1          12   SysSocket.SetError
        1          12   TraceBuffer.StopTracing
        1          11   CliThread.ReadCommands
        1          11   TestcaseCommand.ProcessSubcommand
        1          11   TypeCommand.ProcessCommand
        1          10   CliBuffer.PutLine
        1          10   Interpreter.dtor
        1          10   LibraryCommand.Evaluate
        1           9   Library.FindFile
        1           9   TcpIoThread.PollSockets
        1           8   Interpreter.CheckExpr
        1           8   IpPort.RecvsInSequence
        1           8   SysHeap.Alloc
        1           8   SysIpL3Addr.dtor
        1           8   TestcaseCommand.ProcessCommand
        1           7   Memory.Alloc
        1           7   Temporary.operator new
        1           5   StopCommand.ProcessCommand
        1           5   TcpIoThread.AcceptConn
        1           4   CodeDirSet.Files
        1           4   CodeFileSet.FileType
        1           4   LibrarySet.Shown
        1           3   CodeDirSet.dtor
        1           3   IpPortRegistry.HostAddress
        1           3   Object.operator delete
        1           3   SysIpL2Addr.IsValid
        1           3   SysIpL2Addr.operator=(copy)
        1           1   C++.delete
        1           0   CodeDirSet.ctor
        1           0   Interpreter.ctor
        1           0   SysIpL2Addr.ctor
        1           0   SysIpL2Addr.ctor(copy)
        1           0   SysIpL3Addr.ctor
        1           0   TcpIoThread.Enter
        1           0   Temporary.ctor
        1           0   TraceBuffer.SetTool

Total functions: 153
