FUNCTION PROFILE: 2-Aug-2019 09:52:34.835 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      150        1038   Thread.RunningThread
      101         760   CliBuffer.CalcType
       42         447   Thread.Interrupt
       42         289   Q1Way.Size
       42         251   Alarm.Create
       42         214   Q1Way.Deq
       42         193   ObjectPool.UpdateAlarm
       41        1139   Base.ctor
       41         371   SysThread.Interrupt
       41         210   ObjectPool.DeqBlock
       41         209   MsgBuffer.operator new
       41         201   Thread.EnqMsg
       41         141   Q1Way.Enq
       41           0   Object.ctor
       40         774   FunctionGuard.dtor
       40         431   FunctionGuard.ctor
       40         261   Thread.MakePreemptable
       40         183   Thread.MakeUnpreemptable
       40           0   MsgBuffer.ctor
       40           0   Pooled.ctor
       40           0   StreamRequest.ctor
       27     1001069   SysMutex.Release
       27         255   FileThread.Spool(written)
       27           0   FileRequest.ctor
       24         902   FileThread.Spool(string)
       24         432   Thread.Pause
       20         166   CliBuffer.FindNextNonBlank
       19         219   SysMutex.Acquire
       18         282   CliIncrement.FindCommand
       14         213   Thread.ExitBlockingOperation
       14         121   CliStack.FindCommand
       14         116   CliBuffer.GetStr
       14         109   Thread.LogContextSwitch
       14         101   Thread.Unlock
       14          83   Thread.EnterBlockingOperation
       13          77   MutexGuard.dtor
       12         165   CoutThread.Spool(stream)
       12         138   CliThread.Flush
       12          96   MutexGuard.ctor
       12          62   FileThread.Record
       11         458   CliBuffer.GetLine
        9          57   Thread.ResumeLocked
        9           0   ThreadAdmin.WarpFactor
        8          49   Thread.InitialMsecs
        8          25   LibrarySet.Release
        7          63   CliThread.ParseCommand
        7          44   CliCookie.Initialize
        7          41   CliThread.InvokeCommand
        7          37   Registry.Size
        7          31   CliText.AccessParm
        6          99   CoutThread.Spool(string)
        6          73   CliStack.Top
        6          55   CliBuffer.ScanLine
        6          52   CliThread.EndOfInput
        6          42   CliBuffer.Echo
        6          37   Symbol.SetValue
        5          56   SymbolRegistry.FindSymbol
        5          48   CliCookie.Advance
        5          26   FileThread.Spool(stream)
        4          27   CliThread.SetResult
        4          15   SymbolRegistry.EnsureSymbol
        3          88   CliThread.Report1
        3          63   CliIntParm.GetIntParmRc
        3          50   Interpreter.SkipBlanks
        3          39   CliBuffer.GetInt
        3          34   CliCommand.GetIntParmRc
        3          15   CliParm.GetIntParm
        3          12   CliThread.Report
        2        1119   SysFile.CreateIstream
        2          31   CliThread.ReadCommands
        2          24   Interpreter.GetToken
        2          18   CliTextParm.GetStringRc
        2          16   CliCommand.GetStringRc
        2          14   CliParm.GetString
        2          13   CliCommand.GetTextParmRc
        2          13   CliTextParm.GetTextParmRc
        2          12   CliTextParm.Descend
        2           8   Registry.Empty
        1         426   CodeFileSet.Countlines
        1          26   Library.FindVar
        1          21   DelayCommand.ProcessCommand
        1          20   CliThread.Execute
        1          15   NtTestData.Conclude
        1          13   CliBuffer.GetSymbol
        1          13   CliThread.OpenInputFile
        1           9   Interpreter.ApplyOperator
        1           9   Library.Evaluate
        1           8   CliBuffer.PutLine
        1           8   Interpreter.dtor
        1           7   CliBuffer.Read
        1           6   IfCommand.ProcessCommand
        1           6   ReadCommand.ProcessCommand
        1           5   Interpreter.Evaluate
        1           5   SysHeap.Free
        1           5   TestcaseCommand.ProcessSubcommand
        1           4   Interpreter.HandleToken
        1           4   Memory.Alloc
        1           4   NtTestData.Access
        1           4   StopCommand.ProcessCommand
        1           3   Interpreter.CheckExpr
        1           3   Library.EnsureVar
        1           3   Memory.Free
        1           3   Object.operator delete
        1           3   SysHeap.Alloc
        1           3   Temporary.operator new
        1           3   TraceBuffer.StopTracing
        1           1   C++.delete
        1           0   Interpreter.ctor
        1           0   Temporary.ctor
        1           0   TraceBuffer.SetTool

Total functions: 110
