FUNCTION PROFILE: May-25-2022 18:10:43.981 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
  3533584           0   MainArgs.At
  3271031           0   Class.ClassDistance
  3271031           0   Class.DerivesFrom(class)
   222078           0   CxxSymbols.IsUniqueName
   128023           0   TypeName.GetDirectClasses
    90779           0   DataSpec.GetDirectClasses
    90779           0   QualName.GetDirectClasses
    85254           0   CxxNamed.GetDirectClasses
    54242           0   Using.Referent
    52210           0   CodeTools.CompareScopes
    49920           0   Using.IsUsingFor
    44836           0   Function.FindRootFunc
    43399           0   DataSpec.DirectType
    42904           0   CodeTools.NameCouldReferTo
    37767           0   DataSpec.Ptrs
    37452           0   TypeTags.ArrayCount
    34891           0   CxxScoped.IsAtFileScope
    31418           0   DataSpec.Refs
    30146           0   Typedef.Referent
    28966           0   DataSpec.IsVolatile
    28812           0   DataSpec.IsConst
    25126           0   TemplateArg.GetDirectClasses
    24146           0   Expression.Back
    24146           0   Operation.Back
    21778           0   CodeTools.RemoveTags
    21778           0   DataSpec.Arrays
    21778           0   QualName.Referent
    21778           0   TypeTags.ctor(TypeSpec)
    21446           0   CodeFile.GetUsingFor
    20991           0   CodeFile.FindOrAddUsing
    13555           0   Class.GetDirectClasses
    13284           0   Forward.Referent
    11263           0   DataSpec.IsUsedInNameOnly
    10342           0   ClassInst.FindTemplateAnalog
     8681           0   Forward.GetDirectClasses
     8676           0   Class.FuncToIndex
     8676           0   Class.IndexToFunc
     5614           0   DataSpec.IsConstPtr(size_t)
     5614           0   DataSpec.IsVolatilePtr(size_t)
     5578           0   TypeTags.SetPointer
     5097           0   Base.operator new
     5097           0   CodeFileSet.ctor
     5097           0   CodeSet.ctor
     5097           0   Library.AddVar
     5097           0   LibraryItem.ctor
     5097           0   LibrarySet.TemporaryName
     5097           0   LibrarySet.ctor
     4969           0   TypeName.GetDirectTemplateArgs
     4335           0   CodeFileSet.UsedBy
     3517           0   CxxToken.Root
     3408           0   Friend.Referent
     3202           0   DataSpec.GetDirectTemplateArgs
     3202           0   QualName.GetDirectTemplateArgs
     2841           0   BaseDecl.Referent
     2413           0   TemplateArg.GetDirectTemplateArgs
     2290           0   CxxScoped.IsSuperscopeOf
     2191           0   TypeName.ItemIsTemplateArg
     2144           0   CxxToken.GetTemplatedName
     2086           0   DataSpec.GetNumeric
     1912           0   QualName.GetForward
     1876           0   CodeFile.IsExcludedTarget
     1603           0   CxxScoped.FindNthItem
     1603           0   CxxScoped.LocateItem
     1524           0   CodeFile.EraseInternals
     1524           0   CodeTools.SetDifference(-)
     1400           0   Function.MinArgs
     1256           0   CodeTools.MemberIsAccessibleTo
     1237           0   Class.FindMember
     1237           0   CxxArea.FindData
     1237           0   CxxArea.FindItem
     1237           0   CxxOp.NameToOperator
     1237           0   DataSpec.ItemIsTemplateArg
     1237           0   QualName.ItemIsTemplateArg
     1152           0   CodeTools.SetUnion(|=)
     1150           0   CodeTools.SetDifference(-=)
     1096           0   TemplateArg.ItemIsTemplateArg
      976           0   Block.FindNthItem
      976           0   Block.LocateItem
      825           0   CodeFile.CanBeTrimmed
      825           0   CodeFile.Trim
      814           0   CxxNamed.GetDirectTemplateArgs
      762           0   CodeFile.AddDirectTypes
      762           0   CodeFile.AddIncludes
      762           0   CodeFile.FindDeclSet
      762           0   CodeFile.GetUsageInfo
      762           0   CodeFile.LogAddForwards
      762           0   CodeFile.LogAddIncludes
      762           0   CodeFile.LogAddUsings
      762           0   CodeFile.LogRemoveForwards
      762           0   CodeFile.LogRemoveIncludes
      762           0   CodeFile.LogRemoveUsings
      762           0   CodeFile.PruneForwardCandidates
      762           0   CodeFile.PruneLocalForwards
      762           0   CodeFile.RemoveHeaders
      762           0   CodeFile.RemoveInvalidIncludes
      762           0   CodeFile.SaveBaseSet
      762           0   CodeFileSet.Affecters
      762           0   CodeTools.AddForwardDependencies
      762           0   CodeTools.AddIndirectExternalTypes
      762           0   CodeTools.FindForwardCandidates
      762           0   CodeTools.GetTransitiveBases
      762           0   CodeTools.RemoveAliasedClasses
      762           0   CodeTools.RemoveIncludedBaseItems
      762           0   CodeTools.RemoveIndirectBaseItems
      762           0   CodeTools.SetUnion(|)
      526           0   If.FindNthItem
      526           0   If.LocateItem
      487           0   ClassInst.DerivesFrom
      455           0   Enumerator.GetScopedNames
      427           0   Function.FindNthItem
      427           0   Function.FindTemplateAnalog
      427           0   Function.LocateItem
      390           0   CodeFile.GetDeclaredBaseClasses
      202           0   CodeFile.InsertWarning
      202           0   CodeFile.LogCode
      202           0   CodeFile.LogPos
      202           0   CodeWarning.Insert
      202           0   CodeWarning.ctor
      124           0   CliBuffer.CalcType
      119           0   For.FindNthItem
      119           0   For.LocateItem
      108           0   Gate.Notify
      108           0   SysThread.Interrupt
      108           0   Thread.Interrupt
      101           0   MutexGuard.Release
      101           0   MutexGuard.ctor
      101           0   MutexGuard.dtor
      101           0   SysMutex.Acquire
      101           0   SysMutex.Release
       72           0   TypeName.GetNames
       53           0   Typedef.ItemIsTemplateArg
       52           0   MsgBuffer.ctor
       52           0   MsgBuffer.operator new
       52           0   ObjectPool.DeqBlock
       52           0   Pooled.ctor
       52           0   Q1Way.Deq
       52           0   Q1Way.Enq
       52           0   Q1Way.Size
       52           0   StreamRequest.ctor
       52           0   Thread.EnqMsg
       48           0   CxxSymbols.FindMacro
       43           0   Gate.WaitFor
       43           0   SysThread.Suspend
       36           0   FileRequest.ctor
       36           0   FileThread.Spool(written)
       33           0   SysThread.Wait
       33           0   Thread.EnterBlockingOperation
       33           0   Thread.ExitBlockingOperation
       33           0   Thread.InitialTime
       33           0   Thread.LogContextSwitch
       33           0   Thread.Ready
       33           0   Thread.Resume
       33           0   Thread.Schedule
       33           0   Thread.Suspend
       33           0   ThreadAdmin.WarpFactor
       32           0   DataSpec.GetNames
       32           0   QualName.GetNames
       32           0   TemplateArg.GetNames
       29           0   FileThread.Spool(string)
       27           0   CxxUsageSets.EraseTemplateArgs
       27           0   CxxUsageSets.Union
       24           0   CliBuffer.FindNextNonBlank
       19           0   Class.FindFunc
       19           0   CodeTools.FoundFunc(CxxArea)
       19           0   CxxArea.FindClass
       19           0   CxxArea.FindFunc
       19           0   CxxArea.FindType
       18           0   Class.FindCtor
       18           0   CliIncrement.FindCommand
       16           0   CliBuffer.GetStr
       16           0   CoutThread.Spool(stream)
       16           0   FileThread.Record
       14           0   CliBuffer.GetNextInput
       13           0   CxxUsageSets.EraseLocals
       10           0   CoutThread.Spool(string)
       10           0   SysThread.Delay
        9           0   CliCookie.Advance
        9           0   CliText.AccessParm
        9           0   Registry.Size
        8           0   CliThread.Flush
        8           0   SymbolRegistry.FindSymbol
        7           0   CliBuffer.GetInput
        7           0   CliBuffer.GetLine
        7           0   CliBuffer.ScanLine
        7           0   CliCookie.Initialize
        7           0   CliStack.FindCommand
        7           0   CliStack.FindCommand(incr)
        7           0   CliStack.Top
        7           0   CliThread.EndOfInput
        7           0   CliThread.InvokeCommand
        7           0   CliThread.ParseCommand
        7           0   CliThread.SetResult
        7           0   FileThread.Spool(stream)
        7           0   Symbol.SetValue
        7           0   SymbolRegistry.EnsureSymbol
        5           0   MacroName.Referent
        4           0   CliTextParm.GetStringRc
        4           0   CxxToken.ReferentDefn
        4           0   DataSpec.ResultType
        4           0   FunctionGuard.ctor
        4           0   StackArg.ctor(ptrs)
        4           0   SysSocket.SetBlocking
        4           0   TemplateArg.ResultType
        4           0   Thread.MakePreemptable
        4           0   While.FindNthItem
        4           0   While.LocateItem
