FUNCTION PROFILE: 2-Aug-2019 09:52:31.546 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      148        1061   Thread.RunningThread
      101         533   CliBuffer.CalcType
       46        1588   Base.ctor
       42           0   Object.ctor
       41         281   Alarm.Create
       41         210   Q1Way.Deq
       41         188   ObjectPool.UpdateAlarm
       41           2   StreamRequest.ctor
       41           0   MsgBuffer.ctor
       41           0   Pooled.ctor
       40         742   FunctionGuard.dtor
       40         623   FunctionGuard.ctor
       40         362   SysThread.Interrupt
       40         283   Thread.Interrupt
       40         255   Q1Way.Size
       40         255   Thread.EnqMsg
       40         242   Thread.MakePreemptable
       40         231   ObjectPool.DeqBlock
       40         218   Thread.MakeUnpreemptable
       40         159   Q1Way.Enq
       39         217   MsgBuffer.operator new
       28         240   FileThread.Spool(written)
       28           0   FileRequest.ctor
       26     1000613   SysMutex.Release
       26         358   FileThread.Spool(string)
       24          93   Thread.Pause
       18         217   SysMutex.Acquire
       18         132   CliBuffer.FindNextNonBlank
       16         168   CliIncrement.FindCommand
       14         100   Thread.ExitBlockingOperation
       14          54   Thread.Unlock
       13         276   CoutThread.Spool(stream)
       13          97   MutexGuard.dtor
       13          91   Thread.LogContextSwitch
       13          67   Thread.EnterBlockingOperation
       12         907   CliBuffer.GetLine
       12         113   MutexGuard.ctor
       12          98   CliBuffer.GetStr
       12          73   CliStack.FindCommand
       12          64   FileThread.Record
       11         148   CliThread.Flush
       10         176   LibrarySet.Release
        9          66   Thread.ResumeLocked
        7          93   SymbolRegistry.FindSymbol
        7          89   CoutThread.Spool(string)
        7          87   CliBuffer.Echo
        7          74   CliStack.Top
        7          51   CliThread.ParseCommand
        7          43   Thread.InitialMsecs
        7          42   CliBuffer.ScanLine
        7           0   ThreadAdmin.WarpFactor
        6          71   CliCookie.Advance
        6          51   Symbol.SetValue
        6          49   CliThread.SetResult
        6          40   SymbolRegistry.EnsureSymbol
        6          32   CliCookie.Initialize
        6          32   Registry.Size
        6          30   CliThread.InvokeCommand
        6          28   CliText.AccessParm
        5          35   CliThread.EndOfInput
        4          64   Interpreter.SkipBlanks
        4          32   FileThread.Spool(stream)
        3         226   Q2Way.Enq
        3          36   CodeSet.dtor
        3          25   LibraryItem.dtor
        3          19   Interpreter.GetToken
        3          18   LibrarySet.dtor
        3          15   Library.AddVar
        3          15   Q2Way.Exq
        3          14   CodeFileSet.dtor
        3          13   Library.EraseVar
        3           1   LibrarySet.ctor
        3           0   CodeFileSet.ctor
        3           0   CodeSet.ctor
        3           0   LibraryItem.ctor
        2        1365   SysFile.CreateIstream
        2          53   CliThread.OpenInputFile
        2          53   CliThread.Report1
        2          27   CliParm.GetString
        2          25   CliCommand.GetTextParmRc
        2          22   LibrarySet.TemporaryName
        2          20   Interpreter.HandleToken
        2          18   CliCommand.GetStringRc
        2          18   CliTextParm.GetStringRc
        2          17   CliThread.ReadCommands
        2          15   CliIntParm.GetIntParmRc
        2          14   CliThread.Report
        2          13   CliBuffer.GetInt
        2          12   CliTextParm.Descend
        2          12   CliTextParm.GetTextParmRc
        2          11   CliCommand.GetIntParmRc
        2          11   CliParm.GetIntParm
        2          11   Registry.Empty
        2          10   CliParm.GetTextIndex
        1        3381   CodeTools.GetFileName
        1        1039   NtTestData.Access
        1         447   CodeFileSet.List
        1          24   TestcaseCommand.ProcessCommand
        1          21   Library.FindDir
        1          20   SysHeap.Free
        1          15   CodeSet.Assign
        1          15   Interpreter.ApplyOperator
        1          15   Interpreter.dtor
        1          15   ReadCommand.ProcessCommand
        1          14   LibraryOpcode.ctor
        1          10   IfCommand.ProcessCommand
        1          10   Library.Evaluate
        1          10   TestcaseCommand.ProcessSubcommand
        1           9   CliBuffer.GetSymbol
        1           8   Interpreter.Evaluate
        1           8   Library.FindFile
        1           8   Library.FindVar
        1           7   CodeFileSet.UsedBy
        1           7   Library.EnsureVar
        1           7   LibraryCommand.Evaluate
        1           7   LibraryOpcode.CheckArgType
        1           7   LibraryOpcode.Execute
        1           6   CliBuffer.PutLine
        1           6   CliBuffer.Read
        1           6   Interpreter.CheckExpr
        1           6   ListCommand.ProcessCommand
        1           6   SysHeap.Alloc
        1           5   LibraryOpcode.dtor
        1           5   Memory.Alloc
        1           5   Memory.Free
        1           5   Object.operator delete
        1           5   Temporary.operator new
        1           4   DelayCommand.ProcessCommand
        1           1   C++.delete
        1           0   Interpreter.ctor
        1           0   Temporary.ctor

Total functions: 131
