FUNCTION PROFILE: May-25-2022 18:06:47.410 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
  4010317           0   CodeFile.GetUsingFor
  3162298           0   CxxToken.SetContext(pos)
  3096648           0   DataSpec.IsConst
  2954839           0   Lexer.NextCharIs
  2945407           0   DataSpec.Ptrs
  2799099           0   Base.operator new
  2788835           0   LibraryItem.ctor
  2782788           0   CxxToken.ctor
  2777881           0   Lexer.NextIdentifier
  2466707           0   CxxScoped.NameRefersToItem
  2448489           0   TypeTags.ArrayCount
  2424319           0   DataSpec.IsVolatile
  2294419           0   CxxNamed.ctor
  2024747           0   DataSpec.Refs
  2012294           0   Lexer.NextStringIs
  1961654           0   QualName.Referent
  1855843           0   DataSpec.Arrays
  1855843           0   TypeTags.ctor(TypeSpec)
  1855565           0   CodeTools.RemoveTags
  1825043           0   Lexer.Advance(incr)
  1639813           0   CxxToken.Root
  1552029           0   StackArg.Ptrs
  1513285           0   CodeTools.CompareScopes
  1492420           0   Function.CalcConstructibilty
  1407405           0   CxxSymbols.FindSymbols
  1406067           0   CxxSymbols.FindSymbol
  1393723           0   TypeName.SetReferent
  1307862           0   CodeTools.NameCouldReferTo
  1283016           0   LibraryItem.dtor
  1283008           0   CxxToken.dtor
  1258700           0   CxxNamed.dtor
  1253936           0   CodeFile.ItemDeleted
  1181691           0   CodeTools.RemoveConsts
  1142023           0   Lexer.NextKeyword
  1058568           0   StackArg.ctor(ptrs)
  1021243           0   TypeName.ItemIsTemplateArg
  1016530           0   QualName.SetReferentN
  1009276           0   Using.Referent
  1008361           0   Using.IsUsingFor
   981322           0   Lexer.GetName
   882306           0   Class.FindFriend
   835665           0   TypeName.ctor
   814780           0   DataSpec.IsConstPtr
   789968           0   Parser.GetTypeName
   777432           0   CxxToken.ReferentDefn
   769458           0   CxxNamed.ResolveName
   760403           0   Lexer.GetIndirectionLevel
   739285           0   DataSpec.ResultType
   737324           0   TypeName.FindReferent
   709898           0   Lexer.GetCVTags
   699685           0   StackArg.MatchWith
   699014           0   StackArg.CalcMatchWith
   693470           0   CodeTools.RemoveRatioParms
   691680           0   CxxSymbols.ListMacros
   691221           0   TypeName.SetUserType
   690733           0   CxxScope.ScopeDistance
   674483           0   StackArg.NumericType
   655252           0   DataSpec.SetUserType
   639645           0   CxxScope.NameToTemplateParm
   639035           0   DataSpec.ItemIsTemplateArg
   639035           0   QualName.ItemIsTemplateArg
   638673           0   Lexer.FindIdentifier
   635083           0   Class.ClassDistance
   631617           0   Lexer.NextOperator
   626531           0   CxxScoped.AccessibilityTo
   626274           0   ParseFrame.FindLocal
   619099           0   Parser.GetQualName
   611356           0   DataSpec.FindReferent
   611356           0   DataSpec.ResolveTemplateArg
   610382           0   QualName.SetContext
   584684           0   QualName.ctor(name)
   547696           0   TemplateArg.ItemIsTemplateArg
   522507           0   Class.AccessibilityOf
   520409           0   Lexer.CurrChar
   516000           0   Parser.CheckType
   504664           0   Context.ScopeVisibility
   488500           0   Forward.Referent
   483637           0   CxxScoped.RecordAccess
   471344           0   TypeTags.SetPointer
   454719           0   ParseFrame.PushArg
   446042           0   CodeTools.AdjustPtrs
   445613           0   DataSpec.IsConstPtr(size_t)
   445613           0   DataSpec.IsVolatilePtr(size_t)
   439588           0   TypeName.dtor
   436888           0   Parser.Backup(cause)
   434055           0   DataSpec.IsAuto
   397792           0   TypeTags.ctor
   397656           0   TypeSpec.ctor
   396733           0   Parser.GetTypeSpec
   393221           0   Expression.AddItem
   392938           0   CodeTools.ItemAccessed
   383149           0   Cxx.GetType
   381624           0   Lexer.Reposition
   375167           0   QualName.SetReferent
   374505           0   CxxToken.FindTemplateAnalog
   372868           0   Lexer.FindClosing
   369892           0   ParseFrame.TopOp
   368566           0   Parser.GetTypeTags
   368388           0   DataSpec.ctor
   368388           0   Parser.GetFuncSpec
   343748           0   Numeric.CalcMatchWith
   336507           0   DataSpec.SetTemplateRole
   336368           0   CxxScoped.FileScopeAccessiblity
   334061           0   StackArg.WasRead
   313012           0   Friend.Referent
   312197           0   CxxScoped.IsSuperscopeOf
   310855           0   QualName.dtor
   297355           0   Function.NameRefersToItem
   290009           0   CodeTools.FoundFunc(CxxScope)
   290009           0   Function.CanInvokeWith
   280808           0   ParseFrame.PopOp
   280808           0   ParseFrame.PushOp
   277501           0   Lexer.Retreat
   275679           0   DataSpec.dtor
   270388           0   CodeTools.FoundFunc(CxxArea)
   270388           0   CxxArea.FindFunc
   264752           0   DataSpec.SetReferent
   264626           0   Namespace.AccessibilityOf
   250583           0   TemplateArg.ctor(type)
   249307           0   Parser.GetTemplateArg
   245519           0   Parser.Backup(pos, cause)
   243112           0   Lexer.FindFirstOf
   240642           0   CodeTools.MemberIsAccessibleTo
   238926           0   Function.MinArgs
   238320           0   StackArg.MatchConst
   237599           0   Operation.AddArg
   235173           0   ParseFrame.PopArg
   230662           0   TemplateArg.dtor
   229266           0   ParseFrame.TopArg
   228908           0   Lexer.GetChar
   213792           0   ParseFrame.Execute
   203464           0   Class.GetConvertibleTypes
   195329           0   DataSpec.GetNumeric
   192727           0   CxxScoped.IsSubscopeOf
   191452           0   ParseFrame.PushScope
   189220           0   Expression.ctor
   185072           0   Parser.GetCxxAlpha
   183699           0   ParseFrame.PopArg(arg)
   183039           0   Parser.NextKeyword
   182890           0   TypeName.AddTemplateArg
   182357           0   QualName.EnterBlock
   182357           0   StackArg.ctor(name)
   180243           0   CxxNamed.Accessed
   174490           0   Function.ItemAccessed
   174362           0   QualName.PushBack
   174080           0   Class.DerivesFrom(class)
   172041           0   Parser.GetCxxExpr
   170426           0   Lexer.SkipStrLiteral
   166324           0   Parser.NextKeywordIs
   166289           0   Cxx.GetReserved
   166155           0   Expression.EnterBlock
   162350           0   CxxToken.CopyContext
   162329           0   Class.FindFunc
   159045           0   Class.AccessibilityTo
   155247           0   CodeTools.CheckIfTemplateArgument
   154979           0   Operation.ctor
   154928           0   Terminal.IsAuto
   153204           0   ClassInst.Instantiate
   153149           0   TemplateArg.FindReferent
   152434           0   CxxNamed.NameToArg
   151728           0   Lexer.GetCxxOp
   151728           0   Parser.GetOp
   151528           0   StackArg.AssignedTo
   150491           0   Operation.EnterBlock
   150331           0   CxxScoped.ctor
   149045           0   ParseFrame.PopScope
   148487           0   Operation.Execute
