FUNCTION PROFILE: 2-Mar-2021 09:35:49.669 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      118           0   CliBuffer.CalcType
       88           0   SysThread.Interrupt
       88           0   SysThread.Resume
       88           0   Thread.Interrupt
       79           0   MutexGuard.Release
       79           0   MutexGuard.ctor
       79           0   MutexGuard.dtor
       79           0   SysMutex.Acquire
       79           0   SysMutex.Release
       44           0   MsgBuffer.ctor
       44           0   MsgBuffer.operator new
       44           0   ObjectPool.DeqBlock
       44           0   Pooled.ctor
       44           0   Q1Way.Deq
       44           0   Q1Way.Enq
       44           0   Q1Way.Size
       44           0   StreamRequest.ctor
       44           0   Thread.EnqMsg
       31           0   FileRequest.ctor
       31           0   FileThread.Spool(written)
       26           0   FileThread.Spool(string)
       23           0   CliBuffer.FindNextNonBlank
       23           0   SysThread.Suspend
       22           0   SysThread.Wait
       22           0   Thread.EnterBlockingOperation
       22           0   Thread.ExitBlockingOperation
       22           0   Thread.InitialTime
       22           0   Thread.LogContextSwitch
       22           0   Thread.Ready
       22           0   Thread.Resume
       22           0   Thread.Schedule
       22           0   Thread.Suspend
       22           0   ThreadAdmin.WarpFactor
       18           0   CliIncrement.FindCommand
       17           0   CodeDir.CppCount
       17           0   CodeDir.HeaderCount
       15           0   CliBuffer.GetStr
       14           0   CliBuffer.GetNextInput
       13           0   CoutThread.Spool(stream)
       13           0   FileThread.Record
        8           0   CliCookie.Advance
        8           0   CliText.AccessParm
        8           0   CliThread.Flush
        8           0   Registry.Size
        8           0   SymbolRegistry.FindSymbol
        7           0   CliBuffer.GetInput
        7           0   CliBuffer.GetLine
        7           0   CliBuffer.ScanLine
        7           0   CliCookie.Initialize
        7           0   CliStack.FindCommand
        7           0   CliStack.FindCommand(incr)
        7           0   CliStack.Top
        7           0   CliThread.EndOfInput
        7           0   CliThread.InvokeCommand
        7           0   CliThread.ParseCommand
        7           0   CliThread.SetResult
        7           0   CoutThread.Spool(string)
        7           0   Symbol.SetValue
        7           0   SymbolRegistry.EnsureSymbol
        5           0   FileThread.Spool(stream)
        3           0   CliBuffer.GetInt
        3           0   CliCommand.GetIntParmRc
        3           0   CliCommand.GetTextParmRc
        3           0   CliIntParm.GetIntParmRc
        3           0   CliParm.GetIntParm
        3           0   CliParm.GetTextIndex
        3           0   CliTextParm.Descend
        3           0   CliTextParm.GetTextParmRc
        3           0   CliThread.Report
        3           0   CliThread.Report1
        3           0   FunctionGuard.ctor
        3           0   Registry.Empty
        3           0   Thread.MakePreemptable
        2           0   CliBuffer.OpenInputFile
        2           0   CliCommand.GetStringRc
        2           0   CliParm.GetString
        2           0   CliTextParm.GetStringRc
        2           0   ReadCommand.ProcessCommand
        1           0   CliAppData.EventOccurred
        1           0   CliBuffer.GetSymbol
        1           0   CliBuffer.PutLine
        1           0   CliBuffer.Read
        1           0   CliThread.Execute
        1           0   CliThread.GetAppData
        1           0   CliThread.Notify
        1           0   DelayCommand.ProcessCommand
        1           0   IfCommand.ProcessCommand
        1           0   NtTestData.Access
        1           0   NtTestData.Conclude
        1           0   ShowCommand.ProcessCommand
        1           0   StopCommand.ProcessCommand
        1           0   SysThread.Delay
        1           0   TestDatabase.SetState
        1           0   TestsCommand.ProcessCommand
        1           0   TestsCommand.ProcessSubcommand
        1           0   TraceBuffer.SetTool
        1           0   TraceBuffer.StopTracing

Total functions: 97
