FUNCTION PROFILE: 2-Aug-2019 10:16:55.983 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
    10625      325995   CodeTools.SetDifference(-=)
      135         818   Thread.RunningThread
      111         690   CliBuffer.CalcType
       39         386   SysThread.Interrupt
       39          24   Object.ctor
       38        1132   Base.ctor
       38         626   FunctionGuard.dtor
       38         230   Thread.Interrupt
       38         213   Q1Way.Size
       38         200   Thread.MakePreemptable
       38         177   Thread.EnqMsg
       38         126   Q1Way.Enq
       38          17   MsgBuffer.ctor
       38           0   StreamRequest.ctor
       37           3   Pooled.ctor
       34         475   FunctionGuard.ctor
       34         204   Alarm.Create
       34         154   ObjectPool.UpdateAlarm
       34         150   Thread.MakeUnpreemptable
       33         195   MsgBuffer.operator new
       33         172   ObjectPool.DeqBlock
       33         149   Q1Way.Deq
       26           0   FileRequest.ctor
       25         187   FileThread.Spool(written)
       24        2080   SysMutex.Release
       24          81   Thread.Pause
       21         290   SysMutex.Acquire
       21         111   CliBuffer.FindNextNonBlank
       20         242   FileThread.Spool(string)
       17         174   CliIncrement.FindCommand
       15         103   Thread.ExitBlockingOperation
       15          69   Thread.Unlock
       14         121   Thread.LogContextSwitch
       14          86   Thread.EnterBlockingOperation
       13        1552   CliBuffer.GetLine
       13         179   CliThread.Flush
       13         156   Thread.ResumeLocked
       13          97   CliBuffer.GetStr
       12         100   Thread.InitialMsecs
       12          57   CliStack.FindCommand
       12           0   ThreadAdmin.WarpFactor
       11         207   MutexGuard.ctor
       11          58   FileThread.Record
       10          58   MutexGuard.dtor
        9         110   CoutThread.Spool(stream)
        8          32   LibrarySet.Release
        7        8874   Registry.Size
        7         106   CoutThread.Spool(string)
        7          70   CliStack.Top
        7          56   CliCookie.Initialize
        7          46   CliThread.InvokeCommand
        6          95   SymbolRegistry.FindSymbol
        6          66   CliThread.ParseCommand
        6          62   CliBuffer.Echo
        6          47   CliThread.EndOfInput
        6          37   CliBuffer.ScanLine
        6          33   CliText.AccessParm
        5          48   CliCookie.Advance
        5          34   CliThread.SetResult
        5          25   SymbolRegistry.EnsureSymbol
        5          23   Symbol.SetValue
        4          19   FileThread.Spool(stream)
        3          37   CliIntParm.GetIntParmRc
        3          16   CliCommand.GetIntParmRc
        3          15   CliParm.GetIntParm
        2        1313   SysFile.CreateIstream
        2          66   CliThread.OpenInputFile
        2          65   Interpreter.SkipBlanks
        2          47   SysSocket.SetBlocking
        2          29   CliThread.Report1
        2          22   SysIpL2Addr.dtor
        2          20   ReadCommand.ProcessCommand
        2          19   CliTextParm.GetStringRc
        2          18   CliThread.ReadCommands
        2          17   CliCommand.GetStringRc
        2          15   CliParm.GetString
        2          11   CliBuffer.GetInt
        2          10   CliBuffer.Read
        2          10   CliTextParm.GetTextParmRc
        2           8   CliThread.Report
        2           7   CliTextParm.Descend
        2           7   Registry.Empty
        1        5866   CodeFileSet.SortInBuildOrder
        1          36   SysTcpSocket.Accept
        1          30   CliThread.Execute
        1          28   CliBuffer.GetSymbol
        1          28   Library.Evaluate
        1          27   Interpreter.dtor
        1          26   Memory.Alloc
        1          21   IpPort.RecvsInSequence
        1          21   SysHeap.Alloc
        1          18   SysHeap.Free
        1          16   NtTestData.Conclude
        1          16   SysSocket.SetError
        1          15   CodeFileSet.Sort
        1          12   CliBuffer.PutLine
        1          12   TcpIoThread.PollSockets
        1          11   IpPortRegistry.HostAddress
        1          11   SysIpL2Addr.operator=(copy)
        1          11   SysIpL3Addr.dtor
        1          10   SysIpL2Addr.IsValid
        1          10   TcpIoThread.AcceptConn
        1           9   Interpreter.GetToken
        1           8   Temporary.operator new
        1           7   DelayCommand.ProcessCommand
        1           7   LibraryCommand.Evaluate
        1           7   Memory.Free
        1           7   Object.operator delete
        1           6   CliCommand.GetTextParmRc
        1           6   IfCommand.ProcessCommand
        1           6   TestcaseCommand.ProcessCommand
        1           6   TestcaseCommand.ProcessSubcommand
        1           5   CliParm.GetTextIndex
        1           5   NtTestData.Access
        1           5   SortCommand.ProcessCommand
        1           5   StopCommand.ProcessCommand
        1           4   TraceBuffer.StopTracing
        1           1   C++.delete
        1           1   TcpIoThread.Enter
        1           0   SysIpL2Addr.ctor
        1           0   SysIpL2Addr.ctor(copy)
        1           0   SysIpL3Addr.ctor
        1           0   TraceBuffer.SetTool

Total functions: 123
