FUNCTION PROFILE: 3-Jun-2018 12:17:00.770 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
  2023259           0   Class.ClassDistance
  2023259           0   Class.DerivesFrom(class)
   154143           0   TypeName.GetUsages
   113219           0   Namespace.ScopedName
   103380           0   QualName.GetUsages
    95427           0   Expression.GetUsages
    92089           0   CxxNamed.ScopedName
    85865           0   Operation.GetUsages
    57849           0   Using.Referent
    57468           0   CodeTools.CompareScopes
    55226           0   Using.IsUsingFor
    41819           0   DataSpec.Referent
    39860           0   DataSpec.GetUsages
    35026           0   DataSpec.DirectType
    27135           0   Function.FindRootFunc
    22013           0   CodeFile.GetUsingFor
    22013           0   CodeTools.NameCouldReferTo
    21262           0   CodeFile.FindOrAddUsing
    18862           0   Expr.GetUsages
    18721           0   CodeTools.SetDifference(-=)
    15713           0   Block.GetUsages
    15392           0   DataSpec.PtrCount
    14490           0   Data.GetUsages
    13598           0   Function.GetUsages
    12513           0   Typedef.Referent
    11960           0   Argument.GetUsages
     8010           0   DataSpec.IsUsedInNameOnly
     8010           0   DataSpec.Ptrs
     7399           0   Condition.GetUsages
     6999           0   Return.GetUsages
     6916           0   DataSpec.Refs
     6408           0   FuncData.GetUsages
     6298           0   If.GetUsages
     5939           0   ClassInst.FindTemplateAnalog
     5591           0   Class.GetFuncIndex
     5115           0   Forward.Referent
     3742           0   Base.ctor
     3742           0   Object.ctor
     3719           0   LibrarySet.Release
     3712           0   Memory.Free
     3712           0   Object.operator delete
     3712           0   SysHeap.Free
     3711           0   CodeFileSet.dtor
     3711           0   CodeSet.dtor
     3711           0   Library.EraseVar
     3711           0   LibraryItem.dtor
     3711           0   LibrarySet.dtor
     3711           0   Memory.Alloc
     3711           0   Q2Way.Exq
     3711           0   SysHeap.Alloc
     3711           0   Temporary.ctor
     3711           0   Temporary.operator new
     3710           0   CodeFileSet.ctor
     3710           0   CodeSet.ctor
     3710           0   Library.AddVar
     3710           0   LibraryItem.ctor
     3710           0   LibrarySet.TemporaryName
     3710           0   LibrarySet.ctor
     3710           0   Q2Way.Enq
     3055           0   CodeFileSet.UsedBy
     2963           0   Enumerator.ScopedName
     2279           0   ClassData.GetUsages
     2242           0   CxxScoped.IsSuperscopeOf
     1631           0   Precedence.GetUsages
     1566           0   Case.GetUsages
     1441           0   Class.GetUsages
     1370           0   BaseDecl.GetUsages
     1308           0   CodeFile.EraseInternals
     1308           0   CodeTools.SetDifference(-)
     1062           0   MemberInit.GetUsages
     1049           0   Forward.ScopedName
      998           0   CodeTools.SetUnion(|=)
      920           0   For.GetUsages
      809           0   Friend.Referent
      808           0   ClassInst.DerivesFrom
      751           0   Enumerator.GetScopedNames
      749           0   Parser.Parse
