FUNCTION PROFILE: 2-Aug-2019 09:52:32.631 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      147        1284   Thread.RunningThread
      108         844   CliBuffer.CalcType
       52        1732   Base.ctor
       45          25   Object.ctor
       42         321   Q1Way.Size
       42         303   Thread.Interrupt
       42         264   Thread.EnqMsg
       42         196   Q1Way.Enq
       42           2   StreamRequest.ctor
       42           0   MsgBuffer.ctor
       42           0   Pooled.ctor
       41        1035   FunctionGuard.dtor
       41         490   SysThread.Interrupt
       41         320   Alarm.Create
       41         221   Thread.MakePreemptable
       39         184   ObjectPool.UpdateAlarm
       38         656   FunctionGuard.ctor
       38         305   Thread.MakeUnpreemptable
       38         256   Q1Way.Deq
       38         249   MsgBuffer.operator new
       38         212   ObjectPool.DeqBlock
       30           0   FileRequest.ctor
       28        1244   SysMutex.Release
       27         278   FileThread.Spool(written)
       24        6965   Thread.Pause
       23         337   FileThread.Spool(string)
       20         192   CliBuffer.FindNextNonBlank
       19         189   SysMutex.Acquire
       18         274   CliIncrement.FindCommand
       15         394   LibrarySet.Release
       15         146   Thread.LogContextSwitch
       15         112   Thread.ExitBlockingOperation
       15         104   Thread.EnterBlockingOperation
       15          78   Thread.Unlock
       14         159   CliBuffer.GetStr
       14         105   CliStack.FindCommand
       13          77   MutexGuard.dtor
       12         847   CliBuffer.GetLine
       12         235   CliThread.Flush
       12         153   CoutThread.Spool(stream)
       12         117   Thread.ResumeLocked
       12          95   MutexGuard.ctor
       12          49   FileThread.Record
       10           0   ThreadAdmin.WarpFactor
        8        1536   Q2Way.Enq
        8         141   CodeSet.dtor
        8          50   Thread.InitialMsecs
        8          47   LibrarySet.dtor
        8          39   LibraryItem.dtor
        8          24   Library.EraseVar
        8          24   Q2Way.Exq
        8          23   CodeFileSet.dtor
        8          21   Library.AddVar
        8           3   LibrarySet.ctor
        8           0   CodeFileSet.ctor
        8           0   CodeSet.ctor
        8           0   LibraryItem.ctor
        7          97   SymbolRegistry.FindSymbol
        7          50   CliCookie.Initialize
        7          47   Registry.Size
        7          42   CliText.AccessParm
        7          42   LibrarySet.TemporaryName
        7          40   CliThread.InvokeCommand
        6         205   CliThread.ParseCommand
        6          90   CliStack.Top
        6          80   CoutThread.Spool(string)
        6          55   CliBuffer.ScanLine
        6          32   Symbol.SetValue
        6          28   SymbolRegistry.EnsureSymbol
        6          26   CodeFileSet.Users
        5          57   CliBuffer.Echo
        5          46   CliThread.SetResult
        5          44   CliCookie.Advance
        5          33   CliThread.EndOfInput
        4         120   Interpreter.SkipBlanks
        4          22   FileThread.Spool(stream)
        3         116   CliThread.Report1
        3          31   CliIntParm.GetIntParmRc
        3          24   CliCommand.GetIntParmRc
        3          22   CliParm.GetIntParm
        3          19   Interpreter.GetToken
        3          14   CliThread.Report
        2        1645   SysFile.CreateIstream
        2          56   CliThread.OpenInputFile
        2          41   CliTextParm.GetTextParmRc
        2          28   Interpreter.HandleToken
        2          27   SysSocket.SetBlocking
        2          23   CliTextParm.Descend
        2          19   CliParm.GetTextIndex
        2          17   CliBuffer.GetInt
        2          17   ReadCommand.ProcessCommand
        2          16   CliCommand.GetTextParmRc
        2          14   CliCommand.GetStringRc
        2          14   CliTextParm.GetStringRc
        2          13   SysIpL2Addr.dtor
        2          12   CliParm.GetString
        1        4346   CodeTools.GetFileName
        1         909   NtTestData.Conclude
        1         493   CodeFileSet.Show
        1          24   Interpreter.Evaluate
        1          20   SysTcpSocket.Accept
        1          14   Library.Evaluate
        1          13   Interpreter.dtor
        1          13   Library.FindDir
        1          12   CliBuffer.GetSymbol
        1          12   CliThread.ReadCommands
        1          11   CliBuffer.Read
        1          10   Library.FindFile
        1          10   SysSocket.SetError
        1           9   Interpreter.CheckExpr
        1           9   Library.EnsureVar
        1           9   Library.FindVar
        1           9   SysHeap.Alloc
        1           8   CliBuffer.PutLine
        1           8   IfCommand.ProcessCommand
        1           8   Interpreter.ApplyOperator
        1           8   IpPort.RecvsInSequence
        1           8   LibraryOpcode.ctor
        1           8   Memory.Alloc
        1           8   Registry.Empty
        1           8   TcpIoThread.PollSockets
        1           7   CodeFileSet.AffectedBy
        1           7   CodeSet.Assign
        1           7   IpPortRegistry.HostAddress
        1           7   SysHeap.Free
        1           7   TcpIoThread.AcceptConn
        1           7   Temporary.operator new
        1           7   TestcaseCommand.ProcessCommand
        1           6   DelayCommand.ProcessCommand
        1           6   LibraryOpcode.Execute
        1           6   SysIpL2Addr.operator=(copy)
        1           6   SysIpL3Addr.dtor
        1           5   LibrarySet.Shown
        1           5   StopCommand.ProcessCommand
        1           5   SysIpL2Addr.IsValid
        1           4   Memory.Free
        1           3   LibraryOpcode.CheckArgType
        1           3   LibraryOpcode.dtor
        1           3   Object.operator delete
        1           3   TraceBuffer.StopTracing
        1           1   C++.delete
        1           1   TcpIoThread.Enter
        1           0   Interpreter.ctor
        1           0   SysIpL2Addr.ctor
        1           0   SysIpL2Addr.ctor(copy)
        1           0   SysIpL3Addr.ctor
        1           0   Temporary.ctor
        1           0   TraceBuffer.SetTool

Total functions: 148
