FUNCTION PROFILE: 2-Aug-2019 09:52:33.732 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      141         790   Thread.RunningThread
       99        1145   CliBuffer.CalcType
       59        1228   Base.ctor
       39           0   Object.ctor
       38         642   FunctionGuard.dtor
       38         179   Thread.MakePreemptable
       37         463   FunctionGuard.ctor
       37         248   MsgBuffer.operator new
       37         200   Q1Way.Deq
       37         184   ObjectPool.UpdateAlarm
       37         155   ObjectPool.DeqBlock
       37         155   Thread.MakeUnpreemptable
       37          12   StreamRequest.ctor
       36         238   Thread.Interrupt
       36         194   Thread.EnqMsg
       36         161   Alarm.Create
       36         149   Q1Way.Size
       36           0   MsgBuffer.ctor
       36           0   Pooled.ctor
       35         279   SysThread.Interrupt
       35         115   Q1Way.Enq
       28         278   FileThread.Spool(written)
       28           0   FileRequest.ctor
       27         884   LibrarySet.Release
       26        1959   SysMutex.Release
       24         104   Thread.Pause
       22         252   FileThread.Spool(string)
       22         207   SysMutex.Acquire
       20        5516   Q2Way.Enq
       20         389   CodeSet.dtor
       20          86   LibraryItem.dtor
       20          75   LibrarySet.dtor
       20          70   Library.EraseVar
       20          66   Library.AddVar
       20          60   Q2Way.Exq
       20          59   CodeFileSet.dtor
       20           7   LibrarySet.ctor
       20           0   CodeFileSet.ctor
       20           0   CodeSet.ctor
       20           0   LibraryItem.ctor
       19         120   CliBuffer.FindNextNonBlank
       18         103   LibrarySet.TemporaryName
       15         147   CliIncrement.FindCommand
       15         132   Thread.LogContextSwitch
       15          91   Thread.ExitBlockingOperation
       15          82   Thread.Unlock
       15          68   Thread.EnterBlockingOperation
       13        1622   CliBuffer.GetLine
       13         130   CliBuffer.GetStr
       12         163   CoutThread.Spool(stream)
       12         113   CliThread.Flush
       12          96   MutexGuard.ctor
       12          89   Thread.ResumeLocked
       12          61   MutexGuard.dtor
       12          40   FileThread.Record
       12           0   ThreadAdmin.WarpFactor
       11          85   Thread.InitialMsecs
       10          48   CliStack.FindCommand
        8          34   CodeFileSet.UsedBy
        7         120   SymbolRegistry.FindSymbol
        7          75   Interpreter.SkipBlanks
        7          54   CliText.AccessParm
        7          53   CliStack.Top
        7          47   Registry.Size
        6         136   CliBuffer.Echo
        6          96   CoutThread.Spool(string)
        6          52   Symbol.SetValue
        6          49   CliCookie.Initialize
        6          45   CliThread.SetResult
        6          43   CliThread.InvokeCommand
        6          40   SymbolRegistry.EnsureSymbol
        6          27   CodeFileSet.Users
        6          22   Interpreter.GetToken
        5          56   CliCookie.Advance
        5          35   CliThread.ParseCommand
        5          27   CliBuffer.ScanLine
        5          27   Interpreter.HandleToken
        5          24   CliThread.EndOfInput
        4          71   CliThread.Report1
        4          22   CliThread.Report
        4          21   FileThread.Spool(stream)
        4          13   LibraryOpcode.CheckArgType
        3          43   CliCommand.GetIntParmRc
        3          34   CliParm.GetIntParm
        3          29   CliBuffer.GetInt
        3          26   CliIntParm.GetIntParmRc
        3          19   CodeSet.Assign
        3          16   LibraryOpcode.ctor
        3          14   LibraryOpcode.Execute
        3          11   LibraryOpcode.dtor
        2        5738   CodeTools.GetFileName
        2        1315   SysFile.CreateIstream
        2          44   CliTextParm.GetTextParmRc
        2          26   Library.FindVar
        2          24   CliTextParm.GetStringRc
        2          20   CliParm.GetString
        2          17   SysSocket.SetBlocking
        2          16   Interpreter.ApplyOperator
        2          16   Library.FindDir
        2          15   CliCommand.GetStringRc
        2          12   CliThread.ReadCommands
        2          11   Library.FindFile
        2          10   Library.EnsureVar
        2           9   CliParm.GetTextIndex
        2           8   CliBuffer.Read
        2           8   CliCommand.GetTextParmRc
        2           6   SysIpL2Addr.dtor
        1          51   CodeTools.SetIntersection(&)
        1          28   CodeFileSet.Show
        1          28   CodeSet.Intersection
        1          27   CliThread.OpenInputFile
        1          17   SysIpL2Addr.operator=(copy)
        1          15   ReadCommand.ProcessCommand
        1          13   CliBuffer.GetSymbol
        1          13   SysTcpSocket.Accept
        1          11   IfCommand.ProcessCommand
        1          11   Interpreter.dtor
        1          10   Interpreter.Evaluate
        1           9   CodeFileSet.Affecters
        1           9   DelayCommand.ProcessCommand
        1           8   CodeFileSet.AffectedBy
        1           8   Library.Evaluate
        1           6   SysHeap.Free
        1           6   TcpIoThread.AcceptConn
        1           5   LibraryCommand.Evaluate
        1           5   SysSocket.SetError
        1           4   CliTextParm.Descend
        1           4   IpPort.RecvsInSequence
        1           4   IpPortRegistry.HostAddress
        1           4   LibrarySet.Shown
        1           4   Memory.Alloc
        1           4   StopCommand.ProcessCommand
        1           4   SysHeap.Alloc
        1           4   TcpIoThread.PollSockets
        1           4   Temporary.operator new
        1           4   TypeCommand.ProcessCommand
        1           3   CodeFileSet.Create
        1           3   Interpreter.CheckExpr
        1           3   Memory.Free
        1           3   Object.operator delete
        1           3   Registry.Empty
        1           3   SysIpL2Addr.IsValid
        1           3   SysIpL3Addr.dtor
        1           3   TestcaseCommand.ProcessCommand
        1           3   TraceBuffer.StopTracing
        1           1   C++.delete
        1           0   Interpreter.ctor
        1           0   SysIpL2Addr.ctor
        1           0   SysIpL2Addr.ctor(copy)
        1           0   SysIpL3Addr.ctor
        1           0   TcpIoThread.Enter
        1           0   Temporary.ctor
        1           0   TraceBuffer.SetTool

Total functions: 153
