FUNCTION PROFILE: 2-Aug-2019 09:52:37.014 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      157        1045   Thread.RunningThread
      106         700   CliBuffer.CalcType
       49        1331   Base.ctor
       43         825   FunctionGuard.dtor
       43         249   Thread.MakePreemptable
       42         844   FunctionGuard.ctor
       42         475   SysThread.Interrupt
       42         311   Thread.MakeUnpreemptable
       42         268   Q1Way.Size
       42         239   Thread.Interrupt
       42         217   Thread.EnqMsg
       42         151   Q1Way.Enq
       41         300   Alarm.Create
       41         288   ObjectPool.DeqBlock
       41         249   Q1Way.Deq
       41         248   MsgBuffer.operator new
       41         165   ObjectPool.UpdateAlarm
       40          42   Pooled.ctor
       40          22   StreamRequest.ctor
       40           0   MsgBuffer.ctor
       40           0   Object.ctor
       29         231   FileThread.Spool(written)
       27     1001349   SysMutex.Release
       27           0   FileRequest.ctor
       25         439   FileThread.Spool(string)
       24         142   Thread.Pause
       21         223   SysMutex.Acquire
       19         115   CliBuffer.FindNextNonBlank
       18         284   CliIncrement.FindCommand
       16         431   LibrarySet.Release
       14         111   Thread.LogContextSwitch
       14         108   Thread.ExitBlockingOperation
       14          91   Thread.EnterBlockingOperation
       14          70   Thread.Unlock
       14          69   CliStack.FindCommand
       13        1086   CliBuffer.GetLine
       13         133   CliThread.Flush
       13          68   MutexGuard.dtor
       12         247   CoutThread.Spool(stream)
       12         107   CliBuffer.GetStr
       11          75   MutexGuard.ctor
       11          39   FileThread.Record
       10          86   Thread.InitialMsecs
       10          46   Thread.ResumeLocked
       10           0   ThreadAdmin.WarpFactor
        9        2001   Q2Way.Enq
        9         138   CodeSet.dtor
        9          63   Library.AddVar
        9          59   LibrarySet.dtor
        9          48   LibraryItem.dtor
        9          32   Q2Way.Exq
        9          28   Library.EraseVar
        9           4   LibrarySet.ctor
        9           0   CodeSet.ctor
        9           0   LibraryItem.ctor
        8          29   CodeFileSet.dtor
        8           0   CodeFileSet.ctor
        7         108   CliThread.ParseCommand
        7          93   CliBuffer.Echo
        7          85   CoutThread.Spool(string)
        7          83   CliCookie.Initialize
        7          74   LibrarySet.TemporaryName
        7          68   SymbolRegistry.FindSymbol
        7          62   CliBuffer.ScanLine
        7          49   CliStack.Top
        7          45   CliThread.InvokeCommand
        6          52   CliThread.SetResult
        6          42   SymbolRegistry.EnsureSymbol
        6          19   Symbol.SetValue
        5          57   Registry.Size
        5          37   CliText.AccessParm
        5          21   FileThread.Spool(stream)
        4         752   CliCookie.Advance
        4          63   CliThread.Report1
        4          60   Interpreter.HandleToken
        4          53   Interpreter.SkipBlanks
        4          42   CodeFileSet.Users
        4          25   CliThread.EndOfInput
        4          18   Interpreter.GetToken
        4          17   CliThread.Report
        3           9   LibraryOpcode.CheckArgType
        2          57   CliTextParm.Descend
        2          51   CliCommand.GetStringRc
        2          51   CliTextParm.GetStringRc
        2          45   CliThread.ReadCommands
        2          41   ReadCommand.ProcessCommand
        2          31   Library.FindDir
        2          23   CliParm.GetIntParm
        2          17   CliParm.GetString
        2          16   LibraryOpcode.ctor
        2          13   CodeSet.Assign
        2          13   Interpreter.ApplyOperator
        2          10   CliTextParm.GetTextParmRc
        2          10   Library.EnsureVar
        2          10   Library.FindVar
        2          10   LibraryOpcode.Execute
        2           9   CliBuffer.Read
        2           9   CliCommand.GetTextParmRc
        2           9   CliParm.GetTextIndex
        2           7   LibraryOpcode.dtor
        1        2473   CodeTools.GetFileName
        1         768   SysFile.CreateIstream
        1          56   CliThread.OpenInputFile
        1          31   CodeFileSet.FoundIn
        1          25   CliBuffer.PutLine
        1          24   CodeFileSet.AffectedBy
        1          22   Library.Evaluate
        1          21   DelayCommand.ProcessCommand
        1          18   CliBuffer.GetInt
        1          11   CodeFileSet.Show
        1          10   CliBuffer.GetSymbol
        1          10   Interpreter.dtor
        1           8   CliThread.Execute
        1           6   CliIntParm.GetIntParmRc
        1           6   Library.FindFile
        1           6   StopCommand.ProcessCommand
        1           6   SysHeap.Alloc
        1           6   SysHeap.Free
        1           6   Temporary.operator new
        1           6   TypeCommand.ProcessCommand
        1           5   TraceBuffer.StopTracing
        1           4   CliCommand.GetIntParmRc
        1           4   LibraryCommand.Evaluate
        1           4   LibrarySet.Shown
        1           4   Memory.Alloc
        1           4   TestcaseCommand.ProcessCommand
        1           3   CodeDirSet.dtor
        1           3   Memory.Free
        1           3   Object.operator delete
        1           1   C++.delete
        1           0   CodeDirSet.ctor
        1           0   Temporary.ctor
        1           0   TraceBuffer.SetTool

Total functions: 133
