FUNCTION PROFILE: 2-Aug-2019 09:52:38.105 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      144         806   Thread.RunningThread
       97         579   CliBuffer.CalcType
       45        1265   Base.ctor
       43           0   Object.ctor
       42         735   FunctionGuard.dtor
       42         232   Thread.MakePreemptable
       41         216   Thread.EnqMsg
       41         159   Q1Way.Enq
       40         347   SysThread.Interrupt
       40         301   Thread.Interrupt
       40         300   Alarm.Create
       40         176   Q1Way.Size
       39         227   Q1Way.Deq
       39         198   ObjectPool.DeqBlock
       39         135   ObjectPool.UpdateAlarm
       39         126   MsgBuffer.ctor
       39           2   StreamRequest.ctor
       39           0   Pooled.ctor
       38         193   MsgBuffer.operator new
       36         453   FunctionGuard.ctor
       36         149   Thread.MakeUnpreemptable
       27         798   SysMutex.Release
       27           0   FileRequest.ctor
       25         159   FileThread.Spool(written)
       24         417   FileThread.Spool(string)
       24         269   Thread.Pause
       21         151   CliBuffer.FindNextNonBlank
       18         198   CliIncrement.FindCommand
       17         187   SysMutex.Acquire
       15         270   Thread.ExitBlockingOperation
       15          56   Thread.Unlock
       14          97   Thread.LogContextSwitch
       14          85   CliStack.FindCommand
       14          59   Thread.EnterBlockingOperation
       13         932   CliBuffer.GetLine
       13         106   CliBuffer.GetStr
       12         180   MutexGuard.ctor
       12         156   CliThread.Flush
       12         149   CoutThread.Spool(stream)
       12          70   MutexGuard.dtor
       12          65   FileThread.Record
       10         117   LibrarySet.Release
        8          78   Thread.ResumeLocked
        7          74   CoutThread.Spool(string)
        7          65   CliThread.InvokeCommand
        7          64   CliStack.Top
        7          46   Registry.Size
        7          42   CliCookie.Initialize
        7          40   CliText.AccessParm
        6          65   SymbolRegistry.FindSymbol
        6          58   Thread.InitialMsecs
        6          56   CliCookie.Advance
        6          52   CliThread.ParseCommand
        6          44   CliBuffer.Echo
        6          37   CliBuffer.ScanLine
        6          26   CliThread.EndOfInput
        6           0   ThreadAdmin.WarpFactor
        5          34   CliThread.SetResult
        5          29   Symbol.SetValue
        5          25   SymbolRegistry.EnsureSymbol
        4         171   FileThread.Spool(stream)
        4          72   CliThread.Report1
        4          39   Interpreter.SkipBlanks
        4          30   CliThread.Report
        3          34   CliBuffer.GetInt
        3          28   CliIntParm.GetIntParmRc
        3          19   CliParm.GetIntParm
        3          18   CliCommand.GetIntParmRc
        3          10   Interpreter.GetToken
        2        1263   Q2Way.Enq
        2         730   CliTextParm.GetStringRc
        2          51   CliTextParm.GetTextParmRc
        2          33   CliThread.ReadCommands
        2          29   CliBuffer.Read
        2          24   CliCommand.GetStringRc
        2          23   Library.EraseVar
        2          18   CliParm.GetString
        2          17   CliCommand.GetTextParmRc
        2          16   SysSocket.SetBlocking
        2          14   CodeSet.dtor
        2          13   Interpreter.HandleToken
        2          13   LibrarySet.TemporaryName
        2           9   CliTextParm.Descend
        2           9   LibraryItem.dtor
        2           8   Registry.Empty
        2           8   SysIpL2Addr.dtor
        2           7   Q2Way.Exq
        2           6   Library.AddVar
        2           6   LibrarySet.dtor
        2           5   CodeDirSet.dtor
        2           1   LibrarySet.ctor
        2           0   CodeDirSet.ctor
        2           0   CodeSet.ctor
        2           0   LibraryItem.ctor
        1         868   SysFile.CreateIstream
        1          96   CodeDirSet.Show
        1          29   IfCommand.ProcessCommand
        1          21   Interpreter.Evaluate
        1          20   NtTestData.Conclude
        1          18   CliThread.OpenInputFile
        1          13   SysTcpSocket.Accept
        1          12   CodeSet.Assign
        1          12   ReadCommand.ProcessCommand
        1          10   CliBuffer.PutLine
        1          10   CliParm.GetTextIndex
        1          10   Interpreter.dtor
        1          10   Library.Evaluate
        1           9   CliBuffer.GetSymbol
        1           9   Library.FindVar
        1           8   Interpreter.ApplyOperator
        1           7   LibraryOpcode.ctor
        1           6   DelayCommand.ProcessCommand
        1           6   LibraryOpcode.Execute
        1           5   CliThread.Execute
        1           5   LibraryCommand.Evaluate
        1           5   NtTestData.Access
        1           5   StopCommand.ProcessCommand
        1           5   SysHeap.Free
        1           5   SysSocket.SetError
        1           5   TcpIoThread.AcceptConn
        1           5   TcpIoThread.PollSockets
        1           5   TestcaseCommand.ProcessSubcommand
        1           5   TypeCommand.ProcessCommand
        1           4   CodeFileSet.Directories
        1           4   IpPort.RecvsInSequence
        1           4   IpPortRegistry.HostAddress
        1           4   Library.EnsureVar
        1           4   LibraryOpcode.CheckArgType
        1           4   LibrarySet.Shown
        1           4   Memory.Alloc
        1           3   Interpreter.CheckExpr
        1           3   LibraryOpcode.dtor
        1           3   Memory.Free
        1           3   Object.operator delete
        1           3   SysHeap.Alloc
        1           3   SysIpL2Addr.IsValid
        1           3   SysIpL2Addr.operator=(copy)
        1           3   SysIpL3Addr.dtor
        1           3   Temporary.operator new
        1           3   TraceBuffer.StopTracing
        1           0   C++.delete
        1           0   Interpreter.ctor
        1           0   SysIpL2Addr.ctor
        1           0   SysIpL2Addr.ctor(copy)
        1           0   SysIpL3Addr.ctor
        1           0   TcpIoThread.Enter
        1           0   Temporary.ctor
        1           0   TraceBuffer.SetTool

Total functions: 148
