FUNCTION PROFILE: May-25-2022 18:06:46.359 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      113           0   CliBuffer.CalcType
       94           0   Gate.Notify
       94           0   SysThread.Interrupt
       94           0   Thread.Interrupt
       82           0   MutexGuard.Release
       82           0   MutexGuard.ctor
       82           0   MutexGuard.dtor
       82           0   SysMutex.Acquire
       82           0   SysMutex.Release
       44           0   MsgBuffer.ctor
       44           0   MsgBuffer.operator new
       44           0   ObjectPool.DeqBlock
       44           0   Pooled.ctor
       44           0   Q1Way.Deq
       44           0   Q1Way.Enq
       44           0   Q1Way.Size
       44           0   StreamRequest.ctor
       44           0   Thread.EnqMsg
       31           0   FileRequest.ctor
       31           0   FileThread.Spool(written)
       28           0   Gate.WaitFor
       28           0   SysThread.Suspend
       26           0   FileThread.Spool(string)
       25           0   SysThread.Wait
       25           0   Thread.EnterBlockingOperation
       25           0   Thread.ExitBlockingOperation
       25           0   Thread.InitialTime
       25           0   Thread.LogContextSwitch
       25           0   Thread.Ready
       25           0   Thread.Resume
       25           0   Thread.Schedule
       25           0   Thread.Suspend
       25           0   ThreadAdmin.WarpFactor
       23           0   CliBuffer.FindNextNonBlank
       18           0   CliIncrement.FindCommand
       14           0   CliBuffer.GetNextInput
       14           0   CliBuffer.GetStr
       13           0   CoutThread.Spool(stream)
       13           0   FileThread.Record
       10           0   Interpreter.SkipBlanks
        9           0   Base.operator new
        9           0   Interpreter.GetToken
        8           0   CliThread.Flush
        8           0   CodeSet.ctor
        8           0   Interpreter.HandleToken
        8           0   Library.AddVar
        8           0   LibraryItem.ctor
        8           0   LibrarySet.TemporaryName
        8           0   LibrarySet.ctor
        8           0   SymbolRegistry.FindSymbol
        7           0   CliBuffer.GetInput
        7           0   CliBuffer.GetLine
        7           0   CliBuffer.ScanLine
        7           0   CliCookie.Advance
        7           0   CliCookie.Initialize
        7           0   CliStack.FindCommand
        7           0   CliStack.FindCommand(incr)
        7           0   CliStack.Top
        7           0   CliText.AccessParm
        7           0   CliThread.EndOfInput
        7           0   CliThread.InvokeCommand
        7           0   CliThread.ParseCommand
        7           0   CliThread.SetResult
        7           0   CoutThread.Spool(string)
        7           0   LibrarySet.Release
        7           0   Registry.Size
        7           0   Symbol.SetValue
        7           0   SymbolRegistry.EnsureSymbol
        5           0   FileThread.Spool(stream)
        5           0   LibraryOpcode.CheckArgType
        4           0   CliThread.Report
        4           0   CliThread.Report1
        4           0   CodeDirSet.ctor
        4           0   CodeFileSet.ctor
        4           0   FunctionGuard.ctor
        4           0   Interpreter.ApplyOperator
        4           0   Thread.MakePreemptable
        3           0   CliBuffer.GetInt
        3           0   CliCommand.GetIntParmRc
        3           0   CliIntParm.GetIntParmRc
        3           0   CliParm.GetIntParm
        3           0   CodeSet.Assign
        3           0   Library.EnsureVar
        3           0   Library.FindVar
        3           0   LibraryOpcode.Execute
        3           0   LibraryOpcode.ctor
        3           0   LibraryOpcode.dtor
        3           0   SysThread.Delay
        2           0   CliBuffer.OpenInputFile
        2           0   CliBuffer.Read
        2           0   CliCommand.GetStringRc
        2           0   CliCommand.GetTextParmRc
        2           0   CliParm.GetString
        2           0   CliParm.GetTextIndex
        2           0   CliTextParm.Descend
        2           0   CliTextParm.GetStringRc
        2           0   CliTextParm.GetTextParmRc
        2           0   Library.FindDir
        2           0   ReadCommand.ProcessCommand
        2           0   Registry.Empty
        1           0   CliAppData.EventOccurred
        1           0   CliBuffer.GetSymbol
        1           0   CliBuffer.PutLine
        1           0   CliThread.Execute
        1           0   CliThread.GetAppData
        1           0   CliThread.Notify
        1           0   CodeDirSet.Create
        1           0   CodeDirSet.Files
        1           0   CodeFileSet.Create
        1           0   CodeFileSet.to_str
        1           0   CodeSet.Difference
        1           0   CodeSet.Union
        1           0   CodeTools.SetDifference(-)
        1           0   CodeTools.SetUnion(|)
        1           0   CodeTools.Shown
        1           0   DeferredRegistry.RaiseTimeouts
        1           0   DelayCommand.ProcessCommand
        1           0   IfCommand.ProcessCommand
        1           0   Interpreter.CheckExpr
        1           0   Interpreter.Evaluate
        1           0   Interpreter.ctor
        1           0   Interpreter.dtor
        1           0   Library.Evaluate
        1           0   LibraryCommand.Evaluate
        1           0   LibrarySet.Show
        1           0   NtTestData.Access
        1           0   NtTestData.Conclude
        1           0   RecoveryThread.Enter
        1           0   StTestData.EventOccurred
        1           0   StopCommand.ProcessCommand
        1           0   TestDatabase.Commit
        1           0   TestDatabase.SetState
        1           0   TestsCommand.ProcessCommand
        1           0   TestsCommand.ProcessSubcommand
        1           0   Thread.CurrTimeRunning
        1           0   TraceBuffer.SetTool
        1           0   TraceBuffer.StopTracing
        1           0   TypeCommand.ProcessCommand

Total functions: 138
