FUNCTION PROFILE: Jun-13-2022 17:08:36.957 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
    10977           0   CodeTools.SetDifference(-=)
    10230           0   LibrarySet.Release
    10223           0   CodeFileSet.dtor
    10223           0   CodeSet.dtor
    10223           0   Library.EraseVar
    10223           0   LibraryItem.dtor
    10223           0   LibrarySet.dtor
      113           0   CliBuffer.CalcType
       91           0   Gate.Notify
       91           0   SysThread.Interrupt
       91           0   Thread.Interrupt
       81           0   Mutex.Acquire
       81           0   Mutex.Release
       81           0   MutexGuard.Release
       81           0   MutexGuard.ctor
       81           0   MutexGuard.dtor
       61           0   Base.operator new
       60           0   CodeFileSet.ctor
       60           0   CodeSet.ctor
       60           0   Library.AddVar
       60           0   LibraryItem.ctor
       60           0   LibrarySet.TemporaryName
       60           0   LibrarySet.ctor
       51           0   Class.AddFiles
       44           0   MsgBuffer.ctor
       44           0   MsgBuffer.operator new
       44           0   ObjectPool.DeqBlock
       44           0   Pooled.ctor
       44           0   Q1Way.Deq
       44           0   Q1Way.Enq
       44           0   Q1Way.Size
       44           0   StreamRequest.ctor
       44           0   Thread.EnqMsg
       43           0   CodeTools.SetUnion(|=)
       42           0   CodeFile.Implementers
       31           0   FileRequest.ctor
       31           0   FileThread.Spool(written)
       26           0   FileThread.Spool(string)
       26           0   Gate.WaitFor
       26           0   SysThread.Suspend
       24           0   SysThread.Wait
       24           0   Thread.EnterBlockingOperation
       24           0   Thread.ExitBlockingOperation
       24           0   Thread.InitialTime
       24           0   Thread.LogContextSwitch
       24           0   Thread.Ready
       24           0   Thread.Resume
       24           0   Thread.Schedule
       24           0   Thread.Suspend
       24           0   ThreadAdmin.WarpFactor
       23           0   CliBuffer.FindNextNonBlank
       18           0   CliIncrement.FindCommand
       14           0   CliBuffer.GetNextInput
       14           0   CliBuffer.GetStr
       13           0   CoutThread.Spool(stream)
       13           0   FileThread.Record
        9           0   CodeFileSet.UsedBy
        8           0   CliThread.Flush
        8           0   SymbolRegistry.FindSymbol
        7           0   CliBuffer.GetInput
        7           0   CliBuffer.GetLine
        7           0   CliBuffer.ScanLine
        7           0   CliCookie.Advance
        7           0   CliCookie.Initialize
        7           0   CliStack.FindCommand
        7           0   CliStack.FindCommand(incr)
        7           0   CliStack.Top
        7           0   CliText.AccessParm
        7           0   CliThread.EndOfInput
        7           0   CliThread.InvokeCommand
        7           0   CliThread.ParseCommand
        7           0   CliThread.SetResult
        7           0   CoutThread.Spool(string)
        7           0   Registry.Size
        7           0   Symbol.SetValue
        7           0   SymbolRegistry.EnsureSymbol
        5           0   FileThread.Spool(stream)
        5           0   Interpreter.SkipBlanks
        4           0   CliThread.Report
        4           0   CliThread.Report1
        4           0   Interpreter.GetToken
        3           0   CliBuffer.GetInt
        3           0   CliCommand.GetIntParmRc
        3           0   CliIntParm.GetIntParmRc
        3           0   CliParm.GetIntParm
        3           0   CodeFileSet.Affecters
        3           0   CodeFileSet.Users
        3           0   FunctionGuard.ctor
        3           0   Interpreter.HandleToken
        3           0   Thread.MakePreemptable
        2           0   CliBuffer.OpenInputFile
        2           0   CliBuffer.Read
        2           0   CliCommand.GetStringRc
        2           0   CliCommand.GetTextParmRc
        2           0   CliParm.GetString
        2           0   CliParm.GetTextIndex
        2           0   CliTextParm.Descend
        2           0   CliTextParm.GetStringRc
        2           0   CliTextParm.GetTextParmRc
        2           0   CodeSet.Assign
