FUNCTION PROFILE: 14-May-2018 18:17:39.890 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
    61829           0   CodeTools.SetDifference(-=)
     5214           0   Parser.Parse
     2853           0   CodeTools.SetUnion(|=)
     2846           0   CodeFile.Implementers
      158           0   Base.ctor
      158           0   Object.ctor
      128           0   LibrarySet.Release
      121           0   CodeFileSet.ctor
      121           0   CodeFileSet.dtor
      121           0   CodeSet.dtor
      121           0   Library.EraseVar
      121           0   LibraryItem.dtor
      121           0   LibrarySet.dtor
      121           0   Memory.Free
      121           0   Object.operator delete
      121           0   Q2Way.Exq
      121           0   SysHeap.Free
      121           0   Temporary.ctor
      120           0   CodeSet.ctor
      120           0   Library.AddVar
      120           0   LibraryItem.ctor
      120           0   LibrarySet.ctor
      120           0   Memory.Alloc
      120           0   Q2Way.Enq
      120           0   SysHeap.Alloc
      120           0   Temporary.operator new
      120           0   Thread.RunningThread
      118           0   LibrarySet.TemporaryName
      116           0   CliBuffer.CalcType
       34           0   CodeFileSet.UsedBy
       31           0   Q1Way.Enq
       31           0   Q1Way.Size
       31           0   SysThread.Interrupt
       31           0   Thread.EnqMsg
       31           0   Thread.Interrupt
       30           0   FunctionGuard.ctor
       30           0   FunctionGuard.dtor
       30           0   MsgBuffer.ctor
       30           0   MsgBuffer.operator new
       30           0   ObjectPool.DeqBlock
       30           0   Pooled.ctor
       30           0   Q1Way.Deq
       30           0   StreamRequest.ctor
       30           0   Thread.MakePreemptable
       30           0   Thread.MakeUnpreemptable
       24           0   Class.AddFiles
       23           0   CliBuffer.FindNextNonBlank
       21           0   CodeFileSet.Users
       20           0   CodeFileSet.Affecters
       18           0   CliIncrement.FindCommand
       18           0   FileRequest.ctor
       17           0   FileThread.Spool(stream)
       14           0   CliBuffer.GetStr
       14           0   CliStack.FindCommand
       14           0   Registry.Size
       14           0   SysMutex.Acquire
       14           0   Thread.EnterBlockingOperation
       14           0   Thread.InitialMsecs
       14           0   Thread.LogContextSwitch
       14           0   Thread.ResumeLocked
       14           0   ThreadAdmin.WarpFactor
       13           0   CliThread.Flush
       13           0   CoutThread.Spool(stream)
       13           0   FileThread.Spool(string)
       13           0   SysMutex.Release
        8           0   CodeTools.SetUnion(|)
        7           0   CliBuffer.Echo
        7           0   CliBuffer.GetLine
        7           0   CliBuffer.ScanLine
        7           0   CliCookie.Advance
        7           0   CliCookie.Initialize
        7           0   CliStack.Top
        7           0   CliText.AccessParm
        7           0   CliThread.EndOfInput
        7           0   CliThread.InvokeCommand
        7           0   CliThread.ParseCommand
        7           0   CodeFileSet.AffectedBy
        7           0   CodeFileSet.Implements
        7           0   CodeFileSet.Parse
        7           0   CodeFileSet.SortInBuildOrder
        7           0   Context.PopParser
        7           0   Context.PushParser
        7           0   CoutThread.Spool(string)
        7           0   Interpreter.SkipBlanks
        7           0   Lexer.ctor
        7           0   ParseFrame.Clear
        7           0   ParseFrame.ctor
        7           0   Parser.ctor(opts)
        7           0   Parser.dtor
        7           0   SymbolRegistry.FindSymbol
        7           0   SysTime.ctor(now)
        6           0   CliThread.SetResult
        6           0   Interpreter.GetToken
        6           0   Symbol.SetValue
        6           0   SymbolRegistry.EnsureSymbol
        5           0   Interpreter.HandleToken
        3           0   CliBuffer.GetInt
        3           0   CliCommand.GetIntParmRc
        3           0   CliIntParm.GetIntParmRc
        3           0   CliParm.GetIntParm
        3           0   CliThread.Report
        3           0   CliThread.Report1
        3           0   LibraryOpcode.CheckArgType
        2           0   CliBuffer.Read
        2           0   CliCommand.GetStringRc
        2           0   CliCommand.GetTextParmRc
        2           0   CliParm.GetString
        2           0   CliParm.GetTextIndex
        2           0   CliTextParm.Descend
        2           0   CliTextParm.GetStringRc
        2           0   CliTextParm.GetTextParmRc
        2           0   CliThread.OpenInputFile
        2           0   CliThread.ReadCommands
        2           0   CodeSet.Assign
        2           0   CodeTools.GetFileName
        2           0   Interpreter.ApplyOperator
        2           0   Library.EnsureVar
        2           0   Library.FindDir
        2           0   Library.FindFile
        2           0   Library.FindVar
        2           0   LibraryOpcode.ctor
        2           0   LibraryOpcode.dtor
        2           0   NtTestData.Access
        2           0   ReadCommand.ProcessCommand
        2           0   Registry.Empty
        2           0   SysFile.CreateIstream
        1           0   CliBuffer.GetSymbol
        1           0   CliThread.Execute
        1           0   CodeFileSet.Create
        1           0   CodeFileSet.Show
        1           0   CodeSet.Union
        1           0   DelayCommand.ProcessCommand
        1           0   IfCommand.ProcessCommand
        1           0   Interpreter.CheckExpr
        1           0   Interpreter.Evaluate
        1           0   Interpreter.ctor
        1           0   Interpreter.dtor
        1           0   Library.Evaluate
        1           0   LibraryCommand.Evaluate
        1           0   LibraryOpcode.Execute
        1           0   LibrarySet.Shown
        1           0   StopCommand.ProcessCommand
        1           0   TestcaseCommand.ConcludeTest
        1           0   TestcaseCommand.ProcessCommand
        1           0   TestcaseCommand.ProcessSubcommand
        1           0   TraceBuffer.SetTool
        1           0   TraceBuffer.StopTrace
        1           0   TypeCommand.ProcessCommand

Total functions: 148
