FUNCTION PROFILE: 20-Dec-2020 08:15:50.608 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
    53035           0   CodeTools.SetDifference(-=)
     2634           0   CodeTools.SetUnion(|=)
     2629           0   CodeFile.Implementers
     1602           0   Class.AddFiles
      784           0   LibrarySet.Release
      778           0   Base.operator new
      777           0   CodeFileSet.ctor
      777           0   CodeFileSet.dtor
      777           0   CodeSet.ctor
      777           0   CodeSet.dtor
      777           0   Library.AddVar
      777           0   Library.EraseVar
      777           0   LibraryItem.ctor
      777           0   LibraryItem.dtor
      777           0   LibrarySet.ctor
      777           0   LibrarySet.dtor
      777           0   Q2Way.Enq
      777           0   Q2Way.Exq
      775           0   LibrarySet.TemporaryName
      113           0   CliBuffer.CalcType
       88           0   SysThread.Interrupt
       88           0   SysThread.Resume
       88           0   Thread.Interrupt
       80           0   MutexGuard.Release
       80           0   MutexGuard.ctor
       80           0   MutexGuard.dtor
       80           0   SysMutex.Acquire
       80           0   SysMutex.Release
       44           0   MsgBuffer.ctor
       44           0   MsgBuffer.operator new
       44           0   ObjectPool.DeqBlock
       44           0   Pooled.ctor
       44           0   Q1Way.Deq
       44           0   Q1Way.Enq
       44           0   Q1Way.Size
       44           0   StreamRequest.ctor
       44           0   Thread.EnqMsg
       31           0   FileRequest.ctor
       31           0   FileThread.Spool(written)
       26           0   FileThread.Spool(string)
       24           0   CodeFileSet.Users
       24           0   SysThread.Suspend
       23           0   CliBuffer.FindNextNonBlank
       23           0   SysThread.Wait
       23           0   Thread.EnterBlockingOperation
       23           0   Thread.ExitBlockingOperation
       23           0   Thread.InitialTime
       23           0   Thread.LogContextSwitch
       23           0   Thread.Ready
       23           0   Thread.Resume
       23           0   Thread.Schedule
       23           0   Thread.Suspend
       23           0   ThreadAdmin.WarpFactor
       22           0   CodeFileSet.UsedBy
       18           0   CliIncrement.FindCommand
       14           0   CliBuffer.GetNextInput
       14           0   CliBuffer.GetStr
       14           0   CliStack.FindCommand
       13           0   CoutThread.Spool(stream)
       13           0   FileThread.Record
       12           0   Registry.Size
       10           0   CodeFileSet.AffectedBy
       10           0   CodeFileSet.Affecters
        8           0   CliThread.Flush
        8           0   SymbolRegistry.FindSymbol
        7           0   CliBuffer.GetInput
        7           0   CliBuffer.GetLine
        7           0   CliBuffer.ScanLine
        7           0   CliCookie.Advance
        7           0   CliCookie.Initialize
        7           0   CliStack.Top
        7           0   CliText.AccessParm
        7           0   CliThread.EndOfInput
        7           0   CliThread.InvokeCommand
        7           0   CliThread.ParseCommand
        7           0   CliThread.SetResult
        7           0   CoutThread.Spool(string)
        7           0   Interpreter.SkipBlanks
        7           0   Symbol.SetValue
        7           0   SymbolRegistry.EnsureSymbol
        6           0   CodeTools.SetUnion(|)
        6           0   Interpreter.GetToken
        5           0   CodeFileSet.Implements
        5           0   CodeFileSet.Parse
        5           0   CodeFileSet.SortInBuildOrder
        5           0   Context.PopParser
        5           0   Context.PushParser
        5           0   FileThread.Spool(stream)
        5           0   Interpreter.HandleToken
        5           0   Lexer.ctor
        5           0   ParseFrame.Clear
        5           0   ParseFrame.ctor
        5           0   Parser.ctor(opts)
        5           0   Parser.dtor
        5           0   SysTime.ctor(now)
        4           0   CliThread.Report
        4           0   CliThread.Report1
        3           0   CliBuffer.GetInt
        3           0   CliCommand.GetIntParmRc
        3           0   CliIntParm.GetIntParmRc
        3           0   CliParm.GetIntParm
        3           0   FunctionGuard.ctor
        3           0   Interpreter.ApplyOperator
        3           0   LibraryOpcode.CheckArgType
        3           0   Thread.MakePreemptable
        2           0   CliBuffer.OpenInputFile
        2           0   CliBuffer.Read
        2           0   CliCommand.GetStringRc
        2           0   CliCommand.GetTextParmRc
        2           0   CliParm.GetString
        2           0   CliParm.GetTextIndex
        2           0   CliTextParm.Descend
        2           0   CliTextParm.GetStringRc
        2           0   CliTextParm.GetTextParmRc
        2           0   CodeSet.Assign
        2           0   CodeTools.GetFileName
        2           0   Library.EnsureVar
        2           0   Library.FindDir
        2           0   Library.FindFile
        2           0   Library.FindVar
        2           0   LibraryOpcode.Execute
        2           0   LibraryOpcode.ctor
        2           0   LibraryOpcode.dtor
        2           0   ReadCommand.ProcessCommand
