FUNCTION PROFILE: 2-Aug-2019 09:52:39.192 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      140         959   Thread.RunningThread
      108         611   CliBuffer.CalcType
       42        1232   Base.ctor
       39         712   FunctionGuard.dtor
       39           0   Object.ctor
       38         494   FunctionGuard.ctor
       38         255   Thread.MakeUnpreemptable
       38         214   Thread.MakePreemptable
       38         209   Thread.EnqMsg
       38           0   MsgBuffer.ctor
       38           0   Pooled.ctor
       38           0   StreamRequest.ctor
       37         351   SysThread.Interrupt
       37         291   Q1Way.Size
       37         268   Alarm.Create
       37         267   Thread.Interrupt
       37         238   Q1Way.Deq
       37         214   MsgBuffer.operator new
       37         194   ObjectPool.DeqBlock
       37         175   ObjectPool.UpdateAlarm
       37         174   Q1Way.Enq
       26         234   FileThread.Spool(written)
       25           0   FileRequest.ctor
       24        3397   Thread.Pause
       23     1002667   SysMutex.Release
       22         354   FileThread.Spool(string)
       21         120   CliBuffer.FindNextNonBlank
       18         204   SysMutex.Acquire
       18         198   CliIncrement.FindCommand
       14         111   Thread.ExitBlockingOperation
       14          75   Thread.Unlock
       14          71   CliStack.FindCommand
       13         758   CliBuffer.GetLine
       13          97   CliBuffer.GetStr
       12         171   CoutThread.Spool(stream)
       12         164   CliThread.Flush
       12         121   Thread.LogContextSwitch
       12         101   Thread.EnterBlockingOperation
       12          99   MutexGuard.ctor
       12          65   FileThread.Record
       11          66   MutexGuard.dtor
       10         164   LibrarySet.Release
        8          47   Thread.ResumeLocked
        7         336   CoutThread.Spool(string)
        7         248   CliThread.ParseCommand
        7          71   CliStack.Top
        7          71   CliThread.InvokeCommand
        7          53   CliCookie.Initialize
        7          36   CliCookie.Advance
        7          31   Registry.Size
        7          28   CliText.AccessParm
        6          76   SymbolRegistry.FindSymbol
        6          52   Thread.InitialMsecs
        6          39   CliBuffer.ScanLine
        6          39   Symbol.SetValue
        6          29   CliThread.EndOfInput
        6           0   ThreadAdmin.WarpFactor
        5          46   CliThread.SetResult
        5          41   CliBuffer.Echo
        5          31   SymbolRegistry.EnsureSymbol
        5          27   FileThread.Spool(stream)
        4          82   Interpreter.SkipBlanks
        3         116   Q2Way.Enq
        3          94   CliThread.Report1
        3          44   CodeSet.dtor
        3          22   Interpreter.GetToken
        3          17   CliIntParm.GetIntParmRc
        3          15   LibraryItem.dtor
        3          14   CliBuffer.GetInt
        3          14   CliThread.Report
        3          12   CliCommand.GetIntParmRc
        3          12   LibrarySet.dtor
        3          10   CliParm.GetIntParm
        3           9   Library.AddVar
        3           9   Library.EraseVar
        3           9   Q2Way.Exq
        3           8   CodeFileSet.dtor
        3           1   LibrarySet.ctor
        3           0   CodeFileSet.ctor
        3           0   CodeSet.ctor
        3           0   LibraryItem.ctor
        2        1271   SysFile.CreateIstream
        2          42   CliThread.OpenInputFile
        2          31   Interpreter.HandleToken
        2          25   Registry.Empty
        2          21   CliThread.ReadCommands
        2          19   CliTextParm.GetStringRc
        2          16   CliCommand.GetStringRc
        2          14   CliParm.GetString
        2          13   CliBuffer.Read
        2          13   LibrarySet.TemporaryName
        2           9   CliCommand.GetTextParmRc
        2           9   CliParm.GetTextIndex
        2           9   CliTextParm.GetTextParmRc
        2           8   CliTextParm.Descend
        1        2596   CodeTools.GetFileName
        1         216   CodeFileSet.Show
        1          31   CliBuffer.GetSymbol
        1          22   NtTestData.Conclude
        1          20   CliThread.Execute
        1          19   TestcaseCommand.ProcessSubcommand
        1          16   Library.FindDir
        1          11   Library.Evaluate
        1          11   Library.FindVar
        1          11   TestcaseCommand.ProcessCommand
        1          10   CliBuffer.PutLine
        1          10   Interpreter.Evaluate
        1          10   Interpreter.dtor
        1          10   Library.EnsureVar
        1           9   Library.FindFile
        1           8   CodeSet.Assign
        1           8   IfCommand.ProcessCommand
        1           8   Interpreter.ApplyOperator
        1           8   Interpreter.CheckExpr
        1           8   LibraryOpcode.ctor
        1           8   SysHeap.Alloc
        1           7   Memory.Alloc
        1           7   ReadCommand.ProcessCommand
        1           7   Temporary.operator new
        1           5   DelayCommand.ProcessCommand
        1           5   LibraryOpcode.Execute
        1           5   LibrarySet.Shown
        1           5   NtTestData.Access
        1           5   SysHeap.Free
        1           4   CodeFileSet.Users
        1           4   LibraryOpcode.dtor
        1           4   Memory.Free
        1           3   LibraryOpcode.CheckArgType
        1           3   Object.operator delete
        1           0   C++.delete
        1           0   Interpreter.ctor
        1           0   Temporary.ctor
        1           0   TraceBuffer.SetTool

Total functions: 133
